event,censored,base,hedge_pnl,total,triggered,outcome
236,0,0.11,0,0.11,0,0
237,0,0.01,0,0.01,0,0
238,1,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0.03,0,0.03,0,0
241,0,0.22,0,0.22,0,0
242,0,10.76,0,10.76,0,0
243,0,10.81,0,10.81,0,0
244,0,0.02,-2.83,-2.81,1,1
245,0,0.18,0,0.18,0,0
246,0,0.09,0,0.09,0,0
247,0,-30.07,2.26,-27.81,1,2
248,0,0.07,0,0.07,0,0
249,0,13.09,0,13.09,0,0
250,0,0.33,0,0.33,0,0
251,0,0.32,0,0.32,0,0
252,0,0.13,0,0.13,0,0
253,0,0.03,0,0.03,0,0
254,0,14.24,0,14.24,0,0
255,0,13.72,0,13.72,0,0
256,0,14.76,0,14.76,0,0
257,0,0,0,0,0,0
258,0,0.56,-3.29,-2.73,1,1
259,0,-26.1,1.56,-24.54,1,2
260,0,0.1,0,0.1,0,0
261,0,0.15,0,0.15,0,0
262,0,0.07,0,0.07,0,0
263,0,0,0,0,0,0
264,1,0,0,0,0,0
265,0,-25.42,1.89,-23.53,1,2
266,0,-25.59,1.8,-23.79,1,2
267,0,10.64,0,10.64,0,0
268,0,0.03,0,0.03,0,0
269,1,0,0,0,0,0
270,1,0,0,0,0,0
271,0,11.67,0,11.67,0,0
272,0,11.75,0,11.75,0,0
273,0,11.68,0,11.68,0,0
274,0,0.33,0,0.33,0,0
275,0,0.07,0,0.07,0,0
276,0,1.72,0,1.72,0,0
277,0,0.15,0,0.15,0,0
278,0,0.17,0,0.17,0,0
279,0,0.07,0,0.07,0,0
280,0,0.27,0,0.27,0,0
281,0,0.04,0,0.04,0,0
282,0,12.34,0,12.34,0,0
283,0,0.21,0,0.21,0,0
284,0,16.15,0,16.15,0,0
285,0,16.04,0,16.04,0,0
286,0,0.05,0,0.05,0,0
287,1,0,0,0,0,0
288,0,0.04,0,0.04,0,0
289,0,11.85,0,11.85,0,0
290,1,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0.13,-3.08,-2.95,1,1
293,0,0.3,0,0.3,0,0
294,0,0.09,0,0.09,0,0
295,0,11.05,0,11.05,0,0
296,0,11.63,0,11.63,0,0
297,0,0.02,0,0.02,0,0
298,0,9.52,0,9.52,0,0
299,1,0,0,0,0,0
300,0,10.85,0,10.85,0,0
301,0,10.28,0,10.28,0,0
302,0,0,0,0,0,0
303,1,0,0,0,0,0
304,0,0.01,0,0.01,0,0
305,0,0.09,0,0.09,0,0
306,0,0,0,0,0,0
307,0,0.2,-2.35,-2.15,1,1
308,0,0.05,0,0.05,0,0
309,0,9.97,0,9.97,0,0
310,1,0,0,0,0,0
311,0,9.55,0,9.55,0,0
312,0,0.06,0,0.06,0,0
313,0,0.14,0,0.14,0,0
314,0,-23.38,-2.3,-25.68,1,1
315,0,0.04,-2.13,-2.09,1,1
316,0,9.72,0,9.72,0,0
317,0,0.03,0,0.03,0,0
318,0,0.06,0,0.06,0,0
319,0,0.03,0,0.03,0,0
320,0,0.09,0,0.09,0,0
321,0,0.34,-2.32,-1.98,1,1
322,0,0.15,0,0.15,0,0
323,1,0,0,0,1,0
324,0,0.19,-2.16,-1.97,1,1
325,0,0.04,0,0.04,0,0
326,0,0,0,0,0,0
327,0,0.02,0,0.02,0,0
328,0,10.07,0,10.07,0,0
329,0,0,0,0,0,0
330,0,0.04,0,0.04,0,0
331,0,0.13,0,0.13,0,0
332,0,0.02,0,0.02,0,0
333,0,0.02,0,0.02,0,0
334,0,0.07,0,0.07,0,0
335,0,9.97,0,9.97,0,0
336,0,0.04,0,0.04,0,0
337,0,0,0,0,0,0
338,0,0.04,0,0.04,0,0
339,0,9.93,0,9.93,0,0
340,0,8.98,0,8.98,0,0
341,0,0.09,0,0.09,0,0
342,0,0.04,0,0.04,0,0
343,1,0,0,0,0,0
344,1,0,-2.65,-2.65,1,1
345,1,0,0,0,0,0
346,0,0.07,0,0.07,0,0
347,0,0.04,0,0.04,0,0
348,0,11.82,0,11.82,0,0
349,1,0,0,0,0,0
350,0,0.06,0,0.06,0,0
351,0,0.02,0,0.02,0,0
352,1,0,0,0,0,0
353,0,0.01,0,0.01,0,0
354,0,4.54747e-13,0,4.54747e-13,0,0
355,0,0.03,0,0.03,0,0
356,0,-30.75,-2.83,-33.58,1,1
357,0,0.01,0,0.01,0,0
358,0,13.14,0,13.14,0,0
359,0,13.6,0,13.6,0,0
360,0,0.01,0,0.01,0,0
361,0,0.05,0,0.05,0,0
362,0,0.01,0,0.01,0,0
363,0,0.04,0,0.04,0,0
364,0,0.12,0,0.12,0,0
365,1,0,0,0,0,0
366,0,0.03,0,0.03,0,0
367,0,0.03,0,0.03,0,0
368,0,-26.98,2,-24.98,1,2
369,0,0.01,0,0.01,0,0
370,0,12.23,0,12.23,0,0
371,0,0.04,0,0.04,0,0
372,0,0.03,0,0.03,0,0
373,0,0.12,0,0.12,0,0
374,0,14.03,0,14.03,0,0
375,1,0,0,0,0,0
376,0,13.66,0,13.66,0,0
377,1,0,0,0,0,0
378,0,0.03,0,0.03,0,0
379,0,13.57,0,13.57,0,0
380,0,13.33,0,13.33,0,0
