decision,p15,S,origin_close,direction,m1_pos,source_m5
2024-05-14 17:10:00,0.7966719904961411,11.518548771197713,2350.87,1,837728,2024-05-14 17:05:00
2024-05-14 17:40:00,0.8227466174876475,11.518548771197713,2352.37,1,837758,2024-05-14 17:35:00
2024-05-15 15:35:00,0.9899396278630613,10.950479374115535,2370.79,1,839012,2024-05-15 15:30:00
2024-05-15 18:15:00,0.7807758894126383,11.591159418821574,2380.66,1,839172,2024-05-15 18:10:00
2024-05-15 18:25:00,0.7679635302647992,11.591159418821574,2385.1,1,839182,2024-05-15 18:20:00
2024-05-16 15:35:00,0.7867287681850162,12.25473791443399,2385.56,1,840391,2024-05-16 15:30:00
2024-05-16 16:20:00,0.8516466576528092,12.08439949197441,2374.47,-1,840436,2024-05-16 16:15:00
2024-05-17 16:05:00,0.8709433627511933,10.84704040427693,2396.86,1,841800,2024-05-17 16:00:00
2024-05-17 17:30:00,0.8118706550888345,10.84704040427693,2405.87,1,841885,2024-05-17 17:25:00
2024-05-17 17:55:00,0.8756507704094434,10.84704040427693,2415.15,1,841910,2024-05-17 17:50:00
2024-05-20 01:05:00,0.7545904635953212,12.27785626695308,2425.07,1,842278,2024-05-20 01:00:00
2024-05-20 04:05:00,0.9390830316190762,12.305866533599294,2436.73,1,842458,2024-05-20 04:00:00
2024-05-20 08:45:00,0.8162696941862505,12.514018924056474,2448.89,1,842738,2024-05-20 08:40:00
2024-05-20 09:25:00,0.8328159272473731,12.514018924056474,2439.11,-1,842778,2024-05-20 09:20:00
2024-05-20 15:10:00,0.7512877796344213,12.915874715195288,2423.97,-1,843123,2024-05-20 15:05:00
2024-05-21 05:00:00,0.7664205563584835,14.345244891209244,2420.4,-1,843892,2024-05-21 04:55:00
2024-05-21 05:15:00,0.7976769500091971,14.345244891209244,2417.87,-1,843907,2024-05-21 05:10:00
2024-05-21 16:05:00,0.8205624015104065,15.323065971569509,2423.23,-1,844557,2024-05-21 16:00:00
2024-05-21 16:35:00,0.8138030011836437,15.323065971569509,2427.18,1,844587,2024-05-21 16:30:00
2024-05-22 16:45:00,0.8023201934116848,13.62451453703991,2409.47,-1,845976,2024-05-22 16:40:00
2024-05-22 17:10:00,0.858919766192856,13.62451453703991,2400.04,-1,846001,2024-05-22 17:05:00
2024-05-23 04:30:00,0.8245199338899618,14.555462258701429,2371.3,-1,846620,2024-05-23 04:25:00
2024-05-23 08:55:00,0.7500103882599669,14.599357811651332,2362.76,-1,846885,2024-05-23 08:50:00
2024-05-23 16:35:00,0.7590655233248026,14.562150358005487,2367.24,1,847345,2024-05-23 16:30:00
2024-05-28 09:25:00,0.8012754395447156,10.79614294922026,2343.54,-1,850898,2024-05-28 09:20:00
