block,spec,idx,decision,score,feedback_mean_R,upgrade,actual_R,feedback_n
2024Q4,MEAN_FB360,3946,2024-10-03 16:00:00,0.0309459560662215,0.3391276032919046,1,-1.0,53
2024Q4,MEAN_FB360,3953,2024-10-04 20:00:00,-0.12957472,0.32102464093286787,0,-0.3234438627108742,54
2024Q4,MEAN_FB360,3956,2024-10-07 12:00:00,-0.4163398,0.32102464093286787,0,-1.0,54
2024Q4,MEAN_FB360,3965,2024-10-09 00:00:00,0.0758676,0.25389640381657114,1,0.0095129375951293,52
2024Q4,MEAN_FB360,3966,2024-10-09 04:00:00,-0.24439855,0.25389640381657114,0,-0.329501915708806,52
2024Q4,MEAN_FB360,3968,2024-10-09 12:00:00,0.46111983,0.24928539501994015,1,-0.3240857503152858,53
2024Q4,MEAN_FB360,3969,2024-10-09 16:00:00,-0.31740522,0.24928539501994015,0,-1.0,53
2024Q4,MEAN_FB360,3970,2024-10-09 20:00:00,0.0516066022280111,0.2386674108470656,1,-0.3791848617176215,54
2024Q4,MEAN_FB360,3973,2024-10-10 08:00:00,-0.49221602,0.2386674108470656,0,-1.0,54
2024Q4,MEAN_FB360,3976,2024-10-10 20:00:00,-0.0415017641786812,0.23463005253174596,0,1.5640295959020922,54
2024Q4,MEAN_FB360,3977,2024-10-11 00:00:00,-0.0160379144386197,0.23463005253174596,0,1.134806033763186,54
2024Q4,MEAN_FB360,3982,2024-10-11 20:00:00,-0.3229189815266371,0.23463005253174596,0,-0.5671334431630918,54
2024Q4,MEAN_FB360,3983,2024-10-14 04:00:00,0.0477541267253964,0.23463005253174596,1,-0.8557625948930488,54
2024Q4,MEAN_FB360,3984,2024-10-14 08:00:00,0.07511286,0.23463005253174596,1,-0.5493257629524596,54
2024Q4,MEAN_FB360,3988,2024-10-15 00:00:00,-0.1727243878172998,0.1979204388007489,0,-0.4777618364418815,55
2024Q4,MEAN_FB360,3991,2024-10-15 12:00:00,-0.23506196,0.22010415063039235,0,1.836512261580444,54
2024Q4,MEAN_FB360,3992,2024-10-15 16:00:00,-0.22155763,0.22010415063039235,0,2.542239685658205,54
2024Q4,MEAN_FB360,3997,2024-10-16 12:00:00,-0.185823082493404,0.22010415063039235,0,-0.2653876099121081,54
2024Q4,MEAN_FB360,4001,2024-10-17 04:00:00,1.1004399,0.22010415063039235,1,8.956862745097368,54
2024Q4,MEAN_FB360,4014,2024-10-21 12:00:00,-0.0055923341323383,0.22010415063039235,0,-1.0,54
2024Q4,MEAN_FB360,4016,2024-10-21 20:00:00,0.0020038491732596,0.21808153778230632,1,-0.687154271665633,53
2024Q4,MEAN_FB360,4019,2024-10-22 08:00:00,0.0065423925,0.3799108193992519,1,0.5396627108057749,54
2024Q4,MEAN_FB360,4021,2024-10-22 16:00:00,0.2105112332276754,0.3605096359253449,1,0.7610413132145541,55
2024Q4,MEAN_FB360,4030,2024-10-24 04:00:00,-0.0359654036779648,0.31996558405959297,0,-0.2941329761539371,55
2024Q4,MEAN_FB360,4031,2024-10-24 08:00:00,-0.32215944,0.31996558405959297,0,0.5836768342951247,55
2024Q4,MEAN_FB360,4035,2024-10-25 00:00:00,0.17149036,0.31996558405959297,1,-0.2524344569288325,55
2024Q4,MEAN_FB360,4037,2024-10-25 08:00:00,-0.044828117,0.3429447100637991,0,-0.5633100697906515,54
2024Q4,MEAN_FB360,4039,2024-10-25 16:00:00,0.9335097,0.3429447100637991,1,0.0542452830188353,54
2024Q4,MEAN_FB360,4040,2024-10-25 20:00:00,-0.15107743,0.3429447100637991,0,-0.3136813681368215,54
2024Q4,MEAN_FB360,4042,2024-10-28 08:00:00,-0.24791573,0.33769562957207255,0,-0.6618392469225463,55
2024Q4,MEAN_FB360,4044,2024-10-28 16:00:00,0.16057274,0.33554469393736724,1,2.9789132197891512,54
2024Q4,MEAN_FB360,4047,2024-10-29 04:00:00,0.0199496279825802,0.33554469393736724,1,1.893575754971752,54
2024Q4,MEAN_FB360,4049,2024-10-29 12:00:00,0.2534969422859973,0.33554469393736724,1,2.804738471845276,54
2024Q4,MEAN_FB360,4051,2024-10-29 20:00:00,0.0111869542751702,0.34163112607219986,1,0.3250526315789389,53
2024Q4,MEAN_FB360,4052,2024-10-30 00:00:00,-0.0461531702068942,0.34163112607219986,0,0.1526436447254966,53
2024Q4,MEAN_FB360,4053,2024-10-30 04:00:00,-0.0015172193414071,0.34163112607219986,0,-0.1852121753491004,53
2024Q4,MEAN_FB360,4055,2024-10-30 12:00:00,-0.1054105857327817,0.3674317246505114,0,-1.0,52
2024Q4,MEAN_FB360,4058,2024-10-31 00:00:00,-0.4208867,0.48408446000020916,0,-0.1762028608582586,56
2024Q4,MEAN_FB360,4060,2024-10-31 08:00:00,-0.38650006,0.5026633122620056,0,7.178498985800768,55
2024Q4,MEAN_FB360,4065,2024-11-01 04:00:00,-0.23952502,0.5026633122620056,0,-1.0,55
2024Q4,MEAN_FB360,4071,2024-11-04 08:00:00,-0.2552382,0.513628735026542,0,-0.27006039689388,54
2024Q4,MEAN_FB360,4074,2024-11-04 20:00:00,0.1276290480664643,0.4426869639723866,1,-0.1784431137724853,53
2024Q4,MEAN_FB360,4075,2024-11-05 00:00:00,0.37687802,0.4426869639723866,1,-0.2696035242290722,53
2024Q4,MEAN_FB360,4078,2024-11-05 12:00:00,0.021402454,0.4426869639723866,1,-0.0611439842209262,53
2024Q4,MEAN_FB360,4084,2024-11-06 12:00:00,0.4554634,0.42060993340302677,1,2.663989856297573,55
2024Q4,MEAN_FB360,4090,2024-11-07 12:00:00,0.8701886,0.4578120681265862,1,2.74488961569911,53
2024Q4,MEAN_FB360,4095,2024-11-08 08:00:00,-0.02092056114123,0.49866721235197486,0,-0.1552179656538922,54
2024Q4,MEAN_FB360,4096,2024-11-08 12:00:00,-0.15176882,0.5395076196855592,0,-1.0,55
2024Q4,MEAN_FB360,4098,2024-11-08 20:00:00,-0.114095781949817,0.48866556559135643,0,4.843583902809386,54
2024Q4,MEAN_FB360,4099,2024-11-11 04:00:00,-0.2019017356191285,0.48866556559135643,0,2.4322090224709094,54
2024Q4,MEAN_FB360,4101,2024-11-11 12:00:00,-0.179558478463002,0.48866556559135643,0,2.4519956106106444,54
2024Q4,MEAN_FB360,4102,2024-11-11 16:00:00,0.0161590787355768,0.516753595130816,1,0.2712297655908107,53
2024Q4,MEAN_FB360,4105,2024-11-12 04:00:00,-0.27217215,0.516753595130816,0,-1.0,53
2024Q4,MEAN_FB360,4106,2024-11-12 08:00:00,-0.004110322387542,0.5122068575467418,0,-0.2043596253007584,54
2024Q4,MEAN_FB360,4109,2024-11-12 20:00:00,-0.2001652930739501,0.5122068575467418,0,-0.562864721485407,54
2024Q4,MEAN_FB360,4110,2024-11-13 00:00:00,0.09564774,0.5122068575467418,1,-0.5159891598915903,54
2024Q4,MEAN_FB360,4111,2024-11-13 04:00:00,-0.23855232,0.5122068575467418,0,-1.0,54
2024Q4,MEAN_FB360,4117,2024-11-14 04:00:00,-0.0305306201932318,0.5361275800518444,0,-0.257669931924959,53
2024Q4,MEAN_FB360,4118,2024-11-14 08:00:00,0.1061304040799654,0.5361275800518444,1,-0.4453743553909371,53
2024Q4,MEAN_FB360,4119,2024-11-14 12:00:00,0.2057169451428671,0.5361275800518444,1,-0.8058838467586973,53
2024Q4,MEAN_FB360,4120,2024-11-14 16:00:00,-0.0465181848390133,0.5361275800518444,0,-1.0,53
2024Q4,MEAN_FB360,4124,2024-11-15 08:00:00,-0.3097767,0.4938818825563294,0,-1.0,55
2024Q4,MEAN_FB360,4126,2024-11-15 16:00:00,0.23475538,0.4938818825563294,1,-0.0333024976873385,55
2024Q4,MEAN_FB360,4129,2024-11-18 08:00:00,-0.18407151,0.49401775769135997,0,1.9425182481752337,55
2024Q4,MEAN_FB360,4130,2024-11-18 12:00:00,-0.2704386321234909,0.49401775769135997,0,1.3270091480332906,55
2024Q4,MEAN_FB360,4132,2024-11-18 20:00:00,-0.1090294379579632,0.522156121575816,0,0.6866989502749575,53
2024Q4,MEAN_FB360,4138,2024-11-19 20:00:00,-0.1546263466787376,0.5514283546830433,0,-0.3427312775330312,52
2024Q4,MEAN_FB360,4139,2024-11-20 00:00:00,-0.11647096,0.5514283546830433,0,-1.0,52
2024Q4,MEAN_FB360,4143,2024-11-20 16:00:00,0.2834152,0.5514283546830433,1,3.772885283893341,52
2024Q4,MEAN_FB360,4144,2024-11-20 20:00:00,0.1581642,0.5514283546830433,1,1.593861066235848,52
2024Q4,MEAN_FB360,4145,2024-11-21 00:00:00,-0.1105516096931258,0.5514283546830433,0,2.760345326979821,52
2024Q4,MEAN_FB360,4148,2024-11-21 12:00:00,-0.0868690752689859,0.5514283546830433,0,1.594339871069824,52
2024Q4,MEAN_FB360,4149,2024-11-21 16:00:00,-0.3750544726995628,0.5818485185003578,0,2.5688228531420294,51
2024Q4,MEAN_FB360,4157,2024-11-25 04:00:00,-0.0918041965589852,0.6029360383209141,0,1.5897435897436116,50
2024Q4,MEAN_FB360,4160,2024-11-25 16:00:00,0.49685413,0.737250003547912,1,-1.0,50
2024Q4,MEAN_FB360,4163,2024-11-26 04:00:00,-0.0812118544375444,0.703186277988149,0,-0.0467140412297465,51
2024Q4,MEAN_FB360,4164,2024-11-26 08:00:00,-0.0904053432737202,0.703186277988149,0,-0.2673987568583847,51
2024Q4,MEAN_FB360,4167,2024-11-26 20:00:00,0.0211526110012639,0.703186277988149,1,-0.4336283185840853,51
2024Q4,MEAN_FB360,4168,2024-11-27 00:00:00,-0.291371,0.7243786124717966,0,0.3191763191762836,50
2024Q4,MEAN_FB360,4171,2024-11-27 12:00:00,-0.1098350190494683,0.7016725942157989,0,-0.5849089282476867,51
2024Q4,MEAN_FB360,4173,2024-11-27 20:00:00,0.0063170068506841,0.7016725942157989,1,-0.4320457796852785,51
2024Q4,MEAN_FB360,4175,2024-11-28 04:00:00,-0.1416716110807617,0.7016725942157989,0,-1.0,51
2024Q4,MEAN_FB360,4179,2024-11-28 20:00:00,-0.0888779936977815,0.6798703177946244,0,-0.4541284403669633,52
2024Q4,MEAN_FB360,4180,2024-11-29 00:00:00,0.2404256,0.6798703177946244,1,-0.707198443579751,52
2024Q4,MEAN_FB360,4181,2024-11-29 04:00:00,-0.077084936,0.6798703177946244,0,2.069920844327204,52
2024Q4,MEAN_FB360,4183,2024-11-29 12:00:00,-0.1335631521226041,0.6536992090894476,0,-0.1517188629984986,53
2024Q4,MEAN_FB360,4187,2024-12-02 08:00:00,-0.1470071912911611,0.6536992090894476,0,-0.7175085391729906,53
2024Q4,MEAN_FB360,4192,2024-12-03 04:00:00,-0.19832338,0.6855696541457925,0,-0.6313725490195908,51
2024Q4,MEAN_FB360,4193,2024-12-03 08:00:00,-0.015660634,0.6855696541457925,0,0.2431318681318741,51
2024Q4,MEAN_FB360,4194,2024-12-03 12:00:00,-0.39590594,0.6855696541457925,0,-0.0863157894737014,51
2024Q4,MEAN_FB360,4198,2024-12-04 04:00:00,0.042632066,0.7080934154648293,1,-1.0,50
2024Q4,MEAN_FB360,4199,2024-12-04 08:00:00,0.080020666,0.674601387710617,1,-1.0,51
2024Q4,MEAN_FB360,4201,2024-12-04 16:00:00,0.13643765,0.6423975148700282,1,-1.0,52
2024Q4,MEAN_FB360,4205,2024-12-05 08:00:00,0.39583823,0.6114088825139898,1,-1.0,53
2024Q4,MEAN_FB360,4207,2024-12-05 16:00:00,0.0058407877,0.2107641728231054,1,2.141747572815535,52
2024Q4,MEAN_FB360,4208,2024-12-05 20:00:00,-0.218377523093982,0.2107641728231054,0,-0.3740573152337824,52
2024Q4,MEAN_FB360,4210,2024-12-06 04:00:00,-0.0879366384335702,0.2107641728231054,0,-1.0,52
2024Q4,MEAN_FB360,4214,2024-12-06 20:00:00,-0.3662943,0.24719782187956635,0,-1.0,53
2024Q4,MEAN_FB360,4215,2024-12-09 04:00:00,-0.1511448,0.24719782187956635,0,0.9241555130656436,53
2024Q4,MEAN_FB360,4221,2024-12-10 04:00:00,0.29015663,0.2711823953772503,1,-0.2223255813953369,52
2024Q4,MEAN_FB360,4222,2024-12-10 08:00:00,-0.201945,0.2711823953772503,0,-0.3395004625346565,52
2024Q4,MEAN_FB360,4228,2024-12-11 08:00:00,0.0828408692444063,0.272076632483709,1,-0.4951953875720663,52
2024Q4,MEAN_FB360,4230,2024-12-11 16:00:00,-0.39867997,0.2575998019166189,0,0.6832986832986999,53
2024Q4,MEAN_FB360,4235,2024-12-12 12:00:00,0.38717604,0.3069174412074667,1,-1.0,51
2024Q4,MEAN_FB360,4236,2024-12-12 16:00:00,0.1969744196530434,0.28178441349193856,1,0.3339168490153233,52
2024Q4,MEAN_FB360,4239,2024-12-13 04:00:00,-0.060908288,0.28178441349193856,0,-1.0,52
2024Q4,MEAN_FB360,4245,2024-12-16 08:00:00,-0.108417556,0.28167236078562563,0,-0.0745140388768485,52
2024Q4,MEAN_FB360,4248,2024-12-16 20:00:00,-0.0189622326989277,0.28167236078562563,0,-0.4646053702196951,52
2024Q4,MEAN_FB360,4249,2024-12-17 00:00:00,0.1468825,0.28167236078562563,1,-0.5037807183365018,52
2024Q4,MEAN_FB360,4250,2024-12-17 04:00:00,1.1322191,0.28167236078562563,1,-1.0,52
2024Q4,MEAN_FB360,4252,2024-12-17 12:00:00,0.33801746,0.266852491368227,1,-0.3361388742766859,53
2024Q4,MEAN_FB360,4254,2024-12-17 20:00:00,0.030180331,0.266852491368227,1,0.075488454706961,53
2024Q4,MEAN_FB360,4259,2024-12-18 16:00:00,-0.01832817,0.2615870559602483,0,6.414335664335899,54
2024Q4,MEAN_FB360,4260,2024-12-18 20:00:00,0.0492179538106512,0.28539058531798883,1,2.1491424310216614,53
2024Q4,MEAN_FB360,4264,2024-12-19 12:00:00,0.17798571,0.29771730331282314,1,-1.0,53
2024Q4,MEAN_FB360,4267,2024-12-20 00:00:00,0.1235967121938785,0.2832051739327693,1,-0.5676695608633083,53
