market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-06-24 04:31:00,-1,63083.5,2026-06-23 10:15:00,2026-06-23 11:30:00,1422,1,63104.8,2026-06-24 05:25:00,62687.2,1,50015,1,-1,True,False,1,-1,22,1899.0464285714263,62761.8,22.5,62687.2,63127.3,440.1000000000058,62724.5,63127.3,402.8000000000029,True,True,0.2121064519223011,0.0392828731713127,25,0.1445264593322438,0.0134970843055846,True,True,False,False,H,2026-06-24 05:28:00,-1.0,SL,2026-06-24 14:49:00,True,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-06-24 14:49:00,-1,63104.8,2026-06-24 04:30:00,2026-06-24 05:30:00,1432,1,63222.0,2026-06-24 15:25:00,62765.2,1,50135,1,"-1,1,-1",False,True,1,1,4,1899.0464285714263,62792.6,22.5,62765.2,63244.5,479.3000000000029,62778.9,63244.5,465.6000000000058,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-06-29 15:01:00,1,59719.7,2026-06-29 11:30:00,2026-06-29 13:15:00,1477,1,59584.85,2026-06-29 15:05:00,60336.9,-1,51565,-1,1,True,False,1,-1,5,2216.325,60222.4,22.5,60359.4,59584.85,774.5500000000029,60302.15,59584.85,717.3000000000029,True,True,0.3236438699198011,0.0516620982933459,26,0.1477513483281471,0.0146055089540755,True,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-07-03 16:53:00,-1,62197.7,2026-07-02 17:15:00,2026-07-02 17:45:00,1502,1,62261.5,2026-07-03 17:10:00,61980.5,1,52742,1,-1,True,False,1,1,50,2201.282142857141,61989.3,22.5,61980.5,62284.0,303.5,61984.9,62284.0,299.09999999999854,True,True,0.1358753583544649,0.0039976701889658,27,0.1509762373240504,0.0157139336025664,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-07-04 18:10:00,-1,62943.8,2026-07-04 03:00:00,2026-07-04 04:15:00,1518,2,63073.1,2026-07-04 19:15:00,62775.8,1,53038,1,"-1,1,-1",False,True,1,1,76,2241.710714285713,62852.2,22.5,62775.8,63095.6,319.79999999999563,62814.0,63095.6,281.59999999999854,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-07 17:36:00,1,62783.5,2026-07-07 08:00:00,2026-07-07 08:45:00,1543,1,62662.6,2026-07-07 17:55:00,63353.9,-1,53886,-1,1,True,False,-1,1,6,2260.471428571429,63234.6,22.5,63376.4,62662.6,713.8000000000029,63316.75,62662.6,654.1500000000015,True,True,0.2893865375743372,0.0527766015938533,28,0.1477513483281471,0.0146055089540755,True,True,False,False,H,,,NOFILL,,False,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-07-09 10:02:00,-1,63088.0,2026-07-08 06:00:00,2026-07-08 08:45:00,1558,1,63169.7,2026-07-09 10:40:00,62827.6,1,54375,1,"-1,1,-1",False,True,1,1,1,2094.285714285714,62834.7,22.5,62827.6,63192.2,364.59999999999854,62831.15,63192.2,361.0500000000029,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-11 11:40:00,-1,64305.1,2026-07-11 04:15:00,2026-07-11 04:45:00,1582,1,64307.1,2026-07-11 12:15:00,64218.3,1,54964,1,"-1,1,-1",False,True,1,1,51,1902.2964285714288,64228.5,22.5,64218.3,64329.6,111.29999999999563,64223.4,64329.6,106.19999999999708,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-12 17:53:00,-1,64236.1,2026-07-12 07:00:00,2026-07-12 07:45:00,1590,1,64285.1,2026-07-12 19:15:00,64054.4,1,55336,1,"-1,1,-1,1,-1,1,-1,1,-1",False,False,1,-1,12,1860.689285714286,64109.9,22.5,64054.4,64307.6,253.1999999999971,64082.15,64307.6,225.4499999999971,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-13 08:00:00,1,62544.8,2026-07-09 19:15:00,2026-07-09 20:45:00,1573,1,62486.8,2026-07-13 08:10:00,62797.5,-1,55491,-1,1,True,False,-1,-1,4,1826.1178571428568,62764.8,22.5,62820.0,62486.8,333.1999999999971,62803.65,62486.8,316.84999999999854,True,True,0.173510159139313,0.0179068398417391,29,0.1509762373240504,0.0157139336025664,True,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
