market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
GOLD#,2026-03-18 08:36:00,-1,5015.88,2026-03-18 03:15:00,2026-03-18 03:45:00,398,1,5016.15,2026-03-18 09:20:00,5006.64,1,14593,1,"-1,1,-1",False,True,1,-1,7,134.7407142857142,5008.34,0.3,5006.64,5016.45,9.80999999999949,5007.49,5016.45,8.960000000000036,True,True,,,0,,,False,False,False,True,L2,2026-03-18 09:20:00,1.0,TP1,2026-03-18 09:48:00,True,False,0,,,False
GOLD#,2026-03-23 13:11:00,-1,4454.08,2026-03-23 03:30:00,2026-03-23 05:00:00,418,1,4462.54,2026-03-23 14:15:00,4352.86,1,15480,1,-1,True,False,-1,-1,21,169.34142857142857,4355.14,0.3,4352.86,4462.84,109.98000000000047,4354.0,4462.84,108.84000000000016,True,True,0.6427251790549955,0.0134639232657645,2,,,False,False,True,False,L1,2026-03-23 14:15:00,-1.0,SL,2026-03-23 14:49:00,True,False,168,0.1583309712603747,0.0214266422590999,False
BTCUSD#,2026-04-04 21:45:00,1,67263.3,2026-04-04 18:30:00,2026-04-04 19:45:00,765,1,67253.1,2026-04-04 22:10:00,67386.0,-1,26954,-1,1,True,False,1,1,10,2403.657142857141,67371.4,22.5,67408.5,67253.1,155.39999999999418,67401.2,67253.1,148.09999999999127,True,True,0.061614444655759,0.0060740775960465,8,,,False,False,True,False,L1,2026-04-04 22:10:00,-1.0,SL,2026-04-04 23:02:00,True,False,213,0.1842902383051549,0.015064475623302,False
USDJPY#,2026-04-06 00:20:00,1,159.451,2026-04-03 23:30:00,2026-04-04 00:00:00,516,1,159.446,2026-04-06 00:40:00,159.615,-1,18919,-1,1,True,False,-1,1,1,1.1052857142857135,159.594,0.035,159.65,159.446,0.2040000000000077,159.6395,159.446,0.1935000000000002,True,True,0.175067855758046,0.0189996122528247,3,,,False,True,False,False,H,2026-04-06 00:59:00,-1.0,SL,2026-04-06 01:00:00,True,False,115,0.1669464893021746,0.0185905340035986,True
GOLD#,2026-04-14 13:39:00,1,4757.94,2026-04-14 08:30:00,2026-04-14 10:00:00,527,1,4752.33,2026-04-14 14:10:00,4776.09,-1,19607,-1,"1,-1,1",False,True,1,1,13,149.207857142857,4772.3,0.2,4776.29,4752.33,23.96000000000004,4774.395,4752.33,22.0649999999996,True,True,,,0,,,False,False,False,True,L2,2026-04-14 14:10:00,1.0,TP1,2026-04-14 16:38:00,True,False,0,,,False
GOLD#,2026-04-16 08:06:00,-1,4837.63,2026-04-16 03:30:00,2026-04-16 04:45:00,538,1,4838.32,2026-04-16 09:00:00,4821.34,1,20097,1,"-1,1,-1",False,True,1,-1,1,139.68071428571417,4825.17,0.2,4821.34,4838.52,17.17999999999938,4823.255,4838.52,15.264999999999418,True,True,,,0,,,False,False,False,True,L2,2026-04-16 09:00:00,0.482537834691517,TIME,2026-04-16 13:00:00,True,False,0,,,False
USDJPY#,2026-04-21 16:53:00,1,159.013,2026-04-21 15:00:00,2026-04-21 15:45:00,620,1,159.012,2026-04-21 17:30:00,159.149,-1,22289,-1,"1,-1,1",False,True,1,1,7,0.8695000000000022,159.135,0.008,159.157,159.012,0.1450000000000102,159.15,159.012,0.1380000000000052,True,True,,,0,,,False,False,False,True,L2,2026-04-21 17:30:00,1.0,TP1,2026-04-21 17:56:00,True,False,0,,,False
GOLD#,2026-04-22 16:46:00,-1,4760.69,2026-04-22 14:15:00,2026-04-22 14:45:00,574,1,4760.89,2026-04-22 17:35:00,4735.9,1,21304,1,"-1,1,-1",False,True,1,-1,35,118.93357142857128,4742.37,0.2,4735.9,4761.09,25.19000000000051,4739.135,4761.09,21.954999999999927,True,True,,,0,,,False,False,False,True,L2,2026-04-22 17:35:00,0.09964271536324604,TIME,2026-04-22 21:35:00,True,False,0,,,False
BTCUSD#,2026-04-27 00:54:00,1,77843.4,2026-04-26 20:00:00,2026-04-26 21:15:00,951,1,77833.8,2026-04-27 00:55:00,78538.85,-1,33305,-1,1,True,False,1,1,17,2269.0357142857174,78265.4,22.5,78561.35,77833.8,727.5500000000029,78424.625,77833.8,590.8249999999971,True,True,0.2603859411644326,0.1205137487604916,12,,,False,True,False,False,H,2026-04-27 00:56:00,-1.0,SL,2026-04-27 08:22:00,True,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-05-07 10:17:00,-1,81688.1,2026-05-06 23:15:00,2026-05-07 01:30:00,1036,1,81701.9,2026-05-07 10:50:00,81519.6,1,36298,1,"-1,1,-1",False,True,-1,-1,7,1828.1857142857148,81541.3,22.5,81519.6,81724.4,204.7999999999884,81530.45000000001,81724.4,193.9499999999825,True,True,,,0,,,False,False,False,True,L2,2026-05-07 10:50:00,1.0,TP1,2026-05-07 11:38:00,True,False,0,,,False
