idx,year,head,stage,direction,pred,actual,decision
1696,2023,severe,k1,SHORT,0.5496226,0,2023-04-04 04:00:00
1706,2023,severe,k1,SHORT,0.2750066,0,2023-04-05 20:00:00
1711,2023,severe,k1,SHORT,0.52351224,0,2023-04-06 16:00:00
1729,2023,severe,k1,SHORT,0.2521654,0,2023-04-12 20:00:00
1739,2023,severe,k1,SHORT,0.25684077,0,2023-04-14 12:00:00
1745,2023,severe,k1,SHORT,0.29610437,0,2023-04-17 16:00:00
1755,2023,severe,k1,SHORT,0.5833345,0,2023-04-19 08:00:00
1761,2023,severe,k1,SHORT,0.55786395,1,2023-04-20 08:00:00
1766,2023,severe,k1,SHORT,0.55786395,0,2023-04-21 04:00:00
1772,2023,severe,k1,SHORT,0.5885508,1,2023-04-24 08:00:00
1779,2023,severe,k1,SHORT,0.3386092,0,2023-04-25 12:00:00
1784,2023,severe,k1,SHORT,0.59201735,0,2023-04-26 08:00:00
1787,2023,severe,k1,SHORT,0.24382035,0,2023-04-26 20:00:00
1792,2023,severe,k1,SHORT,0.24874014,0,2023-04-27 16:00:00
1795,2023,severe,k1,SHORT,0.565351,1,2023-04-28 04:00:00
1797,2023,severe,k1,SHORT,0.45468813,1,2023-04-28 12:00:00
1800,2023,severe,k1,SHORT,0.3897297,1,2023-05-01 04:00:00
1805,2023,severe,k1,SHORT,0.34332636,0,2023-05-02 00:00:00
1814,2023,severe,k1,SHORT,0.5669073,1,2023-05-03 12:00:00
1819,2023,severe,k1,SHORT,0.3542467,0,2023-05-04 08:00:00
1826,2023,severe,k1,SHORT,0.28289148,0,2023-05-05 12:00:00
1834,2023,severe,k1,SHORT,0.47142902,1,2023-05-09 00:00:00
1842,2023,severe,k1,SHORT,0.47095045,1,2023-05-10 08:00:00
1845,2023,severe,k1,SHORT,0.2494294,0,2023-05-10 20:00:00
1849,2023,severe,k1,SHORT,0.25684077,1,2023-05-11 12:00:00
1851,2023,severe,k1,SHORT,0.25687277,0,2023-05-11 20:00:00
1863,2023,severe,k1,SHORT,0.5511478,0,2023-05-16 00:00:00
1866,2023,severe,k1,SHORT,0.3611749,0,2023-05-16 12:00:00
1872,2023,severe,k1,SHORT,0.46622896,0,2023-05-17 12:00:00
1885,2023,severe,k1,SHORT,0.5901988,1,2023-05-19 16:00:00
1888,2023,severe,k1,SHORT,0.55786395,1,2023-05-22 08:00:00
1903,2023,severe,k1,SHORT,0.27190596,0,2023-05-24 20:00:00
1908,2023,severe,k1,SHORT,0.2764881,0,2023-05-25 16:00:00
1914,2023,severe,k1,SHORT,0.35767916,0,2023-05-26 16:00:00
1920,2023,severe,k1,SHORT,0.56489986,0,2023-05-29 20:00:00
1929,2023,severe,k1,SHORT,0.59222835,1,2023-05-31 08:00:00
1936,2023,severe,k1,SHORT,0.2648901,1,2023-06-01 12:00:00
1943,2023,severe,k1,SHORT,0.24460594,0,2023-06-02 16:00:00
1953,2023,severe,k1,SHORT,0.5812512,1,2023-06-06 12:00:00
1959,2023,severe,k1,SHORT,0.5182427,1,2023-06-07 12:00:00
1970,2023,severe,k1,SHORT,0.579225,1,2023-06-09 08:00:00
1973,2023,severe,k1,SHORT,0.39159,0,2023-06-09 20:00:00
1978,2023,severe,k1,SHORT,0.28970602,0,2023-06-12 20:00:00
1983,2023,severe,k1,SHORT,0.5599342,1,2023-06-13 16:00:00
1991,2023,severe,k1,SHORT,0.28756362,1,2023-06-15 00:00:00
2002,2023,severe,k1,SHORT,0.27554116,0,2023-06-16 20:00:00
2010,2023,severe,k1,SHORT,0.5621449,1,2023-06-20 08:00:00
2012,2023,severe,k1,SHORT,0.2764881,0,2023-06-20 16:00:00
