idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision
5145,2025,k3p,SHORT,0.09009955441154982,-0.427381933025878,-0.004124147552115673,1.3634213932737063,0.043613180228248,1.1599999999998545,1695,6,2025-07-25 16:00:00
5146,2025,k3p,SHORT,0.10040759565660104,-0.427381933025878,0.004704733316288437,0.7263690008910713,-0.3207209087651262,-9.789999999999964,1695,6,2025-07-25 20:00:00
5147,2025,k3p,SHORT,-0.12706146882140312,-1.0,-0.9988979673773537,0.9589427924390821,-1.0,-10.339370525661252,1695,6,2025-07-28 04:00:00
5152,2025,k3p,SHORT,0.21395041786574737,-1.0,-0.26477885244151367,1.620055742352974,-0.0614546049497446,-1.1899999999995998,1697,4,2025-07-29 00:00:00
5153,2025,k3p,SHORT,0.053951817235491875,-1.0,-0.2015458234107141,1.9621446448405453,-0.3309681465774573,-4.929999999999836,1697,4,2025-07-29 04:00:00
5164,2025,k3p,SHORT,0.15315210843863306,-0.4210528792292973,-0.07643793999146603,1.3080490277694765,-0.4341821218851648,-20.86999999999989,1701,4,2025-07-31 00:00:00
5165,2025,k3p,SHORT,0.08840775499873185,-0.5659961199492527,-0.08658882611583786,1.2397695434896947,-0.4131763402249641,-11.650000000000093,1701,4,2025-07-31 04:00:00
5171,2025,k3p,SHORT,-0.23384619044884594,-1.0,-0.4657109512282317,1.4092625014201652,-0.3680869852158917,-4.110000000000127,1703,4,2025-08-01 04:00:00
5172,2025,k3p,SHORT,-0.4863792909232284,-1.0,-0.9988979673773537,0.6024514160258235,-1.0,-5.240419479738648,1703,4,2025-08-01 08:00:00
5185,2025,k3p,SHORT,-0.18575550130082613,-1.0,-0.9988979673773537,1.4200985692285477,-1.0,-9.2800000000002,1707,3,2025-08-05 16:00:00
5191,2025,k3p,SHORT,-0.10565546670249346,-1.0,-0.4179561684139984,0.8143905302115471,-1.0,-11.170000000000073,1709,3,2025-08-06 16:00:00
5207,2025,k3p,SHORT,0.04375924316415726,-0.6006349307252965,-0.1928432355227724,1.1108295789956848,0.2284244253635629,7.049999999999727,1717,6,2025-08-11 12:00:00
5208,2025,k3p,SHORT,0.1812567411179626,-0.5426324134730138,-0.1901987660163179,1.6464971063360478,0.0809541901557669,2.269999999999982,1717,6,2025-08-11 16:00:00
5209,2025,k3p,SHORT,0.18421794093267344,-0.4649000331593905,-0.24033542113405834,1.0758462090999303,-0.3196543823685947,-10.440000000000056,1717,6,2025-08-11 20:00:00
5210,2025,k3p,SHORT,0.018440661963980906,-0.6461748785877632,-0.29728913042230004,1.6726823872518775,-0.4881555596868208,-11.620000000000346,1717,6,2025-08-12 00:00:00
5215,2025,k3p,SHORT,-0.0013713889469217921,-1.0,-0.9988979673773537,1.3313722543462236,0.1231126596980174,1.0599999999999454,1719,3,2025-08-12 20:00:00
5227,2025,k3p,SHORT,-0.1644208354969357,-0.6671197649192316,-0.24251280244155501,0.2705836610190269,-0.4460547504025791,-11.079999999999927,1725,5,2025-08-14 20:00:00
5228,2025,k3p,SHORT,-0.16869809732821966,-0.9119759014565235,-0.3049628648296301,0.16400689199675644,-0.4554759467758499,-8.900000000000091,1725,5,2025-08-15 00:00:00
5229,2025,k3p,SHORT,-0.04823261743066223,-1.0,-0.395594666898951,0.6877563487150996,-0.7514013543874549,-8.349999999999909,1725,5,2025-08-15 04:00:00
5238,2025,k3p,SHORT,0.04004479927048141,-1.0,-0.22690135683991078,2.0404487601252788,-0.3525446557441472,-5.320000000000164,1729,4,2025-08-19 00:00:00
5239,2025,k3p,SHORT,-0.22834822639372224,-1.0,-0.9988979673773537,1.1832269259308679,-0.3050421930678638,-2.4400000000000546,1729,4,2025-08-19 04:00:00
5245,2025,k3p,SHORT,0.19234549009149196,-1.0,-0.5045379478911595,1.1898210649239795,-0.1654480838505137,-2.699999999999818,1731,3,2025-08-20 04:00:00
5253,2025,k3p,SHORT,-0.1132169750785729,-1.0,-0.9988979673773537,1.5878861421457033,-1.0,-6.869999999999891,1733,4,2025-08-21 12:00:00
5254,2025,k3p,SHORT,-0.4131205442717176,-1.0,-0.9796748872973378,1.1695138793673066,-1.0,-0.5846031614210006,1733,4,2025-08-21 16:00:00
5258,2025,k3p,SHORT,-0.114081995750511,-1.0,-0.23197249814157161,1.478200334111552,-1.0,-12.11999999999989,1735,5,2025-08-22 08:00:00
5259,2025,k3p,SHORT,-0.21447765143784855,-1.0,-0.3108166394661208,1.1784719130822527,-1.0,-11.449999999999818,1735,5,2025-08-22 12:00:00
5260,2025,k3p,SHORT,-0.15345532976193557,-1.0,-0.17989092821794306,1.2461485858724592,-1.0,-13.160306299397234,1735,5,2025-08-22 16:00:00
5265,2025,k3p,SHORT,-0.12084179523097534,-1.0,-0.9988979673773537,1.3835175822327517,-1.0,-5.369999999999891,1737,3,2025-08-25 16:00:00
5311,2025,k3p,SHORT,-0.04944880192211848,-0.8330414984387441,-0.22288229211539148,0.3700240264768669,-0.3213321332133323,-7.140000000000327,1753,3,2025-09-04 12:00:00
5332,2025,k3p,SHORT,-0.2240680425802138,-0.6983033928387691,-0.19403920063946203,1.3018842245848408,-0.7980431059537781,-18.88000000000011,1759,3,2025-09-10 04:00:00
5341,2025,k3p,SHORT,-0.16973791531299215,-0.9119759014565235,-0.4552599742407221,0.9398261097942319,-1.0,-11.2961677147091,1763,3,2025-09-11 16:00:00
5350,2025,k3p,SHORT,-0.29596903686425735,-1.0,-0.9988979673773537,0.9843136789087484,0.3174603174599737,0.1999999999998181,1767,3,2025-09-15 08:00:00
5364,2025,k3p,SHORT,-0.3450008214768652,-1.0,-0.9988979673773537,1.0117436332837635,-1.0,-8.73770180709198,1771,3,2025-09-17 16:00:00
5368,2025,k3p,SHORT,-0.027598147440610662,-0.5207839689428212,-0.2271584193423259,1.3302321553887069,-0.4236414602390036,-9.710000000000036,1773,4,2025-09-18 08:00:00
5369,2025,k3p,SHORT,0.0024964194507591173,-1.0,-0.9988979673773537,1.7068844115907937,-1.0,-4.265162556471751,1773,4,2025-09-18 12:00:00
5373,2025,k3p,SHORT,0.033414953455901536,-1.0,-0.1948082577998581,1.5961507766305036,-1.0,-16.67704140977912,1775,3,2025-09-19 04:00:00
5391,2025,k3p,SHORT,-0.34002076454499147,-1.0,-0.9988979673773537,0.4739362936820319,-1.0,-3.231011547167782,1779,3,2025-09-24 08:00:00
5395,2025,k3p,SHORT,0.14209230505433074,-0.4747318484717827,-0.14663830397589858,0.6788954724359239,-0.337997256515777,-12.320000000000164,1781,3,2025-09-25 00:00:00
5425,2025,k3p,SHORT,-0.21432810559023663,-1.0,-0.3107765469212864,1.4153965761829719,-1.0,-15.820000000000164,1791,4,2025-10-02 04:00:00
