idx,year,head,stage,direction,pred,actual,decision
2370,2023,survival,k1,SHORT,0.8185848,1,2023-09-14 12:00:00
2382,2023,survival,k1,SHORT,0.6431996,0,2023-09-18 16:00:00
2386,2023,survival,k1,SHORT,0.6175159,0,2023-09-19 08:00:00
2389,2023,survival,k1,SHORT,0.844868,1,2023-09-19 20:00:00
2396,2023,survival,k1,SHORT,0.88764447,1,2023-09-21 00:00:00
2412,2023,survival,k1,SHORT,0.8888363,1,2023-09-25 20:00:00
2436,2023,survival,k1,SHORT,0.8957627,1,2023-09-29 20:00:00
2447,2023,survival,k1,SHORT,0.5962446,1,2023-10-03 20:00:00
2453,2023,survival,k1,SHORT,0.87718856,1,2023-10-04 20:00:00
2457,2023,survival,k1,SHORT,0.88038284,1,2023-10-05 12:00:00
2463,2023,survival,k1,SHORT,0.6481873,1,2023-10-06 12:00:00
2469,2023,survival,k1,SHORT,0.8033632,1,2023-10-09 16:00:00
2474,2023,survival,k1,SHORT,0.69729,1,2023-10-10 12:00:00
2479,2023,survival,k1,SHORT,0.46803874,0,2023-10-11 08:00:00
2488,2023,survival,k1,SHORT,0.88896,1,2023-10-12 20:00:00
2495,2023,survival,k1,SHORT,0.86187625,1,2023-10-16 04:00:00
2501,2023,survival,k1,SHORT,0.762114,1,2023-10-17 04:00:00
2506,2023,survival,k1,SHORT,0.77224666,0,2023-10-18 00:00:00
2514,2023,survival,k1,SHORT,0.65349895,0,2023-10-19 08:00:00
2528,2023,survival,k1,SHORT,0.6888532,1,2023-10-23 20:00:00
2532,2023,survival,k1,SHORT,0.828263,1,2023-10-24 12:00:00
2538,2023,survival,k1,SHORT,0.48909882,0,2023-10-25 12:00:00
2545,2023,survival,k1,SHORT,0.88764447,1,2023-10-26 16:00:00
2548,2023,survival,k1,SHORT,0.46464017,0,2023-10-27 04:00:00
2551,2023,survival,k1,SHORT,0.78858036,1,2023-10-27 16:00:00
2555,2023,survival,k1,SHORT,0.85366523,1,2023-10-30 12:00:00
2563,2023,survival,k1,SHORT,0.8999285,1,2023-10-31 20:00:00
2569,2023,survival,k1,SHORT,0.7958559,1,2023-11-01 20:00:00
2574,2023,survival,k1,SHORT,0.60615677,1,2023-11-02 16:00:00
2577,2023,survival,k1,SHORT,0.5224184,0,2023-11-03 04:00:00
2586,2023,survival,k1,SHORT,0.6542466,1,2023-11-06 20:00:00
2595,2023,survival,k1,SHORT,0.6865109,1,2023-11-08 08:00:00
2607,2023,survival,k1,SHORT,0.58899236,1,2023-11-10 08:00:00
2612,2023,survival,k1,SHORT,0.66313916,1,2023-11-13 08:00:00
2618,2023,survival,k1,SHORT,0.48004535,0,2023-11-14 08:00:00
2626,2023,survival,k1,SHORT,0.6845415,1,2023-11-15 16:00:00
2639,2023,survival,k1,SHORT,0.85878664,1,2023-11-17 20:00:00
2642,2023,survival,k1,SHORT,0.63229346,1,2023-11-20 12:00:00
2648,2023,survival,k1,SHORT,0.7801875,0,2023-11-21 12:00:00
2652,2023,survival,k1,SHORT,0.68495977,0,2023-11-22 04:00:00
