idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
5671,2025,k3p,LONG,-0.1845186197327735,-1.0,-0.7048757875387821,1.2050793658421588,-1.0,-20.93000000000029,1862,7,2025-12-01 16:00:00,q50,-0.7048757875387821,-0.2740857038267423,-0.17756805490013175,0
5672,2025,k1,SHORT,0.0131622393406346,-1.0,-0.2500069449205322,1.4490589485763576,0.5655712050078189,18.06999999999971,1863,8,2025-12-01 20:00:00,q50,-0.2500069449205322,-0.2999698855817012,-0.1470111604626776,1
5673,2025,k2,SHORT,-0.23780157,-1.0,-0.7313505523628806,1.6963807209417852,1.0167630057803445,17.590000000000146,1863,8,2025-12-02 00:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5674,2025,k3p,SHORT,-0.1802707542760207,-1.0,-0.27197460224746,0.9785877709790992,0.1972222222222337,4.970000000000255,1863,8,2025-12-02 04:00:00,q50,-0.27197460224746,-0.2177506421320177,-0.1441166082294997,0
5675,2025,k3p,SHORT,-0.2654059725678274,-1.0,-0.9988979673773536,0.8564076957648408,0.8434306140311236,10.470000000000256,1863,8,2025-12-02 08:00:00,q50,-0.9988979673773536,-0.2177506421320177,-0.1441166082294997,0
5676,2025,k3p,SHORT,0.0291136331602275,-1.0,-0.2435657595123398,0.4283569150229581,-1.0,-37.54804391157086,1863,8,2025-12-02 12:00:00,q50,-0.2435657595123398,-0.2177506421320177,-0.1441166082294997,0
5677,2025,k3p,SHORT,0.0331207344389481,-1.0,-0.9988979673773536,1.5278129544580537,-1.0,-13.840000000000146,1863,8,2025-12-02 16:00:00,q50,-0.9988979673773536,-0.2177506421320177,-0.1441166082294997,0
5678,2025,k3p,SHORT,-0.0079753103853462,-1.0,-0.125622588580604,1.3826146099567376,-1.0,-21.92701097789268,1863,8,2025-12-02 20:00:00,q50,-0.125622588580604,-0.2177506421320177,-0.1441166082294997,3
5679,2025,k3p,SHORT,-0.0323606676828586,-1.0,-0.2362724053976767,1.0875105313071731,-0.26995515695069,-6.020000000000437,1863,8,2025-12-03 00:00:00,q50,-0.2362724053976767,-0.2177506421320177,-0.1441166082294997,0
5680,2025,k1,LONG,-0.059385892,-1.0,-0.2535549336656095,0.7445658811627262,-0.3941629249518874,-12.289999999999964,1864,2,2025-12-03 04:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
