idx,year,head,stage,direction,pred,actual,decision
2254,2023,severe,k1,LONG,0.41934696,1,2023-08-17 12:00:00
2258,2023,severe,k1,LONG,0.46314234,0,2023-08-18 04:00:00
2263,2023,severe,k1,LONG,0.5577452,1,2023-08-21 04:00:00
2266,2023,severe,k1,LONG,0.3179055,1,2023-08-21 16:00:00
2274,2023,severe,k1,LONG,0.3099878,0,2023-08-23 00:00:00
2286,2023,severe,k1,LONG,0.41537344,0,2023-08-25 00:00:00
2290,2023,severe,k1,LONG,0.4435235,1,2023-08-25 16:00:00
2292,2023,severe,k1,LONG,0.4167836,0,2023-08-28 04:00:00
2295,2023,severe,k1,LONG,0.5220975,1,2023-08-28 16:00:00
2302,2023,severe,k1,LONG,0.25183862,0,2023-08-29 20:00:00
2307,2023,severe,k1,LONG,0.35283777,0,2023-08-30 16:00:00
2310,2023,severe,k1,LONG,0.5462378,0,2023-08-31 04:00:00
2313,2023,severe,k1,LONG,0.6138316,1,2023-08-31 16:00:00
2317,2023,severe,k1,LONG,0.5903041,1,2023-09-01 08:00:00
2321,2023,severe,k1,LONG,0.60757184,0,2023-09-04 04:00:00
2334,2023,severe,k1,LONG,0.6420894,1,2023-09-06 08:00:00
2340,2023,severe,k1,LONG,0.5577452,1,2023-09-07 08:00:00
2345,2023,severe,k1,LONG,0.44155067,1,2023-09-08 04:00:00
2351,2023,severe,k1,LONG,0.42053193,0,2023-09-11 08:00:00
2361,2023,severe,k1,LONG,0.38862532,0,2023-09-13 00:00:00
2368,2023,severe,k1,LONG,0.4461287,1,2023-09-14 04:00:00
2372,2023,severe,k1,LONG,0.31537068,0,2023-09-14 20:00:00
2383,2023,severe,k1,LONG,0.25742245,0,2023-09-18 20:00:00
2387,2023,severe,k1,LONG,0.5972731,1,2023-09-19 12:00:00
2394,2023,severe,k1,LONG,0.5315383,0,2023-09-20 16:00:00
2402,2023,severe,k1,LONG,0.3635953,0,2023-09-22 00:00:00
2411,2023,severe,k1,LONG,0.48594838,1,2023-09-25 16:00:00
2434,2023,severe,k1,LONG,0.29112336,1,2023-09-29 12:00:00
2445,2023,severe,k1,LONG,0.41993347,0,2023-10-03 12:00:00
2452,2023,severe,k1,LONG,0.35331455,1,2023-10-04 16:00:00
2455,2023,severe,k1,LONG,0.3666852,1,2023-10-05 04:00:00
2460,2023,severe,k1,LONG,0.37549186,0,2023-10-06 00:00:00
2465,2023,severe,k1,LONG,0.35707873,0,2023-10-06 20:00:00
2471,2023,severe,k1,LONG,0.35283777,0,2023-10-10 00:00:00
2476,2023,severe,k1,LONG,0.31675693,0,2023-10-10 20:00:00
2480,2023,severe,k1,LONG,0.40742856,0,2023-10-11 12:00:00
2491,2023,severe,k1,LONG,0.43985155,0,2023-10-13 08:00:00
2498,2023,severe,k1,LONG,0.29118755,0,2023-10-16 16:00:00
2503,2023,severe,k1,LONG,0.43698832,0,2023-10-17 12:00:00
2507,2023,severe,k1,LONG,0.43698832,0,2023-10-18 04:00:00
2515,2023,severe,k1,LONG,0.5847333,0,2023-10-19 12:00:00
2526,2023,severe,k1,LONG,0.42373443,0,2023-10-23 12:00:00
2531,2023,severe,k1,LONG,0.4305166,1,2023-10-24 08:00:00
2534,2023,severe,k1,LONG,0.31390497,0,2023-10-24 20:00:00
2539,2023,severe,k1,LONG,0.42908892,1,2023-10-25 16:00:00
2547,2023,severe,k1,LONG,0.2402029,0,2023-10-27 00:00:00
2549,2023,severe,k1,LONG,0.35105088,1,2023-10-27 08:00:00
2561,2023,severe,k1,LONG,0.43698832,1,2023-10-31 12:00:00
2567,2023,severe,k1,LONG,0.44971192,1,2023-11-01 12:00:00
2571,2023,severe,k1,LONG,0.36210397,0,2023-11-02 04:00:00
2576,2023,severe,k1,LONG,0.27715406,0,2023-11-03 00:00:00
2578,2023,severe,k1,LONG,0.5008262,0,2023-11-03 08:00:00
2585,2023,severe,k1,LONG,0.6153481,1,2023-11-06 16:00:00
2593,2023,severe,k1,LONG,0.37549186,0,2023-11-08 00:00:00
2603,2023,severe,k1,LONG,0.42428327,0,2023-11-09 16:00:00
2611,2023,severe,k1,LONG,0.29662627,0,2023-11-13 04:00:00
2615,2023,severe,k1,LONG,0.25506082,0,2023-11-13 20:00:00
2619,2023,severe,k1,LONG,0.58225083,0,2023-11-14 12:00:00
2630,2023,severe,k1,LONG,0.59260625,0,2023-11-16 08:00:00
2641,2023,severe,k1,LONG,0.26283565,0,2023-11-20 08:00:00
2645,2023,severe,k1,LONG,0.29130447,0,2023-11-21 00:00:00
2649,2023,severe,k1,LONG,0.25909412,0,2023-11-21 16:00:00
2653,2023,severe,k1,LONG,0.5715473,0,2023-11-22 08:00:00
2658,2023,severe,k1,LONG,0.37115842,0,2023-11-23 04:00:00
2664,2023,severe,k1,LONG,0.60642236,1,2023-11-24 04:00:00
2674,2023,severe,k1,LONG,0.36239445,0,2023-11-28 00:00:00
2678,2023,severe,k1,LONG,0.25909412,0,2023-11-28 16:00:00
2685,2023,severe,k1,LONG,0.32105324,0,2023-11-29 20:00:00
2693,2023,severe,k1,LONG,0.43698832,0,2023-12-01 04:00:00
2697,2023,severe,k1,LONG,0.32567754,0,2023-12-01 20:00:00
2704,2023,severe,k1,LONG,0.29308555,0,2023-12-05 04:00:00
2710,2023,severe,k1,LONG,0.59151864,0,2023-12-06 04:00:00
2717,2023,severe,k1,LONG,0.6192661,1,2023-12-07 08:00:00
