label,phase,year,train_score_quantile,threshold,test_n,selected_n,coverage,actual_retention,test_base,lift_vs_base,mean_pred,horizon_min
accept_retain_extreme_60,0,2025,0.75,0.19906437820681994,236,55,0.2330508474576271,0.38181818181818183,0.2245762711864407,1.7001715265866209,0.26482933533130815,60
accept_retain_extreme_60,0,2025,0.9,0.2554942490160555,236,19,0.08050847457627118,0.42105263157894735,0.2245762711864407,1.8748758689175768,0.34912922170490857,60
accept_retain_extreme_60,0,2026,0.5,0.18726597063394773,153,74,0.48366013071895425,0.3783783783783784,0.2222222222222222,1.7027027027027029,0.27474788123019694,60
accept_retain_extreme_60,0,2026,0.75,0.2495141731713142,153,41,0.2679738562091503,0.2926829268292683,0.2222222222222222,1.3170731707317074,0.32064412650012103,60
accept_retain_extreme_60,0,2026,0.9,0.3151761274402182,153,17,0.1111111111111111,0.29411764705882354,0.2222222222222222,1.323529411764706,0.38303762047839557,60
accept_retain_extreme_60,2,2025,0.5,0.16536088084393874,235,122,0.5191489361702127,0.3442622950819672,0.2127659574468085,1.6180327868852458,0.2263256150921149,60
accept_retain_extreme_60,2,2025,0.75,0.21521740235312625,235,63,0.2680851063829787,0.36507936507936506,0.2127659574468085,1.7158730158730158,0.2606461155144299,60
accept_retain_extreme_60,2,2025,0.9,0.26628121337784094,235,21,0.08936170212765958,0.3333333333333333,0.2127659574468085,1.5666666666666667,0.3178607482858383,60
accept_retain_extreme_60,2,2026,0.5,0.189384583544203,144,74,0.5138888888888888,0.32432432432432434,0.2152777777777778,1.5065387968613775,0.26911729536263407,60
accept_retain_extreme_60,2,2026,0.75,0.24745949049490534,144,41,0.2847222222222222,0.2926829268292683,0.2152777777777778,1.3595594020456332,0.30990736244912154,60
accept_retain_extreme_60,2,2026,0.9,0.3051440016779906,144,17,0.11805555555555555,0.35294117647058826,0.2152777777777778,1.6394686907020872,0.37451646826817675,60
