label,phase,model,year,n,base,auc,brier
accept_retain_extreme_30,0,micro3,2026,153,0.27450980392156865,0.7123552123552124,0.18431603994188797
accept_retain_extreme_30,0,path7,2025,236,0.2838983050847458,0.667755895080809,0.19301688391114644
accept_retain_extreme_30,0,path7,2026,153,0.27450980392156865,0.7282282282282283,0.17716069279278954
accept_retain_extreme_30,0,geom,2025,236,0.2838983050847458,0.5890665018104743,0.20769040038332903
accept_retain_extreme_30,0,geom,2026,153,0.27450980392156865,0.5664950664950665,0.1978298794424765
reveal_retain_origin_60,0,reveal_path,2025,361,0.44321329639889195,0.5179259950248757,0.25712540387056226
reveal_retain_origin_60,0,reveal_path,2026,211,0.45023696682464454,0.5190562613430127,0.25060206412987474
reveal_retain_origin_60,0,reveal_micro,2025,361,0.44321329639889195,0.5191231343283582,0.25631813139770365
reveal_retain_origin_60,0,reveal_micro,2026,211,0.45023696682464454,0.5215970961887477,0.24862972694730678
reveal_retain_origin_60,0,reveal_geom,2025,361,0.44321329639889195,0.4946206467661691,0.25508380804244163
reveal_retain_origin_60,0,reveal_geom,2026,211,0.45023696682464454,0.5058983666061706,0.24983560643321556
accept_retain_origin_60,0,micro3,2025,236,0.4576271186440678,0.4559461805555555,0.25715409909183023
accept_retain_origin_60,0,micro3,2026,153,0.46405228758169936,0.5235314324974236,0.25068697517210253
accept_retain_origin_60,0,path7,2025,236,0.4576271186440678,0.48097511574074076,0.2603650214813712
accept_retain_origin_60,0,path7,2026,153,0.46405228758169936,0.5144280316042598,0.2522406633563333
accept_retain_origin_60,0,geom,2025,236,0.4576271186440678,0.5258246527777778,0.25411306904545533
accept_retain_origin_60,0,geom,2026,153,0.46405228758169936,0.5307454482995533,0.2511459899152224
accept_retain_extreme_60,0,micro3,2025,236,0.2245762711864407,0.7256418187442004,0.16680925209005465
accept_retain_extreme_60,0,micro3,2026,153,0.2222222222222222,0.71280276816609,0.16258661134292116
accept_retain_extreme_60,0,path7,2025,236,0.2245762711864407,0.6449118465821218,0.1688034742211806
accept_retain_extreme_60,0,path7,2026,153,0.2222222222222222,0.7432031636183885,0.15346466901317568
accept_retain_extreme_60,0,geom,2025,236,0.2245762711864407,0.5906794514898444,0.1779090519707963
accept_retain_extreme_60,0,geom,2026,153,0.2222222222222222,0.5867523479980228,0.17170321540646033
reveal_retain_origin_15,2,reveal_path,2025,370,0.6648648648648648,0.5417977970102282,0.223533236130282
reveal_retain_origin_15,2,reveal_path,2026,200,0.685,0.5755416521839879,0.21414165286780032
reveal_retain_origin_15,2,reveal_micro,2025,370,0.6648648648648648,0.5542387883556255,0.2215093768347083
reveal_retain_origin_15,2,reveal_micro,2026,200,0.685,0.5680685899664002,0.2149027852126549
reveal_retain_origin_15,2,reveal_geom,2025,370,0.6648648648648648,0.5240624180435354,0.22406294125351883
reveal_retain_origin_15,2,reveal_geom,2026,200,0.685,0.46877534468775345,0.21703443835825845
accept_retain_origin_15,2,micro3,2025,235,0.7148936170212766,0.5191897654584222,0.20670121167019895
accept_retain_origin_15,2,micro3,2026,144,0.6597222222222222,0.5340494092373791,0.22481813583815077
accept_retain_origin_15,2,path7,2025,235,0.7148936170212766,0.47379175550817343,0.21284850847224446
accept_retain_origin_15,2,path7,2026,144,0.6597222222222222,0.5664876476906552,0.22405353180855744
accept_retain_origin_15,2,geom,2025,235,0.7148936170212766,0.5731165600568585,0.20534016803101526
accept_retain_origin_15,2,geom,2026,144,0.6597222222222222,0.5327604726100967,0.22826061756022437
accept_retain_extreme_15,2,micro3,2025,235,0.3659574468085106,0.75401904167317,0.20108581188476782
accept_retain_extreme_15,2,micro3,2026,144,0.3472222222222222,0.7270212765957447,0.19977143451244636
accept_retain_extreme_15,2,path7,2025,235,0.3659574468085106,0.7611986889339785,0.19570583758048146
accept_retain_extreme_15,2,path7,2026,144,0.3472222222222222,0.7431914893617021,0.19585191419520184
accept_retain_extreme_15,2,geom,2025,235,0.3659574468085106,0.6382862494147027,0.23153223471634776
accept_retain_extreme_15,2,geom,2026,144,0.3472222222222222,0.5797872340425532,0.22264195675025253
reveal_retain_origin_30,2,reveal_path,2025,370,0.5486486486486486,0.5142031208518922,0.2612576993882271
reveal_retain_origin_30,2,reveal_path,2026,200,0.555,0.548689138576779,0.24827119931882802
reveal_retain_origin_30,2,reveal_micro,2025,370,0.5486486486486486,0.5411344798088552,0.2513196695809603
reveal_retain_origin_30,2,reveal_micro,2026,200,0.555,0.5317339811721834,0.2485710969782588
reveal_retain_origin_30,2,reveal_geom,2025,370,0.5486486486486486,0.4998672605527861,0.25320161644698314
reveal_retain_origin_30,2,reveal_geom,2026,200,0.555,0.4448830853325236,0.2502313682797048
accept_retain_origin_30,2,micro3,2025,235,0.5617021276595745,0.49374816122388937,0.2512342485449065
accept_retain_origin_30,2,micro3,2026,144,0.5347222222222222,0.5388641209536732,0.24716139958764552
accept_retain_origin_30,2,path7,2025,235,0.5617021276595745,0.47719917622830244,0.25718192149072516
accept_retain_origin_30,2,path7,2026,144,0.5347222222222222,0.5853847644892421,0.24523606770584858
accept_retain_origin_30,2,geom,2025,235,0.5617021276595745,0.5062518387761107,0.2558865910347763
accept_retain_origin_30,2,geom,2026,144,0.5347222222222222,0.5200620275247141,0.2488636882802902
accept_retain_extreme_30,2,micro3,2025,235,0.2765957446808511,0.7252488687782805,0.1863433570025728
accept_retain_extreme_30,2,micro3,2026,144,0.2777777777777778,0.6932692307692307,0.18861858271674337
accept_retain_extreme_30,2,path7,2025,235,0.2765957446808511,0.6980090497737558,0.18527265413634011
accept_retain_extreme_30,2,path7,2026,144,0.2777777777777778,0.6975961538461538,0.1851149858990332
accept_retain_extreme_30,2,geom,2025,235,0.2765957446808511,0.583529411764706,0.20122121483210645
accept_retain_extreme_30,2,geom,2026,144,0.2777777777777778,0.5685096153846154,0.19974788344999933
reveal_retain_origin_60,2,reveal_path,2025,370,0.4243243243243243,0.5224126072784905,0.24820439741386052
reveal_retain_origin_60,2,reveal_path,2026,200,0.44,0.5417512175324676,0.2473710903244806
reveal_retain_origin_60,2,reveal_micro,2025,370,0.4243243243243243,0.5316527615800962,0.24528284864381567
reveal_retain_origin_60,2,reveal_micro,2026,200,0.44,0.5379971590909092,0.2463308913960026
reveal_retain_origin_60,2,reveal_geom,2025,370,0.4243243243243243,0.4896384677491702,0.2464339987765209
reveal_retain_origin_60,2,reveal_geom,2026,200,0.44,0.4601258116883116,0.2484327763627625
accept_retain_origin_60,2,micro3,2025,235,0.4425531914893617,0.45904286553141516,0.252504833375721
accept_retain_origin_60,2,micro3,2026,144,0.4236111111111111,0.49081572190400946,0.2444717686525651
accept_retain_origin_60,2,path7,2025,235,0.4425531914893617,0.44920728126834997,0.26389409107775186
accept_retain_origin_60,2,path7,2026,144,0.4236111111111111,0.5593521627493581,0.24331298649107014
accept_retain_origin_60,2,geom,2025,235,0.4425531914893617,0.47438344098649443,0.25190064461500694
accept_retain_origin_60,2,geom,2026,144,0.4236111111111111,0.49318585818684574,0.24498665600040553
accept_retain_extreme_60,2,micro3,2025,235,0.2127659574468085,0.7210810810810812,0.15805992363819882
accept_retain_extreme_60,2,micro3,2026,144,0.2152777777777778,0.6839851555809306,0.1604338161723289
accept_retain_extreme_60,2,path7,2025,235,0.2127659574468085,0.6554594594594594,0.16134225863996066
accept_retain_extreme_60,2,path7,2026,144,0.2152777777777778,0.7022552098201541,0.15759654944214127
accept_retain_extreme_60,2,geom,2025,235,0.2127659574468085,0.6034594594594593,0.16794997192257488
accept_retain_extreme_60,2,geom,2026,144,0.2152777777777778,0.5737938909506137,0.16784866215832744
