pb,phase,year,feature,n,base,raw_auc,abs_auc,sign
0.4,2,2025,t_reveal_retest,181,0.49171270718232046,0.47636785539814364,0.5236321446018564,-
0.4,2,2025,t_retest_accept,181,0.49171270718232046,0.5478138739618954,0.5478138739618954,+
0.4,2,2025,accept_eff,181,0.49171270718232046,0.5361504640937959,0.5361504640937959,+
0.4,2,2025,accept_flip,181,0.49171270718232046,0.5145334636052761,0.5145334636052761,+
0.4,2,2025,prog1,181,0.49171270718232046,0.677943331704934,0.677943331704934,+
0.4,2,2025,prog3,181,0.49171270718232046,0.5657059110893992,0.5657059110893992,+
0.4,2,2025,prog5,181,0.49171270718232046,0.5605764533463605,0.5605764533463605,+
0.4,2,2025,retest_accept_eff,181,0.49171270718232046,0.4861993160723009,0.5138006839276992,-
0.4,2,2025,run_accept,181,0.49171270718232046,0.5490962383976552,0.5490962383976552,+
0.4,2,2025,atr1_s,181,0.49171270718232046,0.5280898876404494,0.5280898876404494,+
0.4,2,2025,tv5_60,181,0.49171270718232046,0.5212506106497313,0.5212506106497313,+
0.4,2,2026,t_reveal_retest,104,0.4230769230769231,0.47897727272727275,0.5210227272727272,-
0.4,2,2026,t_retest_accept,104,0.4230769230769231,0.6043560606060607,0.6043560606060607,+
0.4,2,2026,accept_eff,104,0.4230769230769231,0.45492424242424245,0.5450757575757575,-
0.4,2,2026,accept_flip,104,0.4230769230769231,0.53125,0.53125,+
0.4,2,2026,prog1,104,0.4230769230769231,0.6151515151515152,0.6151515151515152,+
0.4,2,2026,prog3,104,0.4230769230769231,0.6424242424242426,0.6424242424242426,+
0.4,2,2026,prog5,104,0.4230769230769231,0.534469696969697,0.534469696969697,+
0.4,2,2026,retest_accept_eff,104,0.4230769230769231,0.4545454545454546,0.5454545454545454,-
0.4,2,2026,run_accept,104,0.4230769230769231,0.5791666666666666,0.5791666666666666,+
0.4,2,2026,atr1_s,104,0.4230769230769231,0.5242424242424243,0.5242424242424243,+
0.4,2,2026,tv5_60,104,0.4230769230769231,0.5484848484848485,0.5484848484848485,+
0.5,0,2024,t_reveal_retest,159,0.4591194968553459,0.42752468939152594,0.5724753106084741,-
0.5,0,2024,t_retest_accept,159,0.4591194968553459,0.4864606562599554,0.5135393437400446,-
0.5,0,2024,accept_eff,159,0.4591194968553459,0.606562599553998,0.606562599553998,+
0.5,0,2024,accept_flip,159,0.4591194968553459,0.4858235106721886,0.5141764893278113,-
0.5,0,2024,prog1,159,0.4591194968553459,0.5766167569289583,0.5766167569289583,+
0.5,0,2024,prog3,159,0.4591194968553459,0.585855367951577,0.585855367951577,+
0.5,0,2024,prog5,159,0.4591194968553459,0.5742274609748328,0.5742274609748328,+
0.5,0,2024,retest_accept_eff,159,0.4591194968553459,0.5262822554953807,0.5262822554953807,+
0.5,0,2024,run_accept,159,0.4591194968553459,0.497292131251991,0.502707868748009,-
0.5,0,2024,atr1_s,159,0.4591194968553459,0.46400127429117555,0.5359987257088245,-
0.5,0,2024,tv5_60,159,0.4591194968553459,0.48359350111500476,0.5164064988849952,-
0.5,0,2025,t_reveal_retest,138,0.5217391304347826,0.36637205387205385,0.6336279461279462,-
0.5,0,2025,t_retest_accept,138,0.5217391304347826,0.49463383838383834,0.5053661616161617,-
0.5,0,2025,accept_eff,138,0.5217391304347826,0.6367845117845117,0.6367845117845117,+
0.5,0,2025,accept_flip,138,0.5217391304347826,0.4834806397306397,0.5165193602693603,-
0.5,0,2025,prog1,138,0.5217391304347826,0.6256313131313131,0.6256313131313131,+
0.5,0,2025,prog3,138,0.5217391304347826,0.5473484848484849,0.5473484848484849,+
0.5,0,2025,prog5,138,0.5217391304347826,0.5892255892255893,0.5892255892255893,+
0.5,0,2025,retest_accept_eff,138,0.5217391304347826,0.5490319865319866,0.5490319865319866,+
0.5,0,2025,run_accept,138,0.5217391304347826,0.5111531986531986,0.5111531986531986,+
0.5,0,2025,atr1_s,138,0.5217391304347826,0.5601851851851851,0.5601851851851851,+
0.5,0,2025,tv5_60,138,0.5217391304347826,0.6121632996632996,0.6121632996632996,+
0.5,0,2026,t_reveal_retest,95,0.5157894736842106,0.4520851818988465,0.5479148181011535,-
0.5,0,2026,t_retest_accept,95,0.5157894736842106,0.5164152617568767,0.5164152617568767,+
0.5,0,2026,accept_eff,95,0.5157894736842106,0.5532386867790595,0.5532386867790595,+
0.5,0,2026,accept_flip,95,0.5157894736842106,0.5337178349600711,0.5337178349600711,+
