label,phase,model,year,n,base,auc
sust_0.25_15,0,path7,2026,92,0.358695652173913,0.4694401643554186
sust_0.25_15,2,prog1,2025,160,0.4,0.5525716145833334
sust_0.25_15,2,prog1,2026,93,0.3548387096774194,0.4813131313131313
sust_0.25_15,2,micro3,2025,160,0.4,0.5537109375
sust_0.25_15,2,micro3,2026,93,0.3548387096774194,0.48434343434343435
sust_0.25_15,2,path7,2025,160,0.4,0.4659830729166667
sust_0.25_15,2,path7,2026,93,0.3548387096774194,0.5267676767676768
sust_0.1_30,0,prog1,2025,236,0.3177966101694915,0.5156107660455487
sust_0.1_30,0,prog1,2026,153,0.2679738562091503,0.5113240418118468
sust_0.1_30,0,micro3,2025,236,0.3177966101694915,0.5092339544513458
sust_0.1_30,0,micro3,2026,153,0.2679738562091503,0.5256968641114982
sust_0.1_30,0,path7,2025,236,0.3177966101694915,0.5551138716356108
sust_0.1_30,0,path7,2026,153,0.2679738562091503,0.501088850174216
sust_0.1_30,2,prog1,2025,235,0.30638297872340425,0.4937798227675528
sust_0.1_30,2,prog1,2026,144,0.2708333333333333,0.49645909645909647
sust_0.1_30,2,micro3,2025,235,0.30638297872340425,0.5051124744376279
sust_0.1_30,2,micro3,2026,144,0.2708333333333333,0.5235653235653236
sust_0.1_30,2,path7,2025,235,0.30638297872340425,0.5543626448534424
sust_0.1_30,2,path7,2026,144,0.2708333333333333,0.5406593406593406
sust_0.15_30,0,prog1,2025,233,0.33905579399141633,0.5341936544468191
sust_0.15_30,0,prog1,2026,149,0.26174496644295303,0.5027972027972027
sust_0.15_30,0,micro3,2025,233,0.33905579399141633,0.505835936215683
sust_0.15_30,0,micro3,2026,149,0.26174496644295303,0.5151515151515151
sust_0.15_30,0,path7,2025,233,0.33905579399141633,0.529590662502055
sust_0.15_30,0,path7,2026,149,0.26174496644295303,0.5631701631701632
sust_0.15_30,2,prog1,2025,232,0.33189655172413796,0.5198156682027649
sust_0.15_30,2,prog1,2026,143,0.25874125874125875,0.4742478327383988
sust_0.15_30,2,micro3,2025,232,0.33189655172413796,0.5220779220779221
sust_0.15_30,2,micro3,2026,143,0.25874125874125875,0.4951555328913819
sust_0.15_30,2,path7,2025,232,0.33189655172413796,0.5039798910766653
sust_0.15_30,2,path7,2026,143,0.25874125874125875,0.565017848036716
sust_0.25_30,0,prog1,2025,201,0.373134328358209,0.482010582010582
sust_0.25_30,0,prog1,2026,125,0.336,0.47360872059667236
sust_0.25_30,0,micro3,2025,201,0.373134328358209,0.5637037037037038
sust_0.25_30,0,micro3,2026,125,0.336,0.519219736087206
sust_0.25_30,0,path7,2025,201,0.373134328358209,0.5334391534391535
sust_0.25_30,0,path7,2026,125,0.336,0.533849684452094
sust_0.25_30,2,prog1,2025,202,0.36633663366336633,0.48923141891891897
sust_0.25_30,2,prog1,2026,122,0.319672131147541,0.5118937287611987
sust_0.25_30,2,micro3,2025,202,0.36633663366336633,0.5202702702702703
sust_0.25_30,2,micro3,2026,122,0.319672131147541,0.5384615384615385
sust_0.25_30,2,path7,2025,202,0.36633663366336633,0.5078125
sust_0.25_30,2,path7,2026,122,0.319672131147541,0.5350633302440531
sust_0.1_60,0,prog1,2025,236,0.2923728813559322,0.5107176950446932
sust_0.1_60,0,prog1,2026,153,0.27450980392156865,0.4371514371514371
sust_0.1_60,0,micro3,2025,236,0.2923728813559322,0.47695912522780526
sust_0.1_60,0,micro3,2026,153,0.27450980392156865,0.47361647361647363
sust_0.1_60,0,path7,2025,236,0.2923728813559322,0.46047036362058497
sust_0.1_60,0,path7,2026,153,0.27450980392156865,0.4577434577434577
sust_0.1_60,2,prog1,2025,235,0.2978723404255319,0.4961904761904762
sust_0.1_60,2,prog1,2026,144,0.2708333333333333,0.44493284493284496
sust_0.1_60,2,micro3,2025,235,0.2978723404255319,0.47584415584415585
sust_0.1_60,2,micro3,2026,144,0.2708333333333333,0.4754578754578755
sust_0.1_60,2,path7,2025,235,0.2978723404255319,0.47359307359307357
sust_0.1_60,2,path7,2026,144,0.2708333333333333,0.49645909645909647
sust_0.15_60,0,prog1,2025,235,0.2978723404255319,0.49991341991341987
sust_0.15_60,0,prog1,2026,151,0.271523178807947,0.5567627494456763
sust_0.15_60,0,micro3,2025,235,0.2978723404255319,0.544069264069264
sust_0.15_60,0,micro3,2026,151,0.271523178807947,0.5629711751662971
sust_0.15_60,0,path7,2025,235,0.2978723404255319,0.43567099567099565
sust_0.15_60,0,path7,2026,151,0.271523178807947,0.4873614190687361
sust_0.15_60,2,prog1,2025,234,0.31196581196581197,0.5274398026035905
sust_0.15_60,2,prog1,2026,144,0.2569444444444444,0.5375094720889113
sust_0.15_60,2,micro3,2025,234,0.31196581196581197,0.49102356845060835
sust_0.15_60,2,micro3,2026,144,0.2569444444444444,0.5695882798686538
sust_0.15_60,2,path7,2025,234,0.31196581196581197,0.4880456053773504
sust_0.15_60,2,path7,2026,144,0.2569444444444444,0.5511492801212428
sust_0.25_60,0,prog1,2025,232,0.33189655172413796,0.5058232090490155
sust_0.25_60,0,prog1,2026,145,0.3448275862068966,0.43115789473684213
sust_0.25_60,0,micro3,2025,232,0.33189655172413796,0.5415165479681608
sust_0.25_60,0,micro3,2026,145,0.3448275862068966,0.46147368421052637
sust_0.25_60,0,path7,2025,232,0.33189655172413796,0.4963552576455803
sust_0.25_60,0,path7,2026,145,0.3448275862068966,0.39263157894736844
sust_0.25_60,2,prog1,2025,233,0.34334763948497854,0.4793300653594772
sust_0.25_60,2,prog1,2026,139,0.302158273381295,0.4317623956799215
sust_0.25_60,2,micro3,2025,233,0.34334763948497854,0.5161764705882353
sust_0.25_60,2,micro3,2026,139,0.302158273381295,0.48797250859106533
sust_0.25_60,2,path7,2025,233,0.34334763948497854,0.4870098039215687
sust_0.25_60,2,path7,2026,139,0.302158273381295,0.47005400098183603
