H,year,side,train_pct,threshold,n,coverage,precision
30,2026,NO_MOVE,50.0,0.0104432418427106,1,0.0001069289991445,1.0
30,2026,NO_MOVE,25.0,0.0034286722134034,0,0.0,
30,2026,NO_MOVE,10.0,0.00123546780497,0,0.0,
30,2026,NO_MOVE,5.0,0.0006302498329862,0,0.0,
30,2026,NO_MOVE,2.5,0.0003278617099177,0,0.0,
30,2026,NO_MOVE,1.0,0.000131176394193,0,0.0,
60,2024,MOVE,50.0,0.0174994418941004,10371,0.7255491814747447,0.1113682383569569
60,2024,MOVE,25.0,0.0429934782414907,6669,0.4665593955505807,0.1533963112910481
60,2024,MOVE,10.0,0.103809884329301,3096,0.2165943752623478,0.2554909560723514
60,2024,MOVE,5.0,0.1700113670749556,1872,0.1309640408563033,0.3242521367521367
60,2024,MOVE,2.5,0.2704332842816237,1021,0.0714285714285714,0.4084231145935357
60,2024,MOVE,1.0,0.4329810591050269,459,0.0321113754022666,0.4836601307189542
60,2024,NO_MOVE,50.0,0.0174994418941004,3923,0.2744508185252553,0.987254652052001
60,2024,NO_MOVE,25.0,0.0065671037702247,1717,0.120120330208479,0.9935934769947584
60,2024,NO_MOVE,10.0,0.0021439964843114,599,0.0419056946970756,0.996661101836394
60,2024,NO_MOVE,5.0,0.0009961573482453,310,0.0216874212956485,1.0
60,2024,NO_MOVE,2.5,0.0004079956903369,144,0.0100741569889464,1.0
60,2024,NO_MOVE,1.0,0.0001525855144236,41,0.0028683363649083,1.0
60,2025,MOVE,50.0,0.0243717577458828,13084,0.9373835793093568,0.3278049526138795
60,2025,MOVE,25.0,0.0588678871763185,10987,0.7871471557529732,0.3801765723127332
60,2025,MOVE,10.0,0.1409133340615408,8155,0.5842527582748245,0.4749233599019006
60,2025,MOVE,5.0,0.2324932603083876,6468,0.4633901705115346,0.5437538651824366
60,2025,MOVE,2.5,0.3439902729923625,5142,0.368390886946554,0.6056009334889149
60,2025,MOVE,1.0,0.510836084741283,3770,0.270096002292592,0.6816976127320955
60,2025,NO_MOVE,50.0,0.0243717577458828,874,0.0626164206906433,0.9759725400457666
60,2025,NO_MOVE,25.0,0.0098685906071505,176,0.0126092563404499,0.9829545454545454
60,2025,NO_MOVE,10.0,0.0038921083469127,22,0.0015761570425562,1.0
60,2025,NO_MOVE,5.0,0.0020030395413892,6,0.0004298610116062,1.0
60,2025,NO_MOVE,2.5,0.0009942740882655,3,0.0002149305058031,1.0
60,2025,NO_MOVE,1.0,0.0004308235689314,1,7.164350193437455e-05,1.0
60,2026,MOVE,50.0,0.0388002540786946,9352,1.0,0.6999572284003421
60,2026,MOVE,25.0,0.1237156675732376,9279,0.9921941830624466,0.7048173294536049
60,2026,MOVE,10.0,0.360184317946769,8116,0.867835757057314,0.75418925579103
60,2026,MOVE,5.0,0.5837805749232495,6313,0.6750427715996579,0.8227467131316332
60,2026,MOVE,2.5,0.7627002222940952,4404,0.4709153122326775,0.8937329700272479
60,2026,MOVE,1.0,0.8968128067659856,2728,0.2917023096663815,0.9486803519061584
60,2026,NO_MOVE,50.0,0.0388002540786946,0,0.0,
60,2026,NO_MOVE,25.0,0.0138948803515759,0,0.0,
60,2026,NO_MOVE,10.0,0.0052231810916549,0,0.0,
60,2026,NO_MOVE,5.0,0.0027140796395867,0,0.0,
60,2026,NO_MOVE,2.5,0.0014199672022343,0,0.0,
60,2026,NO_MOVE,1.0,0.0005985966043423,0,0.0,
