universe,policy,sl_arm,block,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,position_mode
SAME_NEAREST,FLIP_EXIT,H1_STRUCT,2026JF,20.0,14.0,1.0,13.0,0.07142857142857142,-10.380705377106125,-0.7414789555075804,0.014550853531954105,10.533983832967609,0.1532784558614842,0.1532784558614842,-0.8103064486898162,0.18916109591540337,0.0,6.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_10,COMBINED_2024_2025H1_2026JF,452.0,442.0,124.0,318.0,0.28054298642533937,374.19099999999963,0.8465859728506779,2.2230822282727702,35.12000000000003,5.484935483870965,2.6409999999999854,-0.9620786163522014,5.701130230570491,7.0,3.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_15,COMBINED_2024_2025H1_2026JF,452.0,441.0,150.0,291.0,0.3401360544217687,276.415333333333,0.6267921390778527,2.0564558458567097,32.75333333333336,3.587062222222221,2.015666666666675,-0.8991202749140897,3.9895243409620167,7.0,4.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_20,COMBINED_2024_2025H1_2026JF,452.0,430.0,161.0,269.0,0.3744186046511628,203.58899999999966,0.4734627906976736,1.9192372988495348,25.515500000000003,2.6401552795031042,1.5705000000000156,-0.8233308550185878,3.2066759837920795,15.0,7.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_25,COMBINED_2024_2025H1_2026JF,452.0,432.0,169.0,263.0,0.3912037037037037,158.99559999999968,0.36804537037036966,1.8070924577914471,22.957200000000014,2.1064710059171583,1.3068000000000028,-0.7490418250950577,2.8122208070955654,12.0,8.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_30,COMBINED_2024_2025H1_2026JF,452.0,434.0,176.0,258.0,0.4055299539170507,131.8206666666664,0.3037342549923189,1.757582781774119,22.0,1.737626893939393,1.091500000000004,-0.6744250645994836,2.5764565778279698,9.0,9.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_40,COMBINED_2024_2025H1_2026JF,452.0,437.0,187.0,250.0,0.4279176201372998,102.9304999999998,0.2355389016018302,1.7479829882476459,19.0,1.2863168449197855,0.8167500000000019,-0.5504430000000003,2.3368756527374943,5.0,10.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,FIXED_50,COMBINED_2024_2025H1_2026JF,452.0,441.0,196.0,245.0,0.4444444444444444,92.67319999999981,0.21014331065759595,1.8219090122177897,13.9692,1.0480959183673464,0.6549000000000024,-0.4602187755102044,2.277386265272237,1.0,10.0,INDEPENDENT
CONTROL,CHALLENGE_EXIT,H1_STRUCT,COMBINED_2024_2025H1_2026JF,452.0,393.0,177.0,216.0,0.45038167938931295,222.6734256951096,0.5665990475702534,2.4961603056756023,14.656909607909768,2.0988889855182857,1.1600123800680928,-0.6890274293593843,3.046161728960057,47.0,10.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_10,COMBINED_2024_2025H1_2026JF,452.0,441.0,182.0,259.0,0.4126984126984127,-22.830000000000254,-0.051768707482993774,0.9118532818532809,35.291000000000125,1.2976373626373612,0.775,-1.0,1.2976373626373612,0.0,11.0,INDEPENDENT
