ts,arrival_side,ref,m1_open,m1_high,m1_low,m1_close,idx,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl,next_side,hit,block
2026-01-19 01:00:00,UP,4624.78,4628.71,4636.67,4620.17,4636.36,10,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-01-19 01:02:00,UP,4642.89,4638.7,4643.46,4637.73,4643.46,11,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,235.2400000000007,,4407.65,UP,1.0,2026JF
2026-01-20 06:35:00,UP,4690.54,4687.59,4691.62,4687.29,4690.11,12,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,153.9300000000003,,4536.61,UP,1.0,2026JF
2026-01-22 19:22:00,UP,4888.61,4881.82,4891.25,4881.23,4890.88,13,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,132.92000000000007,,4755.69,UP,1.0,2026JF
2026-01-23 18:09:00,UP,4967.39,4964.59,4974.1,4963.91,4973.7,14,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,211.70000000000073,,4755.69,UP,1.0,2026JF
2026-01-27 22:03:00,UP,5111.22,5100.96,5120.14,5100.96,5113.8,15,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,121.32000000000062,,4989.9,UP,1.0,2026JF
2026-01-28 20:18:00,UP,5311.43,5304.01,5311.69,5303.9,5308.48,16,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,264.60000000000036,,5046.83,DOWN,0.0,2026JF
2026-01-29 17:27:00,DOWN,5235.83,5258.41,5259.67,5134.44,5134.44,17,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,,DOWN,,2026JF
2026-01-30 10:33:00,DOWN,5100.21,5127.94,5131.69,5054.41,5063.96,18,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,53.38000000000011,497.77999999999975,5597.99,5046.83,DOWN,1.0,2026JF
2026-01-30 11:13:00,DOWN,5046.83,5051.92,5051.99,5023.11,5026.97,19,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,56.93000000000029,551.1599999999999,5597.99,4989.9,DOWN,1.0,2026JF
2026-01-30 11:44:00,DOWN,4989.9,4994.44,5004.23,4976.04,4977.17,20,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,90.19999999999982,608.0900000000001,5597.99,4899.7,DOWN,1.0,2026JF
2026-01-30 19:21:00,DOWN,4899.7,4908.11,4911.55,4899.66,4910.16,21,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,144.01000000000022,698.29,5597.99,4755.69,DOWN,1.0,2026JF
