idx,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,next_side,hit,nearest_bsl,nearest_ssl,m1_open,m1_high,m1_low,m1_close,block,ratio_same_opp
227,2024-08-05 14:46:00,DOWN,2383.37,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,6.960000000000036,94.23000000000002,DOWN,True,2477.6,2376.41,2386.67,2387.1,2383.19,2383.59,2024,0.07386182744348971
228,2024-08-05 15:21:00,DOWN,2376.41,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,6.920000000000073,101.19000000000005,DOWN,True,2477.6,2369.49,2377.91,2378.85,2374.53,2375.74,2024,0.06838620417037325
229,2024-08-05 15:24:00,DOWN,2369.49,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,16.429999999999836,108.11000000000013,UP,False,2477.6,2353.06,2376.87,2377.53,2366.74,2369.86,2024,0.1519748404402906
231,2024-08-08 17:10:00,UP,2418.26,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,40.4399999999996,38.08000000000038,UP,True,2458.7,2380.18,2414.2,2419.65,2414.15,2419.64,2024,1.0619747899159453
232,2024-08-12 09:53:00,UP,2436.96,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,21.73999999999978,20.110000000000127,UP,True,2458.7,2416.85,2436.59,2437.16,2436.59,2437.0,2024,1.0810542018895895
233,2024-08-12 18:14:00,UP,2458.7,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,18.90000000000009,34.94999999999982,DOWN,False,2477.6,2423.75,2457.17,2459.13,2456.82,2458.95,2024,0.5407725321888466
235,2024-08-14 11:42:00,UP,2475.56,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,1.3699999999998909,51.809999999999945,UP,True,2476.93,2423.75,2475.28,2475.61,2475.09,2475.45,2024,0.026442771665699524
236,2024-08-14 11:44:00,UP,2477.6,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,6.010000000000218,53.84999999999991,DOWN,False,2483.61,2423.75,2476.31,2478.54,2475.89,2477.68,2024,0.11160631383473034
238,2024-08-15 16:00:00,DOWN,2438.03,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,14.2800000000002,41.69999999999982,UP,False,2479.73,2423.75,2441.16,2441.46,2434.29,2436.4,2024,0.34244604316547395
240,2024-08-16 15:51:00,UP,2479.73,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,3.880000000000109,47.61999999999989,UP,True,2483.61,2432.11,2478.78,2480.79,2478.38,2480.67,2024,0.08147837043259383
241,2024-08-16 15:53:00,UP,2483.61,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,51.5,UP,True,,2432.11,2481.34,2486.22,2481.28,2485.11,2024,
242,2024-08-20 04:06:00,UP,2507.42,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,2.6399999999998727,21.820000000000164,UP,True,2510.06,2485.6,2507.19,2508.23,2506.32,2506.78,2024,0.12098991750686769
243,2024-08-20 10:43:00,UP,2510.06,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,24.460000000000036,DOWN,False,,2485.6,2509.49,2510.53,2509.49,2510.45,2024,
245,2024-08-22 16:21:00,DOWN,2493.41,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,7.809999999999945,25.690000000000055,DOWN,True,2519.1,2485.6,2495.88,2495.89,2491.18,2492.92,2024,0.30400934215647835
246,2024-08-22 16:32:00,DOWN,2485.6,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,34.88999999999987,33.5,UP,False,2519.1,2450.71,2489.41,2490.19,2485.33,2486.33,2024,1.041492537313429
248,2024-08-26 10:31:00,UP,2519.1,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,0.7699999999999818,48.32999999999993,UP,True,2519.87,2470.77,2518.02,2519.39,2517.93,2519.07,2024,0.015932133250568654
249,2024-08-26 10:36:00,UP,2519.87,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,11.789999999999964,49.09999999999991,DOWN,False,2531.66,2470.77,2519.47,2520.53,2519.32,2520.51,2024,0.24012219959266773
251,2024-08-28 02:04:00,UP,2526.84,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,4.819999999999709,56.070000000000164,DOWN,False,2531.66,2470.77,2526.57,2527.05,2526.52,2527.05,2024,0.0859639736044176
253,2024-08-30 17:05:00,DOWN,2512.12,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,8.579999999999927,16.51000000000022,DOWN,True,2528.63,2503.54,2513.57,2514.73,2511.32,2514.25,2024,0.5196850393700675
254,2024-08-30 18:06:00,DOWN,2503.54,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,9.949999999999818,25.090000000000146,DOWN,True,2528.63,2493.59,2505.08,2505.62,2503.28,2505.18,2024,0.39657233957751137
255,2024-09-02 05:07:00,DOWN,2493.59,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,22.820000000000164,33.279999999999745,DOWN,True,2526.87,2470.77,2494.85,2495.32,2493.17,2493.89,2024,0.6856971153846255
256,2024-09-03 04:27:00,DOWN,2489.96,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,19.190000000000055,17.269999999999982,DOWN,True,2507.23,2470.77,2490.16,2491.69,2489.64,2491.52,2024,1.111175448755071
257,2024-09-04 11:54:00,DOWN,2473.13,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,2.3600000000001273,33.06999999999971,UP,False,2506.2,2470.77,2475.39,2475.56,2472.48,2473.93,2024,0.07136377381312815
259,2024-09-05 08:51:00,UP,2500.2,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,6.0,28.34999999999991,UP,True,2506.2,2471.85,2499.9,2502.25,2499.84,2502.05,2024,0.21164021164021232
260,2024-09-05 09:29:00,UP,2506.2,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.0300000000002,34.34999999999991,UP,True,2507.23,2471.85,2506.04,2506.81,2506.02,2506.33,2024,0.02998544395924899
