universe,block,direction,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,split,month
CONTROL,,,3.0,3.0,2.0,1.0,0.6666666666666666,9.48717900951949,3.1623930031731633,48.29750831974363,0.0,4.843882092536078,4.843882092536078,-0.2005851755526667,24.148754159871814,0.0,0.0,month,2024-03
CONTROL,,,8.0,6.0,2.0,4.0,0.3333333333333333,-0.6652051952674922,-0.11086753254458204,0.8005427613611134,2.7202022631879306,1.3349357674988251,1.3349357674988251,-0.8337691825662856,1.6010855227222267,2.0,0.0,month,2024-04
CONTROL,,,7.0,6.0,2.0,4.0,0.3333333333333333,5.609567623635062,0.9349279372725103,2.8157289599994644,1.729252259654885,4.349498840110277,4.349498840110277,-0.772357514146373,5.631457919998929,1.0,0.0,month,2024-05
CONTROL,,,8.0,6.0,1.0,5.0,0.16666666666666666,-2.7022521272763074,-0.4503753545460512,0.009209588900411441,2.518651458378265,0.0251179572578399,0.0251179572578399,-0.5454740169068295,0.0460479445020572,2.0,0.0,month,2024-06
CONTROL,,,7.0,6.0,4.0,2.0,0.6666666666666666,11.875070893506766,1.9791784822511278,11.792676695731839,0.9424026330224806,3.243840145823178,1.5649599235100784,-0.5501448448929719,5.896338347865919,1.0,0.0,month,2024-07
CONTROL,,,9.0,7.0,4.0,3.0,0.5714285714285714,0.43778285623352453,0.06254040803336065,1.1622727696738993,2.0844781705061606,0.7839009185780392,0.8236204763286089,-0.8992736060262109,0.8717045772554244,2.0,0.0,month,2024-08
CONTROL,,,5.0,4.0,2.0,2.0,0.5,4.618047814652787,1.1545119536631967,4.108961463328933,0.48539886039886504,3.051723337525826,3.051723337525826,-0.7426994301994327,4.108961463328933,1.0,0.0,month,2024-09
CONTROL,,,9.0,9.0,3.0,6.0,0.3333333333333333,1.6151342079160267,0.17945935643511407,1.3796831103541125,2.528400475995829,1.9563449333125993,2.898750000000007,-0.7089834320036285,2.7593662207082255,0.0,0.0,month,2024-10
CONTROL,,,5.0,5.0,4.0,1.0,0.8,9.86228706024309,1.9724574120486182,19.10398091429499,0.5447579240682803,2.6017612460778428,2.4133388945521292,-0.5447579240682795,4.7759952285737475,0.0,0.0,month,2024-11
CONTROL,,,8.0,7.0,2.0,5.0,0.2857142857142857,-1.0875603332585908,-0.1553657618940844,0.7424244691950426,1.8650793650793491,1.567368221301464,1.567368221301464,-0.8444593551723039,1.8560611729876062,0.0,1.0,month,2024-12
CONTROL,,,5.0,5.0,3.0,2.0,0.6,2.987133241757535,0.5974266483515069,4.746039016858837,0.7974111396902466,1.2615147938159275,1.143584993052334,-0.3987055698451233,3.1640260112392244,0.0,0.0,month,2025-01
CONTROL,,,7.0,6.0,3.0,3.0,0.5,0.7674345879123603,0.12790576465206005,1.25581152930412,2.022075055187618,1.25581152930412,1.3591635916359115,-1.0,1.25581152930412,1.0,0.0,month,2025-02
CONTROL,,,6.0,6.0,2.0,4.0,0.3333333333333333,4.728695513676901,0.7881159189461502,2.719762773948815,1.8089739359947223,3.7391581624675823,3.7391581624675823,-0.6874052028145657,5.43952554789763,0.0,0.0,month,2025-03
CONTROL,,,6.0,5.0,3.0,2.0,0.6,4.73694631278436,0.947389262556872,3.9944368844408586,1.5819155639571525,2.106287292247171,2.439372325249681,-0.7909577819785762,2.662957922960573,1.0,0.0,month,2025-04
CONTROL,,,5.0,5.0,3.0,2.0,0.6,4.21664025768075,0.8433280515361499,4.921403605907862,1.0,1.7639762573535585,1.7670413776608516,-0.5376442571899629,3.2809357372719083,0.0,0.0,month,2025-05
CONTROL,,,5.0,4.0,4.0,0.0,1.0,2.853067916644526,0.7132669791611315,inf,0.0,0.7132669791611315,0.7143590143590087,,,0.0,1.0,month,2025-06
CONTROL,,,6.0,5.0,3.0,2.0,0.6,7.532715633387455,1.506543126677491,5.124466345027251,0.826349157259928,3.119688263549128,2.0419386886176545,-0.913174578629964,3.416310896684834,1.0,0.0,month,2026-01
CONTROL,,,5.0,4.0,1.0,3.0,0.25,0.5464275021363081,0.13660687553407702,1.2666643113748808,1.1374531054606045,2.5955487336914818,2.5955487336914818,-0.6830404105183913,3.799992934124642,0.0,1.0,month,2026-02
