scenario,period,N,coverage,resolved,move_rate,dir_acc,all_win_rate,all_loss_rate,edge_score
S6_BB_AWAY3_FOLLOW,2024,171,0.2638888888888889,145,0.847953216374269,0.5379310344827586,0.45614035087719296,0.391812865497076,0.06432748538011696
S6_BB_AWAY3_FOLLOW,2025,151,0.2775735294117647,119,0.7880794701986755,0.6050420168067226,0.4768211920529801,0.31125827814569534,0.16556291390728478
S6_BB_AWAY3_FOLLOW,2026,117,0.34718100890207715,95,0.811965811965812,0.5578947368421052,0.452991452991453,0.358974358974359,0.09401709401709402
S7_IMPULSE_PULLBACK_RESUME,2024H1,37,0.11526479750778816,26,0.7027027027027027,0.5769230769230769,0.40540540540540543,0.2972972972972973,0.10810810810810811
S7_IMPULSE_PULLBACK_RESUME,2024H2,23,0.07033639143730887,18,0.782608695652174,0.5,0.391304347826087,0.391304347826087,0.0
S7_IMPULSE_PULLBACK_RESUME,2024,60,0.09259259259259259,44,0.7333333333333333,0.5454545454545454,0.4,0.3333333333333333,0.06666666666666667
S7_IMPULSE_PULLBACK_RESUME,2025,29,0.05330882352941176,24,0.8275862068965517,0.6666666666666666,0.5517241379310345,0.27586206896551724,0.27586206896551724
S7_IMPULSE_PULLBACK_RESUME,2026,29,0.08605341246290801,23,0.7931034482758621,0.391304347826087,0.3103448275862069,0.4827586206896552,-0.1724137931034483
S8_H1_IMPULSE_M5_RESUME,2024H1,33,0.102803738317757,27,0.8181818181818182,0.4444444444444444,0.36363636363636365,0.45454545454545453,-0.09090909090909091
S8_H1_IMPULSE_M5_RESUME,2024H2,38,0.1162079510703364,31,0.8157894736842105,0.5161290322580645,0.42105263157894735,0.39473684210526316,0.02631578947368421
S8_H1_IMPULSE_M5_RESUME,2024,71,0.1095679012345679,58,0.8169014084507042,0.4827586206896552,0.39436619718309857,0.4225352112676056,-0.028169014084507043
S8_H1_IMPULSE_M5_RESUME,2025,52,0.09558823529411764,41,0.7884615384615384,0.6585365853658537,0.5192307692307693,0.2692307692307692,0.25
S8_H1_IMPULSE_M5_RESUME,2026,44,0.13056379821958458,40,0.9090909090909091,0.525,0.4772727272727273,0.4318181818181818,0.045454545454545456
