sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,entry,sl_exec,risk,win1,resolved_i,resolved_at,mfe_r,mae_r,win1_costless,year,source_k,m30_exp,m30_owner,h1_owner,owner_agree,delivery_state,broken_m5_level,penetration,acceptance_margin,strong_acceptance,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr
2022-06-08 16:15:00,-1,1855.56,2022-06-07 22:15:00,2022-06-08 00:00:00,810,1,1856.03,2022-06-08 16:50:00,1852.16,1,30735,1852.16,1856.21,4.0499999999999545,0,153556,2022-06-08 17:19:00,0.1135802469135905,1.064197530864196,0,2022,2.0,2.1901375059270145,1,1,False,True,1852.91,0.4700000000000273,0.75,True,True,False,2,21.37928571428571
2022-07-12 14:23:00,-1,1739.1,2022-07-12 11:30:00,2022-07-12 13:30:00,974,1,1739.42,2022-07-12 15:25:00,1733.37,1,37282,1733.37,1739.6000000000001,6.230000000000246,1,186306,2022-07-12 16:50:00,1.0914927768859486,0.2552166934189539,1,2022,2.0,1.1340161255175443,-1,-1,True,True,1734.41,0.3200000000001637,1.040000000000191,True,False,False,5,21.923571428571385
2022-07-22 10:30:00,-1,1720.13,2022-07-21 23:45:00,2022-07-22 01:15:00,1032,1,1720.42,2022-07-22 10:35:00,1716.03,1,39432,1716.03,1720.6000000000001,4.570000000000164,0,197057,2022-07-22 12:12:00,0.18818380743979632,1.0131291028446265,0,2022,2.0,2.2176870748299273,1,1,False,True,1716.56,0.2899999999999636,0.5299999999999727,True,True,True,1,25.222857142857134
2022-07-26 14:22:00,1,1716.15,2022-07-25 21:45:00,2022-07-26 00:00:00,1049,1,1716.06,2022-07-26 15:15:00,1718.92,-1,40040,1719.1000000000001,1716.06,3.040000000000191,0,200002,2022-07-26 15:21:00,0.0,1.421052631578912,0,2022,2.0,1.0086898395721846,-1,-1,False,True,1718.33,0.09000000000014552,0.5900000000001455,True,False,False,5,24.471428571428564
2022-08-04 15:05:00,-1,1788.05,2022-08-02 15:30:00,2022-08-02 16:30:00,1096,1,1788.24,2022-08-04 16:05:00,1779.42,1,41982,1779.42,1788.42,9.0,0,209834,2022-08-04 18:21:00,0.5544444444444454,1.1544444444444555,0,2022,2.0,1.3614283416438846,1,1,False,True,1780.5,0.19000000000005457,1.0799999999999272,True,False,False,3,21.743571428571435
2022-08-16 17:49:00,-1,1778.58,2022-08-16 15:15:00,2022-08-16 16:00:00,1176,1,1778.65,2022-08-16 18:20:00,1775.65,1,44217,1775.65,1778.77,3.119999999999891,0,221599,2022-08-17 07:38:00,0.8621794871796077,1.0,0,2022,2.0,0.7800307219662085,-1,-1,True,True,1775.88,0.07000000000016371,0.2300000000000182,True,True,True,1,22.350714285714258
2022-09-16 14:43:00,-1,1667.72,2022-09-16 04:00:00,2022-09-16 04:45:00,1346,1,1667.81,2022-09-16 15:35:00,1661.36,1,50502,1661.36,1667.9299999999998,6.569999999999936,0,252348,2022-09-16 17:06:00,0.6255707762556986,1.015220700152228,0,2022,2.0,1.0628133294013566,-1,1,False,True,1663.58,0.08999999999991815,2.2200000000000273,True,False,False,3,23.193571428571413
2022-09-30 10:19:00,-1,1674.12,2022-09-23 09:30:00,2022-09-23 10:00:00,1392,1,1674.2,2022-09-30 11:30:00,1671.03,1,53213,1671.03,1674.32,3.2899999999999636,1,265873,2022-09-30 12:43:00,1.0942249240122117,0.5562310030394977,1,2022,2.0,2.229641326415527,1,1,False,True,1671.23,0.08000000000015461,0.20000000000004547,True,False,False,5,28.239285714285693
2022-10-05 17:03:00,1,1700.47,2022-10-04 14:15:00,2022-10-04 15:30:00,1441,1,1700.45,2022-10-05 17:40:00,1708.81,-1,54115,1708.9299999999998,1700.45,8.47999999999979,1,270565,2022-10-05 21:59:00,1.010613207547214,0.2747641509433944,1,2022,2.0,2.1056474124973126,1,-1,False,True,1708.08,0.01999999999998181,0.7300000000000182,True,True,True,1,29.725714285714275
2022-10-31 08:19:00,1,1640.66,2022-10-31 03:00:00,2022-10-31 06:00:00,1597,1,1640.48,2022-10-31 09:00:00,1643.58,-1,58991,1643.6999999999998,1640.48,3.2199999999998,0,294687,2022-10-31 09:23:00,0.2639751552795619,1.0217391304347643,0,2022,2.0,1.0469798657717992,1,-1,False,True,1642.83,0.18000000000006366,0.75,True,False,False,3,25.97285714285717
