source_k,year,dir,sweep_time,trigger_time,fraction,broken_m5_level,trigger_close,limit_entry,sl_exec,risk,fill_time,outcome,resolved_at_h,mfe_abs,mae_abs,mfe_r,mae_r,m30_exp,m30_owner,h1_owner,direct_transfer,owner_agree,both_branch,accept_leg_abs,base_R,harvest_R,m30_atr_calc,accept_leg_m30,branch
99.0,2023,-1,2023-07-27 10:49:00,2023-07-27 11:35:00,0.5,1977.56,1977.49,1977.525,1982.25,4.724999999999909,2023-07-27 12:16:00,TP5,2023-07-27 16:31:00,23.695000000000164,1.7049999999996999,5.014814814814946,0.3608465608465043,1.1425027563395627,1,1,True,False,False,0.06999999999993634,5.0,4.5,2.8407142857142844,0.02464168971584383,EXP_ONLY
99.0,2023,1,2023-08-22 03:05:00,2023-08-22 04:05:00,0.5,1895.82,1896.17,1896.155,1893.63,2.5249999999998636,2023-08-22 04:06:00,BE,2023-08-22 16:00:00,8.2650000000001,2.3250000000000455,3.27326732673289,0.9207920792079886,1.5552164261931156,1,1,True,True,True,0.3500000000001364,0.0,0.75,1.0049999999999792,0.34825870646780466,BOTH
99.0,2023,-1,2023-08-24 07:21:00,2023-08-24 07:35:00,0.5,1920.51,1920.17,1920.3400000000001,1921.8300000000002,1.490000000000009,2023-08-24 07:36:00,SL,2023-08-24 07:45:00,0.2400000000000091,1.5399999999999636,0.16107382550336083,1.033557046979835,1.2801070472792109,1,1,True,False,False,0.33999999999991815,-1.0,-1.0,1.448571428571378,0.23471400394472486,EXP_ONLY
99.0,2023,1,2023-08-25 17:02:00,2023-08-25 17:05:00,0.5,1915.72,1920.18,1918.0800000000002,1911.27,6.810000000000173,2023-08-25 17:06:00,SL,2023-08-25 17:27:00,4.289999999999736,8.27000000000021,0.6299559471365092,1.2143906020558002,0.5612194722176641,1,1,False,True,False,4.460000000000036,-1.0,-1.0,2.172142857142863,2.053271950016453,OWNER_ONLY
99.0,2023,1,2023-08-28 15:32:00,2023-08-28 15:45:00,0.5,1915.68,1916.57,1916.255,1913.38,2.875,2023-08-28 16:08:00,SL,2023-08-28 16:34:00,0.7749999999998636,3.2250000000001364,0.2695652173912569,1.12173913043483,1.0576198169090028,-1,-1,True,False,False,0.8899999999998727,-1.0,-1.0,1.5021428571428228,0.5924869234426297,EXP_ONLY
99.0,2023,-1,2023-08-31 15:32:00,2023-08-31 15:40:00,0.5,1944.92,1943.7,1944.31,1947.96,3.650000000000091,2023-08-31 15:41:00,SL,2023-09-01 15:30:00,5.989999999999782,8.02000000000021,1.6410958904108581,2.1972602739726055,1.2955974842767226,1,1,True,False,False,1.2200000000000273,-1.0,-1.0,1.4814285714285884,0.8235294117647148,EXP_ONLY
99.0,2023,-1,2023-11-28 02:52:00,2023-11-28 03:20:00,0.5,2016.2,2015.47,2015.835,2018.28,2.4449999999999363,2023-11-28 03:40:00,SL,2023-11-28 15:42:00,4.095000000000027,5.785000000000082,1.674846625766926,2.3660531697342466,4.527659574468074,1,1,True,False,False,0.7300000000000182,-1.0,-1.0,1.7414285714285305,0.4191960623462057,EXP_ONLY
99.0,2024,1,2024-01-31 15:05:00,2024-01-31 15:35:00,0.5,2039.54,2040.1,2039.98,2035.97,4.009999999999991,2024-01-31 15:36:00,BE,2024-01-31 21:00:00,15.980000000000018,1.3299999999999272,3.985037406483804,0.331670822942626,1.599916475255808,1,1,True,True,True,0.5599999999999454,0.0,0.75,2.1828571428571713,0.25654450261777273,BOTH
99.0,2024,-1,2024-02-12 10:31:00,2024-02-12 11:00:00,0.5,2023.88,2023.64,2023.7600000000002,2027.38,3.619999999999891,2024-02-12 15:09:00,SL,2024-02-12 15:20:00,0.08000000000015461,3.9699999999998,0.022099447513855532,1.096685082872906,1.6680261011419237,1,-1,False,False,False,0.2400000000000091,-1.0,-1.0,1.4978571428571124,0.16022889842633264,EXP_ONLY
99.0,2024,-1,2024-02-19 01:00:00,2024-02-19 01:05:00,0.5,2012.78,2011.71,2012.245,2016.46,4.2150000000001455,2024-02-19 01:07:00,SL,2024-02-19 01:12:00,0.0,4.395000000000209,0.0,1.0427046263345332,1.2663934426229442,1,1,True,False,False,1.0699999999999363,-1.0,-1.0,3.1935714285714476,0.33504808767611316,EXP_ONLY
99.0,2024,1,2024-03-08 15:30:00,2024-03-08 15:35:00,0.5,2169.23,2178.25,2173.91,2155.9,18.009999999999764,2024-03-08 15:50:00,SL,2024-03-12 16:05:00,21.18000000000029,18.539999999999964,1.1760133259300705,1.0294280955025101,0.7226787685514677,1,1,True,True,False,9.019999999999982,-1.0,-1.0,3.2471428571427947,2.7778266608007516,OWNER_ONLY
99.0,2024,-1,2024-04-02 12:31:00,2024-04-02 13:05:00,0.5,2260.45,2258.98,2259.715,2266.98,7.264999999999873,2024-04-02 13:28:00,SL,2024-04-02 17:03:00,6.224999999999909,14.224999999999909,0.8568479008947031,1.95801789401241,1.2425201001713413,1,1,True,False,False,1.4699999999998,-1.0,-1.0,3.732142857142987,0.3938755980860571,EXP_ONLY
99.0,2024,-1,2024-04-11 14:54:00,2024-04-11 15:20:00,0.5,2335.56,2334.01,2334.785,2339.8,5.015000000000327,2024-04-11 15:25:00,SL,2024-04-11 15:30:00,2.5349999999998545,6.995000000000346,0.5054835493518821,1.394815553339958,1.7415005020800398,-1,-1,True,True,True,1.5499999999997272,-1.0,-1.0,5.2242857142856725,0.29669127700295805,BOTH
99.0,2024,-1,2024-05-14 15:20:00,2024-05-14 15:35:00,0.5,2342.43,2341.29,2341.8599999999997,2348.54,6.680000000000291,2024-05-14 15:36:00,SL,2024-05-14 15:49:00,0.4399999999995998,8.430000000000291,0.06586826347299111,1.2619760479041802,2.686858721389118,1,1,True,False,False,1.1399999999998727,-1.0,-1.0,3.7085714285713687,0.30739599383664246,EXP_ONLY
99.0,2024,-1,2024-05-29 01:01:00,2024-05-29 01:45:00,0.5,2358.86,2358.68,2358.77,2362.57,3.800000000000182,2024-05-29 01:46:00,TP5,2024-05-29 14:53:00,20.199999999999818,2.730000000000018,5.315789473683909,0.7184210526315493,2.316489361702087,1,-1,True,False,False,0.18000000000029104,5.0,4.5,4.060714285714312,0.04432717678107403,EXP_ONLY
99.0,2024,1,2024-06-27 09:01:00,2024-06-27 09:30:00,0.5,2300.46,2301.59,2301.215,2296.49,4.725000000000364,2024-06-27 09:37:00,TP5,2024-06-27 15:40:00,24.375,1.8150000000000546,5.158730158729761,0.3841269841269661,2.0907715582451165,-1,1,True,False,False,1.1300000000001091,5.0,4.5,2.2721428571428857,0.4973278843131509,EXP_ONLY
99.0,2024,1,2024-07-08 18:53:00,2024-07-08 19:45:00,0.5,2356.07,2357.29,2356.8700000000003,2351.01,5.860000000000127,2024-07-08 20:29:00,SL,2024-07-09 18:21:00,14.659999999999854,7.520000000000437,2.501706484641559,1.283276450511992,1.375356125356125,-1,-1,True,False,False,1.2199999999998,-1.0,-1.0,5.4571428571428635,0.22356020942404684,EXP_ONLY
99.0,2024,1,2024-08-27 06:54:00,2024-08-27 07:00:00,0.5,2508.24,2509.02,2508.8,2505.76,3.0399999999999636,2024-08-27 07:02:00,SL,2024-08-27 10:59:00,8.7199999999998,4.3100000000004,2.8684210526315477,1.4177631578948855,2.4755231330390126,-1,-1,True,False,False,0.7800000000002001,-1.0,-1.0,2.550000000000052,0.3058823529412487,EXP_ONLY
99.0,2024,-1,2024-09-04 01:43:00,2024-09-04 02:05:00,0.5,2492.75,2492.52,2492.635,2494.63,1.9949999999998909,2024-09-04 02:06:00,SL,2024-09-04 02:23:00,0.16499999999996362,2.0650000000000546,0.08270676691727952,1.0350877192983297,1.1501497413558364,1,-1,True,False,False,0.2300000000000182,-1.0,-1.0,3.3935714285714442,0.06777520521995874,EXP_ONLY
99.0,2024,-1,2024-10-31 03:05:00,2024-10-31 03:45:00,0.5,2786.81,2785.97,2786.39,2790.19,3.800000000000182,2024-10-31 04:02:00,TP5,2024-10-31 15:22:00,19.559999999999945,2.769999999999982,5.147368421052371,0.7289473684210129,1.0637039540385183,1,1,True,False,False,0.8400000000001455,5.0,4.5,2.3571428571427924,0.3563636363637079,EXP_ONLY
99.0,2024,1,2024-11-01 12:38:00,2024-11-01 13:10:00,0.5,2751.82,2752.95,2752.5550000000003,2744.76,7.795000000000073,2024-11-01 13:11:00,SL,2024-11-01 16:40:00,9.664999999999509,9.25500000000011,1.2398973701089697,1.18729955099423,1.8579051383398861,1,1,True,True,True,1.1299999999996544,-1.0,-1.0,3.605714285714287,0.31339144215521303,BOTH
99.0,2024,-1,2024-11-15 17:06:00,2024-11-15 17:25:00,0.5,2570.84,2569.37,2570.105,2576.21,6.105000000000018,2024-11-15 17:30:00,SL,2024-11-18 02:53:00,10.53500000000031,7.194999999999709,1.725634725634771,1.1785421785421273,1.342059883994358,-1,1,False,False,False,1.4700000000002547,-1.0,-1.0,6.142857142857143,0.2393023255814368,EXP_ONLY
99.0,2024,1,2024-12-30 06:52:00,2024-12-30 07:20:00,0.5,2623.56,2623.61,2623.785,2621.46,2.324999999999818,2024-12-30 07:21:00,SL,2024-12-30 07:30:00,0.0,2.3649999999997817,0.0,1.0172043010752545,1.5936239677357635,1,-1,False,False,False,0.0500000000001819,-1.0,-1.0,3.4728571428572,0.01439736733859595,EXP_ONLY
99.0,2025,-1,2025-02-24 09:50:00,2025-02-24 10:20:00,0.5,2942.01,2941.76,2941.885,2945.0699999999997,3.1849999999994907,2025-02-24 10:29:00,SL,2025-02-24 10:52:00,3.585000000000491,4.625,1.1255886970176026,1.4521193092623985,1.1710662824207563,-1,1,True,False,False,0.25,-1.0,-1.0,5.590000000000048,0.04472271914132341,EXP_ONLY
99.0,2025,-1,2025-04-21 22:09:00,2025-04-21 22:30:00,0.5,3424.45,3422.3,3423.375,3430.69,7.315000000000055,2025-04-21 22:31:00,SL,2025-04-22 01:07:00,5.675000000000182,7.545000000000073,0.7758031442242159,1.03144224196856,2.3801058017518084,1,1,True,False,False,2.149999999999636,-1.0,-1.0,11.23214285714289,0.19141494435608788,EXP_ONLY
99.0,2025,-1,2025-07-01 15:41:00,2025-07-01 16:10:00,0.5,3352.16,3348.62,3350.39,3358.0699999999997,7.679999999999836,2025-07-01 16:37:00,SL,2025-07-02 22:55:00,22.699999999999818,7.8400000000001455,2.955729166666706,1.0208333333333741,2.245526127415883,1,1,True,False,False,3.5399999999999636,-1.0,-1.0,6.06000000000001,0.5841584158415771,EXP_ONLY
99.0,2025,-1,2025-07-11 16:19:00,2025-07-11 16:25:00,0.5,3353.31,3350.92,3352.115,3358.52,6.4050000000002,2025-07-11 16:26:00,SL,2025-07-11 16:39:00,1.3049999999998363,6.855000000000018,0.2037470725994997,1.0702576112411872,1.1086716376691632,1,1,True,False,False,2.3899999999998727,-1.0,-1.0,6.702142857142787,0.35660236598101425,EXP_ONLY
99.0,2025,1,2025-08-19 09:45:00,2025-08-19 10:10:00,0.5,3338.79,3341.0,3340.065,3334.4,5.664999999999964,2025-08-19 10:13:00,SL,2025-08-19 15:56:00,5.264999999999873,5.894999999999982,0.9293909973521459,1.0406001765225101,1.704066138012488,1,-1,True,False,False,2.2100000000000364,-1.0,-1.0,5.061428571428515,0.4366356195314825,EXP_ONLY
99.0,2025,1,2025-08-27 14:38:00,2025-08-27 14:50:00,0.5,3375.92,3376.72,3376.4799999999996,3373.69,2.789999999999509,2025-08-27 15:02:00,TP5,2025-08-27 19:19:00,13.950000000000273,2.2099999999995816,5.000000000000978,0.7921146953404913,2.431951219512223,1,-1,True,False,False,0.7999999999997272,5.0,4.5,4.114285714285643,0.1944444444443815,EXP_ONLY
99.0,2025,1,2025-09-16 05:46:00,2025-09-16 06:15:00,0.5,3680.31,3680.53,3680.62,3674.72,5.900000000000091,2025-09-16 06:17:00,BE,2025-09-16 18:06:00,22.34999999999991,0.4800000000000182,3.7881355932202654,0.08135593220339166,0.9544672835967503,1,1,True,True,False,0.22000000000025466,0.0,0.75,4.630714285714248,0.047508869350664666,OWNER_ONLY
99.0,2025,-1,2025-11-11 15:36:00,2025-11-11 16:05:00,0.5,4141.08,4139.86,4140.469999999999,4146.82,6.350000000000364,2025-11-11 16:08:00,TP5,2025-11-11 17:22:00,33.31999999999971,0.16000000000076398,5.247244094487843,0.025196850393819654,2.215722441809398,-1,1,True,False,False,1.2200000000002547,5.0,4.5,7.329999999999992,0.1664392905866652,EXP_ONLY
