child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport,entry_dt,exit_dt,giveback,winner,hard_sl,r_event_count,management_calls,first_sched_review_at,first_sched_reasons,minutes_first_review_to_exit
2024OOS-COU0175,COUNTER,DOWN,2024OOS-MP065,2024-07-12 12:45:00,2024-07-12 12:51:00.302000,2404.81,2408.25,3.4400000000000546,2404.65,2405.68,13.179999999999836,3.450000000000273,3.831395348837101,1.0029069767442496,2024-07-12 17:05:29.050000,2408.26,-3.450000000000273,-1.0029069767442496,HARD_SL,CHILD_DEAD,2024-07-12 17:05:29.050000,False,0,FIRST,254.479133,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,3,True,DOWN,3,True,8,2024-07-12 13:09:00,M5_SWING_LOW_20240712_1245_PIVOT,2024-07-12 16:15:00,BALANCE,0.156976744,2024-07-12 12:51:00.302,2024-07-12 17:05:29.050,True,False,True,3,5,2024-07-12 13:09:00,FIRST_FAVORABLE_DELIVERY,236.48416666666665
2024OOS-WIT0051,WITH_PARENT,UP,2024OOS-MP075,2024-08-20 08:15:00,2024-08-20 08:33:03.702000,2501.67,2500.67,1.0,2500.69,2501.67,1.0399999999999636,1.0399999999999636,1.0399999999999636,1.0399999999999636,2024-08-20 08:55:23.104000,2500.63,-1.0399999999999636,-1.0399999999999636,HARD_SL,CHILD_DEAD,2024-08-20 08:55:23.104000,False,0,FIRST,22.323367,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,2,DOWN,2,COUNTERFLOW,UP,3,True,UP,3,True,0,,,,,,2024-08-20 08:33:03.702,2024-08-20 08:55:23.104,True,False,True,1,1,2024-08-20 08:34:00,R_MILESTONE_1,21.385066666666667
2024OOS-COU0221,COUNTER,UP,2024OOS-MP084,2024-09-09 04:30:00,2024-09-09 04:34:52.205000,2496.26,2494.69,1.5700000000001637,2494.07,2496.27,4.139999999999873,1.7700000000004366,2.63694267515888,1.1273885350320076,2024-09-09 08:39:28.909000,2494.49,-1.7700000000004366,-1.1273885350320076,HARD_SL,CHILD_DEAD,2024-09-09 08:39:28.909000,False,0,FIRST,244.611733,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,2,ALIGNED,UP,2,True,UP,3,True,5,2024-09-09 05:03:00,M5_SWING_HIGH_20240909_0440_PIVOT,2024-09-09 06:00:00,AMBIGUOUS,0.522292994,2024-09-09 04:34:52.205,2024-09-09 08:39:28.909,True,False,True,2,4,2024-09-09 04:44:00,R_MILESTONE_1,235.48181666666667
2024OOS-COU0228,COUNTER,DOWN,2024OOS-MP087,2024-09-13 14:00:00,2024-09-13 15:37:27.205000,2570.84,2572.91,2.069999999999709,2570.82,2572.43,2.2200000000002547,2.119999999999891,1.072463768116216,1.024154589372072,2024-09-13 15:49:16.104000,2572.96,-2.119999999999891,-1.024154589372072,HARD_SL,CHILD_DEAD,2024-09-13 15:49:16.104000,False,0,FRESH_REAUTH,11.814983,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,UP,3,False,UP,3,False,0,,,,,,2024-09-13 15:37:27.205,2024-09-13 15:49:16.104,True,False,True,1,1,2024-09-13 15:40:00,R_MILESTONE_1,9.268400000000002
2024OOS-COU0231,COUNTER,DOWN,2024OOS-MP087,2024-09-16 15:45:00,2024-09-16 15:53:30.700000,2582.13,2583.21,1.0799999999999272,2582.08,2583.56,1.3200000000001637,1.099999999999909,1.222222222222456,1.0185185185185028,2024-09-16 15:56:32.802000,2583.23,-1.099999999999909,-1.0185185185185028,HARD_SL,CHILD_DEAD,2024-09-16 15:56:32.802000,False,0,FIRST,3.035033,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,2,True,DOWN,3,True,0,,,,,,2024-09-16 15:53:30.700,2024-09-16 15:56:32.802,True,False,True,1,1,2024-09-16 15:54:00,R_MILESTONE_1,2.5467
2024OOS-WIT0065,WITH_PARENT,DOWN,2024OOS-MP097,2024-10-10 14:45:00,2024-10-10 15:04:03.306000,2614.29,2618.86,4.570000000000164,2614.24,2615.42,10.860000000000127,4.880000000000109,2.3763676148795927,1.0678336980306202,2024-10-10 15:30:12.603000,2619.17,-4.880000000000109,-1.0678336980306202,HARD_SL,CHILD_DEAD,2024-10-10 15:30:12.603000,False,0,FRESH_REAUTH,26.15495,PROFITABLE_1R_PLUS_THEN_HARD_SL,PAUSE_DOWN,DOWN,3,PAUSE_DOWN,2,BALANCE,2,LOCAL_BALANCE,DOWN,2,True,DOWN,3,True,9,2024-10-10 15:30:00,M5_SWING_LOW_20240920_1255_PIVOT,,,,2024-10-10 15:04:03.306,2024-10-10 15:30:12.603,True,False,True,2,1,2024-10-10 15:30:00,FIRST_FAVORABLE_DELIVERY|R_MILESTONE_1|R_MILESTONE_2,0.21005
2024OOS-COU0265,COUNTER,DOWN,2024OOS-MP098,2024-10-18 09:45:00,2024-10-18 10:14:54.207000,2708.77,2714.02,5.25,2708.61,2711.57,6.880000000000109,5.260000000000218,1.3104761904762112,1.0019047619048034,2024-10-18 15:27:55.477000,2714.03,-5.260000000000218,-1.0019047619048034,HARD_SL,CHILD_DEAD,2024-10-18 15:27:55.477000,False,0,FRESH_REAUTH,313.021167,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,AMBIGUOUS,1,False,AMBIGUOUS,1,False,5,2024-10-18 10:37:00,M5_SWING_LOW_20241018_0950_PIVOT,2024-10-18 12:00:00,BALANCE,0.455238095,2024-10-18 10:14:54.207,2024-10-18 15:27:55.477,True,False,True,1,3,2024-10-18 10:37:00,FIRST_FAVORABLE_DELIVERY,290.9246166666666
2024OOS-COU0276,COUNTER,DOWN,2024OOS-MP101,2024-10-28 02:45:00,2024-10-28 02:46:50.994000,2734.14,2736.29,2.150000000000091,2734.03,2736.17,9.289999999999964,2.2200000000002547,4.32093023255794,1.0325581395349586,2024-10-28 07:27:29.264000,2736.36,-2.2200000000002547,-1.0325581395349586,HARD_SL,CHILD_DEAD,2024-10-28 07:27:29.264000,False,0,FRESH_REAUTH,280.637833,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,2,True,DOWN,3,True,9,2024-10-28 03:00:00,M5_SWING_LOW_20241028_0045_PIVOT,2024-10-28 04:30:00,BALANCE,-0.106976744,2024-10-28 02:46:50.994,2024-10-28 07:27:29.264,True,False,True,4,4,2024-10-28 03:00:00,FIRST_FAVORABLE_DELIVERY|R_MILESTONE_1,267.4877333333333
2024OOS-COU0280,COUNTER,DOWN,2024OOS-MP102,2024-10-30 10:15:00,2024-10-30 12:03:19.171000,2784.65,2789.76,5.110000000000127,2784.63,2785.33,13.579999999999927,5.159999999999855,2.657534246575262,1.0097847358120795,2024-10-30 20:06:52.154000,2789.81,-5.159999999999855,-1.0097847358120795,HARD_SL,CHILD_DEAD,2024-10-30 20:06:52.154000,False,0,FRESH_REAUTH,483.549717,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,UP,3,False,UP,3,False,14,2024-10-30 12:57:00,M5_SWING_LOW_20241030_1125_PIVOT,2024-10-30 13:30:00,BALANCE,0.641878669,2024-10-30 12:03:19.171,2024-10-30 20:06:52.154,True,False,True,2,4,2024-10-30 12:57:00,FIRST_FAVORABLE_DELIVERY,429.8692333333333
2024OOS-COU0307,COUNTER,DOWN,2024OOS-MP109,2024-11-22 14:30:00,2024-11-22 14:47:01.457000,2704.56,2710.1,5.539999999999964,2704.53,2705.87,19.94000000000005,5.639999999999873,3.599277978339384,1.018050541516229,2024-11-22 20:20:53.302000,2710.2,-5.639999999999873,-1.018050541516229,HARD_SL,CHILD_DEAD,2024-11-22 20:20:53.302000,False,0,FRESH_REAUTH,333.864083,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,UP,2,False,UP,3,False,8,2024-11-22 15:24:00,M5_SWING_LOW_20241122_1340_PIVOT,2024-11-22 17:00:00,BALANCE,1.741877256,2024-11-22 14:47:01.457,2024-11-22 20:20:53.302,True,False,True,3,5,2024-11-22 15:06:00,R_MILESTONE_1,314.8883666666667
2024OOS-WIT0081,WITH_PARENT,DOWN,2024OOS-MP121,2024-12-20 13:15:00,2024-12-20 13:56:23.569000,2604.42,2607.69,3.269999999999982,2604.42,2604.91,3.559999999999945,3.2799999999997453,1.0886850152905092,1.003058103975463,2024-12-20 15:31:43.615000,2607.7,-3.2799999999997453,-1.003058103975463,HARD_SL,CHILD_DEAD,2024-12-20 15:31:43.615000,False,0,FIRST,95.3341,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,3,MIG_DOWN,3,UP,2,COUNTERFLOW,DOWN,2,True,BALANCE,2,False,4,2024-12-20 15:20:00,M5_SWING_LOW_20241220_1405_PIVOT,,,,2024-12-20 13:56:23.569,2024-12-20 15:31:43.615,True,False,True,1,2,2024-12-20 15:20:00,FIRST_FAVORABLE_DELIVERY,11.726916666666666
