child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport
2024OOS-COU0219,COUNTER,DOWN,2024OOS-MP083,2024-09-05 17:15:00,2024-09-05 17:15:00.404000,2513.71,2523.45,9.739999999999782,2513.69,2515.62,9.63000000000011,9.75,0.9887063655031134,1.001026694045197,2024-09-06 15:30:52.213000,2523.46,-9.75,-1.001026694045197,HARD_SL,CHILD_DEAD,2024-09-06 15:30:52.213000,False,0,FIRST,1335.863483,PARTIAL_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,BALANCE,2,False,10,2024-09-05 18:01:00,M5_SWING_LOW_20240905_1705_PIVOT,2024-09-05 19:45:00,BALANCE,0.474332649
2024OOS-COU0221,COUNTER,UP,2024OOS-MP084,2024-09-09 04:30:00,2024-09-09 04:34:52.205000,2496.26,2494.69,1.5700000000001637,2494.07,2496.27,4.139999999999873,1.7700000000004366,2.63694267515888,1.1273885350320076,2024-09-09 08:39:28.909000,2494.49,-1.7700000000004366,-1.1273885350320076,HARD_SL,CHILD_DEAD,2024-09-09 08:39:28.909000,False,0,FIRST,244.611733,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,2,ALIGNED,UP,2,True,UP,3,True,5,2024-09-09 05:03:00,M5_SWING_HIGH_20240909_0440_PIVOT,2024-09-09 06:00:00,AMBIGUOUS,0.522292994
2024OOS-COU0224,COUNTER,DOWN,2024OOS-MP086,2024-09-10 17:15:00,2024-09-10 17:56:53.305000,2508.41,2515.31,6.900000000000091,2508.38,2510.66,0.5299999999997453,6.970000000000255,0.07681159420286063,1.0101449275362555,2024-09-10 18:35:31.506000,2515.38,-6.970000000000255,-1.0101449275362555,HARD_SL,CHILD_DEAD,2024-09-10 18:35:31.506000,False,0,FIRST,38.636683,FAST_NO_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,2,True,BALANCE,2,False,0,,,,,
2024OOS-COU0226,COUNTER,DOWN,2024OOS-MP087,2024-09-12 10:30:00,2024-09-12 10:30:04.413000,2516.52,2522.24,5.7199999999998,2516.42,2516.7,3.3099999999999454,4.690000000000055,0.5786713286713394,0.8199300699301082,2024-09-12 15:00:00.004000,2519.67,-3.150000000000091,-0.5506993006993358,AI_EXIT,CHILD_EXITED,2024-09-12 15:00:00.004000,False,1,FIRST,269.926517,AI_EARLY_LOSS_EXIT,MIG_UP,UP,3,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,5,2024-09-12 13:43:00,M5_SWING_LOW_20240912_1210_PIVOT,2024-09-12 13:45:00,BALANCE,-0.019230769
2024OOS-COU0227,COUNTER,DOWN,2024OOS-MP087,2024-09-13 10:30:00,2024-09-13 10:30:35.506000,2565.85,2570.25,4.400000000000091,2565.82,2567.14,1.0599999999999454,4.420000000000073,0.24090909090907353,1.0045454545454504,2024-09-13 10:46:59.137000,2570.27,-4.420000000000073,-1.0045454545454504,HARD_SL,CHILD_DEAD,2024-09-13 10:46:59.137000,False,0,FIRST,16.393850,FAST_NO_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,BALANCE,2,False,0,,,,,
2024OOS-COU0228,COUNTER,DOWN,2024OOS-MP087,2024-09-13 14:00:00,2024-09-13 15:37:27.205000,2570.84,2572.91,2.069999999999709,2570.82,2572.43,2.2200000000002547,2.119999999999891,1.072463768116216,1.024154589372072,2024-09-13 15:49:16.104000,2572.96,-2.119999999999891,-1.024154589372072,HARD_SL,CHILD_DEAD,2024-09-13 15:49:16.104000,False,0,FRESH_REAUTH,11.814983,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,UP,3,False,UP,3,False,0,,,,,
2024OOS-COU0229,COUNTER,DOWN,2024OOS-MP087,2024-09-13 23:45:00,2024-09-13 23:49:32.404000,2580.54,2586.02,5.480000000000018,2580.53,2581.06,2.75,5.4900000000002365,0.5018248175182465,1.001824817518288,2024-09-16 05:57:08.302000,2586.03,-5.4900000000002365,-1.001824817518288,HARD_SL,CHILD_DEAD,2024-09-16 05:57:08.302000,False,0,FRESH_REAUTH,3247.598300,PARTIAL_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,3,2024-09-13 23:55:00,M5_SWING_LOW_20240913_2215_PIVOT,2024-09-16 02:15:00,BALANCE,0.034671533
2024OOS-COU0230,COUNTER,DOWN,2024OOS-MP087,2024-09-16 10:15:00,2024-09-16 10:25:35.229000,2583.17,2589.59,6.420000000000073,2583.17,2583.23,7.650000000000091,5.529999999999745,1.1915887850467297,0.861370716510854,2024-09-16 15:00:00.206000,2583.3,-0.13000000000010914,-0.020249221183817393,AI_EXIT,CHILD_EXITED,2024-09-16 15:00:00.206000,False,1,FRESH_REAUTH,274.416283,AI_EARLY_LOSS_EXIT,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,3,True,6,2024-09-16 13:32:00,M5_SWING_LOW_20240916_1050_PIVOT,2024-09-16 14:30:00,BALANCE,0.171339564
2024OOS-COU0231,COUNTER,DOWN,2024OOS-MP087,2024-09-16 15:45:00,2024-09-16 15:53:30.700000,2582.13,2583.21,1.0799999999999272,2582.08,2583.56,1.3200000000001637,1.099999999999909,1.2222222222224561,1.0185185185185028,2024-09-16 15:56:32.802000,2583.23,-1.099999999999909,-1.0185185185185028,HARD_SL,CHILD_DEAD,2024-09-16 15:56:32.802000,False,0,FIRST,3.035033,PROFITABLE_1R_PLUS_THEN_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,2,True,DOWN,3,True,0,,,,,
2024OOS-COU0232,COUNTER,DOWN,2024OOS-MP087,2024-09-16 17:30:00,2024-09-16 17:50:23.702000,2580.42,2589.29,8.86999999999989,2580.41,2580.93,2.550000000000182,3.9099999999998545,0.28748590755357534,0.44081172491543436,2024-09-16 21:00:00.027000,2582.79,-2.369999999999891,-0.26719278466740926,AI_EXIT,CHILD_EXITED,2024-09-16 21:00:00.027000,False,1,FRESH_REAUTH,189.605417,AI_EARLY_LOSS_EXIT,MIG_UP,UP,3,MIG_UP,3,UP,2,ALIGNED,DOWN,3,True,DOWN,2,True,0,,,,,
2024OOS-COU0235,COUNTER,DOWN,2024OOS-MP087,2024-09-18 07:45:00,2024-09-18 13:01:31.901000,2572.52,2576.39,3.869999999999891,2572.5,2572.76,1.2899999999999636,4.0,0.3333333333333333,1.033591731266179,2024-09-18 13:31:19.203000,2576.52,-4.0,-1.033591731266179,HARD_SL,CHILD_DEAD,2024-09-18 13:31:19.203000,False,0,FIRST,29.788367,PARTIAL_PROGRESS_HARD_SL,UNRESOLVED_UP,UP,2,AMBIGUOUS,1,DOWN,2,COUNTERFLOW,UP,2,False,UP,3,False,0,,,,,
2024OOS-WIT0059,WITH_PARENT,UP,2024OOS-MP087,2024-09-18 20:00:00,2024-09-18 20:12:36.408000,2573.4,2567.97,5.430000000000291,2572.87,2573.44,0.11000000000012733,5.510000000000218,0.020257826887683506,1.0147329650091939,2024-09-18 20:50:28.301000,2567.89,-5.510000000000218,-1.0147329650091939,HARD_SL,CHILD_DEAD,2024-09-18 20:50:28.301000,False,0,FIRST,37.864883,FAST_NO_PROGRESS_HARD_SL,UNRESOLVED_UP,UP,2,AMBIGUOUS,1,BALANCE,2,LOCAL_BALANCE,UP,2,True,UP,2,True,0,,,,,
2024OOS-WIT0060,WITH_PARENT,UP,2024OOS-MP087,2024-09-18 21:15:00,2024-09-18 21:43:13.200000,2582.64,2566.31,16.329999999999927,2568.73,2582.68,4.820000000000164,16.36999999999989,0.295162278015933,1.0024494794856071,2024-09-18 22:01:26.308000,2566.27,-16.36999999999989,-1.0024494794856071,HARD_SL,CHILD_DEAD,2024-09-18 22:01:26.308000,False,0,FRESH_REAUTH,18.218467,PARTIAL_PROGRESS_HARD_SL,UNRESOLVED_UP,UP,2,AMBIGUOUS,1,DOWN,3,COUNTERFLOW,UP,3,True,UP,3,True,0,,,,,
2024OOS-COU0238,COUNTER,DOWN,2024OOS-MP089,2024-09-27 08:15:00,2024-09-27 15:36:44.008000,2671.37,2673.85,2.480000000000018,2671.37,2672.02,2.630000000000109,1.2800000000002,1.0604838709677782,0.5161290322581414,2024-09-27 15:45:00.402000,2671.93,-0.5599999999999454,-0.22580645161287957,AI_EXIT,CHILD_EXITED,2024-09-27 15:45:00.402000,False,1,FIRST,8.273233,AI_EARLY_LOSS_EXIT,UNRESOLVED_UP,UP,3,AMBIGUOUS,1,DOWN,2,COUNTERFLOW,DOWN,2,True,UP,3,False,0,,,,,
2024OOS-COU0245,COUNTER,UP,2024OOS-MP093,2024-10-03 15:30:00,2024-10-03 15:33:32.804000,2649.57,2640.96,8.610000000000127,2648.29,2649.58,1.7599999999997635,10.66000000000031,0.20441347270612514,1.2380952380952557,2024-10-03 17:00:00.814000,2638.91,-10.66000000000031,-1.2380952380952557,HARD_SL,CHILD_DEAD,2024-10-03 17:00:00.814000,False,0,FIRST,86.466833,NO_PROGRESS_HARD_SL,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,3,ALIGNED,UP,2,True,UP,3,True,0,,,,,
2024OOS-COU0247,COUNTER,DOWN,2024OOS-MP094,2024-10-04 01:15:00,2024-10-04 03:07:22.313000,2656.78,2662.11,5.329999999999927,2656.7,2657.35,1.1000000000003638,5.449999999999818,0.20637898686686282,1.0225140712945389,2024-10-04 05:39:41.304000,2662.23,-5.449999999999818,-1.0225140712945389,HARD_SL,CHILD_DEAD,2024-10-04 05:39:41.304000,False,0,FIRST,152.316517,NO_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,2,UP,3,ALIGNED,BALANCE,2,False,UP,2,False,0,,,,,
2024OOS-COU0249,COUNTER,UP,2024OOS-MP095,2024-10-04 23:00:00,2024-10-04 23:03:35.022000,2650.94,2642.71,8.230000000000018,2649.97,2650.96,2.9200000000000728,1.1700000000000728,0.3547995139732766,0.14216281895505106,2024-10-07 01:00:05.029000,2650.9,-0.03999999999996362,-0.004860267314697878,AI_EXIT,CHILD_EXITED,2024-10-07 01:00:05.029000,False,1,FIRST,2996.500117,AI_EARLY_LOSS_EXIT,UNRESOLVED_DOWN,DOWN,2,AMBIGUOUS,1,DOWN,2,ALIGNED,UP,2,True,UP,2,True,3,2024-10-04 23:31:00,M5_SWING_HIGH_20241004_2315_PIVOT,,,
2024OOS-COU0251,COUNTER,UP,2024OOS-MP097,2024-10-08 06:45:00,2024-10-08 06:50:09.205000,2643.1,2635.14,7.960000000000036,2641.28,2643.11,3.3099999999999454,2.0899999999996908,0.41582914572863444,0.26256281407031173,2024-10-08 09:30:00.405000,2641.01,-2.0899999999996908,-0.26256281407031173,AI_EXIT,CHILD_EXITED,2024-10-08 09:30:00.405000,False,1,FIRST,159.853333,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,3,ALIGNED,UP,2,True,UP,2,True,4,2024-10-08 08:00:00,M5_SWING_HIGH_20241008_0715_PIVOT,2024-10-08 08:30:00,BALANCE,-0.045226131
2024OOS-COU0252,COUNTER,UP,2024OOS-MP097,2024-10-08 13:00:00,2024-10-08 13:00:28.908000,2641.19,2628.52,12.670000000000073,2640.7,2641.19,11.779999999999745,4.539999999999964,0.9297553275453574,0.3583267561168064,2024-10-08 16:30:00.005000,2639.19,-2.0,-0.15785319652722876,AI_EXIT,CHILD_EXITED,2024-10-08 16:30:00.005000,False,1,FIRST,209.518283,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,UP,2,True,UP,3,True,7,2024-10-08 13:16:00,M5_SWING_HIGH_20241008_1255_PIVOT,2024-10-08 16:15:00,BALANCE,0.134175217
2024OOS-COU0253,COUNTER,UP,2024OOS-MP097,2024-10-08 23:00:00,2024-10-08 23:02:58.403000,2621.61,2604.71,16.90000000000009,2619.81,2621.67,2.6700000000000728,16.480000000000018,0.15798816568047683,0.9751479289940786,2024-10-10 07:00:00.005000,2611.77,-9.840000000000146,-0.5822485207100646,AI_EXIT,CHILD_EXITED,2024-10-10 07:00:00.005000,False,1,FIRST,1917.026700,AI_EARLY_LOSS_EXIT,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,3,ALIGNED,UP,2,True,UP,2,True,11,2024-10-09 02:01:00,M5_SWING_HIGH_20241009_0100_PIVOT,2024-10-09 03:00:00,BALANCE,0.019526627
2024OOS-WIT0064,WITH_PARENT,DOWN,2024OOS-MP097,2024-10-10 10:15:00,2024-10-10 10:30:44.709000,2614.85,2616.3,1.4500000000002728,2614.81,2616.3,0.2199999999997999,1.5,0.15172413793086795,1.034482758620495,2024-10-10 10:35:37.209000,2616.35,-1.5,-1.034482758620495,HARD_SL,CHILD_DEAD,2024-10-10 10:35:37.209000,False,0,FIRST,4.875000,FAST_NO_PROGRESS_HARD_SL,MIG_DOWN,DOWN,3,MIG_DOWN,3,AMBIGUOUS,1,LOCAL_BALANCE,UP,2,False,UP,2,False,0,,,,,
2024OOS-WIT0065,WITH_PARENT,DOWN,2024OOS-MP097,2024-10-10 14:45:00,2024-10-10 15:04:03.306000,2614.29,2618.86,4.570000000000164,2614.24,2615.42,10.860000000000127,4.880000000000109,2.3763676148795927,1.0678336980306202,2024-10-10 15:30:12.603000,2619.17,-4.880000000000109,-1.0678336980306202,HARD_SL,CHILD_DEAD,2024-10-10 15:30:12.603000,False,0,FRESH_REAUTH,26.154950,PROFITABLE_1R_PLUS_THEN_HARD_SL,PAUSE_DOWN,DOWN,3,PAUSE_DOWN,2,BALANCE,2,LOCAL_BALANCE,DOWN,2,True,DOWN,3,True,9,2024-10-10 15:30:00,M5_SWING_LOW_20240920_1255_PIVOT,,,
2024OOS-WIT0066,WITH_PARENT,DOWN,2024OOS-MP097,2024-10-10 20:15:00,2024-10-10 20:20:18.377000,2620.08,2629.7,9.61999999999989,2620.08,2622.45,0.0,9.720000000000255,0.0,1.0103950103950483,2024-10-10 22:07:17.050000,2629.8,-9.720000000000255,-1.0103950103950483,HARD_SL,CHILD_DEAD,2024-10-10 22:07:17.050000,False,0,FRESH_REAUTH,106.977883,NO_PROGRESS_HARD_SL,REPAIR_DOWN,DOWN,3,REPAIR_DOWN,2,UP,2,COUNTERFLOW,DOWN,2,True,DOWN,3,True,0,,,,,
2024OOS-COU0254,COUNTER,DOWN,2024OOS-MP098,2024-10-11 10:00:00,2024-10-11 10:15:13.996000,2641.58,2647.17,5.5900000000001455,2641.53,2641.69,5.2199999999998,5.639999999999873,0.9338103756707807,1.0089445438282156,2024-10-11 15:20:03.292000,2647.22,-5.639999999999873,-1.0089445438282156,HARD_SL,CHILD_DEAD,2024-10-11 15:20:03.292000,False,0,FIRST,304.821600,PARTIAL_PROGRESS_HARD_SL,MIG_UP,UP,2,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,7,2024-10-11 11:31:00,M5_SWING_LOW_20241011_1115_PIVOT,2024-10-11 11:45:00,BALANCE,0.139534884
2024OOS-WIT0067,WITH_PARENT,UP,2024OOS-MP098,2024-10-14 17:00:00,2024-10-14 17:02:45.375000,2654.66,2647.71,6.949999999999818,2652.93,2654.67,2.3600000000001273,7.539999999999964,0.33956834532376823,1.0848920863309583,2024-10-14 17:20:01.923000,2647.12,-7.539999999999964,-1.0848920863309583,HARD_SL,CHILD_DEAD,2024-10-14 17:20:01.923000,False,0,FIRST,17.275800,PARTIAL_PROGRESS_HARD_SL,PAUSE_UP,UP,3,PAUSE_UP,2,AMBIGUOUS,1,LOCAL_BALANCE,UP,2,True,BALANCE,2,False,0,,,,,
2024OOS-WIT0068,WITH_PARENT,UP,2024OOS-MP098,2024-10-14 21:45:00,2024-10-14 21:48:24.487000,2650.05,2643.92,6.130000000000109,2649.67,2650.1,3.2399999999997817,4.730000000000018,0.5285481239803791,0.7716150081565961,2024-10-15 06:30:00.096000,2647.44,-2.6100000000001273,-0.42577487765091043,AI_EXIT,CHILD_EXITED,2024-10-15 06:30:00.096000,False,1,FRESH_REAUTH,521.593483,AI_EARLY_LOSS_EXIT,UNRESOLVED_UP,UP,3,AMBIGUOUS,1,DOWN,2,COUNTERFLOW,UP,2,True,UP,2,True,9,2024-10-14 22:04:00,M5_SWING_HIGH_20241014_2135_PIVOT,2024-10-14 23:45:00,DOWN,-0.285481240
2024OOS-COU0257,COUNTER,DOWN,2024OOS-MP098,2024-10-15 14:45:00,2024-10-15 14:47:10.448000,2650.81,2656.76,5.950000000000273,2650.81,2653.11,5.070000000000164,6.0900000000001455,0.8521008403361229,1.0235294117646834,2024-10-15 15:29:01.992000,2656.9,-6.0900000000001455,-1.0235294117646834,HARD_SL,CHILD_DEAD,2024-10-15 15:29:01.992000,False,0,FIRST,41.859067,PARTIAL_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,0,,,,,
2024OOS-WIT0070,WITH_PARENT,UP,2024OOS-MP098,2024-10-15 15:45:00,2024-10-15 15:52:46.572000,2649.81,2647.64,2.1700000000000728,2646.08,2649.87,0.47000000000025466,2.299999999999727,0.21658986175126216,1.0599078341012211,2024-10-15 15:56:53.054000,2647.51,-2.299999999999727,-1.0599078341012211,HARD_SL,CHILD_DEAD,2024-10-15 15:56:53.054000,False,0,FIRST,4.108033,FAST_NO_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,2,BALANCE,2,LOCAL_BALANCE,UP,3,True,BALANCE,3,False,0,,,,,
2024OOS-COU0258,COUNTER,DOWN,2024OOS-MP098,2024-10-15 23:15:00,2024-10-15 23:33:02.183000,2661.38,2668.88,7.5,2661.36,2661.49,2.480000000000018,7.670000000000073,0.3306666666666691,1.0226666666666764,2024-10-16 05:00:57.264000,2669.05,-7.670000000000073,-1.0226666666666764,HARD_SL,CHILD_DEAD,2024-10-16 05:00:57.264000,False,0,FIRST,327.918017,PARTIAL_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,7,2024-10-16 02:51:00,M5_SWING_LOW_20241016_0230_PIVOT,2024-10-16 04:15:00,UP,-0.360000000
2024OOS-COU0259,COUNTER,DOWN,2024OOS-MP098,2024-10-16 14:00:00,2024-10-16 14:10:18.286000,2675.62,2682.72,7.099999999999909,2675.62,2678.01,0.38000000000010914,7.140000000000327,0.053521126760579435,1.0056338028169605,2024-10-16 16:00:24.026000,2682.76,-7.140000000000327,-1.0056338028169605,HARD_SL,CHILD_DEAD,2024-10-16 16:00:24.026000,False,0,FRESH_REAUTH,110.095667,NO_PROGRESS_HARD_SL,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,BALANCE,2,False,0,,,,,
