child_id,branch,side,parent_id_at_entry,authorized_at,entry_at,entry_price,origin,initial_risk,zone_low,zone_high,mfe,mae,mfe_r,mae_r,exit_at,exit_price,realized_pnl,realized_r,terminal_reason,terminal_state,terminal_at,censored,review_count,auth_class,duration_minutes,loss_class,h4_flow_at_entry,h4_macro_at_entry,h4_macro_agree_n,h4_role_at_entry,h4_role_agree_n,h1_consensus_at_entry,h1_agree_n,h1_relation_at_entry,m15_consensus_at_entry,m15_agree_n,m15_supports_child,m5_consensus_at_entry,m5_agree_n,m5_supports_child,favorable_liquidity_delivery_count,first_favorable_delivery_at,first_favorable_delivery_object,first_post_delivery_m15_nonsupport_at,first_post_delivery_m15_nonsupport_consensus,counterfactual_r_at_first_post_delivery_m15_nonsupport,entry_dt,exit_dt,giveback,winner,hard_sl,r_event_count,management_calls
2024OOS-WIT0022,WITH_PARENT,UP,2024OOS-MP028,2024-04-05 08:45:00,2024-04-05 08:56:49.851000,2279.11,2267.7,11.41000000000031,2279.03,2279.15,86.15999999999985,2.570000000000164,7.551270815074279,0.2252410166520678,2024-04-10 15:45:00.001000,2338.56,59.44999999999982,5.210341805433673,AI_EXIT,CHILD_EXITED,2024-04-10 15:45:00.001000,False,1,FIRST,7608.169167,,REPAIR_UP,UP,3,REPAIR_UP,2,DOWN,2,COUNTERFLOW,UP,2,True,UP,3,True,119,2024-04-05 09:04:00,M5_SWING_HIGH_20240405_0840_PIVOT,2024-04-05 09:30:00,BALANCE,0.002629273,2024-04-05 08:56:49.851,2024-04-10 15:45:00.001,False,True,False,7,10
2024OOS-COU0161,COUNTER,UP,2024OOS-MP061,2024-06-27 03:30:00,2024-06-27 03:49:18.252000,2298.36,2293.57,4.789999999999964,2298.13,2298.52,27.230000000000015,1.8700000000003456,5.68475991649274,0.3903966597077995,2024-06-27 16:00:00.066000,2322.81,24.449999999999815,5.104384133611692,AI_EXIT,CHILD_EXITED,2024-06-27 16:00:00.066000,False,1,FRESH_REAUTH,730.6969,,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,UP,2,True,UP,3,True,28,2024-06-27 04:29:00,M5_SWING_HIGH_20240627_0400_PIVOT,2024-06-27 04:45:00,DOWN,-0.315240084,2024-06-27 03:49:18.252,2024-06-27 16:00:00.066,False,True,False,5,8
2024OOS-COU0272,COUNTER,DOWN,2024OOS-MP098,2024-10-23 13:00:00,2024-10-23 13:02:03.846000,2751.58,2758.42,6.8400000000001455,2751.49,2753.01,42.7199999999998,1.5199999999999818,6.2456140350875575,0.2222222222222148,2024-10-23 20:00:00.155000,2719.47,32.11000000000013,4.694444444444363,AI_EXIT,CHILD_EXITED,2024-10-23 20:00:00.155000,False,1,FIRST,417.938483,,MIG_UP,UP,3,MIG_UP,3,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,30,2024-10-23 13:49:00,M5_SWING_LOW_20241023_1240_PIVOT,,,,2024-10-23 13:02:03.846,2024-10-23 20:00:00.155,False,True,False,6,8
2024OOS-COU0181,COUNTER,UP,2024OOS-MP068,2024-07-25 22:45:00,2024-07-25 22:59:12.579000,2362.14,2353.06,9.079999999999927,2360.59,2362.14,40.93000000000029,6.369999999999891,4.50770925110139,0.701541850220258,2024-07-29 04:00:00.051000,2399.95,37.809999999999945,4.164096916299587,AI_EXIT,CHILD_EXITED,2024-07-29 04:00:00.051000,False,1,FRESH_REAUTH,4620.7912,,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,3,ALIGNED,UP,2,True,UP,2,True,51,2024-07-25 23:34:00,M5_SWING_HIGH_20240725_2310_PIVOT,2024-07-26 01:45:00,BALANCE,0.136563877,2024-07-25 22:59:12.579,2024-07-29 04:00:00.051,False,True,False,4,7
2024OOS-COU0037,COUNTER,UP,2024OOS-MP015,2024-02-15 07:30:00,2024-02-15 07:56:20.896000,1991.97,1990.41,1.5599999999999454,1991.32,1991.97,16.319999999999936,0.5,10.461538461538789,0.3205128205128317,2024-02-16 17:00:00.048000,1997.96,5.990000000000009,3.8397435897437298,AI_EXIT,CHILD_EXITED,2024-02-16 17:00:00.048000,False,1,FIRST,1983.652533,,PAUSE_DOWN,DOWN,3,PAUSE_DOWN,2,DOWN,2,ALIGNED,UP,3,True,DOWN,3,False,51,2024-02-15 08:08:00,M5_SWING_HIGH_20240215_0735_PIVOT,2024-02-15 08:30:00,BALANCE,-0.044871795,2024-02-15 07:56:20.896,2024-02-16 17:00:00.048,False,True,False,10,12
2024OOS-WIT0013,WITH_PARENT,UP,2024OOS-MP016,2024-02-20 03:30:00,2024-02-20 03:56:09.837000,2016.87,2014.94,1.9299999999998363,2016.55,2016.87,15.320000000000164,0.2799999999999727,7.9378238341976495,0.145077720207252,2024-02-21 18:00:00.123000,2024.16,7.290000000000191,3.77720207253928,AI_EXIT,CHILD_EXITED,2024-02-21 18:00:00.123000,False,1,FIRST,2283.8381,,MIG_UP,UP,3,MIG_UP,3,BALANCE,3,LOCAL_BALANCE,UP,2,True,UP,2,True,60,2024-02-20 04:27:00,M5_SWING_HIGH_20240220_0410_PIVOT,2024-02-20 16:45:00,BALANCE,4.730569948,2024-02-20 03:56:09.837,2024-02-21 18:00:00.123,False,True,False,7,10
2024OOS-COU0145,COUNTER,DOWN,2024OOS-MP056,2024-06-14 23:30:00,2024-06-14 23:37:00.102000,2332.03,2335.52,3.4899999999997817,2332.0,2332.23,16.370000000000346,1.1599999999998545,4.690544412607842,0.3323782234956811,2024-06-17 16:00:00.249000,2319.76,12.269999999999982,3.515759312321132,AI_EXIT,CHILD_EXITED,2024-06-17 16:00:00.249000,False,1,FRESH_REAUTH,3863.00245,,MIG_UP,UP,2,MIG_UP,2,UP,3,ALIGNED,DOWN,2,True,DOWN,2,True,25,2024-06-17 01:00:00,M5_SWING_LOW_20240614_2320_PIVOT,2024-06-17 04:30:00,BALANCE,1.575931232,2024-06-14 23:37:00.102,2024-06-17 16:00:00.249,False,True,False,4,7
2024OOS-COU0136,COUNTER,UP,2024OOS-MP050,2024-06-04 20:45:00,2024-06-04 21:32:01.912000,2326.98,2323.73,3.25,2325.03,2327.01,11.170000000000073,1.1300000000001091,3.436923076923099,0.3476923076923413,2024-06-05 08:00:00.004000,2337.92,10.940000000000056,3.366153846153863,AI_EXIT,CHILD_EXITED,2024-06-05 08:00:00.004000,False,1,FIRST,627.9682,,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,UP,2,True,UP,2,True,20,2024-06-04 22:55:00,M5_SWING_HIGH_20240604_2225_PIVOT,2024-06-04 23:00:00,BALANCE,0.083076923,2024-06-04 21:32:01.912,2024-06-05 08:00:00.004,False,True,False,3,6
2024OOS-COU0069,COUNTER,UP,2024OOS-MP023,2024-03-15 03:00:00,2024-03-15 03:45:51.050000,2162.59,2160.57,2.019999999999982,2162.04,2162.62,6.579999999999927,1.050000000000182,3.2574257425742505,0.5198019801981145,2024-03-15 08:00:00.101000,2169.14,6.549999999999727,3.2425742574256367,AI_EXIT,CHILD_EXITED,2024-03-15 08:00:00.101000,False,1,FIRST,254.15085,,MIG_DOWN,DOWN,2,MIG_DOWN,2,DOWN,2,ALIGNED,BALANCE,2,False,BALANCE,2,False,8,2024-03-15 04:52:00,M5_SWING_HIGH_20240315_0425_PIVOT,2024-03-15 05:00:00,DOWN,-0.163366337,2024-03-15 03:45:51.050,2024-03-15 08:00:00.101,False,True,False,3,6
2024OOS-COU0290,COUNTER,UP,2024OOS-MP106,2024-11-07 06:00:00,2024-11-07 06:05:33.648000,2658.03,2643.33,14.700000000000273,2655.72,2658.07,52.159999999999854,5.320000000000164,3.5482993197278154,0.3619047619047663,2024-11-08 01:00:05.605000,2705.64,47.60999999999967,3.2387755102039995,AI_EXIT,CHILD_EXITED,2024-11-08 01:00:05.605000,False,1,FIRST,1134.532617,,MIG_DOWN,DOWN,3,MIG_DOWN,3,DOWN,2,ALIGNED,UP,2,True,UP,2,True,37,2024-11-07 07:08:00,M5_SWING_HIGH_20241107_0635_PIVOT,2024-11-07 07:15:00,BALANCE,0.03877551,2024-11-07 06:05:33.648,2024-11-08 01:00:05.605,False,True,False,3,6
