child_id,at,event,source,minute
2024OOS-COU0058,2024-03-05 19:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-05 19:00:00
2024OOS-COU0060,2024-03-07 01:46:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-07 01:46:00
2024OOS-COU0060,2024-03-07 02:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-07 02:00:00
2024OOS-COU0061,2024-03-07 14:37:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-07 14:37:00
2024OOS-COU0061,2024-03-07 14:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-07 14:45:00
2024OOS-COU0062,2024-03-08 06:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-08 06:00:00
2024OOS-COU0062,2024-03-07 20:52:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-07 20:52:00
2024OOS-COU0062,2024-03-07 21:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-07 21:00:00
2024OOS-COU0063,2024-03-08 15:30:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-08 15:30:00
2024OOS-COU0064,2024-03-11 15:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-11 15:45:00
2024OOS-COU0064,2024-03-08 21:05:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-08 21:05:00
2024OOS-COU0064,2024-03-08 21:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-08 21:45:00
2024OOS-COU0065,2024-03-12 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-12 16:00:00
2024OOS-COU0065,2024-03-11 19:51:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-11 19:51:00
2024OOS-COU0065,2024-03-11 21:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-11 21:00:00
2024OOS-COU0066,2024-03-13 04:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-13 04:00:00
2024OOS-COU0066,2024-03-13 02:13:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-13 02:13:00
2024OOS-COU0066,2024-03-13 02:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-13 02:15:00
2024OOS-COU0068,2024-03-14 16:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-14 16:00:00
2024OOS-COU0068,2024-03-14 04:52:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-14 04:52:00
2024OOS-COU0068,2024-03-14 07:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-14 07:30:00
2024OOS-COU0069,2024-03-15 08:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-15 08:00:00
2024OOS-COU0069,2024-03-15 04:52:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-15 04:52:00
2024OOS-COU0069,2024-03-15 05:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-15 05:00:00
2024OOS-COU0070,2024-03-18 20:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-18 20:00:00
2024OOS-COU0070,2024-03-18 09:41:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-18 09:41:00
2024OOS-COU0070,2024-03-18 15:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-18 15:30:00
2024OOS-COU0071,2024-03-22 04:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-03-22 04:00:00
2024OOS-COU0071,2024-03-21 15:09:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-21 15:09:00
2024OOS-COU0071,2024-03-22 00:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-22 00:15:00
2024OOS-COU0074,2024-03-27 15:00:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-03-27 15:00:00
2024OOS-COU0074,2024-03-27 15:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-03-27 15:45:00
2024OOS-COU0080,2024-04-02 15:13:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-02 15:13:00
2024OOS-COU0080,2024-04-02 15:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-02 15:15:00
2024OOS-COU0083,2024-04-04 14:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-04 14:00:00
2024OOS-COU0083,2024-04-04 08:24:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-04 08:24:00
2024OOS-COU0083,2024-04-04 14:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-04 14:00:00
2024OOS-WIT0021,2024-04-04 21:06:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-04 21:06:00
2024OOS-WIT0021,2024-04-04 22:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-04 22:45:00
2024OOS-WIT0022,2024-04-10 15:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-10 15:45:00
2024OOS-WIT0022,2024-04-05 09:04:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-05 09:04:00
2024OOS-WIT0022,2024-04-05 09:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-05 09:30:00
2024OOS-WIT0023,2024-04-11 07:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-11 07:45:00
2024OOS-COU0085,2024-04-11 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-11 12:00:00
2024OOS-COU0085,2024-04-11 10:57:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-11 10:57:00
