dt,open,high,low,close,block,ema20,ema50,state_ema20,state_net_mid,state_ema_stack,h1_state_consensus,h1_agree_n,known_at,macro_state_majority,flow_state,macro_agree_n,role_agree_n,h1_vs_h4_relation
2025-01-29 10:00:00,2759.06,2766.1,2759.06,2763.98,2025H1,2758.876820036603,2755.789655582899,UP,UP,UP,UP,3,2025-01-29 11:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-29 11:00:00,2763.99,2764.38,2760.41,2762.79,2025H1,2759.2495038426405,2756.0641788933735,UP,BALANCE,UP,UP,2,2025-01-29 12:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-29 12:00:00,2762.77,2763.35,2757.12,2758.19,2025H1,2759.14859871477,2756.1475444269668,BALANCE,DOWN,BALANCE,BALANCE,2,2025-01-29 13:00:00,UP,MIG_UP,3.0,3.0,LOCAL_BALANCE
2025-01-29 13:00:00,2758.16,2759.74,2757.47,2759.01,2025H1,2759.135398837173,2756.2597975866934,BALANCE,DOWN,BALANCE,BALANCE,2,2025-01-29 14:00:00,UP,MIG_UP,3.0,3.0,LOCAL_BALANCE
2025-01-29 14:00:00,2759.01,2759.22,2755.54,2756.52,2025H1,2758.886313233633,2756.2700016029016,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 15:00:00,UP,MIG_UP,3.0,3.0,COUNTERFLOW
2025-01-29 15:00:00,2756.56,2759.47,2752.09,2758.65,2025H1,2758.8638072113818,2756.363334873376,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 16:00:00,UP,MIG_UP,2.0,2.0,COUNTERFLOW
2025-01-29 16:00:00,2758.61,2761.12,2756.37,2759.31,2025H1,2758.906301762679,2756.4788903685376,BALANCE,UP,UP,UP,2,2025-01-29 17:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-29 17:00:00,2759.3,2759.67,2748.24,2754.18,2025H1,2758.456177785281,2756.3887378050654,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 18:00:00,UP,MIG_UP,2.0,2.0,COUNTERFLOW
2025-01-29 18:00:00,2754.27,2756.17,2748.29,2751.5,2025H1,2757.7936846628736,2756.197022597024,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 19:00:00,UP,MIG_UP,2.0,2.0,COUNTERFLOW
2025-01-29 19:00:00,2751.52,2754.35,2750.94,2752.83,2025H1,2757.320952790219,2756.06498249518,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 20:00:00,AMBIGUOUS,AMBIGUOUS,1.0,1.0,H4_NON_DIRECTIONAL
2025-01-29 20:00:00,2752.82,2753.9,2748.73,2751.08,2025H1,2756.7265763340074,2755.8694929855656,DOWN,DOWN,BALANCE,DOWN,2,2025-01-29 21:00:00,AMBIGUOUS,AMBIGUOUS,1.0,1.0,H4_NON_DIRECTIONAL
2025-01-29 21:00:00,2750.49,2757.74,2744.66,2755.18,2025H1,2756.5792833498163,2755.842454044955,DOWN,BALANCE,BALANCE,BALANCE,2,2025-01-29 22:00:00,AMBIGUOUS,AMBIGUOUS,1.0,1.0,H4_NON_DIRECTIONAL
2025-01-29 22:00:00,2755.19,2759.02,2752.5,2755.0,2025H1,2756.4288754117383,2755.8094166314277,DOWN,BALANCE,BALANCE,BALANCE,2,2025-01-29 23:00:00,AMBIGUOUS,AMBIGUOUS,1.0,1.0,H4_NON_DIRECTIONAL
2025-01-29 23:00:00,2754.98,2759.85,2754.09,2759.79,2025H1,2756.748982515382,2755.965517939999,UP,UP,UP,UP,3,2025-01-30 00:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 01:00:00,2758.47,2760.65,2757.62,2760.33,2025H1,2757.0900317996316,2756.1366740992144,UP,UP,UP,UP,3,2025-01-30 02:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 02:00:00,2760.31,2762.6,2758.91,2762.17,2025H1,2757.573838294905,2756.373275114932,UP,UP,UP,UP,3,2025-01-30 03:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 03:00:00,2762.16,2762.16,2758.98,2760.15,2025H1,2757.8191870287233,2756.52138197317,UP,UP,UP,UP,3,2025-01-30 04:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 04:00:00,2760.16,2761.4,2759.27,2760.34,2025H1,2758.059264454559,2756.6711316997125,UP,UP,UP,UP,3,2025-01-30 05:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 05:00:00,2760.32,2762.39,2759.34,2761.79,2025H1,2758.414572601744,2756.8718716330573,UP,UP,UP,UP,3,2025-01-30 06:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 06:00:00,2761.77,2763.39,2759.82,2760.41,2025H1,2758.60461330634,2757.0106217650946,UP,UP,UP,UP,3,2025-01-30 07:00:00,UP,MIG_UP,2.0,2.0,ALIGNED
2025-01-30 07:00:00,2760.44,2761.14,2758.77,2760.55,2025H1,2758.789888229546,2757.1494209115617,UP,UP,UP,UP,3,2025-01-30 08:00:00,UP,UNRESOLVED_UP,2.0,1.0,ALIGNED
2025-01-30 08:00:00,2760.54,2766.47,2760.22,2765.59,2025H1,2759.43751792197,2757.4804240130693,UP,UP,UP,UP,3,2025-01-30 09:00:00,UP,UNRESOLVED_UP,2.0,1.0,ALIGNED
