cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0053,2025H1,BEAR,2025-01-28 16:00:00,2751.25,2752.28,1,FVG,H1,H1_FVG_BEAR_20250127_1700,False,False,BALANCE,BALANCE,True,False,,2.8750000000004547,14.484999999999673
POIC0054,2025H1,BEAR,2025-01-28 18:00:00,2757.92,2760.52,1,FVG,H1,H1_FVG_BEAR_20250127_1600,False,False,BALANCE,BALANCE,True,True,,10.980000000000471,7.029999999999745
POIC0055,2025H1,BEAR,2025-01-28 20:00:00,2762.4,2765.09,1,FVG,H1,H1_FVG_BEAR_20250127_1500,False,False,BALANCE,BALANCE,False,True,,15.50500000000011,2.505000000000109
POIC0056,2025H1,BEAR,2025-01-29 03:00:00,2765.09,2771.94,1,OB,H1,H1_OB_BEAR_20250127_1300_VIA_20250127_1700,False,False,UP,OPPOSING,False,True,False,23.855000000000476,-2.2650000000003274
POIC0057,2025H1,BEAR,2025-01-29 10:00:00,2763.41,2765.65,1,OB,H1,H1_OB_BEAR_20250129_0400_VIA_20250129_0700,False,False,UP,OPPOSING,False,True,False,19.86999999999989,4.940000000000055
POIC0058,2025H1,BEAR,2025-01-29 15:00:00,2757.47,2759.74,1,OB,H1,H1_OB_BEAR_20250129_1300_VIA_20250129_1400,False,False,UP,OPPOSING,False,False,True,13.944999999999707,22.62500000000045
POIC0059,2025H1,BEAR,2025-01-29 16:00:00,2759.74,2760.41,1,FVG,H1,H1_FVG_BEAR_20250129_1300,False,False,UP,OPPOSING,False,False,True,15.414999999999964,25.9350000000004
POIC0060,2025H1,BEAR,2025-01-29 21:00:00,2756.17,2756.37,1,FVG,H1,H1_FVG_BEAR_20250129_1800,False,False,UP,OPPOSING,False,False,True,11.610000000000127,42.17999999999984
POIC0061,2025H1,BEAR,2025-02-03 01:00:00,2802.83,2802.94,1,FVG,H1,H1_FVG_BEAR_20250131_2100,False,False,DOWN,ALIGNED,False,True,True,30.795000000000076,27.824999999999815
POIC0062,2025H1,BEAR,2025-02-03 06:00:00,2782.7,2790.05,1,FVG,H1,H1_FVG_BEAR_20250203_0400,False,False,DOWN,ALIGNED,False,False,False,12.215000000000146,44.33500000000004
