event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_BUY_SIDE_20250325_0500,2025H1,UP,3,2025-03-25 08:00:00,3.0,True,True
2025H1_BUY_SIDE_20250325_1000,2025H1,UP,1,2025-03-25 11:00:00,1.0,True,True
2025H1_BUY_SIDE_20250325_1000,2025H1,UP,2,2025-03-25 12:00:00,2.0,True,True
2025H1_BUY_SIDE_20250325_1000,2025H1,UP,3,2025-03-25 13:00:00,3.0,True,True
2025H1_BUY_SIDE_20250326_0900,2025H1,UP,1,2025-03-26 10:00:00,1.0,False,False
2025H1_BUY_SIDE_20250326_0900,2025H1,UP,2,2025-03-26 15:00:00,6.0,False,False
2025H1_SELL_SIDE_20250326_1500,2025H1,DOWN,1,2025-03-26 16:00:00,1.0,False,False
2025H1_SELL_SIDE_20250326_1500,2025H1,DOWN,2,2025-03-26 19:00:00,4.0,False,False
2025H1_BUY_SIDE_20250327_0200,2025H1,UP,1,2025-03-27 03:00:00,1.0,True,True
2025H1_BUY_SIDE_20250327_0200,2025H1,UP,2,2025-03-27 04:00:00,2.0,True,True
2025H1_BUY_SIDE_20250327_0200,2025H1,UP,3,2025-03-27 05:00:00,3.0,True,True
2025H1_BUY_SIDE_20250402_0300,2025H1,UP,1,2025-04-02 04:00:00,1.0,False,False
2025H1_BUY_SIDE_20250402_0300,2025H1,UP,2,2025-04-02 05:00:00,2.0,False,False
2025H1_BUY_SIDE_20250402_0300,2025H1,UP,3,2025-04-02 06:00:00,3.0,False,False
2025H1_BUY_SIDE_20250402_2300,2025H1,UP,1,2025-04-03 02:00:00,3.0,True,False
2025H1_BUY_SIDE_20250402_2300,2025H1,UP,2,2025-04-03 03:00:00,4.0,False,False
2025H1_BUY_SIDE_20250402_2300,2025H1,UP,3,2025-04-03 04:00:00,5.0,False,False
2025H1_SELL_SIDE_20250414_1100,2025H1,DOWN,1,2025-04-14 14:00:00,3.0,True,True
2025H1_SELL_SIDE_20250414_1100,2025H1,DOWN,2,2025-04-14 17:00:00,6.0,False,False
2025H1_SELL_SIDE_20250414_1300,2025H1,DOWN,1,2025-04-14 16:00:00,3.0,True,True
2025H1_SELL_SIDE_20250414_1300,2025H1,DOWN,2,2025-04-14 17:00:00,4.0,False,False
2025H1_BUY_SIDE_20250415_0400,2025H1,UP,1,2025-04-15 05:00:00,1.0,True,False
2025H1_BUY_SIDE_20250415_0400,2025H1,UP,2,2025-04-15 06:00:00,2.0,True,False
2025H1_BUY_SIDE_20250415_0400,2025H1,UP,3,2025-04-15 07:00:00,3.0,False,False
2025H1_BUY_SIDE_20250415_0600,2025H1,UP,1,2025-04-15 07:00:00,1.0,False,False
2025H1_BUY_SIDE_20250415_0600,2025H1,UP,2,2025-04-15 08:00:00,2.0,False,False
2025H1_SELL_SIDE_20250415_1400,2025H1,DOWN,1,2025-04-15 17:00:00,3.0,False,False
2025H1_SELL_SIDE_20250417_1600,2025H1,DOWN,1,2025-04-17 18:00:00,2.0,False,False
2025H1_SELL_SIDE_20250417_1600,2025H1,DOWN,2,2025-04-17 19:00:00,3.0,False,False
2025H1_SELL_SIDE_20250417_1700,2025H1,DOWN,1,2025-04-17 18:00:00,1.0,False,False
2025H1_BUY_SIDE_20250417_2300,2025H1,UP,1,2025-04-18 00:00:00,1.0,,
