id,tf,side,price,source,known_at
H1_SSL_20240130_0400,H1,DOWN,2029.74,2024-01-30 04:00:00,2024-01-30 07:00:00
H1_BSL_20240130_0900,H1,UP,2040.28,2024-01-30 09:00:00,2024-01-30 12:00:00
H1_SSL_20240130_1300,H1,DOWN,2031.21,2024-01-30 13:00:00,2024-01-30 16:00:00
H1_BSL_20240130_1600,H1,UP,2048.55,2024-01-30 16:00:00,2024-01-30 19:00:00
H1_SSL_20240130_1700,H1,DOWN,2029.02,2024-01-30 17:00:00,2024-01-30 20:00:00
H1_SSL_20240130_2000,H1,DOWN,2031.48,2024-01-30 20:00:00,2024-01-30 23:00:00
H1_BSL_20240130_2100,H1,UP,2037.02,2024-01-30 21:00:00,2024-01-31 00:00:00
H4_BSL_20240130_1600,H4,UP,2048.55,2024-01-30 16:00:00,2024-01-31 04:00:00
H4_SSL_20240130_1600,H4,DOWN,2029.02,2024-01-30 16:00:00,2024-01-31 04:00:00
H1_BSL_20240131_0200,H1,UP,2038.64,2024-01-31 02:00:00,2024-01-31 05:00:00
H1_SSL_20240131_0400,H1,DOWN,2032.75,2024-01-31 04:00:00,2024-01-31 07:00:00
H1_BSL_20240131_1000,H1,UP,2040.4,2024-01-31 10:00:00,2024-01-31 13:00:00
H1_SSL_20240131_1500,H1,DOWN,2035.97,2024-01-31 15:00:00,2024-01-31 18:00:00
H1_BSL_20240131_1700,H1,UP,2055.96,2024-01-31 17:00:00,2024-01-31 20:00:00
H1_SSL_20240131_2200,H1,DOWN,2030.77,2024-01-31 22:00:00,2024-02-01 02:00:00
H4_BSL_20240131_1600,H4,UP,2055.96,2024-01-31 16:00:00,2024-02-01 04:00:00
H1_BSL_20240201_0400,H1,UP,2049.54,2024-02-01 04:00:00,2024-02-01 07:00:00
H4_SSL_20240131_2000,H4,DOWN,2030.77,2024-01-31 20:00:00,2024-02-01 08:00:00
H1_SSL_20240201_1300,H1,DOWN,2029.98,2024-02-01 13:00:00,2024-02-01 16:00:00
H1_BSL_20240201_1800,H1,UP,2065.35,2024-02-01 18:00:00,2024-02-01 21:00:00
H4_SSL_20240201_1200,H4,DOWN,2029.98,2024-02-01 12:00:00,2024-02-02 00:00:00
H4_BSL_20240201_1600,H4,UP,2065.35,2024-02-01 16:00:00,2024-02-02 04:00:00
