combo,mean_auc,min_auc,mean_pair,min_pair,years
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA,0.5724595393713041,0.5073529411764706,0.43452380952380953,0.2857142857142857,2
CYCLE_MIN+DELIVERY+PHA_NHA,0.5706991129785246,0.5183823529411764,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+PHA_NHA+OLD_BEST3,0.5676840180516651,0.5110294117647058,0.39285714285714285,0.2857142857142857,2
RESILIENT_PRESSURE+DELIVERY+PHA_NHA+OLD_BEST3,0.5657387955182072,0.5183823529411764,0.4642857142857143,0.42857142857142855,2
DELIVERY+OLD_BEST3,0.5656609866168689,0.5036764705882353,0.43452380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+DELIVERY,0.5648926237161531,0.5147058823529412,0.30952380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+DELIVERY+PHA_NHA,0.5622471210706506,0.5147058823529412,0.27976190476190477,0.14285714285714285,2
RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.5621887643946468,0.5582010582010581,0.30952380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+DELIVERY+PHA_NHA+OLD_BEST3,0.5546023965141612,0.5073529411764706,0.35119047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+PHA_NHA,0.5538632119514473,0.49264705882352944,0.39285714285714285,0.2857142857142857,2
CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,0.5532990974167444,0.5330687830687831,0.38095238095238093,0.3333333333333333,2
CYCLE_MIN+DELIVERY+PHA_NHA+OLD_BEST3,0.5523945689386867,0.4963235294117647,0.30952380952380953,0.2857142857142857,2
RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,0.5494961873638344,0.5110294117647058,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA,0.5458975256769374,0.5183823529411764,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+DELIVERY+OLD_BEST3,0.5435729847494554,0.4852941176470588,0.35119047619047616,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA,0.5422502334267041,0.4852941176470588,0.4642857142857143,0.42857142857142855,2
POSITION_DAMAGE+OLD_BEST3,0.5397798008092125,0.49867724867724866,0.38095238095238093,0.3333333333333333,2
CYCLE_MIN+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.536531279178338,0.5294117647058822,0.35119047619047616,0.2857142857142857,2
CYCLE_MIN+PHA_NHA,0.5308220510426394,0.4816176470588236,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,0.530126633986928,0.4908088235294118,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,0.5289643635231871,0.5211640211640212,0.39285714285714285,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+PHA_NHA,0.5277972300031124,0.4894179894179894,0.38095238095238093,0.3333333333333333,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA,0.5273887332710863,0.5033068783068783,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+POSITION_DAMAGE,0.5262994086523498,0.457010582010582,0.26785714285714285,0.25,2
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.5155131497043262,0.5052910052910053,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA,0.5134025832555245,0.47058823529411764,0.35119047619047616,0.2857142857142857,2
