block,challenge_ts,old_primary,challenger,d_old,d_challenger,challenge_topology,outcome,prediction,correct
2025H1,2025-03-06 11:54:00,UP,DOWN,35.56999999999971,61.66000000000031,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2025H1,2025-03-10 10:33:00,UP,DOWN,28.2800000000002,5.789999999999964,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-03-12 11:00:00,DOWN,UP,42.4399999999996,8.080000000000382,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-03-21 07:42:00,UP,DOWN,34.92000000000007,44.05000000000018,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2025H1,2025-03-26 17:02:00,UP,DOWN,22.7199999999998,10.830000000000382,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-04-03 13:28:00,UP,DOWN,63.01999999999998,3.980000000000018,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-04-09 09:07:00,DOWN,UP,66.44000000000005,32.90000000000009,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-04-14 13:23:00,UP,DOWN,,239.16999999999962,NO_OLD_TARGET,OLD_PRIMARY_WINS,,
2025H1,2025-04-23 16:40:00,UP,DOWN,216.0699999999997,72.32999999999993,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-04-25 08:44:00,UP,DOWN,193.32999999999993,46.539999999999964,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-04-30 11:10:00,UP,DOWN,30.320000000000164,31.679999999999836,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2025H1,2025-05-05 04:31:00,DOWN,UP,46.51000000000022,50.47999999999956,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2025H1,2025-05-08 08:53:00,UP,DOWN,74.15000000000009,3.4699999999998,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-05-15 16:09:00,DOWN,UP,222.62999999999965,72.88000000000011,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-05-27 08:45:00,UP,DOWN,42.23999999999978,44.5300000000002,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2025H1,2025-05-29 19:04:00,DOWN,UP,80.09999999999991,24.449999999999818,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-06-05 18:47:00,UP,DOWN,70.94000000000005,10.7199999999998,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-06-10 14:12:00,DOWN,UP,44.68000000000029,37.44999999999982,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-06-17 06:11:00,UP,DOWN,68.57999999999993,44.23000000000002,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-06-26 02:11:00,DOWN,UP,41.69999999999982,56.42000000000007,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2026JF,2026-01-09 15:32:00,DOWN,UP,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-01-13 22:34:00,UP,DOWN,,,BOTH_MISSING,OLD_PRIMARY_WINS,,
2026JF,2026-01-16 17:27:00,UP,DOWN,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-01-19 01:00:00,DOWN,UP,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-01-29 17:27:00,UP,DOWN,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-02-03 02:24:00,DOWN,UP,,,BOTH_MISSING,OLD_PRIMARY_WINS,,
2026JF,2026-02-09 17:33:00,DOWN,UP,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-02-12 18:11:00,UP,DOWN,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-02-18 17:03:00,DOWN,UP,,,BOTH_MISSING,CHALLENGER_EARNED,,
2026JF,2026-02-26 16:30:00,UP,DOWN,,,BOTH_MISSING,OLD_PRIMARY_WINS,,
