time,event,detail,direction,volume,price,structural_sl
2024.03.20 20:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.21 16:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.22 16:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.22 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.25 04:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.25 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.25 16:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.26 00:00:05,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.26 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.26 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.27 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.03.28 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.03.28 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.01 16:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.02 04:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.03 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.03 20:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.04 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.05 01:00:05,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.05 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.05 12:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.08 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.08 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.08 16:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.09 01:00:05,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.09 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.10 04:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.10 16:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.11 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.11 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.11 16:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.12 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.15 16:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.15 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.16 01:00:05,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.16 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.16 20:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.17 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.17 12:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.17 20:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.18 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.19 01:00:05,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.19 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.19 12:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.19 20:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.22 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.23 20:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
2024.04.24 04:00:00,FAST_HA_FLIP,LONG -> SHORT,NONE,0.00000000,0.00,0.00
2024.04.24 08:00:00,FAST_HA_FLIP,SHORT -> LONG,NONE,0.00000000,0.00,0.00
