decision,year,m5_index,atr14_pre,barrier_price,p15,p30,p60,r15,r30,r60,spacing_min,ny_hour,kst_hour,ny_core
2024-01-12 15:35:00,2024,144022,1.7614353713654638,2.642153057048196,0.884062256537126,0.9732376872389112,0.9946395471558828,99.30555555555556,98.95833333333334,98.26388888888889,90.0,8.583333333333334,22.583333333333332,True
2024-01-15 01:05:00,2024,144124,0.7061401582411847,1.059210237361777,0.7872541874023296,0.92062902298274,0.9762542315465514,98.95833333333334,97.91666666666666,94.79166666666666,3450.0,18.083333333333332,8.083333333333334,False
2024-01-16 15:15:00,2024,144540,1.3645536857720963,2.0468305286581447,0.815948153392698,0.9262208924685328,0.9769670240689908,100.0,100.0,96.52777777777779,2290.0,8.25,22.25,True
2024-01-16 15:35:00,2024,144544,1.762137333906132,2.6432060008591978,0.8008469631754542,0.9385452937851464,0.98473799425709,99.65277777777779,100.0,99.65277777777779,20.0,8.583333333333334,22.583333333333332,True
2024-01-16 18:05:00,2024,144574,1.770121006892832,2.655181510339248,0.8404357439103176,0.9523997886341896,0.9792297755817544,100.0,100.0,97.22222222222221,150.0,11.083333333333334,1.0833333333333333,False
2024-01-17 09:45:00,2024,144750,1.2115821022265816,1.8173731533398725,0.7582885707461361,0.9209028116369676,0.9893744935952336,98.95833333333334,98.95833333333334,100.0,940.0,2.75,16.75,False
2024-01-17 15:35:00,2024,144820,1.4899441672598084,2.2349162508897127,0.8729565687341128,0.97330856302936,0.99637447905821,100.0,100.0,100.0,350.0,8.583333333333334,22.583333333333332,True
2024-01-18 15:35:00,2024,145096,1.2530109872040314,1.8795164808060472,0.8422230839629614,0.9583901905307834,0.9925833352812514,99.65277777777779,99.65277777777779,99.30555555555556,1440.0,8.583333333333334,22.583333333333332,True
2024-01-19 15:35:00,2024,145372,1.313663865037096,1.970495797555644,0.8014183238160704,0.944538478023903,0.991432606977348,99.65277777777779,99.65277777777779,99.65277777777779,1440.0,8.583333333333334,22.583333333333332,True
2024-01-22 16:45:00,2024,145662,1.6978997854108435,2.5468496781162657,0.8410647729504495,0.951211507482276,0.9879355929208476,100.0,100.0,99.65277777777779,4390.0,9.75,23.75,True
2024-01-23 03:20:00,2024,145777,0.5108268438732317,0.7662402658098476,0.7726810098585817,0.9388932193697545,0.9951332195803014,99.65277777777779,99.65277777777779,100.0,635.0,20.333333333333332,10.333333333333334,False
2024-01-23 04:10:00,2024,145787,0.8612130475663288,1.291819571349493,0.8287987571925299,0.9620291514233688,0.995605048951674,99.65277777777779,100.0,100.0,50.0,21.166666666666668,11.166666666666666,False
2024-01-23 09:00:00,2024,145845,0.9862294397058958,1.4793441595588437,0.8320921040197053,0.9555846609559404,0.992572815531057,99.65277777777779,99.65277777777779,99.30555555555556,290.0,2.0,16.0,False
2024-01-23 09:10:00,2024,145847,1.2447080372974422,1.8670620559461637,0.8267485589621214,0.9449860591985788,0.9923357622145176,98.95833333333334,98.95833333333334,98.95833333333334,10.0,2.1666666666666665,16.166666666666668,False
