k,year,month,N,median_spacing_min,p_spacing_le60,ny_core_share,median_atr,median_p15
1.25,2026,2026-01,183,90.0,0.43169398907103823,0.32786885245901637,4.653480341315434,0.8011812945089037
1.25,2026,2026-02,222,60.0,0.527027027027027,0.28378378378378377,7.046794533928488,0.7981764798248308
1.25,2026,2026-03,260,45.0,0.5846153846153846,0.2423076923076923,7.897344384297549,0.7922755901649862
1.25,2026,2026-04,236,50.0,0.5847457627118644,0.2542372881355932,5.02324917521819,0.8004044689968605
1.25,2026,2026-05,175,90.0,0.4228571428571429,0.2342857142857143,4.359952077558549,0.8052170129196319
1.25,2026,2026-06,218,60.0,0.5275229357798165,0.2981651376146789,4.97494573781629,0.8002051170925879
1.25,2026,2026-07,208,65.0,0.4951923076923077,0.3076923076923077,3.941860754233001,0.792736056387392
1.25,2026,2026-08,188,55.0,0.5478723404255319,0.2872340425531915,4.087370704724492,0.8003611747767094
1.5,2024,2024-01,47,600.0,0.2127659574468085,0.5106382978723404,1.1785621622183855,0.8267485589621214
1.5,2024,2024-02,54,465.0,0.2037037037037037,0.5370370370370371,0.8277538698691418,0.8044256336389711
1.5,2024,2024-03,74,267.5,0.35135135135135137,0.44594594594594594,1.2331332205745802,0.8018045270478746
1.5,2024,2024-04,92,270.0,0.30434782608695654,0.33695652173913043,1.8001836020581368,0.8110458515076642
1.5,2024,2024-05,87,285.0,0.3793103448275862,0.3793103448275862,1.485496557251884,0.7956908487457834
1.5,2024,2024-06,69,340.0,0.34782608695652173,0.34782608695652173,1.16293795922662,0.8233699123301442
1.5,2024,2024-07,70,627.5,0.24285714285714285,0.3,1.0749583309601967,0.8108777358398406
1.5,2024,2024-08,71,365.0,0.39436619718309857,0.29577464788732394,1.3352053209628172,0.7910936845040415
1.5,2024,2024-09,60,390.0,0.3,0.23333333333333334,1.0917294514438067,0.8053113368462852
1.5,2024,2024-10,82,345.0,0.32926829268292684,0.2682926829268293,1.2071549781166229,0.7996092935241089
1.5,2024,2024-11,63,315.0,0.2222222222222222,0.14285714285714285,1.5356358677549669,0.8137651561817557
1.5,2024,2024-12,40,715.0,0.25,0.175,1.4200151824986151,0.7897286432323427
1.5,2025,2025-01,40,705.0,0.175,0.3,1.4216771359714908,0.8010403691571114
1.5,2025,2025-02,68,410.0,0.3235294117647059,0.35294117647058826,1.8579628398741446,0.797604197455515
1.5,2025,2025-03,45,630.0,0.2,0.35555555555555557,1.6729040701422189,0.7843731320497146
1.5,2025,2025-04,82,285.0,0.25609756097560976,0.24390243902439024,3.7119770427824763,0.7857116693555406
1.5,2025,2025-05,71,370.0,0.2676056338028169,0.22535211267605634,3.0404330100928,0.7975415320424326
1.5,2025,2025-06,61,400.0,0.3114754098360656,0.32786885245901637,2.45248794913672,0.807861803624241
1.5,2025,2025-07,51,620.0,0.13725490196078433,0.37254901960784315,2.057086147235472,0.7960961917981391
1.5,2025,2025-08,42,535.0,0.16666666666666666,0.42857142857142855,1.9478961883292893,0.8165959298343561
1.5,2025,2025-09,74,377.5,0.28378378378378377,0.28378378378378377,2.4047857755738393,0.7939054559617122
1.5,2025,2025-10,123,155.0,0.35772357723577236,0.2845528455284553,4.767514148403137,0.7990296907634963
1.5,2025,2025-11,75,270.0,0.18666666666666668,0.30666666666666664,4.132081059191135,0.7960444995018545
1.5,2025,2025-12,102,270.0,0.2549019607843137,0.4215686274509804,3.3881721863381173,0.7959368102823006
1.5,2026,2026-01,70,432.5,0.18571428571428572,0.34285714285714286,4.382058589433708,0.814339646713018
1.5,2026,2026-02,62,440.0,0.22580645161290322,0.3870967741935484,7.427456823941526,0.8065159344120203
1.5,2026,2026-03,84,312.5,0.19047619047619047,0.17857142857142858,7.510320163673645,0.7890613161446324
1.5,2026,2026-04,65,295.0,0.24615384615384617,0.18461538461538463,4.733438523255866,0.8107178942855225
1.5,2026,2026-05,64,440.0,0.28125,0.1875,4.393757669152508,0.8021322181623063
1.5,2026,2026-06,63,495.0,0.23809523809523808,0.30158730158730157,4.695483965256072,0.7999766552516898
1.5,2026,2026-07,78,335.0,0.28205128205128205,0.20512820512820512,3.4917989186460865,0.7969061172244666
1.5,2026,2026-08,65,330.0,0.23076923076923078,0.27692307692307694,3.7755255985472793,0.8065014527029642
2.0,2024,2024-01,10,2400.0,0.1,0.6,1.163032214803604,0.8986584914420874
2.0,2024,2024-02,9,2880.0,0.0,0.8888888888888888,0.9108084378240616,0.9673133245231372
2.0,2024,2024-03,18,1440.0,0.0,0.4444444444444444,1.3697636861518814,0.8338660963777322
2.0,2024,2024-04,27,1090.0,0.14814814814814814,0.25925925925925924,1.6894142491436404,0.8347927502425039
2.0,2024,2024-05,19,2120.0,0.21052631578947367,0.3684210526315789,1.6752575304764412,0.7979799190427811
2.0,2024,2024-06,17,1420.0,0.11764705882352941,0.35294117647058826,1.3148438236801323,0.8336172427692452
2.0,2024,2024-07,17,2820.0,0.058823529411764705,0.35294117647058826,1.300159156487428,0.8212725584482438
2.0,2024,2024-08,13,2130.0,0.0,0.6153846153846154,1.639190614166068,0.8387272638602851
2.0,2024,2024-09,11,3290.0,0.09090909090909091,0.18181818181818182,0.9258454344421472,0.8283493759798568
2.0,2024,2024-10,6,4980.0,0.0,0.3333333333333333,1.1686560691238674,0.9843028964373053
2.0,2024,2024-11,23,1435.0,0.043478260869565216,0.043478260869565216,1.1478715156855688,0.8215399338766246
2.0,2024,2024-12,10,3870.0,0.1,0.2,1.3644632895030568,0.8584490715284742
2.0,2025,2025-01,6,5415.0,0.0,0.6666666666666666,1.5262434472614501,0.8000012601364728
2.0,2025,2025-02,7,5120.0,0.0,0.2857142857142857,1.7642571094273154,0.8110815969161091
2.0,2025,2025-03,8,2915.0,0.0,0.375,1.6838842227826576,0.8335618388524321
2.0,2025,2025-04,18,1845.0,0.05555555555555555,0.0,3.473772485008433,0.8443739044111997
2.0,2025,2025-05,16,2265.0,0.0,0.125,3.050074588073553,0.829333981303084
2.0,2025,2025-06,11,3470.0,0.09090909090909091,0.2727272727272727,2.2203988126857443,0.83998063833618
2.0,2025,2025-07,11,3165.0,0.0,0.36363636363636365,2.2900577530254624,0.8041577888151181
2.0,2025,2025-08,11,2870.0,0.09090909090909091,0.45454545454545453,2.3502258784769188,0.817483556962257
2.0,2025,2025-09,17,1440.0,0.0,0.35294117647058826,2.213468957792852,0.7990906756608559
2.0,2025,2025-10,21,1195.0,0.19047619047619047,0.14285714285714285,4.921086358478931,0.8496823246690968
2.0,2025,2025-11,12,2532.5,0.0,0.08333333333333333,3.479186482234639,0.8046648930258522
2.0,2025,2025-12,13,2185.0,0.07692307692307693,0.15384615384615385,3.576418317631824,0.7962136661238555
2.0,2026,2026-01,9,3780.0,0.1111111111111111,0.2222222222222222,5.020251316346219,0.8046758094565182
2.0,2026,2026-02,23,1450.0,0.17391304347826086,0.391304347826087,6.351235131403473,0.8354282328052884
2.0,2026,2026-03,20,1430.0,0.05,0.1,7.807227892229756,0.7971022829566914
2.0,2026,2026-04,22,1365.0,0.22727272727272727,0.045454545454545456,4.599387864541635,0.834083337637763
2.0,2026,2026-05,12,2547.5,0.0,0.08333333333333333,3.5908706544756503,0.8314871718421923
2.0,2026,2026-06,12,3502.5,0.0,0.3333333333333333,5.018738961301721,0.8581857102153054
2.0,2026,2026-07,17,1560.0,0.0,0.23529411764705882,3.0235722931551314,0.8672942323290697
2.0,2026,2026-08,16,1672.5,0.0,0.3125,3.8734195968275373,0.8106245585779555
