horizon_min,phase,year,N,mfe_med,mfeS_med,mfeS_p75,mfeS_p90,dispS_med,giveS_med,pristine,damaged,closebroken,hit5,hit10,hit15
60,0,2025,243,7.269999999999527,0.3748659656712786,0.653035508439858,1.1002411568663073,-0.01482475148881664,0.3732464950554531,0.2222222222222222,0.07407407407407407,0.7037037037037037,0.6172839506172839,0.37037037037037035,0.2345679012345679
60,0,2026,160,15.795000000000073,0.342709899130494,0.6067259347952396,1.0554451884537064,0.01591779222076336,0.3613936106144694,0.21875,0.04375,0.7375,0.81875,0.66875,0.51875
60,2,2024,324,4.19500000000005,0.3640327310565353,0.6502322988818806,1.0543728624157593,-0.004916752823055337,0.3830788183346042,0.1697530864197531,0.05555555555555555,0.7746913580246914,0.404320987654321,0.1728395061728395,0.07716049382716049
60,2,2025,247,7.4099999999998545,0.36534225568839096,0.6764991755420429,1.1128619296513702,0.023907495913340404,0.3691841338500661,0.2145748987854251,0.07692307692307693,0.708502024291498,0.631578947368421,0.38461538461538464,0.23481781376518218
60,2,2026,150,15.0300000000002,0.3409362850086052,0.5685727125897048,1.1212180356177062,0.005414030010014095,0.37965298524542435,0.22,0.04666666666666667,0.7333333333333333,0.8266666666666667,0.6533333333333333,0.5066666666666667
120,0,2024,284,5.839999999999918,0.4793816121878919,0.8575129271383148,1.3522984201409471,-0.06056765014550598,0.5072983139213254,0.10915492957746478,0.03873239436619718,0.852112676056338,0.5422535211267606,0.2605633802816901,0.11619718309859155
120,0,2025,242,8.960000000000036,0.4745393931734581,0.8265401651428538,1.3564705252980849,-0.015791773893265734,0.5380129507214457,0.16115702479338842,0.06198347107438017,0.7768595041322314,0.6900826446280992,0.4669421487603306,0.32231404958677684
120,0,2026,159,19.460000000000036,0.44840105373748645,0.872888264924218,1.3806675276562546,-0.11578085432398429,0.5342860603669489,0.1509433962264151,0.03773584905660377,0.8113207547169812,0.8679245283018868,0.7484276729559748,0.5911949685534591
120,2,2024,323,6.160000000000309,0.5082439391347676,0.885915591944689,1.365238151489229,0.04428752960378524,0.48071120847913246,0.13003095975232198,0.05263157894736842,0.8173374613003096,0.5603715170278638,0.2755417956656347,0.12693498452012383
120,2,2025,245,9.960000000000036,0.5002273712350668,0.9063688867510876,1.3879670489440599,0.024917282211965985,0.5175239463113761,0.17959183673469387,0.06938775510204082,0.7510204081632653,0.710204081632653,0.49795918367346936,0.33877551020408164
120,2,2026,148,19.294999999999618,0.4581492384054855,0.841522953130621,1.3658447906199842,-0.13404721740967168,0.5528168266048713,0.14189189189189189,0.0472972972972973,0.8108108108108109,0.8716216216216216,0.7364864864864865,0.5945945945945946
240,0,2024,283,6.980000000000018,0.5765007085360083,0.9939369420923598,1.5618150915641027,-0.106362005272968,0.6616961513953555,0.08833922261484099,0.045936395759717315,0.8657243816254417,0.6007067137809188,0.3321554770318021,0.17314487632508835
240,0,2025,240,11.319999999999936,0.5182060398910464,1.0346499665758733,1.470198927484806,-0.07323000387937095,0.5926292841263634,0.125,0.04583333333333333,0.8291666666666667,0.7416666666666667,0.5291666666666667,0.3875
240,0,2026,160,25.225000000000364,0.5520372824473532,0.9051105331736392,1.4590336176900711,-0.08138906362060691,0.6507916668408253,0.1125,0.01875,0.86875,0.88125,0.78125,0.675
240,2,2024,323,7.309999999999945,0.6120165099771303,1.0373252298526554,1.5618150915641027,-0.02936275369896062,0.6207690178152453,0.10526315789473684,0.05572755417956656,0.8390092879256966,0.6160990712074303,0.3560371517027864,0.17647058823529413
240,2,2025,243,11.960000000000036,0.5480593839094108,1.065062712919731,1.558387678201317,0.01814679694029156,0.5475593695055982,0.1522633744855967,0.05761316872427984,0.7901234567901234,0.7654320987654321,0.551440329218107,0.4074074074074074
240,2,2026,149,23.730000000000473,0.534051122031143,0.8935686367274155,1.4603164720345085,-0.10138977801388885,0.6377827643559716,0.10738255033557047,0.020134228187919462,0.87248322147651,0.8926174496644296,0.7651006711409396,0.6711409395973155
