year,variant,regime,pnl,pf,R,units,n,dd
2025,runway_safe,neutral4,6364.401519204332,1.6727420900445988,214.70568362738652,1148.0,570,866.360000000001
2025,runway_safe,neutral12,6299.011519204336,1.6361032552966577,204.62148371834326,1203.0,585,1026.366975058118
2025,runway_stopSafe,none,4425.578906573424,1.3562765727060313,155.5522087095266,1390.0,678,1228.7994013454409
2025,runway_stopSafe,neutral4,5776.108906573417,1.6064353006219554,201.8437897914049,1145.0,575,858.6400000000008
2025,runway_stopSafe,neutral12,5637.52890657342,1.5641686212435013,181.49515895789162,1202.0,590,1034.7269750581177
2025,runway_persist,none,4380.849042100129,1.379947899819697,169.64411867262962,1353.0,675,923.2474844678486
2025,runway_persist,neutral4,5570.929042100119,1.6401835456429235,206.20887338383685,1105.0,577,750.6605094097317
2025,runway_persist,neutral12,5488.819042100124,1.5958354696497488,197.2465247557945,1164.0,588,850.1074844678474
2025,runway_win_persist,none,4487.938600121759,1.3739188095654673,165.8559062768769,1380.0,690,975.0971605568639
2025,runway_win_persist,neutral4,5673.638600121749,1.6181261470567836,202.18005377745794,1134.0,592,805.7671605568635
2025,runway_win_persist,neutral12,5636.568600121753,1.5844867157676794,195.87705783232906,1187.0,603,901.9571605568626
2025,runway_safe_persist,none,4767.7418431153255,1.3844959872343154,166.1437367084077,1393.0,679,1121.2966511471332
2025,runway_safe_persist,neutral4,6076.261843115316,1.6401760537566155,204.40618512748054,1143.0,579,865.1866511471321
2025,runway_safe_persist,neutral12,5965.28184311532,1.5977686644659568,191.43410425140513,1202.0,592,1048.156651147132
2025,runway_stopSafe_persist,none,4893.20923048441,1.3924957289699553,169.17921712831196,1397.0,685,1080.5666511471327
2025,runway_stopSafe_persist,neutral4,6242.039230484402,1.6521450265263857,216.4560107609778,1153.0,585,804.8766511471317
2025,runway_stopSafe_persist,neutral12,6105.609230484405,1.60750270766975,194.42057881203021,1213.0,599,1007.4266511471315
2026,runway,none,5821.44616827337,1.3594604979279965,133.19293829976388,902.0,454,1601.7999999999956
2026,runway,neutral4,6361.836168273367,1.4423279258851076,136.5374174164416,795.0,405,1061.300000000001
2026,runway,neutral12,6930.768786673747,1.4746249789968373,149.38784060357222,818.0,414,1093.4500000000016
2026,runway_win,none,5500.952015913657,1.3379602957569634,119.07073410145003,892.0,450,1776.094152359703
2026,runway_win,neutral4,6101.4920159136545,1.4203400934086121,124.75136995130467,792.0,404,1382.6341523597066
2026,runway_win,neutral12,6593.024634314035,1.447421362794288,135.8765038330888,813.0,411,1315.5599999999977
2026,runway_safe,none,7179.7200000000275,1.4317716981256914,104.28498936013293,892.0,454,2301.5699999999833
2026,runway_safe,neutral4,7742.030000000024,1.5209860608842083,108.66860321013922,793.0,405,1557.2199999999912
2026,runway_safe,neutral12,8257.330000000025,1.5456155919431607,119.53350278473908,818.0,414,1432.8299999999908
2026,runway_stopSafe,none,5431.030000000028,1.3237315171247148,82.1539478119229,889.0,453,2276.4999999999836
2026,runway_stopSafe,neutral4,5993.340000000025,1.399338493633803,86.53756166192917,790.0,404,1586.049999999991
2026,runway_stopSafe,neutral12,6600.480000000025,1.4319177060293966,101.5319576394068,817.0,413,1461.6599999999908
2026,runway_persist,none,5904.413229239932,1.3605407972688186,116.70349563433598,900.0,450,1641.0299999999943
2026,runway_persist,neutral4,6566.603229239929,1.4508723903659138,123.80623108932727,796.0,404,1165.380000000001
2026,runway_persist,neutral12,7094.43584764031,1.4810467279879838,135.9313649711114,816.0,410,1165.380000000001
2026,runway_win_persist,none,5962.325576769799,1.3567276177179903,130.55159434290601,907.0,457,1730.3576524701311
2026,runway_win_persist,neutral4,6646.765576769796,1.444521372531082,138.85563070853792,809.0,413,1195.2541523597056
2026,runway_win_persist,neutral12,7141.478195170175,1.4720093155148355,150.4637826387115,827.0,417,1222.0076524701371
2026,runway_safe_persist,none,7581.510000000033,1.4589188983055492,116.76684236458576,882.0,440,1825.5199999999813
2026,runway_safe_persist,neutral4,8208.920000000031,1.554721599213965,123.01836565985909,788.0,396,1208.6399999999949
2026,runway_safe_persist,neutral12,8590.660000000029,1.5678626340720516,130.87897440559573,812.0,404,1208.6399999999949
2026,runway_stopSafe_persist,none,5772.225847640313,1.3443883596019264,87.09576826178908,883.0,449,1991.024152359697
2026,runway_stopSafe_persist,neutral4,6399.635847640309,1.4255443675734627,93.34729155706239,789.0,405,1350.564152359705
2026,runway_stopSafe_persist,neutral12,6886.955847640309,1.4485227037374566,105.68984976039314,814.0,412,1268.5941523597057
