year,head,auc,variant,regime,pnl,R,pf,dd,units,n
2025,SEVERE,0.713125020532869,,,,,,,,
2025,STOP,0.7862769754474208,,,,,,,,
2025,SHOCK,0.7002040122407345,,,,,,,,
2025,POLICY,,RUNWAY,neutral4,5138.323913937051,201.62801460622157,1.6000971986746502,673.4499999999998,1097.0,569.0
2025,POLICY,,RUNWAY,neutral12,5049.453913937055,193.56051460346737,1.557069487206096,785.7199999999989,1152.0,576.0
2025,POLICY,,RUNWAY,none,3952.603913937059,166.1194482246072,1.347015332544933,963.7094097795489,1349.0,671.0
2025,POLICY,,RUNWAY_PERSIST,neutral4,5569.066429469202,208.6577297398382,1.6405036725925446,745.4105094097317,1101.0,573.0
2025,POLICY,,RUNWAY_PERSIST,neutral12,5513.1764294692075,201.69538111179583,1.6006624493555508,844.8574844678474,1158.0,582.0
2025,POLICY,,RUNWAY_PERSIST,none,4405.206429469212,174.09297502863095,1.3831729296219737,917.9974844678486,1347.0,669.0
2025,POLICY,,RUNWAY_WIN_PERSIST,neutral4,5564.2359874908325,195.30362086761,1.6050006752063506,800.5171605568635,1127.0,587.0
2025,POLICY,,RUNWAY_WIN_PERSIST,neutral12,5543.635987490837,189.56080191363156,1.574740803315355,912.7871605568625,1179.0,595.0
2025,POLICY,,RUNWAY_WIN_PERSIST,none,4388.675987490842,158.9794733670289,1.3654001066823942,985.9271605568638,1373.0,683.0
2025,POLICY,,RUNWAY_SAFE_PERSIST,neutral4,6150.8992304844,212.28389219762704,1.6480817719417762,865.4366511471321,1144.0,578.0
2025,POLICY,,RUNWAY_SAFE_PERSIST,neutral12,6066.139230484403,201.31181132155163,1.609514555916953,1048.406651147132,1201.0,589.0
2025,POLICY,,RUNWAY_SAFE_PERSIST,none,4875.959230484408,176.35387376952076,1.394310664354064,1121.5466511471332,1391.0,675.0
2026,RUNWAY,0.8131994071727299,,,,,,,,
2026,PERSIST,0.7577288602073615,,,,,,,,
2026,WIN,0.536404656378491,,,,,,,,
2026,SEVERE,0.7174514453477868,,,,,,,,
2026,STOP,0.7836649314221873,,,,,,,,
2026,SHOCK,0.6685075431034482,,,,,,,,
2026,POLICY,,RUNWAY,neutral4,6357.476168273366,136.29903578713595,1.4420247823105408,1061.300000000001,794.0,404.0
2026,POLICY,,RUNWAY,neutral12,6975.9987866737465,151.65222140520575,1.4784559781396143,1093.4500000000016,817.0,413.0
2026,POLICY,,RUNWAY,none,5869.766168273368,135.65375902511002,1.3630152860482148,1601.7999999999956,900.0,452.0
2026,POLICY,,RUNWAY_PERSIST,neutral4,6589.803229239928,124.38349220576274,1.453323163170163,1165.380000000001,795.0,403.0
2026,POLICY,,RUNWAY_PERSIST,neutral12,7130.925847640308,138.01138851848606,1.4839689158483211,1165.380000000001,816.0,410.0
2026,POLICY,,RUNWAY_PERSIST,none,5980.29322923993,119.97995910542323,1.366360814083913,1641.0299999999943,898.0,448.0
2026,POLICY,,RUNWAY_WIN_PERSIST,neutral4,7878.375576769796,146.0921935679008,1.5299356568820695,1165.380000000001,800.0,410.0
2026,POLICY,,RUNWAY_WIN_PERSIST,neutral12,8364.548195170175,158.20310792901358,1.5546884951479092,1222.0076524701371,820.0,416.0
2026,POLICY,,RUNWAY_WIN_PERSIST,none,7246.615576769797,140.4873595569207,1.4364775191028123,1730.3576524701311,897.0,453.0
2026,POLICY,,RUNWAY_SAFE_PERSIST,neutral4,8304.45000000003,124.53328317899357,1.5629265442358768,1165.380000000001,788.0,396.0
2026,POLICY,,RUNWAY_SAFE_PERSIST,neutral12,8735.780000000028,134.8966543556694,1.5800773987229504,1165.380000000001,812.0,404.0
2026,POLICY,,RUNWAY_SAFE_PERSIST,none,7729.720000000031,120.98096223837206,1.4699232167500587,1723.1199999999817,881.0,439.0
