family,feature,year,auc,ap,sign,n
MTF_HA,h1_ha_signed_streak_primary,2026,0.5493951612903226,0.6304588642430875,-1.0,221
MTF_HA,h1_ha_signed_streak_primary,AVG,0.563688646874719,,,912
MTF_HA,h1_ha_color_mean_primary_4,2024,0.48553542127416704,0.6176888637288295,-1.0,345
MTF_HA,h1_ha_color_mean_primary_4,2025,0.5905957161981258,0.5970038243014606,-1.0,346
MTF_HA,h1_ha_color_mean_primary_4,2026,0.504956317204301,0.5848872705475725,-1.0,221
MTF_HA,h1_ha_color_mean_primary_4,AVG,0.5270291515588647,,,912
MTF_HA,h1_ha_color_mean_primary_8,2024,0.47406720410929587,0.6134122798938861,-1.0,345
MTF_HA,h1_ha_color_mean_primary_8,2025,0.5864123159303882,0.6170034806012846,-1.0,346
MTF_HA,h1_ha_color_mean_primary_8,2026,0.511802755376344,0.6118952980330832,-1.0,221
MTF_HA,h1_ha_color_mean_primary_8,AVG,0.5240940918053427,,,912
MTF_HA,h1_ha_color_mean_primary_12,2024,0.49712848683741173,0.6249676789862696,-1.0,345
MTF_HA,h1_ha_color_mean_primary_12,2025,0.5568105756358769,0.5885069517968247,-1.0,346
MTF_HA,h1_ha_color_mean_primary_12,2026,0.5456149193548387,0.6306288763840711,-1.0,221
MTF_HA,h1_ha_color_mean_primary_12,AVG,0.5331846606093757,,,912
MTF_HA,h1_ha_color_mean_primary_24,2024,0.5227937504458872,0.6218632310126612,-1.0,345
MTF_HA,h1_ha_color_mean_primary_24,2025,0.5387048192771086,0.5637405968923244,-1.0,346
MTF_HA,h1_ha_color_mean_primary_24,2026,0.5934559811827956,0.6686185180506553,-1.0,221
MTF_HA,h1_ha_color_mean_primary_24,AVG,0.551651516968597,,,912
MTF_HA,h1_close_mom_primary_4S,2024,0.5313547834772063,0.6509527833113835,-1.0,345
MTF_HA,h1_close_mom_primary_4S,2025,0.5998995983935743,0.6189283144004697,-1.0,346
MTF_HA,h1_close_mom_primary_4S,2026,0.5614079301075269,0.6303398818762131,-1.0,221
MTF_HA,h1_close_mom_primary_4S,AVG,0.5642207706594359,,,912
MTF_HA,h1_close_mom_primary_8S,2024,0.5188699436398658,0.6557347017633957,-1.0,345
MTF_HA,h1_close_mom_primary_8S,2025,0.5989290495314592,0.6432829319607997,-1.0,346
MTF_HA,h1_close_mom_primary_8S,2026,0.5271337365591398,0.623234849739243,-1.0,221
MTF_HA,h1_close_mom_primary_8S,AVG,0.548310909910155,,,912
MTF_HA,h1_close_mom_primary_12S,2024,0.5643861025897126,0.6671091869795331,-1.0,345
MTF_HA,h1_close_mom_primary_12S,2025,0.5690093708165997,0.6234150304116178,-1.0,346
MTF_HA,h1_close_mom_primary_12S,2026,0.5853494623655915,0.6404701615119204,-1.0,221
MTF_HA,h1_close_mom_primary_12S,AVG,0.5729149785906346,,,912
MTF_HA,h1_close_mom_primary_24S,2024,0.6188913462224441,0.6900651933012587,-1.0,345
MTF_HA,h1_close_mom_primary_24S,2025,0.5414658634538153,0.5834278223449458,-1.0,346
MTF_HA,h1_close_mom_primary_24S,2026,0.6314684139784946,0.7028115034378102,-1.0,221
MTF_HA,h1_close_mom_primary_24S,AVG,0.597275207884918,,,912
LIQ,h4c_same_d1_S,2024,0.5379360776200327,0.6503581943830792,1.0,345
LIQ,h4c_same_d1_S,2025,0.6320281124497992,0.6559502107434572,1.0,346
LIQ,h4c_same_d1_S,2026,0.5731686827956989,0.6600881816928732,1.0,221
LIQ,h4c_same_d1_S,AVG,0.5810442909551768,,,912
LIQ,h4c_opp_d1_S,2024,0.6685096668331311,0.7659522650358943,-1.0,345
LIQ,h4c_opp_d1_S,2025,0.6337349397590362,0.6147908781085101,-1.0,346
LIQ,h4c_opp_d1_S,2026,0.6246639784946236,0.6743768512508661,-1.0,221
LIQ,h4c_opp_d1_S,AVG,0.6423028616955969,,,912
LIQ,h4c_distance_ratio,2024,0.6717735606763215,0.7700444485432486,1.0,345
LIQ,h4c_distance_ratio,2025,0.7231927710843373,0.7053575311354305,1.0,346
LIQ,h4c_distance_ratio,2026,0.6668346774193548,0.7236587069480072,1.0,221
LIQ,h4c_distance_ratio,AVG,0.6872670030600045,,,912
LIQ,h4c_same_active_n,2024,0.4495255760861811,0.5723316098131173,-1.0,345
LIQ,h4c_same_active_n,2025,0.4577309236947791,0.5017757762656476,1.0,346
LIQ,h4c_same_active_n,2026,0.47248823924731187,0.5500406923235504,1.0,221
LIQ,h4c_same_active_n,AVG,0.459914913009424,,,912
LIQ,h4c_opp_active_n,2024,0.49268745095241495,0.6086196738951354,-1.0,345
LIQ,h4c_opp_active_n,2025,0.4818273092369478,0.5018326229318305,-1.0,346
LIQ,h4c_opp_active_n,2026,0.4849630376344086,0.5908449171000274,-1.0,221
