signal_id,direction,units,entry_time,entry_price,structural_sl,exit_time,exit_price,actual_pnl,intended_risk_price,intended_risk_dollars,actual_r,adverse_slippage_price,adverse_slippage_r,excess_loss_beyond_1r,exit_comment
388,SHORT,1,2025.08.05 12:00:00,3366.11,3382.36,2025.08.05 17:25:00,3382.37,-16.26,16.25,16.25,-1.0006153846153847,0.009999999999763531,0.0006153846153700635,0.0006153846153846843,sl 3382.36
392,SHORT,1,2025.08.06 12:00:00,3365.14,3378.64,2025.08.06 17:55:37,3378.66,-13.52,13.5,13.5,-1.0014814814814814,0.01999999999998181,0.0014814814814801342,0.001481481481481417,sl 3378.64
395,SHORT,1,2025.08.07 04:00:00,3372.18,3379.96,2025.08.07 04:31:47,3380.21,-8.03,7.7800000000002,7.7800000000002,-1.0321336760925184,0.25,0.03213367609254416,0.03213367609251838,sl 3379.96
399,LONG,3,2025.08.08 12:00:00,3394.61,3388.73,2025.08.08 13:36:30,3388.72,-17.67,5.880000000000109,17.640000000000327,-1.0017006802720902,0.010000000000218279,0.0017006802721459342,0.0017006802720902492,sl 3388.73
400,LONG,3,2025.08.08 20:00:00,3397.59,3381.16,2025.08.08 21:00:01,3380.58,-51.03,16.43000000000029,49.29000000000087,-1.0353012781497077,0.5799999999999272,0.03530127814972106,0.03530127814970774,sl 3381.16
404,LONG,1,2025.08.12 08:00:00,3354.6,3346.14,2025.08.12 09:15:36,3346.08,-8.52,8.460000000000036,8.460000000000036,-1.007092198581556,0.05999999999994543,0.007092198581553803,0.007092198581555964,sl 3346.14
405,SHORT,1,2025.08.12 12:00:00,3347.78,3358.77,2025.08.12 18:29:24,3358.86,-11.08,10.989999999999782,10.989999999999782,-1.0081892629663531,0.09000000000014552,0.008189262966346434,0.008189262966353139,sl 3358.77
407,LONG,3,2025.08.13 08:00:00,3352.0,3342.59,2025.08.14 11:00:23,3342.58,-28.26,9.409999999999854,28.229999999999563,-1.001062699256126,0.010000000000218279,0.0010626992561337336,0.0010626992561260096,sl 3342.59
408,LONG,3,2025.08.13 12:00:00,3360.57,3345.63,2025.08.14 10:57:29,3345.62,-44.85,14.940000000000055,44.820000000000164,-1.0006693440428345,0.010000000000218279,0.0006693440428526266,0.0006693440428344744,sl 3345.63
410,LONG,3,2025.08.14 04:00:00,3369.53,3349.9,2025.08.14 10:45:01,3349.82,-59.13,19.63000000000011,58.89000000000033,-1.004075394803866,0.07999999999992724,0.004075394803867896,0.004075394803866095,sl 3349.90
411,LONG,1,2025.08.14 08:00:02,3360.43,3349.9,2025.08.14 10:45:01,3349.82,-10.61,10.529999999999745,10.529999999999745,-1.0075973409306986,0.07999999999992724,0.007597340930667538,0.007597340930698637,sl 3349.90
415,SHORT,1,2025.08.15 16:00:00,3342.96,3348.31,2025.08.18 06:36:13,3348.31,-5.35,5.349999999999909,5.349999999999909,-1.0000000000000169,0.0,0.0,1.687538997430238e-14,sl 3348.31
420,LONG,3,2025.08.19 08:00:00,3337.77,3326.09,2025.08.19 16:10:55,3325.92,-35.55,11.679999999999836,35.03999999999951,-1.0145547945205622,0.17000000000007276,0.014554794520554378,0.014554794520562186,sl 3326.09
421,LONG,1,2025.08.19 12:00:00,3338.15,3334.4,2025.08.19 15:56:43,3334.4,-3.75,3.75,3.75,-1.0,0.0,0.0,0.0,sl 3334.40
428,LONG,3,2025.08.21 20:00:00,3340.29,3325.13,2025.08.22 15:12:02,3325.03,-45.78,15.159999999999854,45.47999999999956,-1.0065963060686112,0.09999999999990905,0.006596306068595647,0.0065963060686111685,sl 3325.13
436,SHORT,1,2025.08.26 12:00:00,3376.68,3386.47,2025.08.26 18:55:08,3386.47,-9.79,9.789999999999964,9.789999999999964,-1.0000000000000036,0.0,0.0,3.552713678800501e-15,sl 3386.47
443,SHORT,1,2025.08.28 08:00:01,3390.16,3399.27,2025.08.28 11:37:48,3399.47,-9.31,9.110000000000127,9.110000000000127,-1.0219538968166708,0.1999999999998181,0.021953896816664688,0.021953896816670815,sl 3399.27
451,SHORT,3,2025.09.02 12:00:00,3477.61,3508.61,2025.09.02 17:44:44,3508.84,-93.69,31.0,93.0,-1.0074193548387096,0.2300000000000182,0.007419354838710264,0.007419354838709591,sl 3508.61
457,SHORT,3,2025.09.05 12:00:01,3545.92,3561.07,2025.09.05 15:30:02,3565.01,-57.27,15.150000000000091,45.45000000000027,-1.2600660066006526,3.9400000000000546,0.2600660066006621,0.2600660066006526,sl 3561.07
459,SHORT,3,2025.09.08 08:00:00,3581.21,3597.08,2025.09.08 09:43:51,3597.1,-47.67,15.86999999999989,47.60999999999967,-1.0012602394455015,0.01999999999998181,0.0012602394454935065,0.0012602394455014654,sl 3597.08
466,LONG,3,2025.09.11 04:00:00,3644.11,3635.21,2025.09.11 05:45:44,3634.92,-27.57,8.900000000000091,26.700000000000273,-1.0325842696629108,0.2899999999999636,0.03258426966291693,0.032584269662910836,sl 3635.21
472,SHORT,1,2025.09.12 16:00:01,3645.03,3652.11,2025.09.12 16:41:50,3652.27,-7.24,7.079999999999927,7.079999999999927,-1.0225988700565076,0.15999999999985448,0.022598870056476855,0.022598870056507625,sl 3652.11
481,SHORT,1,2025.09.17 12:00:00,3664.82,3685.86,2025.09.17 17:48:59,3685.91,-21.09,21.039999999999964,21.039999999999964,-1.002376425855515,0.04999999999972715,0.002376425855500344,0.0023764258555150075,sl 3685.86
482,LONG,3,2025.09.17 20:00:00,3684.93,3660.02,2025.09.17 21:01:12,3659.43,-76.5,24.909999999999854,74.72999999999956,-1.0236852669610659,0.5900000000001455,0.023685266961065796,0.023685266961065876,sl 3660.02
484,LONG,3,2025.09.18 16:00:00,3663.15,3633.9,2025.09.18 16:43:07,3633.73,-88.26,29.25,87.75,-1.005811965811966,0.17000000000007276,0.0058119658119682996,0.005811965811965969,sl 3633.90
488,SHORT,3,2025.09.19 16:00:00,3649.3,3659.17,2025.09.19 16:50:05,3659.73,-31.29,9.86999999999989,29.609999999999673,-1.056737588652494,0.5599999999999454,0.05673758865247737,0.0567375886524939,sl 3659.17
499,SHORT,1,2025.09.26 08:00:00,3747.6,3753.27,2025.09.26 09:19:00,3753.27,-5.67,5.670000000000073,5.670000000000073,-0.9999999999999871,0.0,0.0,0.0,sl 3753.27
504,LONG,3,2025.10.02 12:00:00,3874.69,3852.83,2025.10.02 17:37:06,3852.43,-66.78,21.860000000000127,65.58000000000038,-1.018298261665136,0.40000000000009095,0.018298261665145865,0.01829826166513593,sl 3852.83
505,LONG,3,2025.10.02 16:00:00,3884.66,3861.69,2025.10.02 17:25:53,3861.69,-68.91,22.9699999999998,68.9099999999994,-1.0000000000000087,0.0,0.0,8.659739592076221e-15,sl 3861.69
510,SHORT,1,2025.10.07 12:00:00,3951.26,3976.97,2025.10.07 15:52:31,3977.05,-25.79,25.70999999999958,25.70999999999958,-1.00311162971608,0.08000000000038199,0.0031116297160786966,0.0031116297160800332,sl 3976.97
515,LONG,3,2025.10.09 12:00:00,4038.36,4022.63,2025.10.09 16:47:45,4021.61,-50.25,15.730000000000018,47.190000000000055,-1.0648442466624273,1.0199999999999818,0.06484424666242725,0.06484424666242727,sl 4022.63
516,LONG,3,2025.10.09 16:00:00,4053.8,4022.63,2025.10.09 16:47:45,4021.61,-96.57,31.170000000000073,93.51000000000022,-1.0327237728585152,1.0199999999999818,0.032723772858517144,0.03272377285851524,sl 4022.63
520,SHORT,1,2025.10.14 16:00:00,4105.69,4145.08,2025.10.14 19:47:21,4145.26,-39.57,39.39000000000033,39.39000000000033,-1.0045696877379962,0.18000000000029104,0.00456968773801192,0.004569687737996153,sl 4145.08
536,LONG,3,2025.10.28 04:00:00,4011.27,3971.3,2025.10.28 06:26:11,3971.15,-120.36,39.9699999999998,119.9099999999994,-1.0037528146109633,0.15000000000009095,0.003752814610960513,0.0037528146109633287,sl 3971.30
543,LONG,3,2025.10.31 16:00:00,4016.84,3998.75,2025.10.31 18:09:43,3998.74,-54.3,18.090000000000146,54.27000000000044,-1.0005527915975596,0.010000000000218279,0.0005527915975797788,0.0005527915975596098,sl 3998.75
545,LONG,3,2025.11.03 08:00:00,4014.16,3962.63,2025.11.04 16:29:19,3957.92,-168.72,51.529999999999745,154.58999999999924,-1.0914030661750491,4.710000000000036,0.09140306617504482,0.09140306617504912,sl 3962.63
546,LONG,1,2025.11.03 12:00:00,4000.8,3962.63,2025.11.04 16:29:19,3957.92,-42.88,38.17000000000007,38.17000000000007,-1.1233953366518188,4.710000000000036,0.12339533665182152,0.12339533665181879,sl 3962.63
547,LONG,1,2025.11.03 16:00:00,4016.14,3993.02,2025.11.04 01:13:19,3992.88,-23.26,23.11999999999989,23.11999999999989,-1.0060553633218041,0.13999999999987267,0.006055363321793829,0.006055363321804119,sl 3993.02
551,SHORT,1,2025.11.06 04:00:00,3976.41,3990.17,2025.11.06 05:38:08,3990.23,-13.82,13.760000000000218,13.760000000000218,-1.0043604651162632,0.05999999999994543,0.004360465116275035,0.004360465116263201,sl 3990.17
553,LONG,3,2025.11.06 12:00:00,4011.38,3982.31,2025.11.06 17:03:34,3982.16,-87.66,29.070000000000164,87.21000000000049,-1.0051599587203246,0.15000000000009095,0.005159958720333337,0.005159958720324598,sl 3982.31
557,LONG,1,2025.11.07 12:00:00,4006.91,3985.61,2025.11.07 16:37:16,3985.51,-21.4,21.299999999999727,21.299999999999727,-1.004694835680764,0.09999999999990905,0.004694835680746964,0.004694835680763898,sl 3985.61
568,LONG,3,2025.11.17 04:00:00,4091.24,4072.98,2025.11.17 05:00:58,4072.71,-55.59,18.259999999999764,54.77999999999929,-1.0147864184008895,0.2699999999999818,0.014786418400875427,0.014786418400889456,sl 4072.98
571,SHORT,1,2025.11.19 04:00:00,4058.99,4082.34,2025.11.19 07:16:32,4082.35,-23.36,23.350000000000364,23.350000000000364,-1.0004282655246097,0.009999999999763531,0.0004282655246151339,0.0004282655246097278,sl 4082.34
574,LONG,3,2025.11.20 04:00:00,4081.42,4065.59,2025.11.20 04:07:07,4065.55,-47.61,15.829999999999927,47.48999999999978,-1.0025268477574272,0.03999999999996362,0.0025268477574203287,0.0025268477574271753,sl 4065.59
575,LONG,3,2025.11.20 16:00:00,4080.59,4051.04,2025.11.20 18:58:05,4050.82,-89.31,29.550000000000182,88.65000000000055,-1.0074450084602307,0.2199999999997999,0.00744500846023007,0.007445008460230662,sl 4051.04
579,LONG,1,2025.11.21 20:00:00,4085.98,4055.17,2025.11.21 23:09:03,4055.17,-30.81,30.809999999999945,30.809999999999945,-1.0000000000000018,0.0,0.0,1.7763568394002505e-15,sl 4055.17
602,SHORT,1,2025.12.03 12:00:01,4201.94,4228.89,2025.12.03 15:52:29,4228.97,-27.03,26.950000000000728,26.950000000000728,-1.0029684601112903,0.07999999999992724,0.002968460111314474,0.002968460111290261,sl 4228.89
603,LONG,3,2025.12.03 16:00:00,4237.59,4194.63,2025.12.04 05:02:23,4194.59,-129.0,42.960000000000036,128.8800000000001,-1.000931098696461,0.03999999999996362,0.0009310986964609773,0.0009310986964610191,sl 4194.63
604,LONG,1,2025.12.03 20:00:00,4211.6,4194.63,2025.12.04 05:02:23,4194.59,-17.01,16.970000000000255,16.970000000000255,-1.0023571007660428,0.03999999999996362,0.0023571007660555697,0.0023571007660427856,sl 4194.63
608,SHORT,1,2025.12.05 04:00:00,4203.29,4219.36,2025.12.05 07:28:28,4219.38,-16.09,16.06999999999971,16.06999999999971,-1.00124455507158,0.020000000000436557,0.0012445550715891051,0.0012445550715800557,sl 4219.36
611,LONG,1,2025.12.05 16:00:00,4235.27,4215.82,2025.12.05 18:11:54,4213.6,-21.67,19.450000000000728,19.450000000000728,-1.1141388174806781,2.219999999999345,0.11413881748068186,0.11413881748067811,sl 4215.82
616,LONG,3,2025.12.09 04:00:00,4196.43,4184.24,2025.12.09 07:05:49,4184.08,-37.05,12.19000000000051,36.57000000000153,-1.013125512715298,0.15999999999985448,0.013125512715327957,0.013125512715298049,sl 4184.24
621,LONG,3,2025.12.10 20:00:00,4199.97,4188.93,2025.12.10 21:41:03,4188.56,-34.23,11.039999999999964,33.11999999999989,-1.0335144927536264,0.36999999999989086,0.033514492753613415,0.03351449275362639,sl 4188.93
638,SHORT,1,2025.12.17 12:00:01,4316.76,4342.43,2025.12.17 15:58:23,4342.52,-25.76,25.670000000000073,25.670000000000073,-1.0035060381768575,0.09000000000014552,0.003506038176865807,0.0035060381768574622,sl 4342.43
647,LONG,3,2025.12.24 04:00:00,4518.82,4483.57,2025.12.24 04:59:18,4483.3,-106.56,35.25,105.75,-1.0076595744680852,0.26999999999952706,0.00765957446807169,0.007659574468085184,sl 4483.57
650,LONG,3,2025.12.26 16:00:00,4525.58,4502.9,2025.12.29 02:22:24,4501.37,-72.63,22.68000000000029,68.04000000000087,-1.0674603174603037,1.5299999999997453,0.06746031746030537,0.06746031746030368,sl 4502.90
658,LONG,1,2026.01.02 12:00:00,4385.7,4317.05,2026.01.02 18:18:27,4316.83,-68.87,68.64999999999964,68.64999999999964,-1.0032046613255698,0.22000000000025466,0.003204661325568184,0.0032046613255698464,sl 4317.05
659,SHORT,3,2026.01.02 20:00:00,4322.5,4402.35,2026.01.05 03:02:07,4402.46,-239.88,79.85000000000036,239.5500000000011,-1.0013775829680605,0.10999999999967258,0.0013775829680610155,0.0013775829680604534,sl 4402.35
674,LONG,3,2026.01.13 16:00:00,4611.68,4573.76,2026.01.13 22:34:19,4572.95,-116.19,37.92000000000007,113.76000000000022,-1.021360759493669,0.8100000000004002,0.021360759493681398,0.02136075949366889,sl 4573.76
675,LONG,1,2026.01.13 20:00:00,4590.72,4577.79,2026.01.13 22:33:49,4577.77,-12.95,12.930000000000291,12.930000000000291,-1.001546790409877,0.019999999999527063,0.0015467904098628471,0.0015467904098769303,sl 4577.79
680,SHORT,1,2026.01.14 20:00:01,4613.98,4641.76,2026.01.14 21:02:22,4642.02,-28.04,27.780000000000655,27.780000000000655,-1.0093592512598755,0.2600000000002183,0.009359251259906845,0.009359251259875467,sl 4641.76
686,SHORT,1,2026.01.16 04:00:00,4600.44,4620.8,2026.01.19 01:02:00,4639.1,-38.66,20.360000000000582,20.360000000000582,-1.8988212180746018,18.300000000000182,0.8988212180746394,0.8988212180746018,sl 4620.80
690,SHORT,1,2026.01.20 04:00:00,4669.58,4680.25,2026.01.20 05:51:17,4680.28,-10.7,10.670000000000073,10.670000000000073,-1.0028116213683156,0.02999999999974534,0.0028116213682985135,0.0028116213683155866,sl 4680.25
699,SHORT,3,2026.01.23 12:00:01,4918.56,4967.39,2026.01.23 18:09:41,4967.52,-146.88,48.82999999999993,146.48999999999978,-1.0026622977677673,0.13000000000010914,0.002662297767767957,0.0026622977677672743,sl 4967.39
703,SHORT,3,2026.01.26 16:00:00,5069.43,5098.48,2026.01.26 18:03:25,5098.5,-87.21,29.049999999999272,87.14999999999782,-1.0006884681583728,0.020000000000436557,0.0006884681583627215,0.000688468158372757,sl 5098.48
707,SHORT,3,2026.01.27 16:00:00,5077.17,5100.61,2026.01.27 18:18:39,5100.71,-70.62,23.4399999999996,70.3199999999988,-1.0042662116041128,0.1000000000003638,0.004266211604111157,0.0042662116041127796,sl 5100.61
716,LONG,1,2026.02.05 04:00:00,4958.54,4855.2,2026.02.05 04:47:46,4855.13,-103.41,103.34000000000015,103.34000000000015,-1.0006773756531822,0.06999999999970896,0.0006773756531808483,0.0006773756531821551,sl 4855.20
718,LONG,3,2026.02.05 20:00:00,4869.36,4800.59,2026.02.05 22:54:49,4800.51,-206.55,68.76999999999953,206.30999999999858,-1.0011632979496943,0.07999999999992724,0.0011632979496863137,0.0011632979496942752,sl 4800.59
720,SHORT,1,2026.02.09 16:00:00,5007.0,5041.1,2026.02.09 17:01:01,5041.57,-34.57,34.100000000000364,34.100000000000364,-1.0137829912023353,0.46999999999934516,0.01378299120232669,0.013782991202335282,sl 5041.10
722,LONG,3,2026.02.10 12:00:00,5047.15,5011.43,2026.02.10 17:37:56,5011.32,-107.49,35.719999999999345,107.15999999999804,-1.0030795072788536,0.11000000000058208,0.003079507278851738,0.0030795072788536437,sl 5011.43
723,LONG,1,2026.02.10 16:00:00,5052.15,5011.43,2026.02.10 17:37:56,5011.32,-40.83,40.719999999999345,40.719999999999345,-1.0027013752455955,0.11000000000058208,0.0027013752455939057,0.0027013752455955498,sl 5011.43
