test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1547,-0.4800000000000182,-9.63000000000011,0,1.0,9.150000000000091
2025,1548,-49.16999999999962,-16.389999999999873,0,6.0,-32.779999999999745
2025,1549,17.20999999999958,-3.1700000000009823,1,2.0,20.380000000000564
2025,1550,-63.099999999999454,-58.32999999999947,1,4.0,-4.769999999999982
2025,1551,-14.789999999999509,-5.949999999999818,0,3.0,-8.83999999999969
2025,1552,19.41000000000122,-11.399999999999181,1,7.0,30.8100000000004
2025,1553,-5.829999999999927,-5.829999999999927,0,1.0,0.0
2025,1554,-36.98000000000002,-15.2800000000002,0,4.0,-21.699999999999818
2025,1555,-4.650000000000546,-6.160000000000309,1,3.0,1.5099999999997635
2025,1556,738.6799999999994,813.5799999999999,5,8.0,-74.90000000000055
2025,1557,-5.789999999999964,-5.789999999999964,0,1.0,0.0
2025,1558,0.0,6.080000000000837,1,0.0,-6.080000000000837
2025,1559,-16.429999999999836,-15.519999999999527,1,1.0,-0.9100000000003092
2025,1560,-77.42999999999984,-126.81999999999971,2,5.0,49.38999999999987
2025,1561,12.840000000000146,4.150000000000546,1,1.0,8.6899999999996
2025,1562,-26.839999999999236,-26.839999999999236,0,2.0,0.0
2025,1563,0.0,-107.84000000000015,2,0.0,107.84000000000015
2025,1564,-195.83999999999924,-144.61999999999944,1,3.0,-51.2199999999998
2025,1565,-14.670000000000073,-19.050000000000182,0,1.0,4.380000000000109
2025,1566,-63.53999999999951,-40.29999999999973,1,7.0,-23.23999999999978
2025,1567,-26.51000000000022,-88.24000000000024,1,1.0,61.73000000000002
2025,1568,1155.6599999999994,1371.729999999999,5,6.0,-216.0699999999997
2025,1569,0.0,-18.019999999999982,0,0.0,18.019999999999982
2025,1570,-47.57999999999993,-24.0,0,4.0,-23.579999999999927
2025,1571,-5.309999999999945,-9.799999999999727,0,1.0,4.489999999999782
2025,1572,18.09999999999809,1.7799999999992906,1,10.0,16.3199999999988
2025,1573,-32.01000000000022,-16.120000000000346,0,3.0,-15.889999999999873
