signal_id,decision_time,entry_event,direction,units,event_price,structural_sl,h4_source_open,h4_source_end,h4_fast_dir,h4_fast_run_k,answer_final_run_len,answer_future_remaining_h4,h4_fast_body_signed,h4_fast_body_to_range_signed,era_scale_prev_h4_atr180,era_risk_event_price,m15_count,m15_aligned_fraction,m15_transition_rate,m15_mean_same_run_len,m15_mean_opp_run_len,m15_max_same_run_len,m15_max_opp_run_len,m15_length_advantage,m15_current_signed_streak,m15_body_sum_signed,m15_body_mean_signed,m15_body_flow_eff,m15_body_to_range_mean_signed,m15_opposing_wick_share_mean,m15_no_opposing_wick_fraction,m30_count,m30_aligned_fraction,m30_transition_rate,m30_mean_same_run_len,m30_mean_opp_run_len,m30_max_same_run_len,m30_max_opp_run_len,m30_length_advantage,m30_current_signed_streak,m30_body_sum_signed,m30_body_mean_signed,m30_body_flow_eff,m30_body_to_range_mean_signed,m30_opposing_wick_share_mean,m30_no_opposing_wick_fraction,h1_count,h1_aligned_fraction,h1_transition_rate,h1_mean_same_run_len,h1_mean_opp_run_len,h1_max_same_run_len,h1_max_opp_run_len,h1_length_advantage,h1_current_signed_streak,h1_body_sum_signed,h1_body_mean_signed,h1_body_flow_eff,h1_body_to_range_mean_signed,h1_opposing_wick_share_mean,h1_no_opposing_wick_fraction
586,2025.11.25 12:00:00,ENTRY_FILL,SHORT,1,4128.28,4152.09,2025-11-25 08:00:00,2025-11-25 12:00:00,SHORT,1,1,0,6.862629030653807,0.16135972326954734,33.58059048174642,0.7090405397410426,16,0.5625,0.4,3.0,1.75,4,4,0,-4,27.191331330730463,1.699458208170654,0.5736934371513499,0.12098539114438692,0.3160706181124662,0.1875,8,0.875,0.14285714285714285,7.0,1.0,7,1,6,-1,27.678786404473612,3.4598483005592016,0.7752068035964487,0.24141928594622547,0.2528082790057047,0.25,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,33.305277500364355,8.326319375091089,0.9163484263002181,0.36278922384705503,0.1293160864424438,0.5
587,2025.11.26 01:00:00,ENTRY_REJECT,SHORT,3,4132.26,4159.22,2025-11-25 20:00:00,2025-11-26 00:00:00,SHORT,1,1,0,3.629478578603994,0.1563082936521944,33.7181053777416,0.7995704295353794,16,0.875,0.13333333333333333,7.0,2.0,7,2,5,7,24.626368323840325,1.5391480202400203,0.7652612353049595,0.2212329047164006,0.22074707734695112,0.1875,8,0.875,0.2857142857142857,3.5,1.0,4,1,3,3,22.323106585274218,2.790388323159277,0.9086175315498033,0.3144995743415711,0.252082228200111,0.25,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,8.373642645872678,2.0934106614681696,0.5212322116046022,0.2921298081524493,0.21418694141865433,0.25
588,2025.11.26 16:00:00,ENTRY_FILL,SHORT,1,4153.34,4211.31,2025-11-26 12:00:00,2025-11-26 16:00:00,SHORT,1,1,0,0.5335526506978567,0.02163636053113787,33.47063835146485,1.7319657722471609,16,0.4375,0.3333333333333333,2.3333333333333335,3.0,3,5,-2,2,8.576477470998725,0.5360298419374203,0.1503806379471424,-0.010936733311971827,0.25055344250506995,0.25,8,0.5,0.7142857142857143,1.3333333333333333,1.3333333333333333,2,2,0,1,4.99194841676217,0.6239935520952713,0.17825228870658502,-0.007264257669185651,0.29539068410501,0.125,4,0.5,0.3333333333333333,2.0,2.0,2,2,0,2,1.0359377637551006,0.25898444093877515,0.07605759916238546,-0.012443018746311187,0.39765989258991713,0.0
589,2025.11.27 04:00:00,ENTRY_FILL,SHORT,1,4154.53,4168.52,2025-11-27 00:00:00,2025-11-27 04:00:00,SHORT,1,2,1,5.267961760166145,0.26379377867631837,33.306309285331274,0.4200405358681441,12,0.6666666666666666,0.45454545454545453,2.6666666666666665,1.3333333333333333,5,2,3,5,14.934832537456714,1.244569378121393,0.6672032867835539,0.14193627115065346,0.2684980741673115,0.16666666666666666,6,0.6666666666666666,0.6,2.0,1.0,3,1,2,3,12.481520198431099,2.080253366405183,0.8261878542734917,0.1401261119938889,0.3260027676821163,0.16666666666666666,3,0.6666666666666666,0.5,2.0,1.0,2,1,1,2,6.01197466029771,2.00399155343257,0.7952644179735259,0.1061538198600986,0.3397852674984953,0.0
590,2025.11.27 12:00:00,ENTRY_FILL,LONG,3,4159.22,4142.71,2025-11-27 08:00:00,2025-11-27 12:00:00,LONG,1,6,5,3.7462523899894222,0.1826549190633536,33.122373018867265,0.4984546243288711,16,0.8125,0.26666666666666666,4.333333333333333,1.5,6,2,4,2,12.86875731631244,0.8042973322695275,0.3344467371914157,0.23223969737422528,0.2187355398203706,0.25,8,0.75,0.14285714285714285,6.0,2.0,6,2,4,-2,10.789183716636217,1.348647964579527,0.3736948386076037,0.3086514942851248,0.18935701366559332,0.5,4,1.0,0.0,4.0,0.0,4,0,4,4,19.34652643978552,4.83663160994638,1.0,0.40300877728326073,0.21148552149467592,0.5
591,2025.11.27 16:00:00,ENTRY_FILL,LONG,3,4155.2,4148.43,2025-11-27 12:00:00,2025-11-27 16:00:00,LONG,2,6,4,1.282563097496677,0.09687032458434276,33.05230427987356,0.2048268690338169,16,0.375,0.2,3.0,5.0,4,7,-3,2,-3.6480145784153137,-0.2280009111509571,-0.1373901511504922,-0.05219033525823775,0.29594019631330226,0.1875,8,0.375,0.42857142857142855,1.5,2.5,2,3,-1,1,-4.817445721684635,-0.6021807152105794,-0.3160023354465802,-0.08905865343412009,0.29860983627864873,0.25,4,0.0,0.0,0.0,4.0,0,4,-4,-4,-7.568654597513159,-1.8921636493782898,-1.0,-0.258888284514373,0.47332755059053633,0.0
592,2025.11.27 20:00:00,ENTRY_FILL,LONG,1,4158.03,4149.16,2025-11-27 16:00:00,2025-11-27 20:00:00,LONG,3,6,3,1.0546407743740929,0.10160315745415047,32.94223592276315,0.2692591972444318,16,0.6875,0.26666666666666666,3.6666666666666665,2.5,6,3,3,6,3.635083733367537,0.22719273333547108,0.16644278284629724,0.11512059975227353,0.2977194007436319,0.25,8,0.625,0.5714285714285714,1.6666666666666667,1.5,2,2,0,2,4.0722988060651915,0.5090373507581489,0.30621077621599635,0.12547063955917825,0.2844823198182744,0.125,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,1.835709087655232,0.458927271913808,0.8666011270169113,0.07890775849308658,0.3952797054176218,0.0
593,2025.11.28 01:00:02,ENTRY_REJECT,LONG,1,4158.17,4151.41,2025-11-27 20:00:00,2025-11-28 00:00:00,LONG,4,6,2,1.4216601935941071,0.3110853815303971,32.81689016763669,0.20599148686753946,6,0.5,0.4,3.0,1.5,3,2,1,-1,1.5626274049309359,0.26043790082182267,0.3169152566328904,0.08007147269737973,0.269231176114403,0.3333333333333333,3,0.6666666666666666,0.5,2.0,1.0,2,1,1,2,1.5643733221786533,0.5214577740595511,0.6933123762036776,0.16474955525526622,0.21795215599155862,0.3333333333333333,2,1.0,0.0,2.0,0.0,2,0,2,2,3.1062854543833964,1.5531427271916982,1.0,0.4465125939477986,0.09402726533144098,0.5
594,2025.11.28 04:00:00,ENTRY_FILL,LONG,1,4191.2,4151.41,2025-11-28 00:00:00,2025-11-28 04:00:00,LONG,5,6,1,20.585415048399227,0.5771072343257411,32.659963000038715,1.2183112393591138,12,1.0,0.0,12.0,0.0,12,0,12,12,42.94669293907009,3.578891078255841,1.0,0.5452576485695494,0.04496580626457878,0.75,6,1.0,0.0,6.0,0.0,6,0,6,6,39.48791510398951,6.581319183998251,1.0,0.62706059798294,0.026522362996126838,0.8333333333333334,3,1.0,0.0,3.0,0.0,3,0,3,3,36.132874924196585,12.044291641398862,1.0,0.5690243903675506,0.027497893591116995,0.6666666666666666
595,2025.11.28 12:00:03,ENTRY_FILL,SHORT,1,4166.85,4193.21,2025-11-28 08:00:00,2025-11-28 12:00:00,SHORT,1,1,0,10.170411559474815,0.27682121827639833,32.59292606432841,0.808764452383721,16,0.625,0.3333333333333333,3.3333333333333335,2.0,7,3,4,-2,25.402412345933044,1.5876507716208152,0.4964573858504345,0.10379181518497022,0.22959773735974986,0.3125,8,0.625,0.2857142857142857,5.0,1.5,5,2,3,-1,26.18781561094511,3.2734769513681385,0.7953664436447532,0.15652841237782372,0.24009937496294662,0.25,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,27.541178502309776,6.885294625577444,0.9373299046605638,0.2972910371151665,0.18869610080985721,0.5
596,2025.11.28 16:00:00,ENTRY_FILL,LONG,3,4182.94,4152.1,2025-11-28 12:00:00,2025-11-28 16:00:00,LONG,1,7,6,1.0653971101310162,0.04799086081671087,32.61596536397103,0.9455492013143477,16,0.6875,0.4,2.75,1.6666666666666667,4,2,2,2,16.669302476179837,1.0418314047612398,0.3949161640805109,0.09163821673475657,0.29376846033592996,0.1875,8,0.75,0.5714285714285714,2.0,1.0,4,1,3,1,16.6064072904137,2.0758009113017124,0.6099422353253273,0.20512222937703142,0.2352415330842305,0.375,4,0.75,0.3333333333333333,3.0,1.0,3,1,2,3,8.153988843606385,2.038497210901596,0.5707517932511631,0.198133843407542,0.2506107567386645,0.0
597,2025.11.28 20:00:00,ENTRY_FILL,LONG,3,4216.89,4152.1,2025-11-28 16:00:00,2025-11-28 20:00:00,LONG,2,7,5,28.466349277532572,0.6730532509375826,32.55809888972675,1.989981055694979,16,0.8125,0.26666666666666666,4.333333333333333,1.5,7,2,5,2,48.197660540169636,3.0123537837606023,0.7822269693775608,0.30256693469764595,0.21101975543034796,0.3125,8,0.875,0.2857142857142857,3.5,1.0,5,1,4,5,46.36470822764932,5.795588528456165,0.9576914890091887,0.3803209714794754,0.20549314322501994,0.25,4,1.0,0.0,4.0,0.0,4,0,4,4,59.862436802724915,14.965609200681229,1.0,0.6560723257707826,0.0,1.0
598,2025.12.01 01:00:00,ENTRY_REJECT,LONG,1,4224.11,4152.1,2025-11-28 20:00:00,2025-11-29 00:00:00,LONG,3,7,4,22.872587319383456,0.7490714408596034,32.569553895894934,2.2109605870001015,7,0.7142857142857143,0.3333333333333333,2.5,2.0,4,2,2,1,7.417372454445285,1.0596246363493265,0.5347873636149317,0.10082683870521933,0.27354673812388225,0.2857142857142857,4,0.5,0.3333333333333333,2.0,2.0,2,2,0,-2,10.290444137710438,2.5726110344276094,0.800744366203482,0.23322842102700683,0.267921165804747,0.25,2,1.0,0.0,2.0,0.0,2,0,2,2,22.347121840134605,11.173560920067303,1.0,0.713031790445658,0.0,1.0
