row,time,order,symbol,type,volume,price,sl,tp,done_time,state,comment
1705,2026.06.01 04:00:00,1640,GOLD#,sell,0.01,0.0,4595.16,,2026.06.01 04:00:00,filled,V10_965
1706,2026.06.01 08:00:00,1641,GOLD#,sell,0.01,0.0,4545.82,,2026.06.01 08:00:00,filled,V10_966
1707,2026.06.02 04:00:00,1642,GOLD#,buy,0.01,0.0,,,2026.06.02 04:00:00,filled,
1708,2026.06.02 04:00:00,1643,GOLD#,buy,0.01,0.0,,,2026.06.02 04:00:00,filled,
1709,2026.06.02 04:00:00,1644,GOLD#,buy,0.03,0.0,4447.63,,2026.06.02 04:00:00,filled,V10_967
1710,2026.06.02 08:00:00,1645,GOLD#,buy,0.03,0.0,4462.96,,2026.06.02 08:00:00,filled,V10_968
1711,2026.06.02 12:00:00,1646,GOLD#,buy,0.01,0.0,4462.96,,2026.06.02 12:00:00,filled,V10_969
1712,2026.06.02 20:00:00,1647,GOLD#,sell,0.01,0.0,,,2026.06.02 20:00:00,filled,
1713,2026.06.02 20:00:00,1648,GOLD#,sell,0.03,0.0,,,2026.06.02 20:00:00,filled,
1714,2026.06.02 20:00:00,1649,GOLD#,sell,0.03,0.0,,,2026.06.02 20:00:00,filled,
1715,2026.06.02 20:00:00,1650,GOLD#,sell,0.01,0.0,4541.41,,2026.06.02 20:00:00,filled,V10_970
1716,2026.06.04 04:00:00,1651,GOLD#,buy,0.01,0.0,,,2026.06.04 04:00:00,filled,
1717,2026.06.04 04:00:00,1652,GOLD#,buy,0.03,0.0,4423.95,,2026.06.04 04:00:00,filled,V10_971
1718,2026.06.04 08:00:00,1653,GOLD#,buy,0.03,0.0,4443.32,,2026.06.04 08:00:00,filled,V10_972
1719,2026.06.04 16:00:00,1654,GOLD#,buy,0.01,0.0,4458.48,,2026.06.04 16:00:00,filled,V10_973
1720,2026.06.04 17:53:52,1655,GOLD#,sell,0.01,0.0,,,2026.06.04 17:53:52,filled,sl 4458.48
1721,2026.06.05 04:00:00,1656,GOLD#,sell,0.01,0.0,4483.33,,2026.06.05 04:00:00,filled,V10_975
1722,2026.06.05 05:01:27,1657,GOLD#,sell,0.03,0.0,,,2026.06.05 05:01:27,filled,sl 4443.32
1723,2026.06.05 15:52:39,1658,GOLD#,sell,0.03,0.0,,,2026.06.05 15:52:39,filled,sl 4423.95
1724,2026.06.08 16:00:00,1659,GOLD#,buy,0.01,0.0,,,2026.06.08 16:00:00,filled,
1725,2026.06.08 16:00:00,1660,GOLD#,buy,0.03,0.0,4272.94,,2026.06.08 16:00:00,filled,V10_976
1726,2026.06.08 20:00:00,1661,GOLD#,buy,0.03,0.0,4314.57,,2026.06.08 20:00:00,filled,V10_977
1727,2026.06.09 02:49:00,1662,GOLD#,sell,0.03,0.0,,,2026.06.09 02:49:00,filled,sl 4314.57
1728,2026.06.09 04:00:00,1663,GOLD#,sell,0.03,0.0,,,2026.06.09 04:00:00,filled,
1729,2026.06.09 04:00:00,1664,GOLD#,sell,0.01,0.0,4346.24,,2026.06.09 04:00:00,filled,V10_978
1730,2026.06.09 08:00:00,1665,GOLD#,buy,0.01,0.0,,,2026.06.09 08:00:00,filled,
1731,2026.06.09 08:00:00,1666,GOLD#,buy,0.03,0.0,4312.75,,2026.06.09 08:00:00,filled,V10_979
1732,2026.06.09 12:00:00,1667,GOLD#,buy,0.01,0.0,4312.75,,2026.06.09 12:00:00,filled,V10_980
1733,2026.06.09 16:00:00,1668,GOLD#,buy,0.01,0.0,4321.18,,2026.06.09 16:00:00,filled,V10_981
1734,2026.06.09 17:14:03,1669,GOLD#,sell,0.01,0.0,,,2026.06.09 17:14:03,filled,sl 4321.18
1735,2026.06.09 17:17:13,1670,GOLD#,sell,0.03,0.0,,,2026.06.09 17:17:13,filled,sl 4312.75
1736,2026.06.09 17:17:13,1671,GOLD#,sell,0.01,0.0,,,2026.06.09 17:17:13,filled,sl 4312.75
1737,2026.06.09 20:00:00,1672,GOLD#,sell,0.03,0.0,4363.3,,2026.06.09 20:00:00,filled,V10_982
1738,2026.06.11 08:00:00,1673,GOLD#,buy,0.03,0.0,,,2026.06.11 08:00:00,filled,
1739,2026.06.11 08:00:00,1674,GOLD#,buy,0.03,0.0,4023.87,,2026.06.11 08:00:00,filled,V10_983
1740,2026.06.11 12:00:00,1675,GOLD#,buy,0.03,0.0,4023.87,,2026.06.11 12:00:00,filled,V10_984
1741,2026.06.11 16:00:00,1676,GOLD#,sell,0.03,0.0,,,2026.06.11 16:00:00,filled,
1742,2026.06.11 16:00:00,1677,GOLD#,sell,0.03,0.0,,,2026.06.11 16:00:00,filled,
1743,2026.06.12 04:00:00,1678,GOLD#,buy,0.01,0.0,4052.83,,2026.06.12 04:00:00,filled,V10_986
1744,2026.06.12 08:00:00,1679,GOLD#,sell,0.01,0.0,,,2026.06.12 08:00:00,filled,
1745,2026.06.12 08:00:00,1680,GOLD#,sell,0.03,0.0,4246.26,,2026.06.12 08:00:00,filled,V10_987
1746,2026.06.12 12:00:00,1681,GOLD#,buy,0.03,0.0,,,2026.06.12 12:00:00,filled,
1747,2026.06.12 12:00:00,1682,GOLD#,buy,0.01,0.0,4052.83,,2026.06.12 12:00:00,filled,V10_988
1748,2026.06.16 08:00:00,1683,GOLD#,buy,0.03,0.0,4305.95,,2026.06.16 08:00:00,filled,V10_990
1749,2026.06.16 12:00:00,1684,GOLD#,buy,0.03,0.0,4313.46,,2026.06.16 12:00:00,filled,V10_991
1750,2026.06.16 16:00:00,1685,GOLD#,buy,0.01,0.0,4313.46,,2026.06.16 16:00:00,filled,V10_992
1751,2026.06.16 17:34:10,1686,GOLD#,sell,0.03,0.0,,,2026.06.16 17:34:10,filled,sl 4313.46
1752,2026.06.16 17:34:10,1687,GOLD#,sell,0.01,0.0,,,2026.06.16 17:34:10,filled,sl 4313.46
1753,2026.06.16 20:00:00,1688,GOLD#,sell,0.03,0.0,,,2026.06.16 20:00:00,filled,
1754,2026.06.16 20:00:00,1689,GOLD#,sell,0.01,0.0,,,2026.06.16 20:00:00,filled,
1755,2026.06.16 20:00:00,1690,GOLD#,sell,0.03,0.0,4354.97,,2026.06.16 20:00:00,filled,V10_993
1756,2026.06.17 16:00:00,1691,GOLD#,buy,0.03,0.0,,,2026.06.17 16:00:00,filled,
1757,2026.06.17 16:00:00,1692,GOLD#,buy,0.03,0.0,4316.89,,2026.06.17 16:00:00,filled,V10_995
1758,2026.06.17 20:00:00,1693,GOLD#,buy,0.03,0.0,4319.72,,2026.06.17 20:00:00,filled,V10_996
1759,2026.06.17 21:04:39,1694,GOLD#,sell,0.03,0.0,,,2026.06.17 21:04:39,filled,sl 4319.72
1760,2026.06.17 21:04:58,1695,GOLD#,sell,0.03,0.0,,,2026.06.17 21:04:58,filled,sl 4316.89
1761,2026.06.18 08:00:00,1696,GOLD#,buy,0.03,0.0,4218.95,,2026.06.18 08:00:00,filled,V10_998
1762,2026.06.18 12:00:00,1697,GOLD#,sell,0.03,0.0,,,2026.06.18 12:00:00,filled,
1763,2026.06.18 12:00:00,1698,GOLD#,sell,0.03,0.0,4324.53,,2026.06.18 12:00:00,filled,V10_999
1764,2026.06.18 16:00:00,1699,GOLD#,sell,0.01,0.0,4324.53,,2026.06.18 16:00:00,filled,V10_1000
