prior,market,year,state,oppN,fillN,h1,h3,h5,mfe24,mae24
p2,USDJPY,2025,OPPOSED,32,31,0.3870967741935484,0.22580645161290322,0.06451612903225806,0.3519048058297189,0.44090093681482107
p2,XAUEUR,2023,ALIGNED,12,12,0.5,0.3333333333333333,0.25,0.3727803051000813,0.5535422263334338
p2,XAUEUR,2023,OPPOSED,33,32,0.46875,0.125,0.0625,0.35452942083096683,0.4075810528470186
p2,XAUEUR,2024,ALIGNED,14,13,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.2659761579050348,0.44938459035947415
p2,XAUEUR,2024,OPPOSED,21,20,0.2,0.1,0.05,0.19227519839621926,0.37269109034256737
p2,XAUEUR,2025,ALIGNED,19,17,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.32082813805955473,0.3985732645420806
p2,XAUEUR,2025,OPPOSED,25,24,0.5416666666666666,0.3333333333333333,0.25,0.30187188962619005,0.38714789339466116
s1,BTCUSD,2023,ALIGNED,30,30,0.4,0.13333333333333333,0.1,0.24812257533645055,0.38460891773376904
s1,BTCUSD,2023,OPPOSED,60,59,0.4915254237288136,0.23728813559322035,0.1864406779661017,0.268516181431262,0.4315587385539097
s1,BTCUSD,2024,ALIGNED,18,17,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.3365396979671309,0.4857643802470971
s1,BTCUSD,2024,OPPOSED,38,38,0.3684210526315789,0.21052631578947367,0.13157894736842105,0.3440558162681109,0.4726832297413098
s1,BTCUSD,2025,ALIGNED,24,23,0.43478260869565216,0.2608695652173913,0.08695652173913043,0.40703852227091647,0.33254644913513
s1,BTCUSD,2025,OPPOSED,43,40,0.475,0.225,0.125,0.37612819736034536,0.39933764372590175
s1,GOLD,2022,ALIGNED,23,20,0.55,0.35,0.3,0.3456891929693794,0.40038897917992244
s1,GOLD,2022,OPPOSED,28,26,0.46153846153846156,0.19230769230769232,0.11538461538461539,0.40172669292213503,0.34303332013615495
s1,GOLD,2023,ALIGNED,16,15,0.6666666666666666,0.3333333333333333,0.2,0.3253972742181769,0.3517396509813975
s1,GOLD,2023,OPPOSED,26,24,0.5,0.25,0.16666666666666666,0.4039295626048559,0.3964863605059169
s1,GOLD,2024,ALIGNED,16,15,0.8,0.3333333333333333,0.3333333333333333,0.4560115973543435,0.3456555223339711
s1,GOLD,2024,OPPOSED,27,24,0.4166666666666667,0.3333333333333333,0.20833333333333334,0.3665448506944975,0.31510614602657006
s1,GOLD,2025,ALIGNED,10,8,0.625,0.5,0.375,0.5866091022379503,0.2816930719636755
s1,GOLD,2025,OPPOSED,22,21,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.4449048732343065,0.239814284545528
s1,USDJPY,2023,ALIGNED,20,20,0.6,0.25,0.25,0.5231846228491492,0.35692633508176863
s1,USDJPY,2023,OPPOSED,19,17,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.15223279931894212,0.5460812772133606
s1,USDJPY,2024,ALIGNED,14,13,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.1807460515378067,0.7618113207547252
s1,USDJPY,2024,OPPOSED,23,20,0.6,0.25,0.1,0.4321741011593437,0.5538661869024812
s1,USDJPY,2025,ALIGNED,12,12,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.18385368501468086,0.32973213125358325
s1,USDJPY,2025,OPPOSED,27,26,0.46153846153846156,0.2692307692307692,0.07692307692307693,0.42870469233116415,0.47920023445644766
s1,XAUEUR,2023,ALIGNED,16,16,0.5625,0.25,0.125,0.3972566257208182,0.36536423834156173
