sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,year,broken_m5_level,penetration,acceptance_margin,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr,entry_trigger,sl_exec,limit_entry,planned_risk,improved,scale,accept,market,segment,n_prior,scale_baseline,accept_baseline,high_scale,high_accept,geom_valid,state_valid,high_high,bar_open,p1,p2,plus_di14,minus_di14,disp24,available_at,s1,s2,s3,p1_state,p2_state,s1_state,s2_state,s3_state
2025-07-23 18:56:00,-1,118642.05,2025-07-23 15:00:00,2025-07-23 16:00:00,7518,1,118708.15,2025-07-23 19:15:00,117889.35,1,268381,2025,118103.45,66.09999999999127,214.09999999999127,True,True,1,3305.7357142857145,117889.35,118738.15,117996.4,741.75,True,0.2243827287204274,0.0647662180236488,BTCUSD,BTCUSD,179,0.1870481529268057,0.0164506532858859,True,True,True,True,True,2025-07-23 17:00:00,-1,-1,10.737437329404656,26.233779384530152,-845.8000000000029,2025-07-23 18:00:00,-1,-1,-1,ALIGNED,ALIGNED,ALIGNED,ALIGNED,ALIGNED
2025-07-28 21:33:00,1,117426.35,2025-07-26 12:30:00,2025-07-26 13:15:00,7545,1,117398.15,2025-07-28 22:05:00,118061.65,-1,269849,2025,117795.65,28.20000000001164,266.0,True,True,1,3034.6357142857128,118091.65,117398.15,117958.65,560.5,True,0.1847009172670761,0.0876546726013242,BTCUSD,BTCUSD,180,0.1876374108059432,0.0164910741383768,False,True,True,True,False,2025-07-28 20:00:00,-1,-1,13.789265601776302,27.359172289363492,-1535.8999999999942,2025-07-28 21:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-08-04 16:33:00,1,114135.05,2025-08-04 09:15:00,2025-08-04 10:15:00,7627,1,114102.25,2025-08-04 16:40:00,114469.25,-1,271794,2025,114452.15,32.80000000000291,17.10000000000582,True,True,1,2760.246428571428,114499.25,114102.25,114490.7,388.4499999999971,True,0.140730188427792,0.0061950990400722,BTCUSD,BTCUSD,181,0.1870481529268057,0.0165314949908677,False,False,True,True,False,2025-08-04 15:00:00,1,1,17.96441039783983,15.486773027277604,444.1999999999971,2025-08-04 16:00:00,1,-1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-08-08 13:51:00,1,116377.35,2025-08-08 09:00:00,2025-08-08 09:45:00,7659,1,116302.05,2025-08-08 14:05:00,116618.25,-1,272915,2025,116534.95,75.30000000000291,83.30000000000291,True,True,1,2575.478571428572,116648.25,116302.05,116606.6,304.5500000000029,True,0.1182498675696899,0.0323435034265487,BTCUSD,BTCUSD,182,0.1858745350969409,0.0164910741383768,False,True,True,True,False,2025-08-08 12:00:00,1,1,20.75873144996676,17.810578384130938,1615.1000000000058,2025-08-08 13:00:00,1,-1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-08-10 18:09:00,-1,119082.45,2025-07-29 15:30:00,2025-07-29 17:15:00,7576,1,119083.05,2025-08-10 18:40:00,118539.25,1,273540,2025,118563.65,0.6000000000058208,24.39999999999418,True,True,1,2424.814285714285,118539.25,119113.05,118551.45,561.6000000000058,True,0.2316053659484993,0.0100626262983297,BTCUSD,BTCUSD,183,0.1847009172670761,0.0165314949908677,True,False,True,True,False,2025-08-10 17:00:00,1,1,29.998843786520816,12.942352142456537,1825.199999999997,2025-08-10 18:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-08-19 18:07:00,1,113554.85,2025-08-06 16:30:00,2025-08-06 17:00:00,7645,1,113534.05,2025-08-19 18:25:00,114107.45,-1,276123,2025,114065.85,20.80000000000291,41.59999999999127,True,True,1,2878.8607142857136,114137.45,113534.05,114116.65,582.5999999999913,True,0.2023717219485357,0.0144501607158555,BTCUSD,BTCUSD,184,0.1858745350969409,0.0164910741383768,True,False,True,True,False,2025-08-19 17:00:00,-1,-1,12.186449498450331,34.99035343395477,-1764.0,2025-08-19 18:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-08-25 16:46:00,1,110578.25,2025-08-24 22:30:00,2025-08-24 23:00:00,7799,1,110577.05,2025-08-25 17:10:00,111910.45,-1,277830,2025,111743.05,1.1999999999970896,167.39999999999418,True,True,1,3462.57142857143,111940.45,110577.05,111856.75,1279.699999999997,True,0.3695808235002878,0.048345573067083,BTCUSD,BTCUSD,185,0.1870481529268057,0.0164506532858859,True,True,True,True,True,2025-08-25 15:00:00,-1,-1,11.657096657849436,35.5642916463924,-3088.5999999999913,2025-08-25 16:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-09-01 01:26:00,-1,109214.15,2025-08-31 21:45:00,2025-08-31 23:00:00,7860,1,109220.85,2025-09-01 01:45:00,108832.25,1,279655,2025,108852.25,6.7000000000116415,20.0,True,True,1,3269.257142857144,108832.25,109250.85,108842.25,408.6000000000058,True,0.1249825211494109,0.0061175977067748,BTCUSD,BTCUSD,186,0.1876374108059432,0.0164910741383768,False,False,True,True,False,2025-09-01 00:00:00,1,1,22.663032166317883,15.471665285973845,438.3999999999942,2025-09-01 01:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-09-03 16:47:00,-1,111859.95,2025-09-03 15:30:00,2025-09-03 16:00:00,7882,1,111908.65,2025-09-03 17:15:00,111208.85,1,280417,2025,111298.85,48.69999999999709,90.0,True,True,1,3226.2357142857154,111208.85,111938.65,111253.85,684.7999999999884,True,0.2122597542912645,0.0278962878011304,BTCUSD,BTCUSD,187,0.1870481529268057,0.0164506532858859,True,True,True,True,True,2025-09-03 15:00:00,1,1,23.859109206430023,21.86155442245475,2325.699999999997,2025-09-03 16:00:00,-1,1,0,OPPOSED,OPPOSED,ALIGNED,OPPOSED,NEUTRAL
2025-09-16 07:18:00,1,114929.45,2025-09-16 03:45:00,2025-09-16 04:30:00,7987,1,114923.05,2025-09-16 07:50:00,115425.15,-1,284036,2025,115410.25,6.399999999994179,14.89999999999418,True,True,1,2281.4214285714293,115455.15,114923.05,115447.7,524.6499999999942,True,0.2299662804204119,0.0065310160645436,BTCUSD,BTCUSD,188,0.1876374108059432,0.0164910741383768,True,False,True,True,False,2025-09-16 06:00:00,1,-1,20.33792830138565,15.621515176011705,-126.89999999999418,2025-09-16 07:00:00,1,-1,0,ALIGNED,OPPOSED,ALIGNED,OPPOSED,NEUTRAL
2025-09-17 05:52:00,-1,117009.75,2025-08-23 03:30:00,2025-08-23 04:30:00,7784,1,117067.15,2025-09-17 06:25:00,116571.65,1,284307,2025,116588.65,57.39999999999418,17.0,True,True,1,2127.750000000001,116571.65,117097.15,116580.15,517.0,True,0.2429796733638819,0.0079896604394313,BTCUSD,BTCUSD,189,0.1882266686850806,0.0164506532858859,True,False,True,True,False,2025-09-17 04:00:00,1,1,23.050278627712025,14.636794169245261,1641.3999999999942,2025-09-17 05:00:00,1,-1,0,OPPOSED,OPPOSED,OPPOSED,ALIGNED,NEUTRAL
2025-09-23 17:11:00,-1,113255.15,2025-09-23 12:00:00,2025-09-23 13:30:00,8048,1,113276.95,2025-09-23 17:35:00,112662.95,1,286163,2025,112696.15,21.80000000000291,33.19999999999709,True,True,1,2090.492857142857,112662.95,113306.95,112679.55,627.4000000000087,True,0.3001206140725572,0.0158814223576791,BTCUSD,BTCUSD,190,0.1892433951298333,0.0162812082380871,True,False,True,True,False,2025-09-23 16:00:00,-1,-1,13.458671782953465,23.2017032818253,-194.8000000000029,2025-09-23 17:00:00,1,1,1,ALIGNED,ALIGNED,OPPOSED,OPPOSED,OPPOSED
2025-10-01 00:04:00,-1,114757.25,2025-09-30 04:15:00,2025-09-30 07:30:00,8104,1,114757.65,2025-10-01 00:30:00,114278.95,1,288256,2025,114292.85,0.3999999999941792,13.900000000008731,True,True,1,2348.6785714285675,114278.95,114787.65,114285.9,501.75,True,0.2136307650198443,0.0059182214923322,BTCUSD,BTCUSD,191,0.1902601215745859,0.0161117631902882,True,False,True,True,False,2025-09-30 23:00:00,1,1,29.656152298895694,11.806546236426612,387.1999999999971,2025-10-01 00:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-10-06 02:33:00,-1,123538.15,2025-10-05 14:45:00,2025-10-05 17:45:00,8144,1,123543.75,2025-10-06 03:10:00,123326.75,1,289722,2025,123331.15,5.600000000005821,4.399999999994179,True,True,1,2981.807142857139,123326.75,123573.75,123328.95,244.8000000000029,True,0.0820978649093441,0.0014756152189568,BTCUSD,BTCUSD,192,0.1908079657342588,0.0159965927739837,False,False,True,True,False,2025-10-06 01:00:00,1,1,23.060817181656013,22.735159946018666,964.6999999999971,2025-10-06 02:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-10-08 09:08:00,1,121056.85,2025-10-08 07:00:00,2025-10-08 08:00:00,8161,1,121047.65,2025-10-08 09:40:00,121540.75,-1,290376,2025,121409.05,9.200000000011642,131.6999999999971,True,True,1,3166.621428571425,121570.75,121047.65,121504.9,457.25,True,0.144396799653529,0.0415900678280357,BTCUSD,BTCUSD,193,0.1902601215745859,0.0158814223576791,False,True,True,True,False,2025-10-08 08:00:00,-1,-1,11.454244024979296,27.324835265589147,-3020.399999999994,2025-10-08 09:00:00,-1,1,0,OPPOSED,OPPOSED,OPPOSED,ALIGNED,NEUTRAL
2025-10-10 10:59:00,1,120904.35,2025-10-10 06:00:00,2025-10-10 06:30:00,8177,1,120860.05,2025-10-10 11:20:00,121216.35,-1,290972,2025,121178.05,44.30000000000291,38.30000000000291,True,True,1,3114.07857142857,121246.35,120860.05,121227.2,367.15000000000873,True,0.1179000438102563,0.0122989831892497,BTCUSD,BTCUSD,194,0.1892433951298333,0.0159965927739837,False,False,True,True,False,2025-10-10 09:00:00,-1,-1,16.825544932311146,22.430058069026718,-573.0,2025-10-10 10:00:00,-1,1,0,OPPOSED,OPPOSED,OPPOSED,ALIGNED,NEUTRAL
2025-10-12 15:08:00,-1,112170.85,2025-10-11 20:15:00,2025-10-11 22:15:00,8194,1,112204.15,2025-10-12 15:40:00,111731.65,1,291594,2025,111741.85,33.29999999998836,10.200000000011642,True,True,1,4550.896428571427,111731.65,112234.15,111736.75,497.3999999999942,True,0.1092971478931532,0.002241316663674,BTCUSD,BTCUSD,195,0.1882266686850806,0.0158814223576791,False,False,True,True,False,2025-10-12 14:00:00,-1,-1,14.369721991050108,25.15260806423881,-445.6000000000058,2025-10-12 15:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-10-15 05:30:00,-1,113559.9,2025-10-15 01:00:00,2025-10-15 03:15:00,8218,1,113601.9,2025-10-15 06:25:00,112192.4,1,292347,2025,112294.25,42.0,101.85000000000582,True,True,1,5021.839285714284,112192.4,113631.9,112243.325,1388.574999999997,True,0.2765072558076681,0.0202814136823813,BTCUSD,BTCUSD,196,0.1876374108059432,0.015836019650803,True,True,True,True,True,2025-10-15 04:00:00,-1,-1,16.698722876665084,25.95895342623101,-1538.0999999999913,2025-10-15 05:00:00,-1,-1,-1,ALIGNED,ALIGNED,ALIGNED,ALIGNED,ALIGNED
2025-10-18 23:31:00,-1,107298.15,2025-10-18 15:15:00,2025-10-18 16:45:00,8256,1,107331.35,2025-10-19 00:10:00,106915.75,1,293418,2025,106977.05,33.20000000001164,61.30000000000291,True,True,1,5081.049999999998,106915.75,107361.35,106946.4,414.9500000000117,True,0.0816661910431922,0.0120644355005368,BTCUSD,BTCUSD,197,0.1882266686850806,0.0158814223576791,False,False,True,True,False,2025-10-18 22:00:00,-1,1,17.87554456278327,18.988489708638284,615.0999999999913,2025-10-18 23:00:00,1,1,1,ALIGNED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-10-20 18:51:00,-1,111650.75,2025-10-20 11:30:00,2025-10-20 12:00:00,8270,1,111702.35,2025-10-20 19:05:00,110846.05,1,293933,2025,110997.75,51.60000000000582,151.6999999999971,True,True,1,5040.542857142856,110846.05,111732.35,110921.9,810.4500000000116,True,0.160786253181349,0.0300959647203526,BTCUSD,BTCUSD,198,0.1876374108059432,0.015836019650803,False,True,True,True,False,2025-10-20 17:00:00,1,1,30.4011394618908,13.628567611130197,2809.0,2025-10-20 18:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-10-29 15:26:00,-1,113612.0,2025-10-29 10:00:00,2025-10-29 10:45:00,8338,1,113624.9,2025-10-29 15:40:00,112987.5,1,296476,2025,113090.8,12.89999999999418,103.30000000000292,True,True,1,3702.353571428569,112987.5,113647.4,113039.15,608.25,True,0.164287388620559,0.0279011709732909,BTCUSD,BTCUSD,199,0.1870481529268057,0.0158814223576791,False,True,True,True,False,2025-10-29 14:00:00,-1,-1,17.045137023587976,23.058196267943902,-1300.3999999999942,2025-10-29 15:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-11-13 20:51:00,1,98170.95,2025-06-22 23:15:00,2025-06-22 23:45:00,7259,1,98120.3,2025-11-13 21:25:00,98869.1,-1,300853,2025,98861.0,50.64999999999418,8.10000000000582,True,True,1,4148.364285714289,98891.6,98120.3,98887.55,767.25,True,0.184952416701247,0.001952576833211,BTCUSD,BTCUSD,200,0.1858745350969409,0.0159965927739837,False,False,True,True,False,2025-11-13 19:00:00,-1,-1,9.99450204407965,33.37148054404738,-2093.5999999999913,2025-11-13 20:00:00,-1,-1,-1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-11-17 06:01:00,-1,95558.7,2025-11-16 20:00:00,2025-11-16 20:45:00,8482,1,95569.6,2025-11-17 06:15:00,95166.0,1,301817,2025,95204.1,10.900000000008731,38.10000000000582,True,True,1,4629.325000000002,95166.0,95592.1,95185.05,407.0500000000029,True,0.0879285857009397,0.0082301415433148,BTCUSD,BTCUSD,201,0.184952416701247,0.0158814223576791,False,False,True,True,False,2025-11-17 05:00:00,-1,-1,16.647257191660405,17.29558163723838,-321.3999999999942,2025-11-17 06:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-11-17 16:37:00,-1,96008.3,2025-11-17 10:15:00,2025-11-17 14:15:00,8486,1,96049.65,2025-11-17 17:20:00,93872.3,1,301950,2025,93979.6,41.34999999999127,107.30000000000292,True,True,1,4629.325000000002,93872.3,96072.15,93925.95,2146.1999999999825,True,0.4636097055186192,0.0231783251337944,BTCUSD,BTCUSD,202,0.1848266669841616,0.015836019650803,True,True,True,True,True,2025-11-17 15:00:00,-1,-1,13.654340572797055,29.70801568107518,-1453.199999999997,2025-11-17 16:00:00,1,-1,0,ALIGNED,ALIGNED,OPPOSED,ALIGNED,NEUTRAL
2025-11-21 19:25:00,-1,85485.6,2025-11-21 16:45:00,2025-11-21 17:30:00,8516,1,85565.6,2025-11-21 19:55:00,84862.5,1,303133,2025,84949.9,80.0,87.39999999999418,True,True,1,4477.935714285713,84862.5,85588.1,84906.2,681.9000000000087,True,0.1522799887065329,0.0195179220016863,BTCUSD,BTCUSD,203,0.184952416701247,0.0158814223576791,False,True,True,True,False,2025-11-21 18:00:00,-1,-1,11.863575412173747,34.96637751738101,-2968.100000000006,2025-11-21 19:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-11-24 16:35:00,-1,86560.5,2025-11-24 15:30:00,2025-11-24 16:30:00,8548,1,86648.9,2025-11-24 16:45:00,85562.0,1,303953,2025,85887.0,88.39999999999418,325.0,True,True,1,4658.571428571428,85562.0,86671.4,85724.5,946.8999999999942,True,0.2032597362772143,0.0697638761116222,BTCUSD,BTCUSD,204,0.1848266669841616,0.0159965927739837,True,True,True,True,True,2025-11-24 15:00:00,-1,-1,18.451312725037457,20.64001514335835,-780.5999999999913,2025-11-24 16:00:00,-1,1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-11-28 11:10:00,-1,91835.6,2025-11-27 20:45:00,2025-11-27 22:30:00,8572,1,91836.2,2025-11-28 11:45:00,91465.6,1,305045,2025,91484.8,0.5999999999912689,19.19999999999709,True,True,1,4287.328571428569,91465.6,91858.7,91475.2,383.4999999999855,True,0.0894496406353573,0.0044783131687057,BTCUSD,BTCUSD,205,0.184952416701247,0.0161117631902882,False,False,True,True,False,2025-11-28 10:00:00,1,1,20.321134964245616,18.746015662674747,199.10000000000582,2025-11-28 11:00:00,-1,1,0,OPPOSED,OPPOSED,ALIGNED,OPPOSED,NEUTRAL
2025-11-28 13:02:00,-1,91936.95,2025-11-27 11:30:00,2025-11-27 13:15:00,8570,1,92013.1,2025-11-28 13:10:00,91569.7,1,305062,2025,91572.7,76.15000000000873,3.0,True,True,1,4287.328571428569,91569.7,92035.6,91571.2,464.40000000000873,True,0.1083191997680894,0.0006997364326103,BTCUSD,BTCUSD,206,0.1848266669841616,0.0159965927739837,False,False,True,True,False,2025-11-28 12:00:00,1,1,20.226761036686845,16.558674860318856,233.5,2025-11-28 13:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-12-11 11:31:00,-1,90474.1,2025-12-11 06:45:00,2025-12-11 10:45:00,8684,1,90494.6,2025-12-11 11:55:00,90216.0,1,308779,2025,90266.4,20.5,50.39999999999418,True,True,1,3468.0214285714287,90216.0,90517.1,90241.2,275.9000000000088,True,0.0795554484545556,0.0145327821750961,BTCUSD,BTCUSD,207,0.1847009172670761,0.0158814223576791,False,False,True,True,False,2025-12-11 10:00:00,-1,-1,15.378804635954067,26.98427104563304,-2423.5,2025-12-11 11:00:00,-1,-1,-1,ALIGNED,ALIGNED,ALIGNED,ALIGNED,ALIGNED
2025-12-12 14:43:00,1,92072.8,2025-12-12 11:30:00,2025-12-12 12:00:00,8695,1,92066.8,2025-12-12 14:55:00,92378.2,-1,309103,2025,92280.3,6.0,97.89999999999418,True,True,1,3643.096428571429,92400.7,92066.8,92351.75,284.9499999999971,True,0.0782164308815001,0.0268727446334391,BTCUSD,BTCUSD,208,0.1846096627910327,0.015836019650803,False,True,True,True,False,2025-12-12 13:00:00,1,1,22.568733059415877,16.143331026864846,2186.899999999994,2025-12-12 14:00:00,1,-1,0,ALIGNED,ALIGNED,ALIGNED,OPPOSED,NEUTRAL
2025-12-17 03:19:00,-1,87925.8,2025-12-17 00:30:00,2025-12-17 02:15:00,8736,1,87938.7,2025-12-17 04:10:00,87384.1,1,310408,2025,87409.1,12.89999999999418,25.0,True,True,1,3318.296428571427,87384.1,87961.2,87396.6,564.5999999999913,True,0.1701475477412545,0.0075339863505693,BTCUSD,BTCUSD,209,0.1845184083149894,0.0158814223576791,False,False,True,True,False,2025-12-17 02:00:00,-1,1,13.104624882116237,17.61149538294459,1674.0,2025-12-17 03:00:00,1,1,1,ALIGNED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
2025-12-18 10:01:00,-1,86888.7,2025-12-18 06:15:00,2025-12-18 08:00:00,8746,1,86939.0,2025-12-18 10:05:00,86692.8,1,310767,2025,86697.7,50.30000000000291,4.899999999994179,True,True,1,3468.032142857141,86692.8,86961.5,86695.25,266.25,True,0.0767726448407856,0.0014129050130306,BTCUSD,BTCUSD,210,0.18440432331007,0.015836019650803,False,False,True,True,False,2025-12-18 09:00:00,1,-1,25.1487592402457,15.613450354887128,-212.6999999999971,2025-12-18 10:00:00,1,1,1,OPPOSED,ALIGNED,OPPOSED,OPPOSED,OPPOSED
2025-12-23 22:46:00,-1,88356.9,2025-12-23 06:15:00,2025-12-23 07:45:00,8788,1,88363.7,2025-12-23 23:00:00,87670.2,1,312356,2025,87679.8,6.80000000000291,9.60000000000582,True,True,1,3296.417857142856,87670.2,88386.2,87675.0,711.1999999999971,True,0.2157493469642905,0.0029122521525006,BTCUSD,BTCUSD,211,0.1842902383051507,0.0157906169439268,True,False,True,True,False,2025-12-23 21:00:00,-1,-1,12.487886625536607,21.40873680135595,-302.5,2025-12-23 22:00:00,1,1,1,ALIGNED,ALIGNED,OPPOSED,OPPOSED,OPPOSED
2025-12-28 12:36:00,-1,87967.2,2025-12-28 10:30:00,2025-12-28 11:00:00,8836,2,88002.6,2025-12-28 12:40:00,87848.2,1,313666,2025,87866.7,35.40000000000873,18.5,True,True,1,2694.9928571428527,87848.2,88025.1,87857.45,167.65000000000873,True,0.0622079570844377,0.006864582201384,BTCUSD,BTCUSD,212,0.18440432331007,0.0154275462836144,False,False,True,True,False,2025-12-28 11:00:00,1,1,23.50086562813493,13.01678855037233,185.8000000000029,2025-12-28 12:00:00,1,1,1,OPPOSED,OPPOSED,OPPOSED,OPPOSED,OPPOSED
