idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4887,2025,k1,SHORT,0.21652882,0.3328184865392561,0.0442248700659408,0.0004192872117301,0.0099999999997635,1615,4,2025-05-26 04:00:00,-0.21652882,mu_nonstop,0
4888,2025,k2,SHORT,0.441802400763247,0.6221889696421117,-0.0944980116374313,1.239549839228178,7.709999999999582,1615,4,2025-05-26 08:00:00,-0.441802400763247,EV,0
4889,2025,k3p,SHORT,0.2891605,0.1240539672319528,-0.2009780287597606,-0.332429990966584,-7.360000000000127,1615,4,2025-05-26 12:00:00,-0.2891605,neg_pstop,0
4890,2025,k3p,SHORT,0.22860602,0.4547379800318284,0.122176140454235,-0.4388282596209185,-7.640000000000327,1615,4,2025-05-26 16:00:00,-0.22860602,neg_pstop,0
4891,2025,k1,LONG,0.39873895,0.5389537936742321,-0.0746870429315743,-0.6044613710554985,-11.110000000000127,1616,3,2025-05-26 20:00:00,-0.39873895,mu_nonstop,1
4892,2025,k2,LONG,0.5754710530770408,0.4911888223248828,-0.3669471795951298,-1.0,-11.700000000000273,1616,3,2025-05-27 00:00:00,-0.5754710530770408,mu_nonstop,3
4893,2025,k3p,LONG,0.4725320725399971,0.746674148332523,-0.0786854070310784,-1.0,-7.133678687080192,1616,3,2025-05-27 04:00:00,-0.4725320725399971,mu_nonstop,3
4894,2025,k1,SHORT,0.46701342,0.5429854378089195,-0.1776094664671462,1.6006305832895662,30.46000000000004,1617,4,2025-05-27 08:00:00,-0.46701342,mu_nonstop,1
4895,2025,k2,SHORT,0.0511719830321904,0.059457040994456,0.005242523269353,-0.0395572863291624,-1.9299999999998363,1617,4,2025-05-27 12:00:00,-0.0511719830321904,EV,1
4896,2025,k3p,SHORT,0.03708902,0.0364818255457462,-0.0019602685386263,-0.1445311834041542,-6.769999999999982,1617,4,2025-05-27 16:00:00,-0.03708902,neg_pstop,3
4897,2025,k3p,SHORT,0.08967013,0.1331461713269655,0.0315368088238627,-0.0911167908674109,-2.6700000000000728,1617,4,2025-05-27 20:00:00,-0.08967013,neg_pstop,1
4898,2025,k1,LONG,0.36290115,0.5659547993539672,-0.002332000027852,-0.2643455834945101,-4.099999999999909,1618,2,2025-05-28 00:00:00,-0.36290115,mu_nonstop,3
4899,2025,k2,LONG,0.4624763140037777,0.4806785650640003,-0.2041001999312012,-1.0,-11.670000000000073,1618,2,2025-05-28 04:00:00,-0.4624763140037777,mu_nonstop,3
4900,2025,k1,SHORT,0.38401064,0.1719493719350464,-0.2780916647965476,-1.0,-19.35999999999968,1619,1,2025-05-28 08:00:00,-0.38401064,mu_nonstop,0
4901,2025,k1,LONG,0.21296336,0.3347160248980371,0.0504704238238783,-1.0,-29.98999999999978,1620,2,2025-05-28 12:00:00,-0.21296336,mu_nonstop,0
4902,2025,k2,LONG,0.5281397543008919,0.7428574285131013,-0.1776148655632922,-1.0,-16.2800000000002,1620,2,2025-05-28 16:00:00,-0.5281397543008919,mu_nonstop,3
