idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop
6349,2026,k3p,SHORT,0.045085065,-0.0690048488423067,-0.1109788252950138,-0.2249359989154919,-14.05999999999949,2075,8,2026-05-20 00:00:00,-0.045085065
6350,2026,k3p,SHORT,0.52636343,0.6723615484319606,-0.2079084164268056,0.1775104273839393,4.8200000000006185,2075,8,2026-05-20 04:00:00,-0.52636343
6351,2026,k3p,SHORT,0.3283593,-0.01519794235899,-0.3385668624141249,-0.6869826420870763,-34.19999999999982,2075,8,2026-05-20 08:00:00,-0.3283593
6352,2026,k3p,SHORT,0.50837255,0.800531546062696,-0.1148092587982674,-0.5446348061316397,-12.079999999999927,2075,8,2026-05-20 12:00:00,-0.50837255
6360,2026,k3p,SHORT,0.64311063,0.4127521885404207,-0.4958037655576164,-1.0,-23.17999999999938,2077,3,2026-05-21 20:00:00,-0.64311063
6375,2026,k3p,SHORT,0.23877476,-0.0917388227720087,-0.3086086674296133,0.2191576363468887,8.710000000000036,2085,6,2026-05-26 12:00:00,-0.23877476
6376,2026,k3p,SHORT,0.48867705,0.0064447650797132,-0.4853816981888731,0.1748179354597469,5.239999999999782,2085,6,2026-05-26 16:00:00,-0.48867705
6377,2026,k3p,SHORT,0.3727689,0.0275949452317163,-0.355460500305722,-0.2876789222565245,-10.25,2085,6,2026-05-26 20:00:00,-0.3727689
6378,2026,k3p,SHORT,0.6800236,1.0501491236002938,-0.3440006856821737,-1.0,-21.079999999999927,2085,6,2026-05-27 00:00:00,-0.6800236
6382,2026,k3p,SHORT,0.061609823,-0.0644921536750064,-0.1221286279436343,-0.2394778902504061,-17.980000000000473,2087,4,2026-05-27 16:00:00,-0.061609823
6383,2026,k3p,SHORT,0.21474004,-0.0739435466788789,-0.2728049445793491,-0.109275520440369,-6.0,2087,4,2026-05-27 20:00:00,-0.21474004
6398,2026,k3p,SHORT,0.25253996,-0.0375039852757067,-0.2805726916518792,0.3875576036866325,16.81999999999971,2091,6,2026-06-01 12:00:00,-0.25253996
6399,2026,k3p,SHORT,0.39074525,0.0264575435091088,-0.3746258691658008,0.739839970511817,21.539999999999964,2091,6,2026-06-01 16:00:00,-0.39074525
6400,2026,k3p,SHORT,0.4096141,-0.0476079421859618,-0.4377211446050466,-0.0318969559119905,-1.2600000000002185,2091,6,2026-06-01 20:00:00,-0.4096141
6401,2026,k3p,SHORT,0.6058442,0.5701744386101135,-0.3811066374722012,0.2183909649882712,5.159999999999855,2091,6,2026-06-02 00:00:00,-0.6058442
6408,2026,k3p,SHORT,0.6922105,0.4631187549635508,-0.5496674033440776,1.5619082747044115,37.52999999999975,2093,8,2026-06-03 04:00:00,-0.6922105
6409,2026,k3p,SHORT,0.44430754,0.0703035246682194,-0.4052403991232444,0.7086884573579983,20.94999999999981,2093,8,2026-06-03 08:00:00,-0.44430754
6410,2026,k3p,SHORT,0.14520933,-0.0449320984850774,-0.1836168666977455,-0.0972442391828884,-4.630000000000109,2093,8,2026-06-03 12:00:00,-0.14520933
6411,2026,k3p,SHORT,0.61876917,0.478907174846259,-0.4361949885452226,0.498584452425371,11.849999999999454,2093,8,2026-06-03 16:00:00,-0.61876917
6412,2026,k3p,SHORT,0.46029544,0.0970959335996557,-0.4078923205255182,-0.2231715129073084,-6.3400000000001455,2093,8,2026-06-03 20:00:00,-0.46029544
6413,2026,k3p,SHORT,0.3461109,0.0860079411950309,-0.2898712583549181,-0.3595752471622077,-9.819999999999707,2093,8,2026-06-04 00:00:00,-0.3461109
6421,2026,k3p,SHORT,0.36568978,-0.0295078026037511,-0.3844068858025679,3.059273422562093,112.0,2095,10,2026-06-05 08:00:00,-0.36568978
6422,2026,k3p,SHORT,0.624544,0.5073535363812904,-0.434055107525551,-1.0,-10.920985003638634,2095,10,2026-06-05 12:00:00,-0.624544
6423,2026,k3p,SHORT,0.08763511,-0.0768857198251126,-0.1577829394267183,1.191348023331164,73.52999999999975,2095,10,2026-06-05 16:00:00,-0.08763511
6424,2026,k3p,SHORT,0.059958298,-0.0574469126025041,-0.1139607923406577,0.0892530487804882,11.710000000000036,2095,10,2026-06-05 20:00:00,-0.059958298
