phase,year,m5_index,decision,accept_time,direction,pre_same75,pre_opp75,ext_p60,ext_p120,ext_p240,same75_afteracc_H60,opp75_afteracc_H60,first75_afteracc_H60,same75_afteracc_H120,opp75_afteracc_H120,first75_afteracc_H120,same75_afteracc_H240,opp75_afteracc_H240,first75_afteracc_H240
0,2024,146765,2024-01-26 16:40:00,2024-01-26 16:50:00,-1,False,False,0.28899295060655794,0.4938276424806456,0.7532800545770418,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,147312,2024-01-30 16:15:00,2024-01-30 16:21:00,1,False,False,0.37166977224906256,0.5535916279238566,0.6960922844733302,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,147322,2024-01-30 17:05:00,2024-01-30 17:09:00,-1,False,False,0.6933254133660196,0.8307345789533293,0.9181308961716248,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,147593,2024-01-31 16:40:00,2024-01-31 16:46:00,1,False,False,0.2803880120977503,0.4624982575382133,0.6518362071144851,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,147610,2024-01-31 18:05:00,2024-01-31 18:10:00,-1,False,False,0.4091695607385674,0.5436759096064092,0.7278893558166274,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,147908,2024-02-01 19:55:00,2024-02-01 20:11:00,-1,False,False,0.3980892039147498,0.6755069396872757,0.8100697575063264,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,148132,2024-02-02 15:35:00,2024-02-02 15:43:00,-1,True,False,0.862512573639598,0.8876648375402452,0.8997656943362037,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,148423,2024-02-05 16:50:00,2024-02-05 17:02:00,-1,False,False,0.3137318631264132,0.5110800629972296,0.7000415348178465,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,148704,2024-02-06 17:15:00,2024-02-06 17:21:00,1,False,False,0.48369256369977737,0.6320353691688252,0.7893752863236343,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,148974,2024-02-07 16:45:00,2024-02-07 16:48:00,1,False,False,0.6030526137816924,0.8290050216406555,0.9026705000609,0.0,0.0,0.0,0,0,0,0,1,-1
0,2024,148981,2024-02-07 17:20:00,2024-02-07 17:37:00,1,False,False,0.3418183567699527,0.5279755680349256,0.7487322419666117,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,149236,2024-02-08 15:35:00,2024-02-08 15:52:00,-1,False,False,0.6264466901465708,0.8125768318316668,0.9567272221101513,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,149242,2024-02-08 16:05:00,2024-02-08 16:21:00,1,False,False,0.4203396841430058,0.7026764812712383,0.8954349270102082,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,149247,2024-02-08 16:30:00,2024-02-08 16:35:00,1,False,False,0.35912483391429484,0.6245446602396423,0.8230782587868487,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,149512,2024-02-09 15:35:00,2024-02-09 15:41:00,-1,False,False,0.8504746033903091,0.9321391580894327,0.953164293426549,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,150064,2024-02-13 15:35:00,2024-02-13 15:42:00,-1,False,False,0.9230307891159173,0.933623832569037,0.9364653281013229,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,150352,2024-02-14 16:35:00,2024-02-14 16:53:00,-1,False,False,0.7038086704030305,0.8784925651489416,0.9480768935218526,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,150892,2024-02-16 15:35:00,2024-02-16 15:39:00,-1,False,False,0.7575753829649706,0.7950586650608031,0.8227289836483841,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,151414,2024-02-20 15:40:00,2024-02-20 15:52:00,1,False,False,0.33863508970895057,0.6501672191613792,0.7949285196588931,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,151425,2024-02-20 16:35:00,2024-02-20 16:46:00,-1,False,False,0.5934587671420212,0.7722584088423372,0.8785547344340605,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,151965,2024-02-22 15:35:00,2024-02-22 15:38:00,1,False,False,0.6143871604640907,0.7990471186787322,0.8847140175352999,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,151977,2024-02-22 16:35:00,2024-02-22 16:51:00,1,False,False,0.5138882316685545,0.6873683274522684,0.8132323245052154,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,152277,2024-02-23 18:35:00,2024-02-23 19:00:00,1,False,False,0.39778252293564065,0.5794832726709311,0.7282113581408509,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,153359,2024-02-29 16:45:00,2024-02-29 16:54:00,-1,False,False,0.4328063856726515,0.5618689449634139,0.7334733719840465,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,153635,2024-03-01 16:45:00,2024-03-01 16:48:00,-1,True,False,0.44439075894982455,0.6799507554699392,0.8202419779680609,1.0,1.0,1.0,1,1,1,1,1,1
0,2024,153927,2024-03-04 18:05:00,2024-03-04 18:23:00,1,True,False,0.3319134574898376,0.5475116552612822,0.7540889371329114,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,153929,2024-03-04 18:15:00,2024-03-04 18:27:00,-1,True,False,0.35869204375184677,0.6215568589550922,0.8110623974204696,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,154171,2024-03-05 15:25:00,2024-03-05 15:39:00,1,True,False,0.40741260384011674,0.736716116403425,0.857781734434882,0.0,1.0,-1.0,1,1,-1,1,1,-1
0,2024,154447,2024-03-06 15:25:00,2024-03-06 15:34:00,-1,False,False,0.3390263943098929,0.6794004347651321,0.8409600053757074,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,154722,2024-03-07 15:20:00,2024-03-07 15:32:00,1,False,False,0.36617720920351526,0.5282298006969766,0.7105648430757403,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,154738,2024-03-07 16:40:00,2024-03-07 17:33:00,1,False,False,0.3769017321357239,0.5957711928770889,0.8099883490532318,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,155000,2024-03-08 15:30:00,2024-03-08 16:07:00,1,True,True,0.4975823936487864,0.719464014715902,0.8925876999491216,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,155553,2024-03-12 14:35:00,2024-03-12 14:37:00,1,False,False,0.875013131119744,0.9634717534847064,0.9854467246047602,1.0,1.0,1.0,1,1,1,1,1,1
0,2024,155571,2024-03-12 16:05:00,2024-03-12 16:12:00,-1,False,False,0.17623923970786348,0.25566559689441754,0.40924586795658124,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,155574,2024-03-12 16:20:00,2024-03-12 16:34:00,1,False,False,0.13780796578716867,0.22107208763579644,0.39977517800868073,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,155842,2024-03-13 15:40:00,2024-03-13 15:47:00,-1,False,False,0.5675571397042395,0.7662769119835635,0.9141005342540602,0.0,0.0,0.0,0,0,0,0,1,-1
0,2024,156381,2024-03-15 14:35:00,2024-03-15 14:43:00,-1,False,False,0.5256718320272177,0.8126594015429784,0.9168173860548703,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,156393,2024-03-15 15:35:00,2024-03-15 16:01:00,1,False,False,0.48384833184453996,0.7168569055527252,0.8732784859688917,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,156933,2024-03-19 14:35:00,2024-03-19 15:17:00,1,False,False,0.401563833325282,0.6842811808108592,0.8592704753975915,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,157314,2024-03-21 00:20:00,2024-03-21 00:27:00,-1,False,False,0.9466951027752171,0.9492416236340736,0.9510047366570972,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,157333,2024-03-21 01:55:00,2024-03-21 02:03:00,-1,False,False,0.41775352316943243,0.6881665387855238,0.8499512944048728,1.0,0.0,1.0,1,1,1,1,1,1
0,2024,157439,2024-03-21 10:45:00,2024-03-21 10:58:00,1,False,False,0.5038911959583663,0.7825671740919029,0.8937986293669132,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,157497,2024-03-21 15:35:00,2024-03-21 15:49:00,-1,False,False,0.5623358546683984,0.8046025723605343,0.9413353452464588,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,158327,2024-03-26 15:45:00,2024-03-26 16:01:00,1,False,False,0.40014049511186306,0.644192111111604,0.819210596894231,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,158839,2024-03-28 12:25:00,2024-03-28 12:39:00,1,False,False,0.2183541398526125,0.363268111563521,0.6642832636289673,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,158862,2024-03-28 14:20:00,2024-03-28 14:34:00,-1,False,False,0.35353556963311844,0.6110159986791894,0.8192797832741706,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,159154,2024-04-01 16:40:00,2024-04-01 17:00:00,-1,True,False,0.4336963472951574,0.6596037197540077,0.861365024916551,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,159435,2024-04-02 17:05:00,2024-04-02 17:12:00,-1,False,False,0.47112585657496364,0.6687806174237971,0.8517891653244154,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,159971,2024-04-04 15:45:00,2024-04-04 16:13:00,1,False,False,0.520808975357227,0.7945749056107627,0.8971728630658875,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,160054,2024-04-04 22:40:00,2024-04-04 22:51:00,-1,False,False,0.3103150786882205,0.41116374878840817,0.534902116337407,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,160265,2024-04-05 17:15:00,2024-04-05 17:28:00,1,False,False,0.29843527759260907,0.4289579793619014,0.5983034468776903,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,160394,2024-04-08 05:00:00,2024-04-08 05:22:00,1,False,False,0.36253735494689376,0.6706032551300743,0.8496645281018892,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,160402,2024-04-08 05:40:00,2024-04-08 05:46:00,-1,False,False,0.6457824099144264,0.7575090421532714,0.8459461549376703,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,160823,2024-04-09 17:45:00,2024-04-09 17:55:00,1,False,False,0.43747323037409164,0.6544275624462347,0.7794677566535122,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,161073,2024-04-10 15:35:00,2024-04-10 15:41:00,1,False,False,0.6719469157126379,0.7992642546910962,0.9112965586246611,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,161105,2024-04-10 18:15:00,2024-04-10 19:00:00,1,False,False,0.2462945149102766,0.313813130072946,0.3859739140122437,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,161133,2024-04-10 20:35:00,2024-04-10 21:16:00,-1,False,False,0.5534672676908207,0.7389726198795279,0.815425495209696,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,161628,2024-04-12 15:50:00,2024-04-12 16:01:00,1,False,False,0.528752596256364,0.7539385534597487,0.907142036382341,0.0,0.0,0.0,1,0,1,1,1,1
0,2024,161637,2024-04-12 16:35:00,2024-04-12 16:45:00,1,False,False,0.6188206161840868,0.7758810803304612,0.9062684292132349,1.0,0.0,1.0,1,1,1,1,1,1
0,2024,161653,2024-04-12 17:55:00,2024-04-12 17:59:00,1,False,False,0.2260563543949849,0.3407949803766642,0.4884514979308875,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,161926,2024-04-15 17:40:00,2024-04-15 17:56:00,1,False,False,0.44296622422846055,0.6365626500726869,0.7631804353423992,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,162503,2024-04-17 19:45:00,2024-04-17 20:01:00,1,False,False,0.35713263667190326,0.5714962607386955,0.7548386477043723,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,162754,2024-04-18 17:40:00,2024-04-18 17:54:00,1,False,False,0.3331359847961438,0.5237998180560041,0.7181920557557577,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,162869,2024-04-19 04:15:00,2024-04-19 04:26:00,1,False,False,0.12421954993127797,0.2016941966656916,0.21981862886847278,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,163293,2024-04-22 16:35:00,2024-04-22 16:49:00,1,False,False,0.33831051171000837,0.5393705447805637,0.7200048773427202,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,163426,2024-04-23 04:40:00,2024-04-23 04:44:00,-1,False,False,0.3698632097285966,0.6323316754421227,0.7414963607083135,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,163572,2024-04-23 16:50:00,2024-04-23 16:56:00,1,False,False,0.5158444446581385,0.6895094362480032,0.8484048427704081,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,164109,2024-04-25 15:35:00,2024-04-25 15:49:00,1,False,False,0.5511082652145163,0.82326105847238,0.9181831666901246,0.0,1.0,-1.0,0,1,-1,1,1,-1
0,2024,164391,2024-04-26 16:05:00,2024-04-26 16:16:00,-1,False,False,0.5211789156848422,0.733190979978263,0.8420741824928706,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,164397,2024-04-26 16:35:00,2024-04-26 16:55:00,-1,False,False,0.44124716003250725,0.6300880516262557,0.7640781441941449,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,164413,2024-04-26 17:55:00,2024-04-26 18:02:00,1,False,False,0.2687119051351253,0.47146463899797975,0.6531649474082237,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,164950,2024-04-30 16:40:00,2024-04-30 16:50:00,1,False,False,0.4714045100526372,0.6472825656264406,0.8030204551797653,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,164952,2024-04-30 16:50:00,2024-04-30 16:56:00,-1,False,False,0.41800209388064524,0.5469137646780887,0.721028373805324,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,164966,2024-04-30 18:00:00,2024-04-30 18:15:00,1,False,False,0.34216563390894994,0.5307535631023317,0.6451827209238293,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,165231,2024-05-01 17:05:00,2024-05-01 17:10:00,1,False,False,0.5323060042851507,0.7286881080889623,0.9061917205837933,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,165279,2024-05-01 21:05:00,2024-05-01 21:10:00,-1,False,False,0.5397764577795341,0.7575303145793691,0.827948207633332,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,165501,2024-05-02 16:35:00,2024-05-02 16:49:00,-1,False,False,0.40813385322189616,0.5942717484801477,0.7557475904796548,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,165507,2024-05-02 17:05:00,2024-05-02 17:15:00,-1,False,False,0.4763180119354337,0.643083358015512,0.7864512596860914,0.0,1.0,-1.0,0,1,-1,0,1,-1
0,2024,165765,2024-05-03 15:35:00,2024-05-03 15:39:00,-1,False,False,0.7781940003745403,0.7809643999189184,0.8025892334640399,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,166055,2024-05-06 16:45:00,2024-05-06 16:53:00,-1,False,False,0.4510998459445111,0.667825297608177,0.8342639276523961,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,166869,2024-05-09 15:35:00,2024-05-09 15:41:00,1,False,False,0.32037009214887424,0.5682292700240283,0.7029015011528651,0.0,1.0,-1.0,1,1,-1,1,1,-1
0,2024,166877,2024-05-09 16:15:00,2024-05-09 16:31:00,1,False,False,0.6633473536794723,0.8336973789209962,0.916217579210623,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,166888,2024-05-09 17:10:00,2024-05-09 17:20:00,1,False,False,0.2839550324289781,0.4123125389536687,0.6092390866813324,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,167165,2024-05-10 17:15:00,2024-05-10 17:28:00,-1,False,False,0.3548269943878405,0.5314985621486363,0.7508150823644,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,167453,2024-05-13 18:15:00,2024-05-13 18:40:00,-1,False,False,0.3927405017176984,0.6070607537046342,0.7745361732617362,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,167697,2024-05-14 15:35:00,2024-05-14 15:40:00,1,False,False,0.6000534278254757,0.8104632841027293,0.914915152476188,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,167709,2024-05-14 16:35:00,2024-05-14 16:40:00,1,False,False,0.4846921379300595,0.6770115149542573,0.8239891691456959,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,167973,2024-05-15 15:35:00,2024-05-15 15:41:00,-1,False,False,0.9272897320441412,0.9439692647056503,0.9646406685482776,0.0,0.0,0.0,1,0,1,1,1,1
0,2024,168005,2024-05-15 18:15:00,2024-05-15 18:28:00,1,False,False,0.1682737325925907,0.29607037343714293,0.3746943552618649,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,168007,2024-05-15 18:25:00,2024-05-15 18:44:00,-1,False,False,0.24318792052352944,0.387551588566161,0.4740910504845397,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,168249,2024-05-16 15:35:00,2024-05-16 15:49:00,-1,False,False,0.6499652224387057,0.8541691955067929,0.9473801755135289,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,168258,2024-05-16 16:20:00,2024-05-16 16:24:00,1,False,False,0.535139844910908,0.7347168510828533,0.8540410506905407,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,168548,2024-05-17 17:30:00,2024-05-17 17:42:00,1,False,False,0.29542122710770646,0.4684258569139699,0.6803843000812079,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,168727,2024-05-20 09:25:00,2024-05-20 09:38:00,-1,False,False,0.6357485880575433,0.8366821516143753,0.9063666236764227,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,168796,2024-05-20 15:10:00,2024-05-20 15:21:00,-1,False,False,0.44735275852364986,0.7257500762597645,0.8503815648091867,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,169083,2024-05-21 16:05:00,2024-05-21 16:35:00,1,False,False,0.3484470538998658,0.7045972355841177,0.8511265715696319,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,169372,2024-05-22 17:10:00,2024-05-22 17:13:00,-1,False,False,0.4339009635969657,0.6498498552978295,0.8078478982863289,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,169641,2024-05-23 16:35:00,2024-05-23 17:01:00,-1,True,False,0.43455854003096067,0.6241888287774829,0.7555900194177123,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,170434,2024-05-28 16:10:00,2024-05-28 16:54:00,1,True,False,0.5605016481869168,0.7444565620918056,0.8387110544297659,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,170709,2024-05-29 16:05:00,2024-05-29 16:16:00,1,False,False,0.4419904107038312,0.7361253754672623,0.8580383770644284,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,170716,2024-05-29 16:40:00,2024-05-29 16:51:00,-1,False,False,0.3896253173966553,0.6057048819097967,0.772636854207733,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,171547,2024-06-03 16:55:00,2024-06-03 17:02:00,1,False,False,0.4504099430619854,0.6620327483772994,0.8164905634589037,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,172100,2024-06-05 17:00:00,2024-06-05 17:03:00,-1,False,False,0.48658515679423064,0.6515393311256727,0.8493578216923434,1.0,0.0,1.0,1,1,1,1,1,1
0,2024,172223,2024-06-06 04:15:00,2024-06-06 04:29:00,1,False,False,0.20052643272842194,0.3082917346253854,0.32634791392851564,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,172359,2024-06-06 15:35:00,2024-06-06 15:40:00,-1,False,False,0.5589683233621159,0.8412497752829112,0.9215252560547826,0.0,0.0,0.0,0,0,0,0,1,-1
0,2024,172647,2024-06-07 16:35:00,2024-06-07 16:47:00,-1,False,False,0.4082654262824946,0.5346570432732123,0.6088330045005628,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,172649,2024-06-07 16:45:00,2024-06-07 17:11:00,-1,False,False,0.4134017879737863,0.5947791261483435,0.6949540148376998,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,173463,2024-06-12 15:35:00,2024-06-12 15:45:00,1,False,False,0.7667331135870722,0.8728325355522115,0.9425104698165833,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,173529,2024-06-12 21:05:00,2024-06-12 21:15:00,-1,False,False,0.5992446574875974,0.7536662966736405,0.8314016889375171,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,173604,2024-06-13 04:20:00,2024-06-13 04:36:00,-1,False,False,0.143041945674522,0.21567616340452928,0.2289204474412225,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,173756,2024-06-13 17:00:00,2024-06-13 17:11:00,-1,False,False,0.32915881880253284,0.5073658406941943,0.7297755007561499,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,174579,2024-06-18 16:35:00,2024-06-18 16:50:00,1,False,False,0.44029026989165027,0.5951946000792727,0.7659322115476555,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,175089,2024-06-20 15:35:00,2024-06-20 15:41:00,-1,False,False,0.48800800632827995,0.737627444749582,0.8616666014487181,0.0,0.0,0.0,0,1,-1,0,1,-1
0,2024,175121,2024-06-20 18:15:00,2024-06-20 18:25:00,-1,False,False,0.5417553009257987,0.6895370768605407,0.8060392158550486,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,175375,2024-06-21 16:25:00,2024-06-21 16:37:00,-1,False,False,0.48224213462117327,0.6814602299709288,0.820611804338151,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,175397,2024-06-21 18:15:00,2024-06-21 18:47:00,-1,False,False,0.32220090517668054,0.48315729542093755,0.6747504793879657,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,175936,2024-06-25 17:10:00,2024-06-25 17:20:00,1,False,False,0.32965002562172585,0.5358550944847342,0.7453927271658856,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,176200,2024-06-26 16:10:00,2024-06-26 16:13:00,-1,False,False,0.35410444206321445,0.5338720447956323,0.7385095093784422,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,176469,2024-06-27 15:35:00,2024-06-27 15:42:00,1,True,False,0.6524164481125211,0.8648333227425965,0.9662948269134077,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,176755,2024-06-28 16:25:00,2024-06-28 16:43:00,-1,False,False,0.462694631645526,0.6663741092474148,0.7973773975370738,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,176757,2024-06-28 16:35:00,2024-06-28 16:43:00,1,False,False,0.4006892891201165,0.5891585278740197,0.7352141930744175,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,176763,2024-06-28 17:05:00,2024-06-28 17:14:00,1,False,False,0.34882688317816396,0.5254462673875736,0.7169707109683132,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,176765,2024-06-28 17:15:00,2024-06-28 17:30:00,-1,False,False,0.34010030632867067,0.5250008905126724,0.7341732407631261,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,177323,2024-07-02 17:45:00,2024-07-02 18:35:00,1,False,False,0.2892907439071579,0.4079508739591208,0.6088379110379114,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,177573,2024-07-03 15:35:00,2024-07-03 15:43:00,1,False,False,0.4293041892695142,0.7146135007455425,0.837012886964822,0.0,0.0,0.0,1,0,1,1,0,1
0,2024,177579,2024-07-03 16:05:00,2024-07-03 16:25:00,1,False,False,0.43052275875090407,0.6743094282473203,0.8037348930942003,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,177591,2024-07-03 17:05:00,2024-07-03 17:07:00,1,False,False,0.5016592015582032,0.6356672464577696,0.7980669126554977,0.0,0.0,0.0,0,0,0,0,0,0
0,2024,178936,2024-07-10 16:40:00,2024-07-10 16:50:00,1,False,False,0.38538385104306677,0.6296794946682343,0.8054108414430708,0.0,0.0,0.0,0,0,0,0,1,-1
0,2024,178944,2024-07-10 17:20:00,2024-07-10 17:31:00,-1,False,False,0.33108688405584147,0.5365324185988807,0.7252295285337925,0.0,0.0,0.0,0,0,0,1,0,1
0,2024,179199,2024-07-11 15:35:00,2024-07-11 15:38:00,1,False,False,0.8636153434545668,0.8652786498987827,0.872509488988908,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,179229,2024-07-11 18:05:00,2024-07-11 18:19:00,1,False,False,0.15550595688037186,0.20954362151327513,0.27091374644882293,1.0,0.0,1.0,1,0,1,1,0,1
0,2024,179475,2024-07-12 15:35:00,2024-07-12 15:45:00,-1,False,False,0.7407717587946324,0.8658760309696258,0.9592442431685759,0.0,1.0,-1.0,0,1,-1,0,1,-1
