phase,year,m5_index,direction,decision,accept_time,conf_time,preconf_same75,preconf_opp75,postconf_same75_H60,postconf_opp75_H60,postconf_same75_H120,postconf_opp75_H120,postconf_same75_H240,postconf_opp75_H240
0,2025,226576,1,2025-03-13 17:50:00,2025-03-13 17:55:00,2025-03-13 18:10:00,False,False,1.0,0.0,1,0,1,0
0,2025,226791,1,2025-03-14 12:45:00,2025-03-14 12:58:00,2025-03-14 13:13:00,False,False,0.0,0.0,0,0,0,0
0,2025,228205,-1,2025-03-21 15:35:00,2025-03-21 15:38:00,2025-03-21 15:53:00,True,False,1.0,0.0,1,0,1,0
0,2025,229305,-1,2025-03-27 15:15:00,2025-03-27 15:20:00,2025-03-27 15:35:00,False,False,1.0,0.0,1,1,1,1
0,2025,229727,1,2025-03-31 05:25:00,2025-03-31 05:34:00,2025-03-31 05:49:00,False,False,1.0,0.0,1,0,1,0
0,2025,231073,1,2025-04-07 02:35:00,2025-04-07 02:49:00,2025-04-07 03:04:00,True,False,0.0,0.0,1,0,1,0
0,2025,231091,1,2025-04-07 04:05:00,2025-04-07 04:09:00,2025-04-07 04:24:00,True,False,1.0,0.0,1,0,1,0
0,2025,233305,-1,2025-04-17 04:35:00,2025-04-17 04:50:00,2025-04-17 05:05:00,False,False,0.0,0.0,0,0,0,0
0,2025,234003,1,2025-04-22 16:45:00,2025-04-22 17:01:00,2025-04-22 17:16:00,False,False,1.0,0.0,1,0,1,1
0,2025,234034,-1,2025-04-22 19:20:00,2025-04-22 19:28:00,2025-04-22 19:43:00,True,False,0.0,0.0,0,0,1,0
0,2025,234278,-1,2025-04-23 16:40:00,2025-04-23 16:55:00,2025-04-23 17:10:00,False,False,0.0,0.0,0,0,0,0
0,2025,236211,-1,2025-05-02 16:45:00,2025-05-02 16:56:00,2025-05-02 17:11:00,False,False,0.0,0.0,0,0,1,0
0,2025,236862,1,2025-05-07 02:00:00,2025-05-07 02:14:00,2025-05-07 02:29:00,False,False,1.0,0.0,1,0,1,0
0,2025,237225,-1,2025-05-08 09:15:00,2025-05-08 09:32:00,2025-05-08 09:47:00,False,False,1.0,0.0,1,0,1,0
0,2025,237681,-1,2025-05-12 01:15:00,2025-05-12 01:42:00,2025-05-12 01:57:00,False,False,0.0,0.0,0,0,0,0
0,2025,237787,-1,2025-05-12 10:05:00,2025-05-12 10:22:00,2025-05-12 10:37:00,True,False,1.0,0.0,1,0,1,0
0,2025,238408,-1,2025-05-14 15:50:00,2025-05-14 15:57:00,2025-05-14 16:12:00,False,False,0.0,0.0,0,0,1,0
0,2025,238413,1,2025-05-14 16:15:00,2025-05-14 16:31:00,2025-05-14 16:46:00,False,False,0.0,0.0,0,0,0,0
0,2025,239648,-1,2025-05-21 04:10:00,2025-05-21 04:59:00,2025-05-21 05:14:00,False,False,,,0,0,0,0
0,2025,242514,1,2025-06-04 15:30:00,2025-06-04 15:41:00,2025-06-04 15:56:00,False,False,0.0,0.0,1,0,1,0
0,2025,242817,-1,2025-06-05 17:45:00,2025-06-05 17:54:00,2025-06-05 18:09:00,False,False,1.0,0.0,1,0,1,0
0,2025,242827,-1,2025-06-05 18:35:00,2025-06-05 18:44:00,2025-06-05 18:59:00,True,False,1.0,0.0,1,0,1,0
0,2025,244112,-1,2025-06-12 10:40:00,2025-06-12 10:44:00,2025-06-12 10:59:00,False,False,0.0,0.0,0,0,0,1
0,2025,244117,1,2025-06-12 11:05:00,2025-06-12 11:22:00,2025-06-12 11:37:00,False,False,0.0,0.0,1,0,1,0
0,2025,245297,1,2025-06-18 17:25:00,2025-06-18 18:20:00,2025-06-18 18:35:00,False,False,,,1,0,1,0
0,2025,246900,-1,2025-06-26 15:35:00,2025-06-26 15:52:00,2025-06-26 16:07:00,True,False,1.0,0.0,1,0,1,0
0,2025,246912,1,2025-06-26 16:35:00,2025-06-26 17:01:00,2025-06-26 17:16:00,True,False,0.0,0.0,0,0,1,0
0,2025,247176,-1,2025-06-27 15:35:00,2025-06-27 15:55:00,2025-06-27 16:10:00,False,False,1.0,0.0,1,0,1,0
0,2025,247188,1,2025-06-27 16:35:00,2025-06-27 17:22:00,2025-06-27 17:37:00,True,False,,,0,0,1,0
0,2025,247283,1,2025-06-30 01:30:00,2025-06-30 01:33:00,2025-06-30 01:48:00,True,False,1.0,0.0,1,0,1,0
0,2025,249092,1,2025-07-08 18:15:00,2025-07-08 18:25:00,2025-07-08 18:40:00,False,False,0.0,0.0,1,0,1,0
0,2025,249351,1,2025-07-09 16:50:00,2025-07-09 17:04:00,2025-07-09 17:19:00,False,False,1.0,0.0,1,0,1,0
0,2025,249890,1,2025-07-11 15:45:00,2025-07-11 16:02:00,2025-07-11 16:17:00,False,False,0.0,0.0,0,0,1,0
0,2025,250992,-1,2025-07-17 15:35:00,2025-07-17 15:48:00,2025-07-17 16:03:00,False,False,0.0,0.0,0,1,0,1
0,2025,252385,1,2025-07-24 16:40:00,2025-07-24 16:47:00,2025-07-24 17:02:00,False,False,1.0,0.0,1,0,1,0
0,2025,252939,-1,2025-07-28 16:50:00,2025-07-28 17:48:00,2025-07-28 18:03:00,True,False,,,0,0,0,0
0,2025,253543,-1,2025-07-30 21:10:00,2025-07-30 21:29:00,2025-07-30 21:44:00,True,False,1.0,0.0,1,0,1,0
0,2025,255079,-1,2025-08-07 11:10:00,2025-08-07 11:19:00,2025-08-07 11:34:00,True,False,0.0,0.0,1,0,1,0
0,2025,255409,-1,2025-08-08 15:40:00,2025-08-08 15:50:00,2025-08-08 16:05:00,True,False,1.0,0.0,1,0,1,0
0,2025,257892,-1,2025-08-21 15:35:00,2025-08-21 15:42:00,2025-08-21 15:57:00,False,False,0.0,0.0,1,0,1,0
0,2025,258186,1,2025-08-22 17:05:00,2025-08-22 17:09:00,2025-08-22 17:24:00,True,False,1.0,0.0,1,0,1,0
0,2025,258209,1,2025-08-22 19:00:00,2025-08-22 19:04:00,2025-08-22 19:19:00,False,False,0.0,0.0,0,0,0,0
0,2025,259285,1,2025-08-28 16:40:00,2025-08-28 17:03:00,2025-08-28 17:18:00,False,False,0.0,0.0,0,0,1,0
0,2025,259566,1,2025-08-29 17:05:00,2025-08-29 17:22:00,2025-08-29 17:37:00,False,False,1.0,0.0,1,0,1,0
0,2025,259934,1,2025-09-02 04:15:00,2025-09-02 04:20:00,2025-09-02 04:35:00,False,False,1.0,0.0,1,0,1,0
0,2025,260082,1,2025-09-02 16:35:00,2025-09-02 16:54:00,2025-09-02 17:09:00,True,False,1.0,0.0,1,0,1,0
0,2025,260510,1,2025-09-04 06:15:00,2025-09-04 06:18:00,2025-09-04 06:33:00,True,False,1.0,0.0,1,0,1,0
0,2025,261468,-1,2025-09-09 17:05:00,2025-09-09 17:17:00,2025-09-09 17:32:00,True,False,1.0,0.0,1,0,1,0
0,2025,261483,1,2025-09-09 18:20:00,2025-09-09 18:37:00,2025-09-09 18:52:00,False,False,1.0,0.0,1,0,1,0
0,2025,262844,1,2025-09-16 16:45:00,2025-09-16 17:11:00,2025-09-16 17:26:00,False,False,0.0,0.0,0,1,0,1
0,2025,264762,-1,2025-09-25 15:35:00,2025-09-25 15:47:00,2025-09-25 16:02:00,False,False,0.0,0.0,1,0,1,0
0,2025,265896,-1,2025-10-01 18:05:00,2025-10-01 19:02:00,2025-10-01 19:17:00,False,False,,,0,0,0,0
