label,phase,year,train_decile,n,actual_retention,mean_pred,test_base,horizon_min
accept_retain_extreme_30,2,2025,7,28,0.39285714285714285,0.26515428639491545,0.2765957446808511,30
accept_retain_extreme_30,2,2025,8,25,0.44,0.2871985159196548,0.2765957446808511,30
accept_retain_extreme_30,2,2025,9,20,0.6,0.31485625415770835,0.2765957446808511,30
accept_retain_extreme_30,2,2025,10,25,0.4,0.40251195327619227,0.2765957446808511,30
accept_retain_extreme_30,2,2026,1,16,0.0,0.06896254701718936,0.2777777777777778,30
accept_retain_extreme_30,2,2026,2,10,0.1,0.10790707598062987,0.2777777777777778,30
accept_retain_extreme_30,2,2026,3,13,0.15384615384615385,0.13306685581050362,0.2777777777777778,30
accept_retain_extreme_30,2,2026,4,16,0.1875,0.2043850208098495,0.2777777777777778,30
accept_retain_extreme_30,2,2026,5,10,0.3,0.23801399375617102,0.2777777777777778,30
accept_retain_extreme_30,2,2026,6,20,0.35,0.26199098488678974,0.2777777777777778,30
accept_retain_extreme_30,2,2026,7,17,0.4117647058823529,0.2964430449380861,0.2777777777777778,30
accept_retain_extreme_30,2,2026,8,13,0.46153846153846156,0.31804908002039584,0.2777777777777778,30
accept_retain_extreme_30,2,2026,9,16,0.4375,0.36533864949535305,0.2777777777777778,30
accept_retain_extreme_30,2,2026,10,13,0.3076923076923077,0.46467148332650093,0.2777777777777778,30
accept_retain_extreme_60,0,2025,1,15,0.06666666666666667,0.03813169877696084,0.2245762711864407,60
accept_retain_extreme_60,0,2025,2,27,0.0,0.06399609129219126,0.2245762711864407,60
accept_retain_extreme_60,0,2025,3,21,0.047619047619047616,0.08315470208541138,0.2245762711864407,60
accept_retain_extreme_60,0,2025,4,27,0.1111111111111111,0.12501496098627274,0.2245762711864407,60
accept_retain_extreme_60,0,2025,5,27,0.18518518518518517,0.14430133813829144,0.2245762711864407,60
accept_retain_extreme_60,0,2025,6,31,0.3870967741935484,0.16273515365143668,0.2245762711864407,60
accept_retain_extreme_60,0,2025,7,23,0.21739130434782608,0.17987361983973404,0.2245762711864407,60
accept_retain_extreme_60,0,2025,8,25,0.4,0.20185988178222958,0.2245762711864407,60
accept_retain_extreme_60,0,2025,9,21,0.38095238095238093,0.2306673911249963,0.2245762711864407,60
accept_retain_extreme_60,0,2025,10,19,0.42105263157894735,0.34912922170490857,0.2245762711864407,60
accept_retain_extreme_60,0,2026,1,14,0.0,0.03782947657213266,0.2222222222222222,60
accept_retain_extreme_60,0,2026,2,21,0.09523809523809523,0.06549198218759683,0.2222222222222222,60
accept_retain_extreme_60,0,2026,3,18,0.0,0.09544231130156053,0.2222222222222222,60
accept_retain_extreme_60,0,2026,4,11,0.18181818181818182,0.1486652073580055,0.2222222222222222,60
accept_retain_extreme_60,0,2026,5,15,0.13333333333333333,0.17645443211228112,0.2222222222222222,60
accept_retain_extreme_60,0,2026,6,14,0.42857142857142855,0.1994999967316436,0.2222222222222222,60
accept_retain_extreme_60,0,2026,7,12,0.5833333333333334,0.2255745224943518,0.2222222222222222,60
accept_retain_extreme_60,0,2026,8,14,0.35714285714285715,0.24838718322147182,0.2222222222222222,60
accept_retain_extreme_60,0,2026,9,17,0.29411764705882354,0.28484640433094205,0.2222222222222222,60
accept_retain_extreme_60,0,2026,10,17,0.29411764705882354,0.38303762047839557,0.2222222222222222,60
accept_retain_extreme_60,2,2025,1,21,0.09523809523809523,0.05308365769940499,0.2127659574468085,60
accept_retain_extreme_60,2,2025,2,24,0.0,0.08253940710662876,0.2127659574468085,60
accept_retain_extreme_60,2,2025,3,17,0.058823529411764705,0.10736010308106107,0.2127659574468085,60
accept_retain_extreme_60,2,2025,4,24,0.08333333333333333,0.13505443685286264,0.2127659574468085,60
accept_retain_extreme_60,2,2025,5,27,0.1111111111111111,0.15644352495222855,0.2127659574468085,60
accept_retain_extreme_60,2,2025,6,25,0.28,0.1761751808344923,0.2127659574468085,60
accept_retain_extreme_60,2,2025,7,21,0.3333333333333333,0.19433612294109098,0.2127659574468085,60
accept_retain_extreme_60,2,2025,8,30,0.4,0.21485382047592178,0.2127659574468085,60
accept_retain_extreme_60,2,2025,9,25,0.36,0.24022386441330165,0.2127659574468085,60
accept_retain_extreme_60,2,2025,10,21,0.3333333333333333,0.3178607482858383,0.2127659574468085,60
accept_retain_extreme_60,2,2026,1,16,0.0,0.04679170193012105,0.2152777777777778,60
accept_retain_extreme_60,2,2026,2,10,0.1,0.0775877817136428,0.2152777777777778,60
accept_retain_extreme_60,2,2026,3,14,0.07142857142857142,0.10290762087156564,0.2152777777777778,60
accept_retain_extreme_60,2,2026,4,14,0.14285714285714285,0.1515137440772894,0.2152777777777778,60
accept_retain_extreme_60,2,2026,5,16,0.1875,0.1793991163316454,0.2152777777777778,60
accept_retain_extreme_60,2,2026,6,17,0.35294117647058826,0.2034555694773611,0.2152777777777778,60
accept_retain_extreme_60,2,2026,7,9,0.3333333333333333,0.22694635105464822,0.2152777777777778,60
accept_retain_extreme_60,2,2026,8,20,0.45,0.24969931356235348,0.2152777777777778,60
accept_retain_extreme_60,2,2026,9,11,0.0,0.27751379858380676,0.2152777777777778,60
accept_retain_extreme_60,2,2026,10,17,0.35294117647058826,0.37451646826817675,0.2152777777777778,60
