H,phase,year,model,quarter,n,base,auc
120,0,2025,ext_only,2025Q3,53,0.5094339622641509,0.5626780626780626
120,0,2025,ext_only,2025Q4,52,0.5,0.6538461538461539
120,0,2025,micro3,2025Q1,60,0.45,0.590347923681257
120,0,2025,micro3,2025Q2,49,0.5714285714285714,0.49489795918367346
120,0,2025,micro3,2025Q3,53,0.5094339622641509,0.5669515669515669
120,0,2025,micro3,2025Q4,52,0.5,0.613905325443787
120,0,2025,micro3_ext,2025Q1,60,0.45,0.5342312008978676
120,0,2025,micro3_ext,2025Q2,49,0.5714285714285714,0.47959183673469385
120,0,2025,micro3_ext,2025Q3,53,0.5094339622641509,0.6054131054131054
120,0,2025,micro3_ext,2025Q4,52,0.5,0.658284023668639
120,0,2025,micro3_ext_inter,2025Q1,60,0.45,0.5286195286195287
120,0,2025,micro3_ext_inter,2025Q2,49,0.5714285714285714,0.4812925170068027
120,0,2025,micro3_ext_inter,2025Q3,53,0.5094339622641509,0.6196581196581197
120,0,2025,micro3_ext_inter,2025Q4,52,0.5,0.6730769230769231
120,0,2026,ext_only,2026Q1,74,0.5,0.5836376917457998
120,0,2026,ext_only,2026Q2,46,0.41304347826086957,0.4873294346978557
120,0,2026,ext_only,2026Q3,18,0.5,0.5802469135802469
120,0,2026,micro3,2026Q1,74,0.5,0.6661796932067202
120,0,2026,micro3,2026Q2,46,0.41304347826086957,0.5048732943469786
120,0,2026,micro3,2026Q3,18,0.5,0.4691358024691358
120,0,2026,micro3_ext,2026Q1,74,0.5,0.704163623082542
120,0,2026,micro3_ext,2026Q2,46,0.41304347826086957,0.5341130604288499
120,0,2026,micro3_ext,2026Q3,18,0.5,0.4444444444444444
120,0,2026,micro3_ext_inter,2026Q1,74,0.5,0.6975894813732652
120,0,2026,micro3_ext_inter,2026Q2,46,0.41304347826086957,0.5243664717348928
120,0,2026,micro3_ext_inter,2026Q3,18,0.5,0.4444444444444444
120,2,2025,ext_only,2025Q1,58,0.4827586206896552,0.4880952380952381
120,2,2025,ext_only,2025Q2,47,0.574468085106383,0.5444444444444444
120,2,2025,ext_only,2025Q3,52,0.5961538461538461,0.5130568356374808
120,2,2025,ext_only,2025Q4,53,0.4716981132075472,0.63
120,2,2025,micro3,2025Q1,58,0.4827586206896552,0.5976190476190476
120,2,2025,micro3,2025Q2,47,0.574468085106383,0.3648148148148148
120,2,2025,micro3,2025Q3,52,0.5961538461538461,0.5591397849462365
120,2,2025,micro3,2025Q4,53,0.4716981132075472,0.5714285714285714
120,2,2025,micro3_ext,2025Q1,58,0.4827586206896552,0.5357142857142857
120,2,2025,micro3_ext,2025Q2,47,0.574468085106383,0.37962962962962965
120,2,2025,micro3_ext,2025Q3,52,0.5961538461538461,0.5299539170506913
120,2,2025,micro3_ext,2025Q4,53,0.4716981132075472,0.6157142857142858
120,2,2025,micro3_ext_inter,2025Q1,58,0.4827586206896552,0.5357142857142857
120,2,2025,micro3_ext_inter,2025Q2,47,0.574468085106383,0.39814814814814814
120,2,2025,micro3_ext_inter,2025Q3,52,0.5961538461538461,0.543778801843318
120,2,2025,micro3_ext_inter,2025Q4,53,0.4716981132075472,0.6171428571428571
120,2,2026,ext_only,2026Q1,71,0.5211267605633803,0.5429252782193958
120,2,2026,ext_only,2026Q2,44,0.38636363636363635,0.5054466230936819
120,2,2026,ext_only,2026Q3,17,0.5882352941176471,0.5
120,2,2026,micro3,2026Q1,71,0.5211267605633803,0.6724960254372019
120,2,2026,micro3,2026Q2,44,0.38636363636363635,0.4466230936819172
120,2,2026,micro3,2026Q3,17,0.5882352941176471,0.5714285714285714
120,2,2026,micro3_ext,2026Q1,71,0.5211267605633803,0.636724960254372
