cap_atr180,period,entries,retention,pnl,PF,maxDD,wc_pnl,wc_PF,wc_maxDD
7.0,2025,263,0.9887218045112782,3400.3300000000067,2.0086109216029455,770.6600000000044,2836.840000000006,1.7209635075823635,923.6300000000051
7.0,2026,197,0.9752475247524752,1754.3100000000022,1.2541689968618435,3012.7599999999948,110.46000000000504,1.0129253603151893,3733.6799999999926
7.0,ALL,1325,0.9714076246334311,8816.280000000006,1.5598971183615153,3012.759999999992,4507.900000000008,1.2247810106693573,3733.6799999999953
8.0,2022,234,0.8897338403041825,-42.23999999999978,0.9727107102709549,518.1599999999978,-618.5499999999993,0.7088039092916294,809.3299999999974
8.0,2023,340,0.9941520467836257,1215.620000000002,1.6880115006282341,548.550000000002,491.5300000000027,1.1973263212830456,859.540000000002
8.0,2024,291,1.0,2488.2599999999948,2.1529917658670366,285.170000000001,1687.6199999999933,1.5703866185829698,579.7399999999998
8.0,2025,263,0.9887218045112782,3400.3300000000067,2.0086109216029455,770.6600000000044,2836.840000000006,1.7209635075823635,923.6300000000051
8.0,2026,198,0.9801980198019802,1351.0300000000025,1.184935294616874,3416.0399999999945,-292.8199999999947,0.9672800127831661,4136.959999999992
8.0,ALL,1326,0.9721407624633431,8413.000000000007,1.5209439531676776,3416.0399999999936,4104.620000000008,1.200637308503166,4136.959999999992
10.0,2022,234,0.8897338403041825,-42.23999999999978,0.9727107102709549,518.1599999999978,-618.5499999999993,0.7088039092916294,809.3299999999974
10.0,2023,342,1.0,1299.4800000000018,1.735474231121878,548.550000000002,575.3900000000026,1.2309921917340783,859.540000000002
10.0,2024,291,1.0,2488.2599999999948,2.1529917658670366,285.170000000001,1687.6199999999933,1.5703866185829698,579.7399999999998
10.0,2025,265,0.9962406015037594,3332.880000000007,1.9692126499454772,770.6600000000044,2769.3900000000062,1.6919600023986587,923.6300000000051
10.0,2026,199,0.9851485148514851,1294.260000000002,1.1757982339494095,3416.0399999999945,-349.58999999999514,0.9611827173763391,4136.959999999992
