block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,route_id,candidate_order,next_ts,next_ref,accepted_rank,role,hybrid_status,hybrid_exit_ts,hybrid_exit_price,hybrid_pnl,entry_spread_price,exit_spread_price,spread_cost,net_0x,net_1x,net_2x,net_3x
FULL_2022_202608,2025-08-05 17:51:00,UP,3385.32,3349.77,35.55000000000018,18.81792733199024,1.8891559826339448,OPPOSITE_NEAREST,48.41999999999962,40.28999999999997,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-11 09:31:00,3365.08,-0.5693389592123806,291,5.0,2025-08-07 04:31:00,3379.96,5,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-07 04:31:00,3379.96,-5.360000000000127,0.18,0.18,0.18,-5.360000000000127,-5.540000000000127,-5.720000000000128,-5.900000000000127
FULL_2022_202608,2025-08-07 04:31:00,UP,3379.96,3358.14,21.820000000000164,18.48345599875812,1.1805151591491454,SAME_NEAREST,10.440000000000056,21.820000000000164,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-11 09:31:00,3365.08,-0.681943171402383,291,6.0,2025-08-07 10:25:00,3390.4,6,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-07 10:25:00,3390.4,10.440000000000055,0.18,0.19,0.18,10.440000000000055,10.260000000000055,10.080000000000055,9.900000000000055
FULL_2022_202608,2025-08-07 10:25:00,UP,3390.4,3365.08,25.320000000000164,18.458714576542796,1.3717098173334694,OPPOSITE_NEAREST,43.33999999999969,32.26000000000022,MULTI_CHILD_ERA4,AMBIGUOUS,2025-08-11 09:31:00,,,291,7.0,2025-08-07 22:33:00,3397.36,7,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-07 22:33:00,3397.36,6.960000000000036,0.19,0.16,0.19,6.960000000000036,6.770000000000036,6.5800000000000365,6.390000000000036
FULL_2022_202608,2025-08-12 14:20:00,DOWN,3341.25,3358.08,16.829999999999927,18.532127451516267,0.9081526146434378,SAME_NEAREST,59.63999999999987,63.55000000000018,MULTI_CHILD_ERA4,SL,2025-08-12 18:29:00,3358.08,-1.0,292,4.0,2025-08-13 10:13:00,3359.05,4,CONTINUATION_CHILD,SL,2025-08-12 18:29:00,3358.08,-16.829999999999927,0.19,0.18,0.18,-16.829999999999927,-17.009999999999927,-17.189999999999927,-17.369999999999926
FULL_2022_202608,2025-08-11 10:49:00,DOWN,3358.14,3404.8,46.66000000000031,18.577363545070472,2.5116588738115966,SAME_NEAREST,8.36999999999989,50.42000000000007,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-13 10:13:00,3359.05,-0.0195027861123082,292,1.0,2025-08-11 15:28:00,3349.77,1,ANCHOR_CHILD,CHALLENGE_OPENS,2025-08-13 10:13:00,3359.05,-0.9100000000003092,0.19,0.18,0.18,-0.9100000000003092,-1.0900000000003092,-1.270000000000309,-1.4500000000003093
FULL_2022_202608,2025-08-11 15:28:00,DOWN,3349.77,3404.8,55.0300000000002,18.602767080931194,2.958162071297921,SAME_NEAREST,4.739999999999782,55.0300000000002,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-13 10:13:00,3359.05,-0.1686352898419074,292,2.0,2025-08-11 15:30:00,3345.03,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-11 15:30:00,3345.03,4.739999999999782,0.18,0.18,0.18,4.739999999999782,4.559999999999782,4.379999999999781,4.199999999999782
FULL_2022_202608,2025-08-11 15:30:00,DOWN,3345.03,3404.8,59.76999999999998,18.602767080931194,3.2129628748223884,OPPOSITE_NEAREST,63.42000000000007,59.76999999999998,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-13 10:13:00,3359.05,-0.2345658357035299,292,3.0,2025-08-12 14:20:00,3341.25,3,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-12 14:20:00,3341.25,3.7800000000002,0.18,0.19,0.19,3.7800000000002,3.5900000000002,3.4000000000002,3.2100000000002
FULL_2022_202608,2025-08-18 02:16:00,DOWN,3329.8,3339.55,9.75,18.084529056108103,0.5391348577422261,OPPOSITE_NEAREST,48.190000000000055,18.96000000000004,MULTI_CHILD_ERA4,SL,2025-08-18 03:20:00,3339.55,-1.0,293,3.0,2025-08-18 06:45:00,3348.76,3,CONTINUATION_CHILD,SL,2025-08-18 03:20:00,3339.55,-9.75,0.17,0.19,0.19,-9.75,-9.94,-10.13,-10.32
FULL_2022_202608,2025-08-14 10:45:00,DOWN,3349.9,3374.78,24.88000000000011,18.335500713987187,1.3569304917329292,SAME_NEAREST,18.820000000000164,54.90000000000009,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-18 06:45:00,3348.76,0.045819935691313,293,1.0,2025-08-14 19:16:00,3331.08,1,ANCHOR_CHILD,CHALLENGE_OPENS,2025-08-18 06:45:00,3348.76,1.1399999999998727,0.17,0.17,0.17,1.1399999999998727,0.9699999999998726,0.7999999999998726,0.6299999999998727
FULL_2022_202608,2025-08-14 19:16:00,DOWN,3331.08,3366.4,35.320000000000164,18.365902419039,1.9231290243263908,OPPOSITE_NEAREST,49.4699999999998,43.70000000000027,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-18 06:45:00,3348.76,-0.5005662514156345,293,2.0,2025-08-18 02:16:00,3329.8,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-18 02:16:00,3329.8,1.2799999999997453,0.16,0.17,0.17,1.2799999999997453,1.1099999999997454,0.9399999999997453,0.7699999999997453
