period,bin,entries,resolved,median_sl,median_ratio,pnl,PF,wc_pnl,wc_PF
2025,"[2.5, 3.0)",26,24,60.125,2.6597809570522566,42.82999999999902,1.0902672399258115,-95.38000000000102,0.8443258417796912
2025,"[3.0, 3.5)",8,8,58.549999999999955,3.186384246158249,327.7099999999996,3.54908214063473,327.7099999999996,3.54908214063473
2025,"[3.5, 4.0)",8,8,74.76999999999998,3.6929797564839224,243.98000000000047,4.210685616528487,243.98000000000047,4.210685616528487
2025,"[4.0, 5.0)",5,5,75.7199999999998,4.318992936079384,65.33000000000038,1.9239145806816684,65.33000000000038,1.9239145806816684
2025,"[5.0, 6.0)",2,2,108.47499999999967,5.081347475498266,-102.93999999999915,0.23379233345739067,-102.93999999999915,0.23379233345739067
2025,"[6.0, 8.0)",2,2,207.1300000000006,6.643545606417364,-182.27999999999975,0.0,-182.27999999999975,0.0
2025,"[8.0, 10.0)",2,2,147.73500000000013,8.83500855820123,-67.44999999999982,0.0,-67.44999999999982,0.0
2025,"[10.0, inf)",1,1,281.8600000000001,10.415886560601232,60.289999999999964,inf,60.289999999999964,inf
2026,"[0.0, 1.0)",35,29,40.52999999999975,0.8312040553455877,820.0300000000016,2.1653781655913393,588.5200000000023,1.6293187334923092
2026,"[1.0, 1.5)",49,43,58.98000000000002,1.276113535877819,729.4299999999985,1.7437319657004164,391.9299999999994,1.2973063181290625
2026,"[1.5, 2.0)",42,35,76.58999999999969,1.723414883540096,-233.86999999999716,0.8068770179770288,-748.7399999999966,0.5661641152816577
2026,"[2.0, 2.5)",27,21,99.58000000000038,2.2522334397411465,472.5899999999988,1.9061780947998153,-87.38000000000056,0.919204061063902
2026,"[2.5, 3.0)",8,8,124.375,2.7771439755657235,128.14000000000078,1.4171088180723315,128.14000000000078,1.4171088180723315
2026,"[3.0, 3.5)",12,12,138.35500000000002,3.119089810074952,1109.6799999999998,3.1667935875656603,1109.6799999999998,3.1667935875656603
2026,"[3.5, 4.0)",9,9,169.8699999999999,3.73231669598938,485.6600000000003,2.708686627027411,485.6600000000003,2.708686627027411
2026,"[4.0, 5.0)",8,7,224.80499999999984,4.675046193828122,-297.4500000000007,0.5472947264287336,-297.4500000000007,0.5472947264287336
2026,"[5.0, 6.0)",4,4,291.2649999999999,5.624554864737425,-374.6700000000001,0.4139829514350506,-374.6700000000001,0.4139829514350506
2026,"[6.0, 8.0)",4,4,390.8849999999993,6.468772988687971,-1488.5099999999993,0.0,-1488.5099999999993,0.0
2026,"[8.0, 10.0)",1,1,390.0,8.320166239272394,-56.77000000000044,0.0,-56.77000000000044,0.0
2026,"[10.0, inf)",3,3,609.0799999999999,12.30303884473705,-833.6200000000008,0.0,-833.6200000000008,0.0
ALL,"[0.0, 1.0)",189,168,9.269999999999982,0.841484922717638,993.2000000000023,1.612254962396747,623.4300000000021,1.312971580897304
ALL,"[1.0, 1.5)",339,302,14.940000000000056,1.2412036197861411,3374.9800000000005,2.1874575591357366,2530.210000000001,1.6862591403215657
ALL,"[1.5, 2.0)",279,238,21.590000000000146,1.7320609515415153,1863.800000000004,1.6542909098568432,674.7100000000032,1.1671037999638414
ALL,"[2.0, 2.5)",189,160,25.059999999999945,2.2491619501921565,1277.5299999999986,1.6945551417620346,205.48000000000047,1.070577728927664
ALL,"[2.5, 3.0)",128,120,30.535000000000082,2.7086219823467674,773.9500000000005,1.5217898412955253,487.9500000000007,1.2757932695025045
ALL,"[3.0, 3.5)",78,69,36.34999999999991,3.2091266298797674,1935.7999999999993,2.660163117587026,1659.7299999999993,2.150911864641842
ALL,"[3.5, 4.0)",48,44,38.950000000000045,3.657021580613157,749.3100000000002,2.3312546636819107,610.8000000000002,1.870867017408786
ALL,"[4.0, 5.0)",40,37,46.65999999999997,4.389764677336689,-498.6700000000003,0.5353818632429257,-585.4800000000002,0.4953193690199118
ALL,"[5.0, 6.0)",21,20,68.5300000000002,5.44538548007784,-310.8399999999997,0.6664914219499373,-356.14999999999964,0.6355925266539791
ALL,"[6.0, 8.0)",15,15,84.05999999999995,6.434905336302799,-1746.059999999999,0.018924112510816233,-1746.059999999999,0.018924112510816233
ALL,"[8.0, 10.0)",5,5,137.28999999999996,8.489074967816242,-40.360000000000355,0.6750925776847506,-40.360000000000355,0.6750925776847506
ALL,"[10.0, inf)",4,4,547.6349999999998,11.359462702669141,-773.3300000000008,0.07232312084642871,-773.3300000000008,0.07232312084642871
