block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,year,price_pnl,entry_spread_price,exit_spread_price,spread_cost,net_spread_0x,net_spread_1x,net_spread_2x,net_spread_3x,route_id,child_order,next_resolution,next_ts,continued_next,route_start_ts,route_start_ref,route_side,route_progress_price,route_progress_atr180,order_band,MFE,MAE,hold_h,MFE_ATR180,MAE_ATR180,fav_1h_S,adv_1h_S,ret_1h_S,fav_4h_S,adv_4h_S,ret_4h_S,fav_12h_S,adv_12h_S,ret_12h_S,fav_24h_S,adv_24h_S,ret_24h_S,route_progress_band
FULL_2022_202608,2023-02-28 10:17:00,DOWN,1806.56,1819.42,12.860000000000127,9.181205626643054,1.40068750477405,SAME_NEAREST,2.1799999999998363,13.620000000000118,MULTI_CHILD_ERA4,AMBIGUOUS,2023-02-28 17:00:00,,,2023,,0.12,0.12,0.12,,,,,104,6.0,CHALLENGE_OPENS,2023-02-28 17:00:00,False,2023-02-23 15:30:00,1823.17,DOWN,16.610000000000127,1.8091305952019376,4+,1.849999999999909,16.670000000000073,6.716666666666667,0.201498591277748,1.815665684648778,0.201498591277748,0.7047004786849185,-0.5707311450245693,0.201498591277748,0.7047004786849185,-0.16773396246904856,0.201498591277748,1.815665684648778,-1.7720984216697933,0.201498591277748,1.815665684648778,-1.7720984216697933,1-2
FULL_2022_202608,2023-03-03 11:06:00,UP,1845.99,1837.83,8.160000000000082,8.99559164182351,0.9071109855700338,SAME_NEAREST,1.5,16.059999999999945,MULTI_CHILD_ERA4,SL,2023-03-07 15:10:00,1837.83,-1.0,2023,-8.160000000000082,0.12,0.12,0.12,-8.160000000000082,-8.280000000000081,-8.400000000000082,-8.520000000000081,105,5.0,PRIMARY_CONTINUES,2023-03-03 12:44:00,True,2023-02-28 18:06:00,1827.79,UP,18.200000000000045,2.023213227619423,4+,12.279999999999973,8.279999999999973,100.06666666666666,1.3651131008333184,0.920450853004875,0.15340847550079986,0.13006370748982782,-0.07114595965256208,0.35684145388232996,0.16230172045738592,0.04891284726113485,1.1527868774952277,0.7748239668410658,0.9526888659724331,1.1527868774952277,0.7748239668410658,1.0293931037228456,2-3
FULL_2022_202608,2023-03-03 12:44:00,UP,1847.49,1837.83,9.660000000000082,8.992393910480045,1.0742411971902148,SAME_NEAREST,12.579999999999927,17.559999999999945,MULTI_CHILD_ERA4,SL,2023-03-07 15:10:00,1837.83,-1.0,2023,-9.660000000000082,0.12,0.12,0.12,-9.660000000000082,-9.780000000000081,-9.900000000000082,-10.020000000000081,105,6.0,CHALLENGE_OPENS,2023-03-07 16:48:00,False,2023-02-28 18:06:00,1827.79,UP,19.700000000000045,2.190740329673613,4+,10.779999999999973,9.779999999999973,98.43333333333334,1.1987909012122557,1.0875858083354226,0.18682455603308634,0.1768160976741552,0.07784356501378809,0.19016070881938832,0.5482411078827932,-0.41479499643058876,0.9863891738174957,0.9419071366667777,0.8629515207242223,0.9863891738174957,0.9419071366667777,0.8629515207242223,2-3
FULL_2022_202608,2023-03-03 09:05:00,UP,1844.52,1832.3,12.220000000000027,8.99559164182351,1.358443167115898,SAME_NEAREST,1.4700000000000273,14.589999999999918,MULTI_CHILD_ERA4,SL,2023-03-07 16:03:00,1832.3,-1.0,2023,-12.220000000000027,0.12,0.12,0.12,-12.220000000000027,-12.340000000000027,-12.460000000000027,-12.580000000000027,105,4.0,PRIMARY_CONTINUES,2023-03-03 11:06:00,True,2023-02-28 18:06:00,1827.79,UP,16.730000000000018,1.859799851542467,4+,13.75,12.349999999999909,102.96666666666667,1.5285264769102744,1.3728946901703092,0.033349668587128206,0.2801372161319174,0.02223311239142723,0.3679580100780309,0.2801372161319174,0.2656856930775061,0.6303087362968267,0.6114105907641098,0.5702793328399909,1.3162002535721835,0.6114105907641098,1.1928064797998017,1-2
FULL_2022_202608,2023-02-28 18:06:00,UP,1827.79,1807.27,20.519999999999985,9.185265416150312,2.234012744359023,SAME_NEAREST,6.029999999999973,23.40999999999985,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-07 16:48:00,1829.93,0.1042884990253461,2023,2.1400000000001,0.12,0.12,0.12,2.1400000000001,2.0200000000001,1.9000000000001,1.7800000000001002,105,1.0,PRIMARY_CONTINUES,2023-03-01 05:32:00,True,2023-02-28 18:06:00,1827.79,UP,0.0,0.0,1,30.480000000000018,4.740000000000009,166.7,3.318358111504051,0.5160438795449219,0.08382991292185227,0.23842533675177324,0.08274121275403698,0.36798065672191754,0.23842533675177324,0.12846661980232904,0.410439963266739,0.5160438795449219,0.3179004490023643,1.8213953807566534,0.5160438795449219,1.2618034944990948,<=0.5
FULL_2022_202608,2023-03-01 05:32:00,UP,1831.17,1823.05,8.120000000000118,9.193267960664976,0.8832550116827852,SAME_NEAREST,2.649999999999864,26.46000000000004,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-07 16:48:00,1829.93,-0.1527093596059102,2023,-1.240000000000009,0.12,0.12,0.12,-1.240000000000009,-1.3600000000000092,-1.480000000000009,-1.600000000000009,105,2.0,PRIMARY_CONTINUES,2023-03-01 08:30:00,True,2023-02-28 18:06:00,1827.79,UP,3.380000000000109,0.3676603373753531,2,27.09999999999991,1.6000000000001364,155.26666666666668,2.947809213867371,0.1740403963907089,0.04242234662021783,0.1740403963907089,-0.06635290112396597,0.604790377457656,0.1740403963907089,0.2741136243153412,1.4521495573848437,0.1740403963907089,0.7037758529048721,1.4521495573848437,0.1740403963907089,0.3252379907551105,<=0.5
FULL_2022_202608,2023-03-01 08:30:00,UP,1833.82,1823.05,10.769999999999982,9.17236091643906,1.17417970118223,SAME_NEAREST,12.170000000000073,29.1099999999999,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-07 16:48:00,1829.93,-0.3611884865366647,2023,-3.8899999999998727,0.12,0.12,0.12,-3.8899999999998727,-4.009999999999873,-4.129999999999873,-4.249999999999873,105,3.0,PRIMARY_CONTINUES,2023-03-03 09:05:00,True,2023-02-28 18:06:00,1827.79,UP,6.029999999999973,0.6574098048401883,3,24.450000000000045,3.9199999999998454,152.3,2.6656168703719247,0.4273708847385486,0.3172574680074644,0.02507533252292802,0.015263245883531102,0.4535364491103233,0.37503975599504885,-0.04469950580172185,1.1665480782404771,0.37503975599504885,0.40665647961093293,1.1665480782404771,0.37503975599504885,-0.09703063454522165,0.5-1
FULL_2022_202608,2023-03-09 15:59:00,UP,1824.25,1812.77,11.480000000000018,8.676086749598948,1.3231771801418055,OPPOSITE_NEAREST,27.38000000000011,14.86999999999989,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-15 10:01:00,1895.39,6.1968641114982566,2023,71.1400000000001,0.12,0.12,0.12,71.1400000000001,71.0200000000001,70.9000000000001,70.7800000000001,106,1.0,PRIMARY_CONTINUES,2023-03-10 10:01:00,True,2023-03-09 15:59:00,1824.25,UP,0.0,0.0,1,90.31999999999994,0.4900000000000091,138.03333333333333,10.410223250035504,0.05647707476215119,0.8828865156695402,0.05647707476215119,0.8206464740949038,1.3185668066918381,0.05647707476215119,0.5855174281463645,1.3185668066918381,0.05647707476215119,0.7803057064076642,2.3904786338101927,0.05647707476215119,2.1023302931869776,<=0.5
FULL_2022_202608,2023-03-10 10:01:00,UP,1835.69,1827.71,7.980000000000018,8.649889324729912,0.9225551565365478,SAME_NEAREST,15.940000000000056,23.809999999999945,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-15 10:01:00,1895.39,7.481203007518785,2023,59.700000000000045,0.12,0.12,0.12,59.700000000000045,59.58000000000005,59.46000000000004,59.340000000000046,106,2.0,PRIMARY_CONTINUES,2023-03-10 16:32:00,True,2023-03-09 15:59:00,1824.25,UP,11.440000000000055,1.3225602745336007,2,78.87999999999988,4.8400000000001455,120.0,9.119191823007847,0.5595447315334606,0.18612954912578275,0.39075644474857457,-0.03583860883787955,0.18612954912578275,0.5595447315334606,-0.10520365820154538,3.66363069055679,0.5595447315334606,3.2682499091839765,3.9815538334735194,0.5595447315334606,3.6162312401582866,1-2
FULL_2022_202608,2023-03-10 16:32:00,UP,1851.63,1830.85,20.7800000000002,8.672048267088615,2.3962043752526845,SAME_NEAREST,6.639999999999873,23.920000000000076,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2023-03-15 10:01:00,1895.39,2.1058710298363605,2023,43.75999999999999,0.12,0.12,0.12,43.75999999999999,43.63999999999999,43.51999999999999,43.39999999999999,106,3.0,PRIMARY_CONTINUES,2023-03-10 16:40:00,True,2023-03-09 15:59:00,1824.25,UP,27.38000000000011,3.1572702499719987,3,62.93999999999983,1.8100000000001728,113.48333333333333,7.257800932550631,0.20871655049122867,1.6316791101936878,0.20871655049122867,1.613229028382301,1.8161799283074793,0.20871655049122867,1.3618466637023003,2.1332907094405313,0.20871655049122867,1.7689015936658148,2.1332907094405313,0.20871655049122867,1.7689015936658148,3-4
