id,tf,side,price,source,known_at
H1_SSL_20220124_2200,H1,DOWN,1837.58,2022-01-24 22:00:00,2022-01-25 02:00:00
H1_BSL_20220124_2300,H1,UP,1843.95,2022-01-24 23:00:00,2022-01-25 03:00:00
H4_SSL_20220124_1600,H4,DOWN,1829.66,2022-01-24 16:00:00,2022-01-25 04:00:00
H1_SSL_20220125_0400,H1,DOWN,1839.34,2022-01-25 04:00:00,2022-01-25 07:00:00
H4_BSL_20220124_2000,H4,UP,1843.95,2022-01-24 20:00:00,2022-01-25 08:00:00
H1_BSL_20220125_0600,H1,UP,1842.99,2022-01-25 06:00:00,2022-01-25 09:00:00
H1_BSL_20220125_0900,H1,UP,1843.25,2022-01-25 09:00:00,2022-01-25 12:00:00
H1_SSL_20220125_1200,H1,DOWN,1834.81,2022-01-25 12:00:00,2022-01-25 15:00:00
H1_BSL_20220125_1600,H1,UP,1852.8,2022-01-25 16:00:00,2022-01-25 19:00:00
H1_BSL_20220125_2100,H1,UP,1853.78,2022-01-25 21:00:00,2022-01-26 00:00:00
H4_SSL_20220125_1200,H4,DOWN,1834.81,2022-01-25 12:00:00,2022-01-26 00:00:00
H1_SSL_20220125_2300,H1,DOWN,1846.89,2022-01-25 23:00:00,2022-01-26 03:00:00
H1_SSL_20220126_0300,H1,DOWN,1846.44,2022-01-26 03:00:00,2022-01-26 06:00:00
H4_BSL_20220125_2000,H4,UP,1853.78,2022-01-25 20:00:00,2022-01-26 08:00:00
H1_BSL_20220126_0800,H1,UP,1848.62,2022-01-26 08:00:00,2022-01-26 11:00:00
H1_SSL_20220126_0900,H1,DOWN,1843.73,2022-01-26 09:00:00,2022-01-26 12:00:00
H1_BSL_20220126_1100,H1,UP,1847.65,2022-01-26 11:00:00,2022-01-26 14:00:00
H1_BSL_20220126_1500,H1,UP,1848.01,2022-01-26 15:00:00,2022-01-26 18:00:00
H1_SSL_20220126_1600,H1,DOWN,1831.21,2022-01-26 16:00:00,2022-01-26 19:00:00
H1_BSL_20220126_2100,H1,UP,1833.17,2022-01-26 21:00:00,2022-01-27 00:00:00
H1_SSL_20220126_2200,H1,DOWN,1814.88,2022-01-26 22:00:00,2022-01-27 02:00:00
H1_BSL_20220127_0100,H1,UP,1822.0,2022-01-27 01:00:00,2022-01-27 04:00:00
H1_SSL_20220127_0400,H1,DOWN,1813.0,2022-01-27 04:00:00,2022-01-27 07:00:00
H1_SSL_20220127_1000,H1,DOWN,1809.45,2022-01-27 10:00:00,2022-01-27 13:00:00
