period,policy,outcome_convention,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,l6_positive_child_retention,ambiguous_selected
2025,ROBUST_C05,conservative_stop,1486,570,1096.0,5597.186429469202,14263.890000000009,-8666.703570530804,1.6458264533820204,213.11252426038612,1.5446707927315422,745.4105094097317,25.471161641658327,0.7189349112426036,0.4263157894736842,23253.216666666667,3.0,6.0,0.4417452823444295,2
2025,ROBUST_C05,alternative_nha_first,1486,570,1096.0,5601.496429469203,14263.890000000009,-8662.393570530805,1.6466453392888218,212.686799947716,1.5429919221480104,745.4105094097317,25.471161641658327,0.7189349112426036,0.4263157894736842,23253.216666666667,3.0,6.0,0.4417452823444295,2
2025,SHALLOW_HISTGB,conservative_stop,1486,567,1087.0,5620.016429469202,14248.740000000009,-8628.723570530805,1.6513149231785484,215.39056686265783,1.556070891319962,745.4105094097317,27.117900772093165,0.7130177514792899,0.4250440917107583,23160.166666666668,3.0,6.0,0.4417452823444295,2
2025,SHALLOW_HISTGB,alternative_nha_first,1486,567,1087.0,5624.326429469202,14248.740000000009,-8624.413570530805,1.6521401581073578,214.96484254998768,1.5543625122232088,745.4105094097317,27.117900772093197,0.7130177514792899,0.4250440917107583,23160.166666666668,3.0,6.0,0.4417452823444295,2
2025,STABLE_INTERSECTION,conservative_stop,1486,570,1096.0,5597.186429469202,14263.890000000009,-8666.703570530804,1.6458264533820204,213.11252426038612,1.5446707927315422,745.4105094097317,25.471161641658327,0.7189349112426036,0.4263157894736842,23253.216666666667,3.0,6.0,0.4417452823444295,2
2025,STABLE_INTERSECTION,alternative_nha_first,1486,570,1096.0,5601.496429469203,14263.890000000009,-8662.393570530805,1.6466453392888218,212.686799947716,1.5429919221480104,745.4105094097317,25.471161641658327,0.7189349112426036,0.4263157894736842,23253.216666666667,3.0,6.0,0.4417452823444295,2
2025,STABLE_UNION,conservative_stop,1486,567,1087.0,5620.016429469202,14248.740000000009,-8628.723570530805,1.6513149231785484,215.39056686265783,1.556070891319962,745.4105094097317,27.117900772093165,0.7130177514792899,0.4250440917107583,23160.166666666668,3.0,6.0,0.4417452823444295,2
2025,STABLE_UNION,alternative_nha_first,1486,567,1087.0,5624.326429469202,14248.740000000009,-8624.413570530805,1.6521401581073578,214.96484254998768,1.5543625122232088,745.4105094097317,27.117900772093197,0.7130177514792899,0.4250440917107583,23160.166666666668,3.0,6.0,0.4417452823444295,2
2026,R2_DEFAULT,conservative_stop,980,403,795.0,6589.803229239928,21126.46000000001,-14536.656770760084,1.453323163170163,124.38349220576274,1.4013893105805044,1165.380000000001,26.964282413056736,0.726027397260274,0.3945409429280397,14903.983333333334,3.0,5.0,0.4442157271931539,3
2026,R2_DEFAULT,alternative_nha_first,980,403,795.0,6471.973229239928,21126.46000000001,-14654.486770760082,1.4416376588604507,121.28716900791164,1.387525256609964,1165.380000000001,28.003957365255587,0.726027397260274,0.3945409429280397,14903.983333333334,3.0,5.0,0.4442157271931539,3
2026,ROBUST_C05,conservative_stop,980,401,793.0,6617.493229239928,21126.46000000001,-14508.966770760082,1.4560967940581515,126.25590314196822,1.4099084384224896,1165.380000000001,26.964282413056736,0.7214611872146118,0.3940149625935162,14888.966666666667,3.0,5.0,0.4442157271931539,3
2026,ROBUST_C05,alternative_nha_first,980,401,793.0,6499.663229239927,21126.46000000001,-14626.796770760082,1.4443668241998944,123.15957994411713,1.3958761552213843,1165.380000000001,28.003957365255587,0.7214611872146118,0.3940149625935162,14888.966666666667,3.0,5.0,0.4442157271931539,3
2026,SHALLOW_HISTGB,conservative_stop,980,396,780.0,6682.01322923993,21056.83000000001,-14374.81677076008,1.4648416279525636,129.9621507529159,1.4347381902724898,1165.380000000001,26.964282413056736,0.7123287671232876,0.3939393939393939,14679.066666666668,3.0,5.0,0.4442157271931539,3
2026,SHALLOW_HISTGB,alternative_nha_first,980,396,780.0,6564.183229239929,21056.83000000001,-14492.646770760082,1.4529319822024245,126.8658275550648,1.4200301518486675,1165.380000000001,28.003957365255587,0.7123287671232876,0.3939393939393939,14679.066666666668,3.0,5.0,0.4442157271931539,3
2026,STABLE_INTERSECTION,conservative_stop,980,401,793.0,6617.493229239928,21126.46000000001,-14508.966770760082,1.4560967940581515,126.25590314196822,1.4099084384224896,1165.380000000001,26.964282413056736,0.7214611872146118,0.3940149625935162,14888.966666666667,3.0,5.0,0.4442157271931539,3
2026,STABLE_INTERSECTION,alternative_nha_first,980,401,793.0,6499.663229239927,21126.46000000001,-14626.796770760082,1.4443668241998944,123.15957994411713,1.3958761552213843,1165.380000000001,28.003957365255587,0.7214611872146118,0.3940149625935162,14888.966666666667,3.0,5.0,0.4442157271931539,3
2026,STABLE_UNION,conservative_stop,980,396,780.0,6682.01322923993,21056.83000000001,-14374.81677076008,1.4648416279525636,129.9621507529159,1.4347381902724898,1165.380000000001,26.964282413056736,0.7123287671232876,0.3939393939393939,14679.066666666668,3.0,5.0,0.4442157271931539,3
2026,STABLE_UNION,alternative_nha_first,980,396,780.0,6564.183229239929,21056.83000000001,-14492.646770760082,1.4529319822024245,126.8658275550648,1.4200301518486675,1165.380000000001,28.003957365255587,0.7123287671232876,0.3939393939393939,14679.066666666668,3.0,5.0,0.4442157271931539,3
POOLED_2024_2026,R2_DEFAULT,conservative_stop,3962,1573,3067.0,12788.520160697994,42069.45000000002,-29280.92983930203,1.4367525290652734,532.1628687386301,1.4525209304556044,1165.380000000001,52.406940160939016,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.4335000904786318,7
POOLED_2024_2026,R2_DEFAULT,alternative_nha_first,3962,1573,3067.0,12680.670160697991,42069.45000000002,-29388.779839302028,1.4314799807966152,529.1697286054971,1.4488333662391968,1165.380000000001,52.406940160939016,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.4335000904786318,7
POOLED_2024_2026,ROBUST_C05,conservative_stop,3962,1556,3040.0,12901.120160697992,42053.83000000002,-29152.70983930203,1.4425358819750411,553.8319945700908,1.481313066348261,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.4331320497934071,7
POOLED_2024_2026,ROBUST_C05,alternative_nha_first,3962,1556,3040.0,12793.27016069799,42053.83000000002,-29260.559839302037,1.437218912794498,550.8388544369577,1.477469845984778,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.4331320497934071,7
POOLED_2024_2026,SHALLOW_HISTGB,conservative_stop,3962,1531,2983.0,12905.370160697996,41798.63000000003,-28893.25983930203,1.4466567715956882,545.7235091449704,1.4889818710782226,1165.380000000001,40.84620174597517,0.6882821387940842,0.395166557805356,58837.43333333333,3.0,7.0,0.432292530611937,7
POOLED_2024_2026,SHALLOW_HISTGB,alternative_nha_first,3962,1531,2983.0,12797.520160697995,41798.63000000003,-29001.10983930203,1.441276910835837,542.7303690118373,1.4849992098363851,1165.380000000001,40.84620174597517,0.6882821387940842,0.395166557805356,58837.43333333333,3.0,7.0,0.432292530611937,7
POOLED_2024_2026,STABLE_INTERSECTION,conservative_stop,3962,1557,3043.0,12878.800160697992,42053.83000000002,-29175.029839302028,1.4414322875292769,550.8319945700908,1.477461060755224,1165.380000000001,45.406940160939016,0.70193401592719,0.3962748876043673,59496.55,3.0,7.0,0.4331320497934071,7
POOLED_2024_2026,STABLE_INTERSECTION,alternative_nha_first,3962,1557,3043.0,12770.95016069799,42053.83000000002,-29282.87983930203,1.4361234356314043,547.8388544369577,1.4736377764249813,1165.380000000001,45.406940160939016,0.70193401592719,0.3962748876043673,59496.55,3.0,7.0,0.4331320497934071,7
POOLED_2024_2026,STABLE_UNION,conservative_stop,3962,1530,2980.0,12927.690160697995,41798.63000000003,-28870.93983930203,1.4477751757530082,548.7235091449704,1.4929951537289456,1165.380000000001,37.84620174597518,0.6882821387940842,0.3954248366013072,58837.33333333333,3.0,7.0,0.432292530611937,7
POOLED_2024_2026,STABLE_UNION,alternative_nha_first,3962,1530,2980.0,12819.840160697997,41798.63000000003,-28978.78983930203,1.4423870089741049,545.7303690118373,1.4889910233279484,1165.380000000001,37.84620174597518,0.6882821387940842,0.3954248366013072,58837.33333333333,3.0,7.0,0.432292530611937,7
