variant,year,N,WR,avg_win_R,avg_loss_R,EV_R,PF,time_stop_rate,ambig_n,median_hold,family,sl_mult,rr
fixedSL10_RR2.40,2025,342,0.37719298245614036,2.3317984496124047,-0.9992535211267605,0.2571959064327491,1.4132709393396963,0.02046783625730994,0,45.5,fixed_dollar,,2.4000000000000012
fixedSL10_RR2.40,2026,603,0.351575456053068,2.3801226415094363,-1.0,0.18836815920398067,1.2905012787723795,0.004975124378109453,1,19.0,fixed_dollar,,2.4000000000000012
fixedSL10_RR2.45,2025,342,0.3742690058479532,2.3721328125000016,-0.9992570093457943,0.26254970760233953,1.4199007673925963,0.023391812865497075,0,46.0,fixed_dollar,,2.450000000000001
fixedSL10_RR2.45,2026,603,0.34991708126036486,2.4293175355450254,-1.0,0.19997678275290262,1.3076173469387764,0.004975124378109453,1,19.0,fixed_dollar,,2.450000000000001
fixedSL10_RR2.50,2025,342,0.3742690058479532,2.397953125000001,-0.9992570093457943,0.27221345029239824,1.4353561758502824,0.029239766081871343,0,47.0,fixed_dollar,,2.5000000000000013
fixedSL10_RR2.50,2026,603,0.3416252072968491,2.4780873786407778,-1.0,0.18820232172471033,1.285858942065492,0.004975124378109453,1,19.0,fixed_dollar,,2.5000000000000013
atrSL0.75_RR1.00,2025,342,0.5321637426900585,1.0,-1.0,0.06432748538011696,1.1375,0.0,1,3.0,atr,0.75,1.0
atrSL0.75_RR1.00,2026,603,0.5771144278606966,1.0,-1.0,0.15422885572139303,1.3647058823529412,0.0,4,2.0,atr,0.75,1.0
atrSL0.75_RR1.10,2025,342,0.5087719298245614,1.0999999999999996,-1.0,0.06842105263157897,1.1392857142857142,0.0,1,4.0,atr,0.75,1.1
atrSL0.75_RR1.10,2026,603,0.5472636815920398,1.1,-1.0,0.14925373134328362,1.3296703296703296,0.0,3,3.0,atr,0.75,1.1
atrSL0.75_RR1.20,2025,342,0.5,1.2,-1.0,0.10000000000000009,1.2000000000000002,0.0,1,5.0,atr,0.75,1.2000000000000002
atrSL0.75_RR1.20,2026,603,0.5306799336650083,1.2,-1.0,0.16749585406301834,1.3568904593639577,0.0,3,3.0,atr,0.75,1.2000000000000002
atrSL0.75_RR1.30,2025,342,0.4853801169590643,1.3000000000000003,-1.0,0.11637426900584807,1.2261363636363638,0.0,0,5.0,atr,0.75,1.3000000000000003
atrSL0.75_RR1.30,2026,603,0.5174129353233831,1.3000000000000005,-1.0,0.19004975124378126,1.393814432989691,0.0,2,3.0,atr,0.75,1.3000000000000003
atrSL0.75_RR1.40,2025,342,0.4766081871345029,1.4000000000000004,-1.0,0.1438596491228072,1.274860335195531,0.0,0,5.0,atr,0.75,1.4000000000000004
atrSL0.75_RR1.40,2026,603,0.5024875621890548,1.4000000000000006,-1.0,0.2059701492537315,1.4140000000000004,0.0,2,4.0,atr,0.75,1.4000000000000004
atrSL0.75_RR1.50,2025,342,0.4678362573099415,1.5000000000000004,-1.0,0.1695906432748541,1.3186813186813193,0.0,0,5.0,atr,0.75,1.5000000000000004
atrSL0.75_RR1.50,2026,603,0.48756218905472637,1.5000000000000004,-1.0,0.2189054726368162,1.4271844660194182,0.0,2,4.0,atr,0.75,1.5000000000000004
atrSL0.75_RR1.60,2025,342,0.4473684210526316,1.6000000000000008,-1.0,0.16315789473684233,1.2952380952380955,0.0,0,5.5,atr,0.75,1.6000000000000005
atrSL0.75_RR1.60,2026,603,0.46434494195688225,1.6000000000000008,-1.0,0.2072968490878941,1.3869969040247685,0.0,2,5.0,atr,0.75,1.6000000000000005
atrSL0.75_RR1.70,2025,342,0.4269005847953216,1.7000000000000006,-1.0,0.15263157894736865,1.2663265306122453,0.0,0,6.0,atr,0.75,1.7000000000000006
atrSL0.75_RR1.70,2026,603,0.45439469320066334,1.7000000000000006,-1.0,0.22686567164179125,1.4158054711246206,0.0,2,5.0,atr,0.75,1.7000000000000006
atrSL0.75_RR1.80,2025,342,0.41228070175438597,1.8000000000000012,-1.0,0.154385964912281,1.2626865671641796,0.0,0,6.0,atr,0.75,1.8000000000000007
atrSL0.75_RR1.80,2026,603,0.44112769485903813,1.8000000000000007,-1.0,0.2351575456053071,1.4207715133531162,0.0,2,5.0,atr,0.75,1.8000000000000007
atrSL0.75_RR1.90,2025,342,0.40058479532163743,1.900000000000001,-1.0,0.1616959064327489,1.2697560975609763,0.0,0,6.0,atr,0.75,1.9000000000000008
atrSL0.75_RR1.90,2026,603,0.43283582089552236,1.9000000000000012,-1.0,0.25522388059701534,1.4500000000000006,0.0,2,6.0,atr,0.75,1.9000000000000008
atrSL0.75_RR2.00,2025,342,0.3742690058479532,2.0000000000000004,-1.0,0.12280701754385998,1.1962616822429912,0.0,0,7.0,atr,0.75,2.000000000000001
atrSL0.75_RR2.00,2026,603,0.41956882255389716,2.000000000000001,-1.0,0.2587064676616919,1.4457142857142864,0.0,2,6.0,atr,0.75,2.000000000000001
atrSL1.00_RR1.00,2025,342,0.5614035087719298,1.0,-1.0,0.12280701754385964,1.28,0.0,0,6.0,atr,1.0,1.0
atrSL1.00_RR1.00,2026,603,0.5837479270315091,1.0,-1.0,0.16749585406301823,1.402390438247012,0.0,0,5.0,atr,1.0,1.0
atrSL1.00_RR1.10,2025,342,0.5380116959064327,1.0999999999999999,-1.0,0.1298245614035088,1.281012658227848,0.0,0,7.0,atr,1.0,1.1
atrSL1.00_RR1.10,2026,603,0.560530679933665,1.0999999999999996,-1.0,0.17711442786069653,1.4030188679245283,0.0,0,6.0,atr,1.0,1.1
atrSL1.00_RR1.20,2025,342,0.52046783625731,1.2,-1.0,0.14502923976608192,1.3024390243902442,0.0,0,8.0,atr,1.0,1.2000000000000002
atrSL1.00_RR1.20,2026,603,0.5373134328358209,1.2,-1.0,0.18208955223880605,1.3935483870967744,0.0,0,7.0,atr,1.0,1.2000000000000002
atrSL1.00_RR1.30,2025,342,0.48830409356725146,1.3000000000000005,-1.0,0.12309941520467851,1.2405714285714289,0.0,0,9.0,atr,1.0,1.3000000000000003
atrSL1.00_RR1.30,2026,603,0.5174129353233831,1.3000000000000005,-1.0,0.19004975124378126,1.393814432989691,0.0,0,8.0,atr,1.0,1.3000000000000003
atrSL1.00_RR1.40,2025,342,0.4678362573099415,1.4000000000000004,-1.0,0.12280701754385981,1.230769230769231,0.0,0,9.0,atr,1.0,1.4000000000000004
atrSL1.00_RR1.40,2026,603,0.5058043117744611,1.4000000000000004,-1.0,0.21393034825870666,1.4328859060402688,0.0,0,8.0,atr,1.0,1.4000000000000004
atrSL1.00_RR1.50,2025,342,0.4415204678362573,1.5000000000000004,-1.0,0.10380116959064344,1.18586387434555,0.0,0,10.0,atr,1.0,1.5000000000000004
atrSL1.00_RR1.50,2026,603,0.4842454394693201,1.5000000000000004,-1.0,0.21061359867330035,1.4083601286173637,0.0,0,9.0,atr,1.0,1.5000000000000004
atrSL1.00_RR1.60,2025,342,0.43567251461988304,1.6000000000000008,-1.0,0.13274853801169614,1.2352331606217621,0.0,0,10.0,atr,1.0,1.6000000000000005
atrSL1.00_RR1.60,2026,603,0.46434494195688225,1.600000000000001,-1.0,0.2072968490878941,1.3869969040247685,0.0,0,10.0,atr,1.0,1.6000000000000005
atrSL1.00_RR1.70,2025,342,0.42105263157894735,1.7000000000000008,-1.0,0.13684210526315818,1.236363636363637,0.0,0,11.0,atr,1.0,1.7000000000000006
atrSL1.00_RR1.70,2026,603,0.4560530679933665,1.7000000000000008,-1.0,0.23134328358208983,1.425304878048781,0.0,0,10.0,atr,1.0,1.7000000000000006
atrSL1.00_RR1.80,2025,342,0.40350877192982454,1.800000000000001,-1.0,0.1298245614035091,1.2176470588235297,0.0,0,11.5,atr,1.0,1.8000000000000007
atrSL1.00_RR1.80,2026,603,0.4361525704809287,1.8000000000000005,-1.0,0.22122719734660068,1.3923529411764712,0.0,0,11.0,atr,1.0,1.8000000000000007
atrSL1.00_RR1.90,2025,342,0.3888888888888889,1.9000000000000008,-1.0,0.12777777777777805,1.2090909090909097,0.0,0,12.0,atr,1.0,1.9000000000000008
atrSL1.00_RR1.90,2026,603,0.41956882255389716,1.8981061541797744,-1.0,0.21595498674541086,1.3720595914499507,0.001658374792703151,0,12.0,atr,1.0,1.9000000000000008
atrSL1.00_RR2.00,2025,342,0.37719298245614036,2.0000000000000004,-1.0,0.13157894736842138,1.2112676056338034,0.0,0,13.0,atr,1.0,2.000000000000001
atrSL1.00_RR2.00,2026,603,0.4096185737976783,1.9976552915282697,-1.0,0.2278952852528736,1.3860136432794459,0.001658374792703151,0,13.0,atr,1.0,2.000000000000001
atrSL1.25_RR1.00,2025,342,0.564327485380117,1.0,-1.0,0.1286549707602339,1.2953020134228188,0.0,0,10.0,atr,1.25,1.0
atrSL1.25_RR1.00,2026,603,0.5754560530679934,1.0,-1.0,0.15091210613598674,1.35546875,0.0,0,9.0,atr,1.25,1.0
atrSL1.25_RR1.10,2025,342,0.5292397660818714,1.0999999999999996,-1.0,0.11140350877192982,1.2366459627329192,0.0,0,11.5,atr,1.25,1.1
atrSL1.25_RR1.10,2026,603,0.5555555555555556,1.0999999999999996,-1.0,0.16666666666666663,1.375,0.0,0,10.0,atr,1.25,1.1
atrSL1.25_RR1.20,2025,342,0.5,1.2000000000000002,-1.0,0.10000000000000009,1.2000000000000002,0.0,0,13.0,atr,1.25,1.2000000000000002
atrSL1.25_RR1.20,2026,603,0.5290215588723052,1.2000000000000002,-1.0,0.16384742951907139,1.3478873239436622,0.0,0,11.0,atr,1.25,1.2000000000000002
atrSL1.25_RR1.30,2025,342,0.49122807017543857,1.3000000000000005,-1.0,0.12982456140350895,1.2551724137931037,0.0,0,14.0,atr,1.25,1.3000000000000003
