family,sl_mult,rr,min_WR,mean_WR,min_EV,mean_EV,min_avg_win,max_time_stop,max_ambig
atr,1.5,1.4000000000000004,0.4766081871345029,0.4804268133019115,0.14301558413805335,0.14946613423627486,1.3870471255263743,0.009950248756218905,0
atr,1.5,1.5000000000000004,0.4619883040935672,0.4673125600069826,0.1493248618341523,0.16182475318382689,1.483248724417304,0.014619883040935672,1
atr,1.5,1.6000000000000005,0.45321637426900585,0.4546347211311862,0.17313419349708808,0.1742667506131482,1.5773301184025914,0.017543859649122806,1
atr,1.5,1.7000000000000006,0.4361525704809287,0.4373745308544994,0.16572602869177533,0.17077911211280672,1.6698665240820125,0.02046783625730994,1
atr,1.5,1.8000000000000007,0.41625207296849087,0.4186523522737191,0.14948052545680449,0.15943998622631547,1.7584815035174575,0.02046783625730994,1
atr,1.5,1.9000000000000008,0.4046434494195688,0.40992406389107094,0.1481981811262387,0.16943092948192284,1.834449195703077,0.023391812865497075,1
atr,1.5,2.000000000000001,0.39303482587064675,0.39388583398795496,0.1516807681909153,0.15810657974163458,1.927027863930593,0.029239766081871343,1
atr,2.0,1.0,0.5350877192982456,0.5436632626341975,0.07176298944188178,0.0858566087248325,0.9918017642303102,0.017543859649122806,0
atr,2.0,1.1,0.5116959064327485,0.5228462948415815,0.0755641590325251,0.094489081932149,1.0850579034582577,0.017543859649122806,0
atr,2.0,1.2000000000000002,0.5058479532163743,0.5083136946844724,0.1111648119582339,0.11200832749140346,1.1787326667007063,0.02631578947368421,0
atr,2.0,1.3000000000000003,0.4853801169590643,0.4873003404032469,0.109416487718132,0.10950358367509783,1.265304254974427,0.03216374269005848,0
atr,2.0,1.4000000000000004,0.46434494195688225,0.4660905996334119,0.09326719805246458,0.10270043237494257,1.3515060565177062,0.03508771929824561,0
atr,2.0,1.5000000000000004,0.4461028192371476,0.44819760844898315,0.0884765770773916,0.10016997283427524,1.4348404066332932,0.043859649122807015,0
atr,2.0,1.6000000000000005,0.43449419568822556,0.43800733176224144,0.0999175329815937,0.11271049435662855,1.5236590410406972,0.049707602339181284,0
atr,2.0,1.7000000000000006,0.41459369817578773,0.416361176573274,0.08387428878298898,0.09270756349088233,1.6033991159086574,0.06140350877192982,0
atr,2.0,1.8000000000000007,0.3963515754560531,0.40431613860521953,0.058303799308727235,0.08967751515793837,1.658706166628387,0.06432748538011696,0
atr,2.0,1.9000000000000008,0.3814262023217247,0.39100549882168106,0.04741793548735449,0.08654293001176408,1.7302685210160196,0.06725146198830409,0
atr,2.0,2.000000000000001,0.36318407960199006,0.37603648424543945,0.025729126830800954,0.07685771440564307,1.8034438292102843,0.07602339181286549,0
fixed_dollar,,1.0,0.5887230514096186,0.592607139739897,0.17744610281923714,0.18521427947979402,1.0,0.0,0
fixed_dollar,,1.05,0.5789473684210527,0.5805184603299294,0.18684210526315792,0.19006284367635506,1.0500000000000003,0.0,0
fixed_dollar,,1.1,0.5555555555555556,0.5613598673300166,0.16666666666666674,0.17885572139303488,1.0999999999999996,0.0,0
fixed_dollar,,1.1500000000000001,0.5467836257309941,0.5519987780396265,0.1755847953216375,0.18679737278519692,1.1500000000000004,0.0,0
fixed_dollar,,1.2000000000000002,0.5409356725146199,0.5432704896569782,0.19005847953216382,0.1951950772453523,1.2,0.0,0
fixed_dollar,,1.2500000000000002,0.5292397660818714,0.531618224666143,0.19078947368421062,0.19614100549882177,1.2500000000000002,0.0,0
fixed_dollar,,1.3000000000000003,0.5207296849087893,0.5235227371912368,0.19767827529021575,0.20239615518896764,1.2935166666666675,0.0029239766081871343,0
fixed_dollar,,1.3500000000000003,0.5074626865671642,0.5081173081958628,0.19205555555555587,0.19229643449419592,1.3430057471264367,0.0029239766081871343,0
fixed_dollar,,1.4000000000000004,0.49917081260364843,0.5025093829100113,0.19800995024875642,0.20417017980274094,1.3926763005780354,0.0029239766081871343,0
fixed_dollar,,1.4500000000000004,0.4892205638474295,0.4975342585319019,0.1985903814262025,0.2156679977306452,1.436988439306359,0.005847953216374269,0
fixed_dollar,,1.5000000000000004,0.4792703150912106,0.48963515754560527,0.19817578772802671,0.22065075936108952,1.4862514619883045,0.005847953216374269,0
fixed_dollar,,1.5500000000000005,0.47429519071310117,0.4812996421401763,0.20945273631840822,0.22396321026446744,1.5353233532934139,0.008771929824561403,0
fixed_dollar,,1.6000000000000005,0.46434494195688225,0.46901457624159903,0.2072968490878942,0.21594082220476601,1.5842530864197542,0.008771929824561403,0
fixed_dollar,,1.6500000000000006,0.4560530679933665,0.45902068604346685,0.20854063018242155,0.21276154316138646,1.6332215189873427,0.008771929824561403,0
fixed_dollar,,1.7000000000000006,0.4461028192371476,0.44965959675307676,0.20447761194029881,0.21029143754909702,1.6822516129032268,0.008771929824561403,0
fixed_dollar,,1.7500000000000007,0.4361525704809287,0.4446844723749673,0.19941956882255418,0.21894662651654045,1.731606451612904,0.008771929824561403,0
