year,family,model,n_features,auc,ap,pair_auc,last_max,last_pct
2026,H4_ALL,LOGIT,96,0.6294063079777366,0.40762505948764005,0.6818181818181818,0.5,0.5879767058338486
2026,H4_ALL,TREE2,96,0.6336580086580086,0.3425071152287977,0.6515151515151515,0.7631578947368421,0.5753220985363843
2026,H4_ALL,TREE3,96,0.6526747062461348,0.39305836257749305,0.5568181818181818,0.7368421052631579,0.5613919810348382
2026,H4_ALL,HGB,96,0.6637291280148423,0.4231844899875337,0.6818181818181818,0.47368421052631576,0.5764687693259123
2026,H4_H1LIQ_ALL,LOGIT,129,0.6256957328385899,0.4147668524398187,0.6893939393939394,0.5263157894736842,0.5896773861059575
2026,H4_H1LIQ_ALL,TREE2,129,0.6355905998763142,0.34369223471272725,0.6515151515151515,0.7631578947368421,0.5753220985363843
2026,H4_H1LIQ_ALL,TREE3,129,0.6614873222016079,0.40496228809911594,0.5643939393939394,0.6578947368421053,0.57461605854463
2026,COMBINED_NOCLOCK,LOGIT,213,0.5947742733457019,0.3718832373147812,0.6742424242424242,0.5526315789473685,0.6001082251082251
2026,COMBINED_NOCLOCK,TREE2,213,0.6355905998763142,0.34369223471272725,0.6515151515151515,0.7631578947368421,0.5753220985363843
2026,COMBINED_NOCLOCK,TREE3,213,0.597943722943723,0.32981430852514604,0.5378787878787878,0.631578947368421,0.5614357864357864
2026,COMBINED_FULL,LOGIT,221,0.594465058750773,0.37856589060824286,0.696969696969697,0.5,0.6030560709132138
2026,COMBINED_FULL,TREE2,221,0.6355905998763142,0.34369223471272725,0.6515151515151515,0.7631578947368421,0.5753220985363843
2026,COMBINED_FULL,TREE3,221,0.6035095856524428,0.33551117628034877,0.5643939393939394,0.631578947368421,0.5718099360956505
