N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_before_last,ha_before_last,changed,year,method,q,threshold,delta
241,1029.6299999999976,1.9617317392116542,0.6265560165975104,148.91999999999916,36.970000000000255,84.16999999999985,523.4599999999996,84,74,0.8809523809523809,39,30,81,2024,MECH_CUR_D1,0.5,1.1611850985172452,-258.2600000000007
241,990.3399999999976,1.8424912164288916,0.6224066390041494,148.91999999999916,37.11000000000013,84.16999999999985,542.5499999999995,84,62,0.7380952380952381,31,24,70,2024,MECH_CUR_D1,0.7,1.815772537211685,-297.55000000000064
241,998.8999999999978,1.8345308113888497,0.6141078838174274,148.91999999999916,37.11000000000013,84.16999999999985,576.9199999999998,84,51,0.6071428571428571,25,19,59,2024,MECH_CUR_D1,0.8,2.37042746559845,-288.99000000000046
241,979.5599999999972,1.7758276572152671,0.6182572614107884,146.52999999999884,38.04000000000042,84.16999999999985,570.5699999999995,84,32,0.38095238095238093,15,12,39,2024,MECH_CUR_D1,0.9,3.459788804048603,-308.33000000000106
241,1039.9499999999991,1.762376382789991,0.6182572614107884,146.52999999999884,38.04000000000042,107.55999999999996,726.9799999999998,84,14,0.16666666666666666,8,7,20,2024,MECH_CUR_D1,0.95,4.857289234064159,-247.93999999999915
241,1014.3299999999988,1.9136873395487082,0.6265560165975104,148.91999999999916,36.970000000000255,84.16999999999985,547.1399999999999,84,73,0.8690476190476191,34,29,77,2024,DYN_SMALL__LOGIT,0.5,0.4632068736101403,-273.5599999999995
241,1025.8899999999978,1.8240212694179805,0.6058091286307054,150.6999999999989,39.08999999999992,87.15000000000009,605.5799999999997,84,57,0.6785714285714286,25,20,60,2024,DYN_SMALL__LOGIT,0.7,0.5521311306653466,-262.00000000000045
241,1088.9599999999978,1.8529690523001219,0.6265560165975104,139.79999999999927,38.04000000000042,87.15000000000009,609.5599999999993,84,44,0.5238095238095238,17,13,41,2024,DYN_SMALL__LOGIT,0.8,0.6138059940751299,-198.93000000000052
241,1141.199999999998,1.8642573687558672,0.6224066390041494,141.58999999999924,40.1899999999996,87.15000000000009,678.0399999999997,84,23,0.27380952380952384,8,5,17,2024,DYN_SMALL__LOGIT,0.9,0.7043748321067969,-146.69000000000028
241,1096.8999999999978,1.794227747648594,0.6224066390041494,152.7700000000009,39.08999999999992,133.47000000000003,704.4799999999998,84,14,0.16666666666666666,4,2,5,2024,DYN_SMALL__LOGIT,0.95,0.7803236333377553,-190.99000000000046
241,1004.4499999999978,1.8876526626486827,0.6348547717842323,139.79999999999927,37.11000000000013,84.16999999999985,526.6599999999996,84,69,0.8214285714285714,36,25,71,2024,DYN_SMALL__HGB,0.5,0.2917111557324296,-283.4400000000005
241,998.2299999999982,1.8026808832279932,0.6224066390041494,148.91999999999916,37.11000000000013,116.41999999999985,553.9299999999998,84,52,0.6190476190476191,25,20,59,2024,DYN_SMALL__HGB,0.7,0.45740697563708865,-289.6600000000001
241,1051.0099999999977,1.780816320465957,0.6099585062240664,156.47999999999865,38.17000000000007,116.5,691.3500000000001,84,33,0.39285714285714285,16,11,32,2024,DYN_SMALL__HGB,0.8,0.5443587672618732,-236.88000000000056
241,1206.2799999999963,1.8737740304518489,0.6182572614107884,152.7700000000009,39.899999999999636,148.4399999999996,841.1099999999994,84,19,0.2261904761904762,8,6,15,2024,DYN_SMALL__HGB,0.9,0.6549075046318332,-81.61000000000195
241,1299.0699999999983,1.9416757881307383,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,891.8299999999992,84,5,0.05952380952380952,2,1,3,2024,DYN_SMALL__HGB,0.95,0.7245776086917539,11.180000000000064
241,1033.3499999999967,1.7690046511627873,0.6141078838174274,139.79999999999927,39.08999999999992,87.15000000000009,603.9799999999993,84,38,0.4523809523809524,16,13,31,2024,GEOM_DELTA__LOGIT,0.5,0.4555442647394285,-254.54000000000156
241,1105.2699999999966,1.8148014360592373,0.6182572614107884,139.79999999999927,39.08999999999992,116.41999999999985,687.4299999999996,84,23,0.27380952380952384,10,8,18,2024,GEOM_DELTA__LOGIT,0.7,0.5577914840605218,-182.6200000000017
241,1146.4699999999975,1.8322649960436408,0.6182572614107884,139.79999999999927,40.1899999999996,116.41999999999985,751.5299999999995,84,16,0.19047619047619047,6,4,8,2024,GEOM_DELTA__LOGIT,0.8,0.6237375499194863,-141.42000000000075
