feature,auc_all,within_pair,last_max,sign
dfirst_current_liq_age_median_h,0.5182770140048825,0.3889502762430939,0.24,-1
current_liq_age_median_h,0.5084623538481305,0.3889502762430939,0.24,-1
current_liq_age_max_h,0.5070955929590133,0.3834254143646409,0.236,-1
dfirst_current_liq_age_max_h,0.5131600925093152,0.3834254143646409,0.236,-1
h1_path_l20,0.5043781318257742,0.3812154696132597,0.216,1
h1_path_l21,0.5038417062829244,0.3756906077348066,0.204,1
h4liq_opp_active_n,0.5248683027110369,0.16022099447513813,0.32,-1
h1liq_same_age3_h,0.5082808685596814,0.1298342541436464,0.116,-1
h1liq_same_age2_h,0.5030900680971349,0.1287292817679558,0.076,-1
h1liq_opp_active_n,0.523132146987023,0.09723756906077348,0.192,-1
h4liq_active_ratio,0.5051795580110496,0.03425414364640884,0.044,1
h4liq_active_balance,0.5151178851342669,0.0281767955801105,0.048,1
h1liq_active_ratio,0.5073397147629448,0.019337016574585635,0.016,1
h1liq_active_balance,0.5152993704227162,0.013812154696132596,0.02,1
