N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_exact_last,arm_early,ha_before_true_last,changed,year,method,q,threshold
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.95,0.6428241808952474
241,1019.2999999999979,1.9564246439093933,0.6348547717842323,127.51000000000022,36.970000000000255,84.16999999999985,515.9000000000003,84,71,0.8452380952380952,35,36,25,80,2024,H4ALL_HGB,0.5,0.18347044196687545
241,862.6099999999979,1.6589386520407279,0.6182572614107884,158.16999999999962,37.48000000000002,84.16999999999985,548.72,84,48,0.5714285714285714,20,28,21,53,2024,H4ALL_HGB,0.7,0.3124282730364482
241,1016.8499999999995,1.7453327371746468,0.6182572614107884,152.7700000000009,38.17000000000007,107.55999999999996,687.3700000000001,84,22,0.2619047619047619,7,15,12,30,2024,H4ALL_HGB,0.8,0.4652230416714991
241,1255.5899999999992,1.915413273452365,0.6265560165975104,152.7700000000009,42.289999999999964,158.13999999999987,843.8799999999999,84,10,0.11904761904761904,3,7,5,13,2024,H4ALL_HGB,0.9,0.6211914879530854
241,1238.1099999999985,1.8960319011123397,0.6224066390041494,152.7700000000009,40.1899999999996,158.13999999999987,843.8799999999999,84,4,0.047619047619047616,2,2,2,2,2024,H4ALL_HGB,0.95,0.7025483710804612
241,2144.4700000000043,2.2555591985854684,0.6763485477178424,198.57999999999993,56.23000000000002,165.3800000000001,1096.4999999999986,67,61,0.9104477611940298,26,35,32,76,2025,MECH_D1,0.5,1.0071650158392047
241,2387.8000000000047,2.3681315533146217,0.6887966804979253,285.75999999999976,70.34000000000015,165.3800000000001,1121.219999999999,67,50,0.746268656716418,19,31,27,65,2025,MECH_D1,0.7,1.808564840040618
241,2475.630000000004,2.41326475272734,0.6929460580912863,304.21000000000004,78.39000000000033,165.3800000000001,1164.389999999999,67,40,0.5970149253731343,15,25,23,55,2025,MECH_D1,0.8,2.449273842979257
241,2349.6200000000013,2.265270515506111,0.6970954356846473,319.3000000000002,70.34000000000015,182.12999999999965,1251.7599999999989,67,30,0.44776119402985076,13,17,16,37,2025,MECH_D1,0.9,3.5365442643586436
241,2197.1000000000017,2.1095287873508384,0.6846473029045643,319.3000000000002,73.88000000000011,171.3699999999999,1241.5399999999995,67,19,0.2835820895522388,10,9,9,22,2025,MECH_D1,0.95,7.625853201071557
241,2119.6300000000047,2.2102558539217463,0.6721991701244814,269.2900000000004,56.23000000000002,165.3800000000001,1067.0599999999995,67,54,0.8059701492537313,20,34,28,72,2025,MECH4,0.5,0.5268734643734644
241,1985.1400000000035,2.0293005916116647,0.6680497925311203,284.38000000000056,56.63000000000011,171.3699999999999,1151.48,67,39,0.582089552238806,14,25,22,56,2025,MECH4,0.7,0.6326781326781327
