PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
1175.2399999999982,1.9672996041054494,0.6182572614107884,151.7299999999991,40.1899999999996,133.47000000000003,241,84,48,15,55,2024,MECH_PRICE_RETRACE,0.5,-112.65000000000009
1331.4999999999977,2.055380737617207,0.6307053941908713,144.60999999999922,42.039999999999964,133.47000000000003,241,84,30,8,34,2024,MECH_PRICE_RETRACE,0.7,43.609999999999445
1299.8599999999974,1.971610954972191,0.6182572614107884,144.60999999999922,42.92000000000007,133.47000000000003,241,84,19,5,23,2024,MECH_PRICE_RETRACE,0.8,11.969999999999118
1273.479999999998,1.9425435382759337,0.6224066390041494,147.9600000000005,42.92000000000007,133.47000000000003,241,84,14,3,16,2024,MECH_PRICE_RETRACE,0.9,-14.41000000000031
1203.7699999999988,1.8586703759183951,0.6224066390041494,159.83000000000084,42.92000000000007,133.47000000000003,241,84,8,2,8,2024,MECH_PRICE_RETRACE,0.95,-84.11999999999944
941.949999999998,1.831017476995824,0.6307053941908713,139.79999999999927,35.63999999999987,84.16999999999985,241,84,57,23,70,2024,MECH_D1,0.5,-345.9400000000003
833.3799999999981,1.677517174098612,0.6182572614107884,139.79999999999927,35.63999999999987,83.95000000000005,241,84,43,18,57,2024,MECH_D1,0.7,-454.5100000000002
948.0999999999967,1.7404428130735252,0.6141078838174274,139.79999999999927,36.970000000000255,133.47000000000003,241,84,37,14,47,2024,MECH_D1,0.8,-339.79000000000156
839.6699999999985,1.616117812802675,0.6141078838174274,139.79999999999927,36.970000000000255,133.47000000000003,241,84,22,9,29,2024,MECH_D1,0.9,-448.2199999999998
1153.1599999999987,1.85480045069086,0.6265560165975104,141.58999999999924,38.17000000000007,133.47000000000003,241,84,12,5,17,2024,MECH_D1,0.95,-134.72999999999956
1089.7599999999964,1.9064036131049864,0.6265560165975104,124.89999999999964,37.11000000000013,133.47000000000003,241,84,50,12,56,2024,SMALL__LOGIT,0.5,-198.13000000000193
1025.3799999999967,1.7939019952460922,0.6099585062240664,124.89999999999964,39.26999999999998,133.47000000000003,241,84,36,9,40,2024,SMALL__LOGIT,0.7,-262.5100000000016
1024.9799999999966,1.7649732440722707,0.6058091286307054,131.35999999999967,40.1899999999996,133.47000000000003,241,84,22,6,25,2024,SMALL__LOGIT,0.8,-262.9100000000017
1143.5499999999977,1.830199500522706,0.6141078838174274,152.7700000000009,40.1899999999996,133.47000000000003,241,84,9,2,8,2024,SMALL__LOGIT,0.9,-144.3400000000006
1321.0199999999984,1.9611542407287472,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,6,0,4,2024,SMALL__LOGIT,0.95,33.13000000000011
996.7399999999975,1.938214198309453,0.6265560165975104,124.89999999999964,35.63999999999987,84.16999999999985,241,84,68,26,83,2024,SMALL__TREE2,0.5,-291.1500000000008
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,SMALL__TREE2,0.7,-161.6099999999999
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,SMALL__TREE2,0.8,-161.6099999999999
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,SMALL__TREE2,0.9,-161.6099999999999
1167.2999999999993,1.8491677821102241,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,241,84,12,6,14,2024,SMALL__TREE2,0.95,-120.58999999999901
1044.7699999999975,1.8447910602238142,0.6265560165975104,124.89999999999964,36.970000000000255,133.47000000000003,241,84,52,16,61,2024,SMALL__HGB,0.5,-243.1200000000008
928.4399999999978,1.6898078666210954,0.6058091286307054,135.41000000000122,36.970000000000255,133.47000000000003,241,84,30,10,33,2024,SMALL__HGB,0.7,-359.4500000000005
1159.0899999999992,1.849032002871394,0.6141078838174274,141.58999999999924,42.92000000000007,133.47000000000003,241,84,13,4,14,2024,SMALL__HGB,0.8,-128.79999999999905
1099.5599999999984,1.7894034029722143,0.6141078838174274,152.7700000000009,42.92000000000007,133.47000000000003,241,84,7,3,8,2024,SMALL__HGB,0.9,-188.32999999999993
1083.9499999999978,1.7781965683107164,0.6141078838174274,152.7700000000009,40.1899999999996,133.47000000000003,241,84,5,3,6,2024,SMALL__HGB,0.95,-203.9400000000005
1303.7199999999982,1.937428994635947,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,7,2,5,2024,GEOM_DELTA__LOGIT,0.5,15.829999999999927
1288.189999999998,1.9277164832632345,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,3,1,2,2024,GEOM_DELTA__LOGIT,0.7,0.29999999999972715
1281.0999999999983,1.9226104741602792,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,2,1,1,2024,GEOM_DELTA__LOGIT,0.8,-6.789999999999964
